date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,251.0,261.0,233.35,238.45,7102
2008-01-02 00:00:00+05:30,244.95,244.95,233.0,244.9,8719
2008-01-03 00:00:00+05:30,238.0,243.9,229.05,238.9,3510
2008-01-04 00:00:00+05:30,238.25,249.0,228.1,240.7,7990
2008-01-07 00:00:00+05:30,228.1,249.0,228.1,246.35,11441
2008-01-08 00:00:00+05:30,248.0,248.0,228.1,230.35,12091
2008-01-09 00:00:00+05:30,220.1,228.0,210.1,221.6,12452
2008-01-10 00:00:00+05:30,213.05,222.9,211.0,213.2,3829
2008-01-11 00:00:00+05:30,201.25,220.0,201.05,206.4,4510
2008-01-14 00:00:00+05:30,207.0,215.0,201.0,211.7,4264
2008-01-15 00:00:00+05:30,218.0,218.0,203.2,205.8,11386
2008-01-16 00:00:00+05:30,202.05,214.95,202.0,210.9,3096
2008-01-17 00:00:00+05:30,214.95,223.0,210.0,216.25,4496
2008-01-18 00:00:00+05:30,219.95,234.0,192.0,196.45,6885
2008-01-21 00:00:00+05:30,201.0,201.0,177.0,186.15,4232
2008-01-22 00:00:00+05:30,155.55,190.0,155.55,180.55,10863
2008-01-23 00:00:00+05:30,180.0,199.0,180.0,186.0,777
2008-01-24 00:00:00+05:30,185.25,190.0,183.0,183.0,1586
2008-01-25 00:00:00+05:30,185.0,199.75,171.0,196.0,5295
2008-01-28 00:00:00+05:30,199.0,199.0,178.0,178.05,943
2008-01-29 00:00:00+05:30,190.0,193.9,186.0,186.0,1490
2008-01-30 00:00:00+05:30,190.0,190.0,176.0,176.1,1375
2008-01-31 00:00:00+05:30,176.25,185.0,176.0,176.05,1536
2008-02-01 00:00:00+05:30,180.0,180.0,164.5,173.55,700
2008-02-04 00:00:00+05:30,197.0,197.0,165.55,180.4,504
2008-02-05 00:00:00+05:30,180.0,181.0,180.0,181.0,1356
2008-02-06 00:00:00+05:30,175.0,183.7,175.0,175.75,2313
2008-02-07 00:00:00+05:30,180.75,188.0,179.0,179.7,1838
2008-02-08 00:00:00+05:30,170.25,170.25,170.0,170.0,3052
2008-02-11 00:00:00+05:30,150.5,175.7,150.05,165.0,2591
