date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,89.7,89.7,89.7,89.7,3480
2008-01-02 00:00:00+05:30,94.15,94.15,85.2,85.2,28740
2008-01-03 00:00:00+05:30,85.4,85.4,80.95,80.95,5730
2008-01-04 00:00:00+05:30,76.9,76.9,76.9,76.9,12455
2008-01-07 00:00:00+05:30,73.05,73.05,73.05,73.05,6930
2008-01-08 00:00:00+05:30,69.4,76.7,69.4,71.55,49470
2008-01-09 00:00:00+05:30,72.0,72.0,68.0,68.0,14100
2008-01-10 00:00:00+05:30,66.6,68.0,64.6,64.95,25265
2008-01-11 00:00:00+05:30,61.85,65.8,61.75,61.75,17605
2008-01-14 00:00:00+05:30,59.2,64.0,58.65,60.65,38230
2008-01-15 00:00:00+05:30,63.55,63.55,57.65,58.85,9705
2008-01-16 00:00:00+05:30,56.45,60.0,56.45,59.25,5635
2008-01-17 00:00:00+05:30,61.0,61.95,58.0,59.2,21630
2008-01-18 00:00:00+05:30,59.8,60.0,57.0,57.1,5735
2008-01-21 00:00:00+05:30,55.0,55.2,54.25,54.25,3950
2008-01-22 00:00:00+05:30,55.8,55.8,51.55,51.55,255
2008-01-23 00:00:00+05:30,51.8,53.75,49.2,51.75,4180
2008-01-24 00:00:00+05:30,52.0,52.0,49.4,51.95,2580
2008-01-25 00:00:00+05:30,52.8,52.8,51.0,51.95,610
2008-01-28 00:00:00+05:30,51.95,51.95,49.4,50.2,1915
2008-01-29 00:00:00+05:30,52.05,52.05,51.35,51.35,500
2008-01-30 00:00:00+05:30,52.4,52.4,48.8,49.05,2130
2008-01-31 00:00:00+05:30,49.6,49.6,47.1,49.4,390
2008-02-01 00:00:00+05:30,50.0,51.0,48.05,49.75,6865
2008-02-04 00:00:00+05:30,48.3,50.0,48.3,48.7,4605
2008-02-05 00:00:00+05:30,51.0,51.15,50.5,51.15,1545
2008-02-06 00:00:00+05:30,51.95,53.65,49.65,53.5,2085
2008-02-07 00:00:00+05:30,55.4,56.15,50.85,52.95,2705
2008-02-08 00:00:00+05:30,50.45,53.8,50.3,51.15,985
2008-02-11 00:00:00+05:30,49.0,49.0,48.6,48.6,2235
