date,open,high,low,close,volume
2019-12-26 00:00:00+05:30,157.4,157.4,149.55,149.55,11673
2019-12-27 00:00:00+05:30,142.1,142.1,142.1,142.1,3061
2019-12-30 00:00:00+05:30,135.1,143.1,135.05,135.8,118958
2019-12-31 00:00:00+05:30,130.85,137.35,130.85,133.5,33882
2020-01-01 00:00:00+05:30,129.35,133.2,126.9,127.45,4093
2020-01-02 00:00:00+05:30,126.9,133.8,121.25,133.8,17389
2020-01-03 00:00:00+05:30,139.3,140.45,135.45,140.45,2366
2020-01-06 00:00:00+05:30,147.35,147.5,135.55,145.2,5538
2020-01-07 00:00:00+05:30,141.5,152.45,141.5,151.8,5863
2020-01-08 00:00:00+05:30,156.25,159.35,144.5,154.85,5168
2020-01-09 00:00:00+05:30,167.35,168.85,160.75,166.9,5370
2020-01-10 00:00:00+05:30,170.0,182.1,169.8,178.0,9440
2020-01-13 00:00:00+05:30,183.1,183.95,171.9,172.65,7777
2020-01-14 00:00:00+05:30,173.15,173.6,162.25,165.15,6249
2020-01-15 00:00:00+05:30,164.1,168.85,158.45,165.75,3131
2020-01-16 00:00:00+05:30,165.35,172.95,165.3,170.45,1396
2020-01-17 00:00:00+05:30,168.0,169.35,162.2,164.0,2970
2020-01-20 00:00:00+05:30,164.1,166.85,159.8,163.6,2666
2020-01-21 00:00:00+05:30,162.65,164.0,157.9,163.8,1001
2020-01-22 00:00:00+05:30,164.95,164.95,159.4,160.95,1649
2020-01-23 00:00:00+05:30,167.9,167.9,157.7,160.1,923
2020-01-24 00:00:00+05:30,157.9,163.15,157.7,159.65,860
2020-01-27 00:00:00+05:30,156.45,162.2,156.45,157.9,427
2020-01-28 00:00:00+05:30,157.4,160.25,149.4,154.7,2489
2020-01-29 00:00:00+05:30,150.9,156.0,148.45,155.85,2077
2020-01-30 00:00:00+05:30,150.8,153.6,148.4,152.1,1391
2020-01-31 00:00:00+05:30,151.65,152.65,149.1,151.05,720
2020-02-01 00:00:00+05:30,149.0,149.0,125.0,142.25,1937
2020-02-03 00:00:00+05:30,137.45,143.1,135.1,138.55,1078
2020-02-04 00:00:00+05:30,141.1,151.55,141.1,150.65,7264
2020-02-05 00:00:00+05:30,146.9,150.9,142.15,147.9,11167
2020-02-06 00:00:00+05:30,144.75,147.15,142.5,146.2,765
2020-02-07 00:00:00+05:30,144.4,144.4,141.65,143.1,3234
2020-02-10 00:00:00+05:30,146.9,152.9,145.8,152.2,3334
2020-02-11 00:00:00+05:30,154.55,154.55,147.3,151.45,3620
2020-02-12 00:00:00+05:30,151.0,151.0,142.15,143.75,2361
2020-02-13 00:00:00+05:30,143.1,150.9,137.5,143.85,4606
2020-02-14 00:00:00+05:30,145.0,148.7,142.75,144.65,1147
2020-02-17 00:00:00+05:30,145.65,145.65,140.1,143.8,1835
2020-02-18 00:00:00+05:30,141.2,141.2,133.95,137.35,2732
2020-02-19 00:00:00+05:30,135.2,137.3,131.65,134.8,3572
