date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,73.7,74.9,72.5,74.0,2766882
2008-01-02 00:00:00+05:30,75.2,75.5,71.9,73.25,2775972
2008-01-03 00:00:00+05:30,72.0,76.45,71.09,74.65,5020693
2008-01-04 00:00:00+05:30,76.09,76.84,72.15,72.8,3287736
2008-01-07 00:00:00+05:30,73.25,73.9,70.55,71.05,2050720
2008-01-08 00:00:00+05:30,72.5,72.7,67.0,68.3,1684882
2008-01-09 00:00:00+05:30,68.0,69.2,65.65,67.15,1269153
2008-01-10 00:00:00+05:30,68.5,68.5,63.55,63.95,1094101
2008-01-11 00:00:00+05:30,64.0,68.5,61.1,67.45,2988476
2008-01-14 00:00:00+05:30,68.5,70.45,66.0,68.95,2548746
2008-01-15 00:00:00+05:30,70.0,70.0,65.2,65.9,1174111
2008-01-16 00:00:00+05:30,65.0,65.4,62.55,63.7,924372
2008-01-17 00:00:00+05:30,65.0,66.84,63.6,65.55,1375802
2008-01-18 00:00:00+05:30,64.0,65.2,60.0,61.0,853753
2008-01-21 00:00:00+05:30,60.6,60.6,48.15,51.75,1698552
2008-01-22 00:00:00+05:30,49.0,50.0,37.5,43.75,2257814
2008-01-23 00:00:00+05:30,46.8,48.9,44.95,46.25,3107917
2008-01-24 00:00:00+05:30,49.8,50.3,43.6,44.1,2399702
2008-01-25 00:00:00+05:30,46.0,48.0,45.0,47.35,886243
2008-01-28 00:00:00+05:30,47.0,47.8,44.0,47.25,982687
2008-01-29 00:00:00+05:30,48.0,49.7,46.85,47.65,796045
2008-01-30 00:00:00+05:30,47.0,48.6,45.3,45.95,453846
2008-01-31 00:00:00+05:30,46.0,46.8,42.5,43.25,1063329
2008-02-01 00:00:00+05:30,44.35,50.15,44.1,48.7,2568917
2008-02-04 00:00:00+05:30,50.0,52.2,49.15,51.75,2278314
2008-02-05 00:00:00+05:30,51.5,52.5,50.15,51.3,1072641
2008-02-06 00:00:00+05:30,50.9,52.0,47.3,50.8,1348448
2008-02-07 00:00:00+05:30,51.0,54.5,48.9,49.45,1931089
2008-02-08 00:00:00+05:30,49.45,50.3,47.7,48.15,934206
2008-02-11 00:00:00+05:30,48.5,48.9,44.5,45.35,900085
2008-02-12 00:00:00+05:30,46.1,47.45,44.25,44.9,584282
2008-02-13 00:00:00+05:30,45.85,46.5,44.25,45.05,865108
2008-02-14 00:00:00+05:30,46.7,48.95,46.1,48.7,1018059
2008-02-15 00:00:00+05:30,47.2,51.9,47.05,51.25,1553613
2008-02-18 00:00:00+05:30,51.25,52.2,50.3,50.75,497186
2008-02-19 00:00:00+05:30,51.8,52.7,50.7,50.95,2090681
2008-02-20 00:00:00+05:30,50.0,52.8,49.7,51.05,1626773
2008-02-21 00:00:00+05:30,52.6,53.95,51.55,53.65,2715832
2008-02-22 00:00:00+05:30,52.5,55.5,52.1,53.3,2752872
2008-02-25 00:00:00+05:30,53.5,54.5,52.0,53.25,929517
2008-02-26 00:00:00+05:30,54.15,54.15,52.5,52.65,464871
2008-02-27 00:00:00+05:30,53.0,54.2,51.4,51.9,725243
2008-02-28 00:00:00+05:30,51.9,52.35,50.55,50.85,406799
2008-02-29 00:00:00+05:30,50.25,52.9,49.55,50.95,815976
2008-03-03 00:00:00+05:30,49.5,50.0,47.4,47.7,400303
2008-03-04 00:00:00+05:30,47.7,47.75,44.1,45.45,617592
2008-03-05 00:00:00+05:30,45.45,46.15,44.6,45.8,399614
2008-03-07 00:00:00+05:30,44.1,44.9,41.5,43.25,455305
2008-03-10 00:00:00+05:30,42.0,44.0,40.54,43.45,519178
2008-03-11 00:00:00+05:30,43.8,45.9,43.05,45.4,435941
2008-03-12 00:00:00+05:30,47.0,48.0,44.05,44.45,547371
2008-03-13 00:00:00+05:30,44.0,44.1,41.15,41.65,488787
2008-03-14 00:00:00+05:30,42.9,42.9,40.9,41.95,512018
2008-03-17 00:00:00+05:30,40.1,41.6,39.5,41.05,776059
2008-03-18 00:00:00+05:30,41.0,42.05,40.0,40.35,729496
2008-03-19 00:00:00+05:30,41.95,42.95,39.15,39.6,477173
2008-03-24 00:00:00+05:30,40.4,40.4,37.6,38.2,397538
2008-03-25 00:00:00+05:30,39.04,41.2,38.0,40.65,562740
2008-03-26 00:00:00+05:30,41.5,41.5,39.7,40.7,515934
2008-03-27 00:00:00+05:30,40.5,42.2,39.7,40.25,641104
2008-03-28 00:00:00+05:30,40.9,42.2,40.54,41.7,954954
2008-03-31 00:00:00+05:30,42.5,42.5,40.0,40.15,600269
2008-04-01 00:00:00+05:30,44.0,44.0,40.2,40.79,245816
2008-04-02 00:00:00+05:30,42.0,42.25,40.54,40.75,271460
2008-04-03 00:00:00+05:30,41.0,41.15,40.15,40.4,184071
2008-04-04 00:00:00+05:30,40.4,41.25,39.79,40.0,220372
2008-04-07 00:00:00+05:30,40.35,40.85,39.45,40.35,395908
2008-04-08 00:00:00+05:30,40.1,40.7,40.0,40.25,211278
2008-04-09 00:00:00+05:30,40.1,40.6,40.0,40.4,233561
2008-04-10 00:00:00+05:30,40.5,41.25,40.45,40.6,299111
2008-04-11 00:00:00+05:30,41.1,41.25,40.5,40.65,265120
2008-04-15 00:00:00+05:30,40.5,41.55,40.2,41.0,564083
2008-04-16 00:00:00+05:30,41.5,44.2,41.05,43.45,1139386
2008-04-17 00:00:00+05:30,44.6,46.0,44.55,45.05,1178388
2008-04-21 00:00:00+05:30,46.2,46.7,45.5,46.45,908618
2008-04-22 00:00:00+05:30,46.25,47.0,45.8,46.1,447716
2008-04-23 00:00:00+05:30,46.3,51.7,46.3,50.75,3086699
2008-04-24 00:00:00+05:30,52.0,52.45,48.2,48.55,1905214
2008-04-25 00:00:00+05:30,49.3,49.7,47.5,48.55,1077201
2008-04-28 00:00:00+05:30,49.0,49.65,48.15,48.4,680465
2008-04-29 00:00:00+05:30,48.85,51.8,48.25,51.25,2270573
2008-04-30 00:00:00+05:30,52.0,52.3,49.5,49.6,1040361
2008-05-02 00:00:00+05:30,50.9,51.3,49.55,49.75,641335
2008-05-05 00:00:00+05:30,50.7,50.9,48.85,49.3,1445989
2008-05-06 00:00:00+05:30,49.9,50.3,48.3,48.75,452845
2008-05-07 00:00:00+05:30,49.0,49.2,47.0,47.35,383685
2008-05-08 00:00:00+05:30,46.0,47.2,45.8,46.5,270477
2008-05-09 00:00:00+05:30,46.0,47.8,45.0,45.6,695250
2008-05-12 00:00:00+05:30,45.0,45.3,43.35,44.95,407082
2008-05-13 00:00:00+05:30,45.8,47.1,45.2,45.85,485829
2008-05-14 00:00:00+05:30,45.85,46.55,45.1,46.15,268327
2008-05-15 00:00:00+05:30,46.85,47.7,46.15,47.35,546866
2008-05-16 00:00:00+05:30,48.0,48.25,47.0,47.3,351182
2008-05-20 00:00:00+05:30,47.35,48.15,46.4,47.35,459028
2008-05-21 00:00:00+05:30,47.35,47.7,46.6,47.15,260009
2008-05-22 00:00:00+05:30,46.9,47.0,46.05,46.2,337191
2008-05-23 00:00:00+05:30,46.0,46.75,45.0,45.15,237625
2008-05-26 00:00:00+05:30,44.5,44.8,43.8,44.05,159058
2008-05-27 00:00:00+05:30,44.6,44.8,42.55,42.95,336610
2008-05-28 00:00:00+05:30,43.5,43.65,42.8,43.4,181784
2008-05-29 00:00:00+05:30,44.5,44.5,41.8,42.4,411096
2008-05-30 00:00:00+05:30,42.45,43.0,42.0,42.35,280327
2008-06-02 00:00:00+05:30,42.55,43.35,41.05,41.4,240035
2008-06-03 00:00:00+05:30,41.3,41.85,40.04,41.45,283883
2008-06-04 00:00:00+05:30,41.7,42.3,40.54,41.05,291443
2008-06-05 00:00:00+05:30,40.6,41.35,40.0,41.05,171319
2008-06-06 00:00:00+05:30,41.95,41.95,40.5,40.7,193684
2008-06-09 00:00:00+05:30,39.45,39.95,38.35,38.75,338883
2008-06-10 00:00:00+05:30,38.79,39.0,37.65,38.04,654230
2008-06-11 00:00:00+05:30,38.15,39.2,38.0,38.2,407604
2008-06-12 00:00:00+05:30,37.9,38.45,37.0,38.0,403767
2008-06-13 00:00:00+05:30,38.5,41.2,38.25,39.79,897096
2008-06-16 00:00:00+05:30,40.5,41.75,40.5,40.7,420659
2008-06-17 00:00:00+05:30,41.0,42.5,40.5,41.9,632091
2008-06-18 00:00:00+05:30,42.0,43.0,40.85,41.05,740995
2008-06-19 00:00:00+05:30,40.2,40.65,39.5,39.65,324167
2008-06-20 00:00:00+05:30,40.9,41.5,38.1,38.25,498656
2008-06-23 00:00:00+05:30,37.0,38.4,37.0,37.85,328067
2008-06-24 00:00:00+05:30,37.75,38.25,36.6,36.9,192901
2008-06-26 00:00:00+05:30,37.0,37.1,34.9,35.25,372986
2008-06-27 00:00:00+05:30,34.0,35.0,33.65,34.25,236560
2008-06-30 00:00:00+05:30,35.0,35.0,32.15,33.45,356521
2008-07-01 00:00:00+05:30,33.25,33.45,29.95,30.2,497678
2008-07-02 00:00:00+05:30,30.2,32.7,30.0,32.4,303240
2008-07-03 00:00:00+05:30,31.9,31.9,29.5,29.8,541184
2008-07-04 00:00:00+05:30,29.5,30.7,29.1,30.05,733918
2008-07-07 00:00:00+05:30,30.9,31.6,30.35,30.6,301316
2008-07-08 00:00:00+05:30,29.5,30.5,29.5,30.3,148377
2008-07-09 00:00:00+05:30,31.4,32.0,31.05,31.7,347623
2008-07-10 00:00:00+05:30,31.0,33.1,31.0,32.35,353194
2008-07-11 00:00:00+05:30,32.95,33.0,30.85,31.4,280749
2008-07-14 00:00:00+05:30,30.55,31.55,30.55,31.15,147794
2008-07-15 00:00:00+05:30,30.9,30.95,29.25,29.9,215805
2008-07-16 00:00:00+05:30,30.0,30.65,28.9,29.4,224474
2008-07-17 00:00:00+05:30,30.0,30.6,29.4,30.1,202567
2008-07-18 00:00:00+05:30,30.5,30.95,30.0,30.65,163206
2008-07-21 00:00:00+05:30,31.7,31.8,30.2,30.6,173879
2008-07-22 00:00:00+05:30,30.6,32.1,30.1,31.35,236414
2008-07-23 00:00:00+05:30,32.9,33.65,31.9,33.29,475754
