date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,95.25,101.0,95.05,98.25,1514748
2008-01-02 00:00:00+05:30,99.5,107.7,95.5,103.8,2971491
2008-01-03 00:00:00+05:30,103.85,106.3,98.3,99.6,912966
2008-01-04 00:00:00+05:30,101.05,104.95,97.1,98.3,622894
2008-01-07 00:00:00+05:30,98.85,103.9,97.1,97.55,781583
2008-01-08 00:00:00+05:30,98.7,99.25,87.6,90.4,618663
2008-01-09 00:00:00+05:30,89.0,92.8,85.1,88.05,710596
2008-01-10 00:00:00+05:30,89.1,91.85,81.0,82.35,343503
2008-01-11 00:00:00+05:30,83.0,83.95,77.45,81.34,506233
2008-01-14 00:00:00+05:30,82.75,88.2,81.5,87.15,474141
2008-01-15 00:00:00+05:30,87.6,90.5,83.25,83.95,418686
2008-01-16 00:00:00+05:30,82.0,83.0,78.0,80.34,375417
2008-01-17 00:00:00+05:30,81.95,85.7,80.45,83.5,433923
2008-01-18 00:00:00+05:30,84.0,84.0,72.34,73.59,468610
2008-01-21 00:00:00+05:30,72.95,72.95,58.9,61.4,505736
2008-01-22 00:00:00+05:30,58.7,58.7,49.15,50.05,191471
2008-01-23 00:00:00+05:30,52.0,55.05,52.0,54.45,265388
2008-01-24 00:00:00+05:30,56.25,58.5,50.75,52.05,311246
2008-01-25 00:00:00+05:30,53.0,57.25,52.55,57.25,210611
2008-01-28 00:00:00+05:30,57.0,62.95,55.0,62.3,299067
2008-01-29 00:00:00+05:30,65.0,65.34,61.0,62.85,188796
2008-01-30 00:00:00+05:30,63.0,63.0,59.75,59.75,105247
2008-01-31 00:00:00+05:30,60.0,60.0,56.8,56.9,148631
2008-02-01 00:00:00+05:30,56.6,58.0,54.1,55.85,173370
2008-02-04 00:00:00+05:30,54.25,58.6,54.25,58.6,117769
2008-02-05 00:00:00+05:30,61.4,61.5,58.7,61.2,139108
2008-02-06 00:00:00+05:30,58.25,63.1,58.15,62.4,324836
2008-02-07 00:00:00+05:30,62.55,64.4,59.3,59.35,193879
2008-02-08 00:00:00+05:30,59.3,59.5,56.4,56.7,167314
2008-02-11 00:00:00+05:30,56.75,56.75,53.9,53.9,76332
2008-02-12 00:00:00+05:30,52.0,55.85,51.25,51.25,51605
