date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,29.85,29.85,29.3,29.85,37504
2008-01-02 00:00:00+05:30,31.3,31.3,28.4,31.15,193999
2008-01-03 00:00:00+05:30,31.8,32.0,29.6,29.85,115374
2008-01-04 00:00:00+05:30,30.9,31.3,29.5,31.05,159661
2008-01-07 00:00:00+05:30,31.05,32.6,30.15,32.54,117555
2008-01-08 00:00:00+05:30,33.5,33.9,30.95,30.95,68108
2008-01-09 00:00:00+05:30,31.0,31.0,29.45,29.45,6827
2008-01-10 00:00:00+05:30,28.0,28.0,28.0,28.0,14642
2008-01-11 00:00:00+05:30,26.65,26.75,26.65,26.65,8235
2008-01-14 00:00:00+05:30,25.6,27.0,25.35,26.6,41774
2008-01-15 00:00:00+05:30,27.4,27.8,26.5,26.6,27950
2008-01-16 00:00:00+05:30,26.5,26.5,25.3,25.4,18178
2008-01-17 00:00:00+05:30,25.1,26.65,25.1,26.55,23700
2008-01-18 00:00:00+05:30,26.5,26.85,25.25,25.35,39486
2008-01-21 00:00:00+05:30,24.8,24.8,24.1,24.1,8110
2008-01-22 00:00:00+05:30,22.9,22.9,22.9,22.9,625
2008-01-23 00:00:00+05:30,22.0,22.0,21.8,21.8,3580
2008-01-24 00:00:00+05:30,21.0,22.45,20.75,20.75,11730
2008-01-25 00:00:00+05:30,19.75,20.0,19.75,19.75,12233
2008-01-28 00:00:00+05:30,19.75,20.0,18.8,19.39,11020
2008-01-29 00:00:00+05:30,20.3,20.35,19.6,19.95,12104
2008-01-30 00:00:00+05:30,20.5,20.5,19.05,19.14,13977
2008-01-31 00:00:00+05:30,19.95,19.95,18.55,19.1,14295
2008-02-01 00:00:00+05:30,19.75,19.75,18.5,18.55,14629
2008-02-04 00:00:00+05:30,18.75,19.45,18.75,19.45,9149
2008-02-05 00:00:00+05:30,19.7,20.39,19.1,20.14,9560
2008-02-06 00:00:00+05:30,20.35,20.7,19.3,19.6,15306
2008-02-07 00:00:00+05:30,20.25,20.55,19.7,19.95,16376
2008-02-08 00:00:00+05:30,19.75,20.3,19.05,19.35,10195
2008-02-11 00:00:00+05:30,19.0,19.6,18.39,18.39,7716
2008-02-12 00:00:00+05:30,18.0,18.0,17.5,17.5,7810
2008-02-13 00:00:00+05:30,17.5,17.5,16.64,16.64,10686
2008-02-14 00:00:00+05:30,16.5,17.45,16.5,17.45,6502
2008-02-15 00:00:00+05:30,17.0,18.3,17.0,18.3,8768
2008-02-18 00:00:00+05:30,17.89,19.14,17.64,18.89,5111
2008-02-19 00:00:00+05:30,19.8,19.8,18.5,18.7,9022
2008-02-20 00:00:00+05:30,18.3,18.8,18.0,18.1,4017
2008-02-21 00:00:00+05:30,17.5,18.7,17.3,18.25,8851
2008-02-22 00:00:00+05:30,18.35,18.39,17.55,18.0,4543
2008-02-25 00:00:00+05:30,18.3,18.5,17.7,18.14,11756
2008-02-26 00:00:00+05:30,17.55,18.39,17.55,18.05,5260
2008-02-27 00:00:00+05:30,17.85,18.8,17.85,18.39,2358
2008-02-28 00:00:00+05:30,18.7,18.7,17.8,18.35,5005
2008-02-29 00:00:00+05:30,18.39,18.45,17.75,18.0,4005
2008-03-03 00:00:00+05:30,17.35,17.8,17.14,17.14,8249
2008-03-04 00:00:00+05:30,16.64,17.45,16.39,16.55,3875
2008-03-05 00:00:00+05:30,15.95,16.35,15.85,16.05,10139
2008-03-07 00:00:00+05:30,15.45,16.25,15.25,15.25,5488
2008-03-10 00:00:00+05:30,14.55,14.55,13.75,14.35,12521
2008-03-11 00:00:00+05:30,14.95,15.75,14.55,15.0,11290
2008-03-12 00:00:00+05:30,15.85,16.5,15.85,16.5,6183
2008-03-13 00:00:00+05:30,15.9,15.9,14.9,15.2,4804
2008-03-14 00:00:00+05:30,15.15,15.5,14.5,14.5,9669
2008-03-17 00:00:00+05:30,13.15,13.95,13.15,13.6,6896
2008-03-18 00:00:00+05:30,13.2,14.2,13.2,13.45,8043
