date,open,high,low,close,volume
2022-12-27 00:00:00+05:30,14.75,15.45,14.05,15.45,1652021
2022-12-28 00:00:00+05:30,15.8,16.2,15.5,16.05,1091689
2022-12-29 00:00:00+05:30,16.85,16.85,15.65,16.25,465232
2022-12-30 00:00:00+05:30,16.7,16.7,15.45,15.45,115653
2023-01-02 00:00:00+05:30,14.7,15.95,14.7,14.9,169572
2023-01-03 00:00:00+05:30,14.25,14.65,14.2,14.2,87081
2023-01-04 00:00:00+05:30,13.6,14.2,13.5,13.7,84628
2023-01-05 00:00:00+05:30,13.45,14.35,13.45,14.35,27513
2023-01-06 00:00:00+05:30,15.0,15.05,14.8,15.05,99513
2023-01-09 00:00:00+05:30,15.5,15.8,14.65,15.45,32703
2023-01-10 00:00:00+05:30,16.0,18.5,15.8,18.5,1200917
2023-01-11 00:00:00+05:30,19.55,22.2,19.5,22.15,3663895
2023-01-12 00:00:00+05:30,22.75,23.7,21.2,22.15,855312
2023-01-13 00:00:00+05:30,22.4,22.7,20.2,20.45,137092
2023-01-16 00:00:00+05:30,19.55,22.45,19.5,22.45,752669
2023-01-17 00:00:00+05:30,23.25,24.65,22.85,24.65,910296
2023-01-18 00:00:00+05:30,25.7,27.1,22.6,23.25,1235784
2023-01-19 00:00:00+05:30,24.75,24.75,22.25,22.6,187218
2023-01-20 00:00:00+05:30,22.5,23.65,21.2,21.45,193992
2023-01-23 00:00:00+05:30,21.85,22.9,19.9,20.6,564604
2023-01-24 00:00:00+05:30,21.3,21.3,18.55,18.85,464115
2023-01-25 00:00:00+05:30,18.85,19.35,17.95,17.95,300937
2023-01-27 00:00:00+05:30,17.95,17.95,17.1,17.1,84200
2023-01-30 00:00:00+05:30,16.3,16.6,16.25,16.25,146918
2023-01-31 00:00:00+05:30,15.45,15.45,15.45,15.45,20597
2023-02-01 00:00:00+05:30,15.1,16.2,14.7,14.7,799300
2023-02-02 00:00:00+05:30,14.05,14.3,14.0,14.0,340641
2023-02-03 00:00:00+05:30,13.3,13.8,13.3,13.3,215341
2023-02-06 00:00:00+05:30,13.3,13.95,12.75,12.85,306625
2023-02-07 00:00:00+05:30,12.55,13.45,12.35,13.45,120580
2023-02-08 00:00:00+05:30,13.45,14.1,13.45,14.1,214692
2023-02-09 00:00:00+05:30,14.75,14.8,14.55,14.8,150083
2023-02-10 00:00:00+05:30,15.5,15.5,15.3,15.5,219988
2023-02-13 00:00:00+05:30,16.2,16.25,14.75,14.75,249072
2023-02-14 00:00:00+05:30,14.3,14.75,14.05,14.05,116583
2023-02-15 00:00:00+05:30,13.75,14.75,13.35,13.85,157160
2023-02-16 00:00:00+05:30,14.15,14.25,13.2,13.35,145011
2023-02-17 00:00:00+05:30,13.35,13.5,12.7,12.7,277546
2023-02-20 00:00:00+05:30,12.2,12.5,12.1,12.1,82268
2023-02-21 00:00:00+05:30,11.5,11.7,11.5,11.5,242253
2023-02-22 00:00:00+05:30,10.95,11.0,10.95,10.95,83051
2023-02-23 00:00:00+05:30,10.45,10.55,10.45,10.45,47285
2023-02-24 00:00:00+05:30,9.95,10.95,9.95,9.95,569405
2023-02-27 00:00:00+05:30,9.9,9.9,9.5,9.5,151278
2023-02-28 00:00:00+05:30,9.05,9.75,9.05,9.1,150551
2023-03-01 00:00:00+05:30,9.1,9.43,8.65,8.66,464671
2023-03-02 00:00:00+05:30,8.8,8.8,8.23,8.23,487025
2023-03-03 00:00:00+05:30,8.23,8.47,7.82,7.9,616838
2023-03-06 00:00:00+05:30,8.0,8.29,7.85,8.29,106271
2023-03-08 00:00:00+05:30,8.45,8.7,8.4,8.7,32906
2023-03-09 00:00:00+05:30,9.13,9.13,9.13,9.13,61721
2023-03-10 00:00:00+05:30,9.58,9.58,9.1,9.58,487047
2023-03-13 00:00:00+05:30,10.02,10.05,9.65,10.05,228605
2023-03-14 00:00:00+05:30,10.39,10.55,9.55,9.55,392812
2023-03-15 00:00:00+05:30,9.17,9.55,9.08,9.08,114693
2023-03-16 00:00:00+05:30,8.71,9.25,8.63,9.02,260880
2023-03-17 00:00:00+05:30,9.43,9.47,9.35,9.47,21823
2023-03-20 00:00:00+05:30,9.5,9.5,9.0,9.01,248607
2023-03-21 00:00:00+05:30,9.0,9.12,8.56,8.78,209655
2023-03-22 00:00:00+05:30,8.54,9.21,8.54,9.07,84862
2023-03-23 00:00:00+05:30,8.9,9.22,8.68,8.78,46622
