date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,87.2,87.2,87.2,87.2,13957
2008-01-02 00:00:00+05:30,90.0,91.55,82.85,91.55,79913
2008-01-03 00:00:00+05:30,96.1,96.1,91.0,96.1,21786
2008-01-04 00:00:00+05:30,100.5,100.9,92.0,94.35,94096
2008-01-07 00:00:00+05:30,99.0,99.0,89.65,89.65,61173
2008-01-08 00:00:00+05:30,93.0,93.0,85.2,85.2,8194
2008-01-09 00:00:00+05:30,80.95,80.95,80.95,80.95,2605
2008-01-10 00:00:00+05:30,81.09,84.75,76.95,76.95,32970
2008-01-11 00:00:00+05:30,73.15,73.15,73.15,73.15,1811
2008-01-14 00:00:00+05:30,69.5,75.65,69.5,70.3,27692
2008-01-15 00:00:00+05:30,73.8,73.8,67.09,70.09,16648
2008-01-16 00:00:00+05:30,66.65,70.0,66.59,68.7,9451
2008-01-17 00:00:00+05:30,70.0,72.09,69.0,72.09,10353
2008-01-18 00:00:00+05:30,74.5,75.7,68.5,69.55,29332
2008-01-21 00:00:00+05:30,69.55,69.55,66.09,66.09,2427
2008-01-22 00:00:00+05:30,62.8,62.8,62.8,62.8,2635
2008-01-23 00:00:00+05:30,59.7,64.9,59.7,59.9,3036
2008-01-24 00:00:00+05:30,60.0,62.0,56.95,56.95,2840
2008-01-25 00:00:00+05:30,55.0,57.5,54.15,54.2,13686
2008-01-28 00:00:00+05:30,53.5,56.9,51.5,51.9,16691
2008-01-29 00:00:00+05:30,50.65,54.45,50.5,54.45,7782
2008-01-30 00:00:00+05:30,56.5,57.0,52.25,54.8,6496
2008-01-31 00:00:00+05:30,53.0,55.9,52.5,53.25,12867
2008-02-01 00:00:00+05:30,51.8,55.9,51.25,55.9,12494
2008-02-04 00:00:00+05:30,58.65,58.65,58.65,58.65,1412
2008-02-05 00:00:00+05:30,61.4,61.55,57.0,61.55,6933
2008-02-06 00:00:00+05:30,61.5,64.59,59.2,64.59,15038
2008-02-07 00:00:00+05:30,67.75,67.8,61.75,64.05,11262
