date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,34.54,34.6,34.54,34.6,125
2008-01-02 00:00:00+05:30,34.29,36.29,34.29,36.29,2585
2008-01-03 00:00:00+05:30,38.0,38.1,38.0,38.1,800
2008-01-04 00:00:00+05:30,40.0,40.0,40.0,40.0,1219
2008-01-07 00:00:00+05:30,42.0,42.0,41.4,42.0,1484
2008-01-08 00:00:00+05:30,44.1,44.1,40.2,44.05,4055
2008-01-09 00:00:00+05:30,42.75,44.0,42.0,42.25,5278
2008-01-10 00:00:00+05:30,43.0,43.9,40.15,40.29,2392
2008-01-11 00:00:00+05:30,38.29,38.85,38.29,38.4,1800
2008-01-14 00:00:00+05:30,40.2,40.2,37.25,38.9,651
2008-01-15 00:00:00+05:30,40.7,40.7,37.0,39.5,106
2008-01-16 00:00:00+05:30,41.4,41.4,37.54,40.6,104
2008-01-17 00:00:00+05:30,42.35,42.35,42.35,42.35,3
2008-01-18 00:00:00+05:30,44.4,44.4,40.29,42.0,710
2008-01-21 00:00:00+05:30,41.55,41.55,41.55,41.55,5
2008-01-22 00:00:00+05:30,39.5,39.5,39.5,39.5,3
2008-01-23 00:00:00+05:30,37.54,37.54,37.54,37.54,978
2008-01-24 00:00:00+05:30,39.0,39.0,35.7,35.7,676
2008-01-25 00:00:00+05:30,33.95,33.95,33.95,33.95,199
2008-01-28 00:00:00+05:30,33.54,33.54,33.54,33.54,1015
2008-01-29 00:00:00+05:30,32.0,32.0,31.9,31.9,250
2008-01-30 00:00:00+05:30,31.55,33.45,30.9,32.85,1947
2008-02-01 00:00:00+05:30,33.5,33.5,31.25,32.75,3
2008-02-04 00:00:00+05:30,31.15,33.0,31.15,33.0,298
2008-02-05 00:00:00+05:30,32.5,32.5,32.5,32.5,4600
2008-02-06 00:00:00+05:30,32.04,32.04,32.04,32.04,10
2008-02-07 00:00:00+05:30,32.5,32.5,32.04,32.04,150
2008-02-08 00:00:00+05:30,33.6,33.6,33.6,33.6,1
2008-02-13 00:00:00+05:30,31.95,31.95,31.95,31.95,500
2008-02-14 00:00:00+05:30,33.1,33.45,31.95,32.0,307
2008-02-15 00:00:00+05:30,31.0,33.5,30.55,33.25,949
2008-02-18 00:00:00+05:30,32.1,33.25,32.1,32.65,6
2008-02-19 00:00:00+05:30,32.0,32.0,31.25,31.25,245
2008-02-20 00:00:00+05:30,31.95,31.95,30.0,30.0,330
2008-02-22 00:00:00+05:30,31.4,31.5,29.25,31.5,10100
2008-02-25 00:00:00+05:30,30.15,30.4,30.15,30.4,76
2008-02-27 00:00:00+05:30,31.5,31.5,29.2,29.2,97
2008-02-29 00:00:00+05:30,29.0,29.0,29.0,29.0,33
2008-03-03 00:00:00+05:30,29.0,29.0,29.0,29.0,217
2008-03-04 00:00:00+05:30,30.4,30.4,28.8,28.8,300
2008-03-07 00:00:00+05:30,30.1,30.15,30.1,30.15,503
2008-03-10 00:00:00+05:30,28.65,28.65,28.65,28.65,1960
2008-03-12 00:00:00+05:30,30.0,30.0,29.7,29.7,209
2008-03-13 00:00:00+05:30,29.0,31.1,29.0,31.1,6
2008-03-14 00:00:00+05:30,29.65,31.5,29.65,30.1,1302
2008-03-17 00:00:00+05:30,28.9,28.9,28.9,28.9,300
