date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,8.69,8.75,8.1,8.72,7029
2008-01-02 00:00:00+05:30,8.76,9.15,8.28,9.14,13373
2008-01-03 00:00:00+05:30,9.58,9.59,9.0,9.59,9000
2008-01-04 00:00:00+05:30,10.06,10.06,10.06,10.06,5998
2008-01-07 00:00:00+05:30,10.56,10.56,9.56,10.51,8800
2008-01-08 00:00:00+05:30,10.0,10.0,9.99,9.99,4000
2008-01-09 00:00:00+05:30,9.9,9.9,9.5,9.5,2110
2008-01-11 00:00:00+05:30,9.78,9.78,9.02,9.02,101
2008-01-14 00:00:00+05:30,8.9,8.9,8.58,8.58,2801
2008-01-15 00:00:00+05:30,8.25,8.25,8.16,8.16,1050
2008-01-16 00:00:00+05:30,7.76,7.76,7.76,7.76,100
2008-01-17 00:00:00+05:30,7.5,8.14,7.38,7.81,2795
2008-01-18 00:00:00+05:30,7.42,7.43,7.42,7.42,1552
2008-01-21 00:00:00+05:30,7.5,7.5,7.05,7.05,101
2008-01-22 00:00:00+05:30,7.05,7.05,7.05,7.05,1
2008-01-23 00:00:00+05:30,6.7,6.7,6.7,6.7,200
2008-01-24 00:00:00+05:30,6.98,6.98,6.96,6.96,2
2008-01-25 00:00:00+05:30,6.99,6.99,6.96,6.96,501
2008-01-28 00:00:00+05:30,6.63,6.63,6.63,6.63,198
2008-01-29 00:00:00+05:30,6.3,6.3,6.3,6.3,25
2008-01-30 00:00:00+05:30,6.6,6.6,5.99,5.99,101
2008-01-31 00:00:00+05:30,5.7,5.7,5.7,5.7,50
2008-02-01 00:00:00+05:30,5.42,5.42,5.42,5.42,1350
2008-02-04 00:00:00+05:30,5.69,5.69,5.15,5.69,4152
2008-02-05 00:00:00+05:30,5.6,5.91,5.6,5.91,2396
2008-02-06 00:00:00+05:30,6.18,6.18,5.62,5.62,349
2008-02-07 00:00:00+05:30,5.83,5.83,5.34,5.5,1198
2008-02-08 00:00:00+05:30,5.75,5.75,5.23,5.23,340
2008-02-11 00:00:00+05:30,4.97,4.97,4.97,4.97,50
2008-02-14 00:00:00+05:30,4.74,4.95,4.74,4.74,1451
2008-02-15 00:00:00+05:30,4.8,4.8,4.51,4.51,485
2008-02-18 00:00:00+05:30,4.5,4.5,4.5,4.5,500
2008-02-20 00:00:00+05:30,4.28,4.71,4.28,4.71,551
2008-02-21 00:00:00+05:30,4.94,4.94,4.94,4.94,1
2008-02-22 00:00:00+05:30,5.18,5.18,5.17,5.18,901
2008-02-25 00:00:00+05:30,5.35,5.35,5.35,5.35,1
2008-02-26 00:00:00+05:30,5.55,5.61,5.09,5.61,1550
2008-02-27 00:00:00+05:30,5.89,5.89,5.88,5.89,600
2008-02-28 00:00:00+05:30,6.03,6.03,5.65,5.65,270
2008-02-29 00:00:00+05:30,5.41,5.85,5.4,5.85,1017
2008-03-03 00:00:00+05:30,5.56,5.56,5.56,5.56,600
2008-03-04 00:00:00+05:30,5.7,5.7,5.7,5.7,1
2008-03-05 00:00:00+05:30,5.89,5.89,5.89,5.89,10
2008-03-10 00:00:00+05:30,6.18,6.18,6.18,6.18,1
2008-03-11 00:00:00+05:30,6.45,6.45,6.45,6.45,1
2008-03-12 00:00:00+05:30,6.74,6.77,6.74,6.77,201
2008-03-13 00:00:00+05:30,7.09,7.09,7.09,7.09,10
2008-03-14 00:00:00+05:30,7.39,7.39,7.39,7.39,2
2008-03-17 00:00:00+05:30,7.39,7.39,7.03,7.03,300
2008-03-19 00:00:00+05:30,6.68,6.68,6.68,6.68,6
2008-03-31 00:00:00+05:30,6.35,6.35,6.35,6.35,300
2008-04-08 00:00:00+05:30,6.04,6.04,6.04,6.04,1
2008-04-09 00:00:00+05:30,5.74,5.74,5.74,5.74,150
2008-04-10 00:00:00+05:30,5.46,5.46,5.46,5.46,10
2008-04-11 00:00:00+05:30,5.19,5.19,5.19,5.19,1566
2008-04-15 00:00:00+05:30,5.43,5.43,5.43,5.43,1
2008-04-16 00:00:00+05:30,5.4,5.4,5.4,5.4,10
2008-04-17 00:00:00+05:30,5.67,5.67,5.67,5.67,1
2008-04-21 00:00:00+05:30,5.39,5.9,5.39,5.9,201
2008-04-22 00:00:00+05:30,5.95,6.18,5.95,5.98,1150
2008-04-24 00:00:00+05:30,6.24,6.24,5.69,5.96,11
2008-04-30 00:00:00+05:30,6.23,6.23,6.21,6.21,2
2008-05-02 00:00:00+05:30,6.5,6.5,6.5,6.5,1
2008-05-05 00:00:00+05:30,6.8,6.8,6.77,6.77,2
2008-05-06 00:00:00+05:30,7.09,7.09,7.09,7.09,1
2008-05-07 00:00:00+05:30,7.09,7.09,6.74,6.74,2
2008-05-08 00:00:00+05:30,6.74,6.74,6.74,6.74,1
2008-05-09 00:00:00+05:30,7.04,7.04,6.98,6.98,2
2008-05-12 00:00:00+05:30,6.65,6.65,6.65,6.65,700
2008-05-15 00:00:00+05:30,6.94,6.94,6.94,6.94,50
2008-05-22 00:00:00+05:30,7.25,7.25,7.25,7.25,1
2008-05-23 00:00:00+05:30,6.89,6.89,6.89,6.89,100
2008-05-30 00:00:00+05:30,7.0,7.0,7.0,7.0,1
2008-06-02 00:00:00+05:30,7.35,7.35,7.35,7.35,1
2008-06-04 00:00:00+05:30,7.71,7.71,7.71,7.71,1
2008-06-06 00:00:00+05:30,7.95,7.95,7.95,7.95,1
2008-06-11 00:00:00+05:30,8.34,8.34,8.34,8.34,1
2008-06-13 00:00:00+05:30,7.93,7.93,7.93,7.93,1
2008-06-16 00:00:00+05:30,8.27,8.27,7.54,7.54,2
2008-06-17 00:00:00+05:30,7.91,7.91,7.17,7.17,3
2008-06-26 00:00:00+05:30,7.52,7.52,7.52,7.52,10
2008-06-27 00:00:00+05:30,7.15,7.15,7.15,7.15,1
2008-07-01 00:00:00+05:30,6.8,6.8,6.8,6.8,1
2008-07-02 00:00:00+05:30,6.47,6.47,6.47,6.47,150
2008-07-03 00:00:00+05:30,6.15,6.15,6.15,6.15,1
2008-07-08 00:00:00+05:30,5.85,5.85,5.85,5.85,1
2008-07-22 00:00:00+05:30,6.11,6.11,6.11,6.11,1
2008-07-23 00:00:00+05:30,6.4,6.4,6.37,6.37,11
2008-07-24 00:00:00+05:30,6.68,6.68,6.68,6.68,5
2008-07-25 00:00:00+05:30,6.99,6.99,6.95,6.95,201
2008-07-28 00:00:00+05:30,7.25,7.25,7.25,7.25,100
2008-07-29 00:00:00+05:30,6.9,6.9,6.9,6.9,100
2008-08-01 00:00:00+05:30,7.23,7.23,7.23,7.23,5
2008-08-04 00:00:00+05:30,7.45,7.45,7.45,7.45,50
2008-08-06 00:00:00+05:30,7.75,7.75,7.45,7.45,301
2008-08-08 00:00:00+05:30,7.8,7.8,7.44,7.44,6
2008-08-11 00:00:00+05:30,7.8,7.8,7.8,7.8,5
2008-08-12 00:00:00+05:30,7.95,7.95,7.95,7.95,1
2008-08-13 00:00:00+05:30,8.28,8.28,8.28,8.28,5
2008-08-25 00:00:00+05:30,7.88,7.88,7.88,7.88,1
2008-08-26 00:00:00+05:30,8.27,8.27,7.49,7.49,211
2008-08-27 00:00:00+05:30,7.86,7.86,7.12,7.12,3
2008-08-28 00:00:00+05:30,6.77,6.77,6.77,6.77,600
2008-08-29 00:00:00+05:30,6.44,6.44,6.44,6.44,500
2008-09-04 00:00:00+05:30,6.13,6.44,6.12,6.12,350
2008-09-08 00:00:00+05:30,6.0,6.38,5.82,5.82,502
2008-09-10 00:00:00+05:30,5.53,6.09,5.53,5.54,2153
2008-09-11 00:00:00+05:30,5.27,5.53,5.27,5.27,61
2008-09-12 00:00:00+05:30,5.01,5.01,5.01,5.01,500
2008-09-15 00:00:00+05:30,4.76,4.76,4.76,4.76,1050
2008-09-16 00:00:00+05:30,4.53,4.54,4.53,4.54,250
2008-09-17 00:00:00+05:30,4.32,4.32,4.32,4.32,50
2008-09-18 00:00:00+05:30,4.11,4.11,4.11,4.11,2750
2008-09-19 00:00:00+05:30,3.95,3.95,3.91,3.91,690
2008-09-22 00:00:00+05:30,4.09,4.09,4.09,4.09,1
2008-09-23 00:00:00+05:30,3.89,4.26,3.89,3.9,77
2008-09-24 00:00:00+05:30,4.08,4.08,3.71,3.71,310
2008-09-25 00:00:00+05:30,3.53,3.53,3.53,3.53,1194
2008-09-26 00:00:00+05:30,3.37,3.37,3.36,3.36,372
2008-09-29 00:00:00+05:30,3.3,3.3,3.3,3.3,300
2008-10-03 00:00:00+05:30,3.46,3.46,3.46,3.46,299
2008-10-15 00:00:00+05:30,3.29,3.29,3.29,3.29,50
2008-10-21 00:00:00+05:30,3.45,3.45,3.45,3.45,55
2008-11-03 00:00:00+05:30,3.6,3.6,3.6,3.6,45
2008-11-10 00:00:00+05:30,3.43,3.43,3.43,3.43,400
2008-12-19 00:00:00+05:30,3.3,3.3,3.3,3.3,150
2008-12-24 00:00:00+05:30,3.2,3.2,3.2,3.2,150
2009-01-01 00:00:00+05:30,3.36,3.36,3.36,3.36,500
2009-01-02 00:00:00+05:30,3.21,3.3,3.21,3.3,199
2009-01-06 00:00:00+05:30,3.46,3.46,3.15,3.15,1100
2009-01-07 00:00:00+05:30,3.0,3.0,3.0,3.0,735
2009-01-13 00:00:00+05:30,2.86,2.86,2.86,2.86,1000
