date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,134.89,136.46,132.24,133.33,69595
2008-01-02 00:00:00+05:30,134.89,136.6,130.38,131.67,84234
2008-01-03 00:00:00+05:30,130.24,149.09,129.58,145.34,979491
2008-01-04 00:00:00+05:30,149.09,150.75,135.75,137.84,601560
2008-01-07 00:00:00+05:30,137.84,148.09,133.99,141.87,524234
2008-01-08 00:00:00+05:30,143.67,145.34,133.09,134.61,222239
2008-01-09 00:00:00+05:30,133.99,138.41,131.29,132.14,140585
2008-01-10 00:00:00+05:30,131.95,136.22,123.08,124.17,131175
2008-01-11 00:00:00+05:30,125.88,125.92,116.76,118.38,95846
2008-01-14 00:00:00+05:30,120.13,125.5,116.48,122.41,67642
2008-01-15 00:00:00+05:30,124.12,130.38,122.89,123.79,95504
2008-01-16 00:00:00+05:30,122.46,122.46,115.43,118.61,43385
2008-01-17 00:00:00+05:30,119.8,122.46,118.09,119.47,47702
2008-01-18 00:00:00+05:30,115.43,120.7,110.92,113.39,47612
2008-01-21 00:00:00+05:30,109.17,110.92,90.75,90.89,57214
2008-01-22 00:00:00+05:30,88.76,88.76,72.76,75.94,33387
2008-01-23 00:00:00+05:30,82.54,83.54,76.75,82.35,79986
2008-01-24 00:00:00+05:30,90.47,90.56,74.52,78.51,60831
2008-01-25 00:00:00+05:30,80.78,86.15,80.74,85.1,45738
2008-01-28 00:00:00+05:30,82.54,86.62,82.54,84.15,26887
2008-01-29 00:00:00+05:30,92.27,92.27,86.05,89.33,43522
2008-01-30 00:00:00+05:30,86.15,91.18,85.2,86.24,19982
2008-01-31 00:00:00+05:30,86.95,88.52,81.64,83.16,16263
2008-02-01 00:00:00+05:30,85.91,86.01,82.68,83.73,9964
2008-02-04 00:00:00+05:30,85.2,89.61,85.2,86.77,43213
2008-02-05 00:00:00+05:30,87.86,92.75,85.72,90.51,50674
2008-02-06 00:00:00+05:30,88.57,89.28,85.2,88.09,26199
2008-02-07 00:00:00+05:30,92.27,92.46,86.05,86.62,36856
2008-02-08 00:00:00+05:30,86.95,87.86,79.93,82.45,28257
2008-02-11 00:00:00+05:30,79.88,82.87,75.42,76.75,13043
2008-02-12 00:00:00+05:30,78.98,79.88,69.2,71.05,20461
2008-02-13 00:00:00+05:30,71.43,73.52,67.87,69.96,18996
2008-02-14 00:00:00+05:30,72.76,75.04,72.76,73.95,27536
2008-02-15 00:00:00+05:30,74.42,77.98,72.0,76.75,29000
2008-02-18 00:00:00+05:30,78.46,84.2,76.75,81.31,32305
2008-02-19 00:00:00+05:30,82.54,86.77,80.97,82.21,28650
2008-02-20 00:00:00+05:30,80.74,82.4,76.84,78.55,21674
2008-02-21 00:00:00+05:30,81.21,81.54,78.55,79.98,26661
2008-02-22 00:00:00+05:30,75.42,79.69,75.42,77.79,7757
2008-02-25 00:00:00+05:30,79.22,79.88,75.47,76.37,8731
2008-02-26 00:00:00+05:30,75.71,78.55,75.47,76.56,11295
2008-02-27 00:00:00+05:30,78.7,84.15,77.98,80.88,66753
2008-02-28 00:00:00+05:30,82.07,84.11,79.93,80.88,15744
2008-02-29 00:00:00+05:30,82.16,84.58,77.75,79.6,37685
2008-03-03 00:00:00+05:30,73.29,77.98,72.05,72.95,13889
2008-03-04 00:00:00+05:30,73.33,76.28,67.92,69.11,30242
2008-03-05 00:00:00+05:30,73.14,73.14,65.22,65.98,20280
2008-03-07 00:00:00+05:30,62.99,63.89,59.43,60.85,34913
2008-03-10 00:00:00+05:30,59.47,59.47,52.35,54.35,54583
2008-03-11 00:00:00+05:30,54.2,61.23,54.2,60.37,51729
2008-03-12 00:00:00+05:30,63.89,66.12,60.8,61.75,23604
2008-03-13 00:00:00+05:30,58.62,60.33,55.91,57.1,14941
2008-03-14 00:00:00+05:30,55.01,58.14,54.63,57.1,15968
2008-03-17 00:00:00+05:30,54.63,56.72,49.7,51.36,25740
2008-03-18 00:00:00+05:30,50.69,53.87,49.03,51.59,19330
2008-03-19 00:00:00+05:30,53.68,55.91,47.18,47.84,24865
2008-03-24 00:00:00+05:30,48.65,53.16,43.48,44.81,31252
2008-03-25 00:00:00+05:30,44.57,47.94,43.9,47.37,29325
2008-03-26 00:00:00+05:30,47.94,49.32,46.14,47.04,45397
2008-03-27 00:00:00+05:30,43.9,46.33,39.25,42.05,76079
2008-03-28 00:00:00+05:30,45.57,50.45,44.43,50.45,71881
2008-03-31 00:00:00+05:30,60.52,60.52,51.83,60.52,125329
2008-04-01 00:00:00+05:30,68.35,72.57,66.88,72.57,390531
2008-04-02 00:00:00+05:30,78.55,79.84,76.99,79.84,341614
2008-04-03 00:00:00+05:30,83.25,83.25,72.34,75.14,372521
2008-04-04 00:00:00+05:30,71.05,74.47,69.2,71.24,112217
2008-04-07 00:00:00+05:30,71.34,77.18,67.49,73.52,128822
2008-04-08 00:00:00+05:30,74.42,74.47,71.34,72.53,40793
2008-04-09 00:00:00+05:30,71.2,76.18,68.68,73.14,59384
2008-04-10 00:00:00+05:30,73.81,74.09,71.48,71.91,42803
2008-04-11 00:00:00+05:30,72.38,74.04,67.45,69.06,37691
2008-04-15 00:00:00+05:30,72.67,72.67,67.68,70.29,23047
2008-04-16 00:00:00+05:30,71.43,73.66,71.1,71.77,52261
2008-04-17 00:00:00+05:30,73.57,78.51,70.29,76.23,230383
2008-04-21 00:00:00+05:30,77.94,79.69,74.57,75.28,47470
2008-04-22 00:00:00+05:30,73.66,75.42,71.86,73.24,15944
2008-04-23 00:00:00+05:30,71.72,73.76,69.63,71.81,14177
2008-04-24 00:00:00+05:30,71.86,71.86,68.35,69.3,12432
2008-04-25 00:00:00+05:30,69.2,71.01,65.83,68.3,11183
2008-04-28 00:00:00+05:30,68.25,71.34,67.45,69.06,6181
2008-04-29 00:00:00+05:30,71.01,71.01,67.45,68.59,8469
2008-04-30 00:00:00+05:30,67.54,70.91,67.45,69.58,22437
2008-05-02 00:00:00+05:30,69.68,71.86,67.87,70.15,11888
2008-05-05 00:00:00+05:30,71.01,71.01,67.02,67.73,9339
2008-05-06 00:00:00+05:30,69.2,69.2,66.55,66.92,9693
2008-05-07 00:00:00+05:30,66.55,68.25,64.84,65.83,9678
2008-05-08 00:00:00+05:30,63.89,65.69,63.03,65.12,8375
2008-05-09 00:00:00+05:30,67.07,67.07,62.13,62.18,10262
2008-05-12 00:00:00+05:30,59.19,61.28,59.19,60.0,6486
2008-05-13 00:00:00+05:30,60.71,62.94,60.71,62.75,16086
2008-05-14 00:00:00+05:30,62.84,62.84,59.62,60.23,6986
2008-05-15 00:00:00+05:30,61.18,62.8,60.33,61.51,6802
2008-05-16 00:00:00+05:30,64.6,64.6,60.52,62.18,14092
2008-05-20 00:00:00+05:30,63.84,63.98,62.08,63.65,8386
2008-05-21 00:00:00+05:30,63.03,64.79,62.56,64.74,15498
2008-05-22 00:00:00+05:30,64.98,64.98,62.18,62.8,8465
2008-05-23 00:00:00+05:30,61.94,63.6,61.28,61.51,7772
2008-05-26 00:00:00+05:30,58.62,61.47,58.62,59.95,6398
2008-05-27 00:00:00+05:30,57.86,62.84,57.81,59.95,6510
2008-05-28 00:00:00+05:30,62.13,62.13,58.52,59.76,5166
2008-05-29 00:00:00+05:30,59.24,61.23,57.67,59.47,7076
2008-05-30 00:00:00+05:30,60.75,61.13,58.33,58.67,7105
2008-06-02 00:00:00+05:30,57.76,60.71,56.01,57.05,9358
2008-06-03 00:00:00+05:30,56.81,56.81,54.35,55.68,10139
2008-06-04 00:00:00+05:30,55.96,55.96,52.92,53.11,5307
2008-06-05 00:00:00+05:30,55.3,55.3,51.69,53.26,5517
2008-06-06 00:00:00+05:30,55.91,55.91,53.35,53.73,4055
2008-06-09 00:00:00+05:30,52.35,53.26,51.07,51.07,4796
2008-06-10 00:00:00+05:30,52.78,53.26,48.6,49.41,6150
2008-06-11 00:00:00+05:30,50.6,51.88,48.89,51.31,6994
2008-06-12 00:00:00+05:30,50.6,53.26,49.36,51.97,5023
2008-06-13 00:00:00+05:30,52.88,54.54,52.88,54.54,6481
2008-06-16 00:00:00+05:30,57.19,57.24,55.06,57.24,11011
2008-06-17 00:00:00+05:30,58.19,60.09,58.19,60.09,6816
2008-06-18 00:00:00+05:30,62.99,63.03,57.67,59.9,19782
2008-06-19 00:00:00+05:30,61.13,61.13,56.96,57.38,5270
2008-06-20 00:00:00+05:30,57.43,58.9,54.54,54.54,4150
2008-06-23 00:00:00+05:30,51.88,52.35,51.83,51.83,3970
2008-06-24 00:00:00+05:30,49.27,50.98,49.27,49.36,4617
2008-06-26 00:00:00+05:30,49.84,52.54,49.7,50.55,8021
2008-06-27 00:00:00+05:30,48.98,50.6,48.03,49.03,5736
2008-06-30 00:00:00+05:30,47.99,48.6,46.61,46.61,3756
2008-07-01 00:00:00+05:30,45.23,46.14,44.33,44.33,5949
2008-07-02 00:00:00+05:30,45.23,46.52,42.15,45.9,9885
2008-07-03 00:00:00+05:30,45.23,45.23,43.62,43.67,3466
2008-07-04 00:00:00+05:30,44.38,45.19,43.48,44.52,5145
2008-07-07 00:00:00+05:30,47.04,48.94,47.04,48.94,6862
2008-07-08 00:00:00+05:30,49.7,51.83,46.52,50.69,11149
2008-07-09 00:00:00+05:30,51.55,55.01,51.45,52.4,9524
2008-07-10 00:00:00+05:30,51.07,53.16,49.98,50.74,6784
2008-07-11 00:00:00+05:30,49.32,51.88,49.32,49.98,6214
2008-07-14 00:00:00+05:30,50.07,50.12,47.27,48.84,5404
2008-07-15 00:00:00+05:30,46.61,47.42,44.09,44.43,14471
2008-07-16 00:00:00+05:30,44.66,46.61,42.58,43.1,5119
2008-07-17 00:00:00+05:30,45.23,47.32,42.96,43.9,5029
2008-07-18 00:00:00+05:30,43.57,44.81,43.57,44.57,4032
2008-07-21 00:00:00+05:30,47.94,48.56,43.9,44.47,7367
2008-07-22 00:00:00+05:30,45.23,48.89,44.62,48.41,13701
2008-07-23 00:00:00+05:30,51.45,53.26,51.45,53.26,24538
2008-07-24 00:00:00+05:30,57.57,57.57,50.83,52.02,18110
2008-07-25 00:00:00+05:30,48.79,54.11,48.79,51.59,20949
2008-07-28 00:00:00+05:30,53.49,55.01,53.35,54.25,12294
2008-07-29 00:00:00+05:30,49.93,54.01,49.93,50.64,7224
2008-07-30 00:00:00+05:30,50.6,55.01,50.6,53.87,12325
2008-07-31 00:00:00+05:30,54.25,55.49,52.54,52.92,9739
2008-08-01 00:00:00+05:30,52.35,57.43,52.35,52.92,37070
2008-08-04 00:00:00+05:30,52.12,55.01,52.12,54.2,14924
2008-08-05 00:00:00+05:30,54.63,58.57,54.11,57.34,23302
2008-08-06 00:00:00+05:30,59.0,59.0,54.11,54.73,19589
2008-08-07 00:00:00+05:30,53.87,56.01,53.87,55.34,12639
2008-08-08 00:00:00+05:30,56.34,56.34,53.21,53.87,13377
2008-08-11 00:00:00+05:30,56.72,56.72,53.97,54.77,21190
2008-08-12 00:00:00+05:30,53.87,54.77,52.78,53.16,10728
2008-08-13 00:00:00+05:30,52.45,54.87,52.45,53.44,9470
2008-08-14 00:00:00+05:30,53.26,53.26,51.02,51.36,7919
2008-08-18 00:00:00+05:30,52.07,52.07,49.98,50.22,5064
2008-08-19 00:00:00+05:30,50.07,51.45,49.27,50.6,5041
2008-08-20 00:00:00+05:30,50.6,51.4,49.32,50.26,7164
2008-08-21 00:00:00+05:30,50.93,52.73,50.6,50.88,15417
2008-08-22 00:00:00+05:30,51.12,51.83,50.12,50.69,14645
2008-08-25 00:00:00+05:30,51.45,52.35,48.84,49.7,9781
2008-08-26 00:00:00+05:30,49.32,49.98,48.79,49.17,3763
2008-08-27 00:00:00+05:30,49.03,50.74,48.46,49.93,5048
2008-08-28 00:00:00+05:30,49.7,49.93,47.46,47.94,5027
2008-08-29 00:00:00+05:30,49.36,49.36,47.99,48.32,6028
2008-09-01 00:00:00+05:30,46.61,49.55,46.14,47.94,9372
2008-09-02 00:00:00+05:30,48.79,48.94,47.94,48.27,8397
2008-09-04 00:00:00+05:30,48.79,48.79,47.56,47.8,8750
