date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,30.35,30.35,30.35,30.35,28179
2008-01-02 00:00:00+05:30,31.85,31.85,31.85,31.85,231871
2008-01-03 00:00:00+05:30,33.4,33.4,32.9,33.4,159902
2008-01-04 00:00:00+05:30,35.04,35.04,31.75,33.79,315745
2008-01-07 00:00:00+05:30,35.45,35.45,32.15,33.29,323965
2008-01-08 00:00:00+05:30,33.04,34.95,31.65,31.65,177135
2008-01-09 00:00:00+05:30,30.1,30.1,30.1,30.1,9732
2008-01-10 00:00:00+05:30,28.6,28.6,28.6,28.6,18890
2008-01-11 00:00:00+05:30,27.2,27.2,27.2,27.2,7381
2008-01-14 00:00:00+05:30,25.85,28.55,25.85,26.15,125694
2008-01-15 00:00:00+05:30,26.25,26.8,24.9,25.05,92825
2008-01-16 00:00:00+05:30,23.85,25.0,23.8,23.8,100145
2008-01-17 00:00:00+05:30,24.85,24.95,23.1,24.95,68923
2008-01-18 00:00:00+05:30,26.15,26.15,24.2,25.05,77002
2008-01-21 00:00:00+05:30,26.3,26.3,23.8,24.0,46647
2008-01-22 00:00:00+05:30,22.85,22.85,22.85,22.85,625
2008-01-23 00:00:00+05:30,21.75,21.75,21.75,21.75,10683
2008-01-24 00:00:00+05:30,20.7,21.2,20.7,20.7,39650
2008-01-25 00:00:00+05:30,19.7,19.7,19.7,19.7,9445
2008-01-28 00:00:00+05:30,18.75,20.0,18.75,18.75,36046
2008-01-29 00:00:00+05:30,19.5,19.64,19.5,19.64,11585
2008-01-30 00:00:00+05:30,20.6,20.6,20.6,20.6,14050
2008-01-31 00:00:00+05:30,21.6,21.6,21.6,21.6,65481
2008-02-01 00:00:00+05:30,22.65,22.65,22.65,22.65,18151
2008-02-04 00:00:00+05:30,23.75,23.75,23.75,23.75,7650
2008-02-05 00:00:00+05:30,24.9,24.9,24.9,24.9,7501
2008-02-06 00:00:00+05:30,26.1,26.1,23.7,25.5,95150
2008-02-07 00:00:00+05:30,25.75,26.75,24.5,25.6,89829
2008-02-08 00:00:00+05:30,24.8,26.6,24.35,24.35,15121
2008-02-11 00:00:00+05:30,23.15,24.35,23.15,23.15,27150
2008-02-12 00:00:00+05:30,22.0,23.05,22.0,22.0,19932
2008-02-13 00:00:00+05:30,20.95,23.1,20.95,22.25,69961
2008-02-14 00:00:00+05:30,22.0,23.0,21.15,22.5,65380
2008-02-15 00:00:00+05:30,23.0,23.6,22.95,23.6,52332
2008-02-18 00:00:00+05:30,24.75,24.75,23.3,24.0,52814
2008-02-19 00:00:00+05:30,24.65,24.65,23.15,24.45,36663
2008-02-20 00:00:00+05:30,23.5,24.85,23.3,24.35,38819
2008-02-21 00:00:00+05:30,24.4,25.2,23.4,24.9,42295
2008-02-22 00:00:00+05:30,23.95,25.0,23.7,23.8,40512
2008-02-25 00:00:00+05:30,23.0,23.5,22.65,22.65,16383
2008-02-26 00:00:00+05:30,21.6,23.45,21.6,23.25,47330
2008-02-27 00:00:00+05:30,23.0,24.0,22.7,23.9,38302
2008-02-28 00:00:00+05:30,23.85,24.2,22.75,23.7,41376
2008-02-29 00:00:00+05:30,23.2,24.5,22.55,23.35,45224
2008-03-03 00:00:00+05:30,22.2,24.1,22.2,22.2,59475
2008-03-04 00:00:00+05:30,22.95,23.1,22.2,22.95,87947
2008-03-05 00:00:00+05:30,22.1,22.85,21.85,21.85,29290
2008-03-07 00:00:00+05:30,20.8,20.8,20.8,20.8,3001
2008-03-10 00:00:00+05:30,21.5,21.5,18.75,18.75,7700
2008-03-11 00:00:00+05:30,17.1,19.0,17.1,18.75,39627
2008-03-12 00:00:00+05:30,20.1,20.6,18.0,18.35,18300
2008-03-13 00:00:00+05:30,17.14,17.89,16.55,16.85,20798
