date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,248.1,250.0,240.0,243.15,17321
2008-01-02 00:00:00+05:30,238.1,243.0,228.1,236.8,14999
2008-01-03 00:00:00+05:30,239.0,239.0,231.0,232.9,8253
2008-01-04 00:00:00+05:30,232.05,238.0,225.25,227.0,11032
2008-01-07 00:00:00+05:30,227.1,233.0,220.0,221.75,8667
2008-01-08 00:00:00+05:30,235.85,235.85,210.5,215.15,10317
2008-01-09 00:00:00+05:30,200.0,242.9,200.0,233.55,30567
2008-01-10 00:00:00+05:30,240.0,240.0,215.0,217.2,14235
2008-01-11 00:00:00+05:30,214.05,217.0,206.6,212.45,6649
2008-01-14 00:00:00+05:30,214.0,217.95,207.0,209.95,6602
2008-01-15 00:00:00+05:30,206.05,225.0,206.0,210.8,42103
2008-01-16 00:00:00+05:30,215.0,215.0,205.05,208.45,5656
2008-01-17 00:00:00+05:30,212.0,214.8,209.0,210.25,3799
2008-01-18 00:00:00+05:30,208.0,212.0,207.0,207.9,9889
2008-01-21 00:00:00+05:30,197.0,201.0,177.0,180.2,8839
2008-01-22 00:00:00+05:30,181.95,184.0,144.5,152.55,4845
2008-01-23 00:00:00+05:30,161.0,178.5,152.05,154.9,9762
2008-01-24 00:00:00+05:30,159.0,175.0,155.25,163.0,6239
2008-01-25 00:00:00+05:30,167.0,167.0,157.44,159.44,6575
2008-01-28 00:00:00+05:30,174.0,174.0,150.5,163.44,3031
2008-01-29 00:00:00+05:30,158.0,165.05,155.0,161.0,15506
2008-01-30 00:00:00+05:30,162.0,165.0,157.0,161.44,4379
2008-01-31 00:00:00+05:30,150.0,160.0,150.0,154.6,4007
2008-02-01 00:00:00+05:30,168.5,168.5,147.1,148.4,46364
2008-02-04 00:00:00+05:30,161.69,162.0,152.0,160.65,3031
2008-02-05 00:00:00+05:30,162.0,176.7,159.9,174.45,15299
2008-02-06 00:00:00+05:30,170.0,179.0,165.35,178.2,4430
2008-02-07 00:00:00+05:30,172.15,188.5,172.15,175.1,15139
2008-02-08 00:00:00+05:30,175.0,175.9,161.15,168.95,12235
2008-02-11 00:00:00+05:30,165.0,165.0,156.0,158.19,10531
2008-02-12 00:00:00+05:30,153.25,158.9,153.1,155.35,3471
2008-02-13 00:00:00+05:30,156.0,160.9,151.1,154.05,7636
2008-02-14 00:00:00+05:30,150.0,158.69,150.0,157.75,2935
2008-02-15 00:00:00+05:30,156.05,165.0,156.05,164.85,1929
2008-02-18 00:00:00+05:30,165.0,171.95,159.0,161.05,5239
2008-02-19 00:00:00+05:30,158.0,168.65,158.0,162.0,2452
2008-02-20 00:00:00+05:30,138.0,164.0,138.0,159.94,1379
2008-02-21 00:00:00+05:30,160.55,166.55,160.0,161.15,1473
2008-02-22 00:00:00+05:30,163.0,163.0,158.35,160.05,2032
2008-02-25 00:00:00+05:30,161.85,161.85,159.5,159.5,1457
2008-02-26 00:00:00+05:30,159.5,160.5,158.94,159.0,3050
2008-02-27 00:00:00+05:30,159.0,161.3,158.0,158.05,2488
2008-02-28 00:00:00+05:30,160.0,163.0,153.3,159.5,5722
2008-02-29 00:00:00+05:30,155.19,159.69,153.05,157.9,1056
2008-03-03 00:00:00+05:30,155.0,165.0,140.0,145.85,16506
2008-03-04 00:00:00+05:30,152.0,152.0,140.05,141.44,8079
2008-03-05 00:00:00+05:30,153.44,153.5,140.0,141.15,4002
2008-03-07 00:00:00+05:30,130.0,143.0,126.55,130.85,9576
2008-03-10 00:00:00+05:30,132.0,133.9,125.0,130.9,13900
2008-03-11 00:00:00+05:30,130.25,142.94,130.25,139.05,7636
2008-03-12 00:00:00+05:30,144.9,144.9,131.1,134.25,3002
2008-03-13 00:00:00+05:30,125.05,141.0,125.05,129.85,5648
2008-03-14 00:00:00+05:30,139.0,139.0,127.5,128.5,2708
2008-03-17 00:00:00+05:30,137.5,137.5,121.0,123.9,22096
2008-03-18 00:00:00+05:30,126.0,130.85,120.0,121.05,4586
2008-03-19 00:00:00+05:30,120.25,132.0,120.25,130.94,33642
2008-03-24 00:00:00+05:30,122.5,136.0,116.65,117.6,24821
2008-03-25 00:00:00+05:30,133.0,133.0,121.45,128.9,433458
2008-03-26 00:00:00+05:30,130.0,131.0,129.44,130.3,1997
2008-03-27 00:00:00+05:30,126.05,132.4,126.0,128.4,9628
2008-03-28 00:00:00+05:30,130.0,139.9,127.95,138.5,7100
2008-03-31 00:00:00+05:30,139.9,139.9,130.1,133.05,3064
2008-04-01 00:00:00+05:30,134.94,136.65,130.3,135.5,841
2008-04-02 00:00:00+05:30,136.25,137.0,132.0,134.9,1847
2008-04-03 00:00:00+05:30,132.19,134.4,129.0,130.1,3652
2008-04-04 00:00:00+05:30,130.55,130.55,128.6,129.0,1080
2008-04-07 00:00:00+05:30,136.94,137.0,132.0,134.94,1494
2008-04-08 00:00:00+05:30,131.0,133.0,125.2,128.1,3789
2008-04-09 00:00:00+05:30,130.0,135.0,130.0,134.75,1655
2008-04-10 00:00:00+05:30,135.0,136.8,133.5,135.75,4562
2008-04-11 00:00:00+05:30,136.0,136.0,134.0,134.19,1167
2008-04-15 00:00:00+05:30,134.25,140.55,134.0,137.5,2738
2008-04-16 00:00:00+05:30,135.1,140.85,135.1,138.0,471
2008-04-17 00:00:00+05:30,139.94,141.0,138.15,139.65,2194
2008-04-21 00:00:00+05:30,138.0,147.9,137.1,144.55,2809
2008-04-22 00:00:00+05:30,145.0,150.94,142.5,147.19,3973
2008-04-23 00:00:00+05:30,146.55,152.75,145.55,149.15,4209
2008-04-24 00:00:00+05:30,147.05,152.44,145.25,145.4,3218
2008-04-25 00:00:00+05:30,148.05,153.0,147.55,150.05,5297
2008-04-28 00:00:00+05:30,148.55,165.0,148.5,159.1,26228
2008-04-29 00:00:00+05:30,157.6,159.0,154.05,156.05,3647
2008-04-30 00:00:00+05:30,155.0,160.0,151.0,151.85,9229
2008-05-02 00:00:00+05:30,152.05,156.0,151.69,155.6,1457
