date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,8.92,8.92,8.92,8.92,4500
2008-01-02 00:00:00+05:30,9.36,9.36,9.36,9.36,16490
2008-01-03 00:00:00+05:30,9.82,9.82,9.82,9.82,4400
2008-01-04 00:00:00+05:30,10.31,10.31,10.31,10.31,12750
2008-01-07 00:00:00+05:30,10.82,10.82,10.82,10.82,7818
2008-01-08 00:00:00+05:30,11.36,11.36,10.28,10.82,108372
2008-01-09 00:00:00+05:30,10.82,10.82,10.28,10.28,6400
2008-01-10 00:00:00+05:30,9.77,9.77,9.77,9.77,8483
2008-01-11 00:00:00+05:30,9.28,9.28,9.28,9.28,1200
2008-01-14 00:00:00+05:30,8.83,8.83,8.83,8.83,100
2008-01-15 00:00:00+05:30,8.39,8.6,8.39,8.39,26700
2008-01-16 00:00:00+05:30,8.1,8.1,7.98,7.98,2000
2008-01-17 00:00:00+05:30,7.59,8.05,7.59,7.99,9650
2008-01-18 00:00:00+05:30,8.03,8.38,7.6,7.6,4761
2008-01-21 00:00:00+05:30,7.9,7.9,7.9,7.9,1
2008-01-23 00:00:00+05:30,7.51,7.51,7.51,7.51,139
2008-01-28 00:00:00+05:30,7.14,7.14,7.14,7.14,25
2008-01-29 00:00:00+05:30,6.79,6.79,6.79,6.79,5
2008-01-30 00:00:00+05:30,6.46,6.46,6.46,6.46,500
2008-02-01 00:00:00+05:30,6.14,6.14,6.14,6.14,1000
2008-02-04 00:00:00+05:30,6.43,6.43,5.84,5.84,840
2008-02-05 00:00:00+05:30,6.13,6.13,5.55,5.86,2839
2008-02-06 00:00:00+05:30,6.1,6.1,6.1,6.1,600
2008-02-07 00:00:00+05:30,6.4,6.4,5.8,5.9,1451
2008-02-08 00:00:00+05:30,6.0,6.0,6.0,6.0,1000
2008-02-12 00:00:00+05:30,5.95,5.95,5.95,5.95,1
2008-02-14 00:00:00+05:30,5.66,5.66,5.66,5.66,50
2008-02-15 00:00:00+05:30,5.8,5.8,5.38,5.38,600
2008-02-18 00:00:00+05:30,5.12,5.12,5.12,5.12,711
2008-02-19 00:00:00+05:30,5.09,5.25,4.87,5.03,3151
2008-02-20 00:00:00+05:30,5.03,5.03,4.78,4.78,1000
2008-02-21 00:00:00+05:30,4.8,4.8,4.55,4.55,2605
2008-02-22 00:00:00+05:30,4.34,4.34,4.34,4.34,50
2008-02-25 00:00:00+05:30,4.34,4.34,4.34,4.34,100
2008-02-26 00:00:00+05:30,4.25,4.25,4.13,4.13,3600
2008-02-27 00:00:00+05:30,4.0,4.13,4.0,4.05,2300
2008-02-28 00:00:00+05:30,3.95,3.95,3.87,3.95,1962
2008-03-03 00:00:00+05:30,3.76,3.76,3.76,3.76,1459
2008-03-05 00:00:00+05:30,3.58,3.59,3.58,3.58,1821
2008-03-07 00:00:00+05:30,3.75,3.75,3.41,3.41,750
2008-03-10 00:00:00+05:30,3.5,3.5,3.5,3.5,900
2008-03-11 00:00:00+05:30,3.33,3.33,3.33,3.33,300
2008-03-12 00:00:00+05:30,3.2,3.21,3.2,3.21,300
2008-03-13 00:00:00+05:30,3.06,3.06,3.05,3.05,1250
2008-03-14 00:00:00+05:30,3.0,3.0,2.9,2.9,2200
2008-03-18 00:00:00+05:30,2.76,2.9,2.76,2.9,1400
2008-03-19 00:00:00+05:30,2.76,2.76,2.76,2.76,800
2008-03-24 00:00:00+05:30,2.76,2.76,2.76,2.76,100
2008-03-25 00:00:00+05:30,2.63,2.63,2.63,2.63,3350
2008-03-26 00:00:00+05:30,2.7,2.76,2.5,2.5,4151
2008-03-27 00:00:00+05:30,2.38,2.62,2.38,2.62,2799
2008-03-28 00:00:00+05:30,2.75,2.75,2.75,2.75,1000
2008-03-31 00:00:00+05:30,2.86,2.88,2.86,2.88,1001
2008-04-01 00:00:00+05:30,3.0,3.02,3.0,3.02,612
2008-04-02 00:00:00+05:30,3.17,3.17,3.17,3.17,1049
2008-04-03 00:00:00+05:30,3.31,3.32,3.31,3.31,1512
2008-04-04 00:00:00+05:30,3.47,3.47,3.41,3.41,1049
2008-04-07 00:00:00+05:30,3.58,3.58,3.58,3.58,600
2008-04-08 00:00:00+05:30,3.75,3.75,3.75,3.75,1400
2008-04-09 00:00:00+05:30,3.92,3.92,3.92,3.92,200
2008-04-10 00:00:00+05:30,4.09,4.11,3.92,3.92,1100
2008-04-11 00:00:00+05:30,3.96,4.0,3.9,4.0,650
2008-04-16 00:00:00+05:30,3.82,3.82,3.82,3.82,500
2008-04-17 00:00:00+05:30,3.71,3.71,3.63,3.63,800
2008-04-21 00:00:00+05:30,3.46,3.81,3.45,3.81,10700
2008-04-22 00:00:00+05:30,3.8,4.0,3.62,4.0,5486
2008-04-23 00:00:00+05:30,4.2,4.2,3.82,4.19,3950
2008-04-24 00:00:00+05:30,4.2,4.37,4.0,4.37,2374
2008-04-29 00:00:00+05:30,4.25,4.25,4.25,4.25,1850
2008-04-30 00:00:00+05:30,4.09,4.09,4.04,4.04,2100
2008-05-02 00:00:00+05:30,4.24,4.24,3.85,4.04,3095
2008-05-05 00:00:00+05:30,3.84,3.84,3.84,3.84,100
2008-05-06 00:00:00+05:30,3.7,4.0,3.7,4.0,400
2008-05-07 00:00:00+05:30,3.81,3.81,3.81,3.81,1
2008-05-08 00:00:00+05:30,3.68,3.9,3.68,3.9,301
2008-05-09 00:00:00+05:30,3.72,3.72,3.72,3.72,941
2008-05-12 00:00:00+05:30,3.6,3.9,3.59,3.9,2284
2008-05-15 00:00:00+05:30,3.74,3.74,3.74,3.74,300
2008-05-16 00:00:00+05:30,3.56,3.56,3.56,3.56,200
2008-05-21 00:00:00+05:30,3.5,3.51,3.5,3.5,5265
2008-05-22 00:00:00+05:30,3.67,3.67,3.44,3.44,1906
2008-05-23 00:00:00+05:30,3.61,3.61,3.61,3.61,3699
2008-05-27 00:00:00+05:30,3.6,3.6,3.45,3.45,800
