date,open,high,low,close,volume
2025-05-20 00:00:00+05:30,546.45,548.45,529.65,537.0,33151
2025-05-21 00:00:00+05:30,535.7,553.0,531.5,550.95,198414
2025-05-22 00:00:00+05:30,555.0,568.75,544.45,562.45,9019
2025-05-23 00:00:00+05:30,566.6,586.0,566.6,580.25,17778
2025-05-26 00:00:00+05:30,572.35,585.45,558.05,561.15,24762
2025-05-27 00:00:00+05:30,550.05,572.0,550.05,565.7,17169
2025-05-28 00:00:00+05:30,551.1,566.75,544.35,546.4,21464
2025-05-29 00:00:00+05:30,549.15,564.0,548.45,559.05,11784
2025-05-30 00:00:00+05:30,559.0,563.0,550.55,552.4,3665
2025-06-02 00:00:00+05:30,530.2,561.0,530.2,554.8,21899
2025-06-03 00:00:00+05:30,547.25,562.15,547.25,559.75,20432
2025-06-04 00:00:00+05:30,540.15,569.8,540.15,560.6,7426
2025-06-05 00:00:00+05:30,562.35,569.35,560.0,560.8,10170
2025-06-06 00:00:00+05:30,573.55,573.55,558.0,558.9,4314
2025-06-09 00:00:00+05:30,550.0,570.9,550.0,565.7,6330
2025-06-10 00:00:00+05:30,574.1,578.0,567.15,574.15,2822
2025-06-11 00:00:00+05:30,577.1,577.4,557.1,559.05,17915
2025-06-12 00:00:00+05:30,571.05,571.05,551.0,554.05,10986
2025-06-13 00:00:00+05:30,549.7,554.9,541.0,550.9,7297
2025-06-16 00:00:00+05:30,550.1,556.4,544.0,553.25,2885
2025-06-17 00:00:00+05:30,556.95,563.95,547.0,550.0,8878
2025-06-18 00:00:00+05:30,545.0,553.8,543.0,546.25,7484
2025-06-19 00:00:00+05:30,548.0,552.45,537.45,540.55,11518
2025-06-20 00:00:00+05:30,541.0,545.0,535.05,542.75,18149
2025-06-23 00:00:00+05:30,527.05,550.95,527.05,549.15,24796
2025-06-24 00:00:00+05:30,633.85,633.85,548.95,555.0,10048
2025-06-25 00:00:00+05:30,556.05,559.5,545.7,551.6,7190
2025-06-26 00:00:00+05:30,550.05,584.15,546.1,575.8,15888
2025-06-27 00:00:00+05:30,589.95,589.95,569.8,574.55,21481
2025-06-30 00:00:00+05:30,555.55,583.75,555.55,580.3,4822
