date,open,high,low,close,volume
2008-01-18 00:00:00+05:30,8.15,8.15,8.15,8.15,200
2008-02-06 00:00:00+05:30,8.3,8.3,8.3,8.3,200
2008-02-20 00:00:00+05:30,8.45,8.45,8.45,8.45,200
2008-03-03 00:00:00+05:30,8.6,8.6,8.6,8.6,200
2008-03-07 00:00:00+05:30,8.75,8.75,8.75,8.75,400
2008-10-08 00:00:00+05:30,8.3,8.3,8.3,8.3,200
2008-10-14 00:00:00+05:30,7.9,7.9,7.9,7.9,200
2008-12-30 00:00:00+05:30,8.3,8.3,8.3,8.3,180000
2009-01-01 00:00:00+05:30,8.7,8.7,8.7,8.7,2
2009-01-05 00:00:00+05:30,9.1,9.1,9.1,9.1,100000
2009-01-13 00:00:00+05:30,9.55,9.55,9.55,9.55,280400
2009-01-21 00:00:00+05:30,10.05,10.05,10.05,10.05,2
2009-02-02 00:00:00+05:30,10.55,10.55,10.55,10.55,4
2009-02-03 00:00:00+05:30,11.05,11.05,11.05,11.05,159978
2009-02-05 00:00:00+05:30,11.6,11.6,11.6,11.6,2
2009-02-06 00:00:00+05:30,12.2,12.2,12.2,12.2,400
2009-02-19 00:00:00+05:30,12.8,12.8,12.8,12.8,2
2009-02-20 00:00:00+05:30,13.4,13.4,13.4,13.4,4
2009-03-03 00:00:00+05:30,14.05,14.05,14.05,14.05,60000
2009-03-04 00:00:00+05:30,14.75,14.75,14.75,14.75,23592
2009-03-06 00:00:00+05:30,15.5,15.5,15.5,15.5,2
2009-03-09 00:00:00+05:30,16.25,16.25,16.25,16.25,12004
2009-03-12 00:00:00+05:30,17.05,17.05,17.05,17.05,2
2009-03-13 00:00:00+05:30,17.9,17.9,17.9,17.9,4
2009-03-16 00:00:00+05:30,18.8,18.8,18.8,18.8,2
2009-03-18 00:00:00+05:30,20.7,20.7,20.7,20.7,102002
2009-03-19 00:00:00+05:30,21.7,21.7,21.7,21.7,2
2009-03-20 00:00:00+05:30,22.8,22.8,22.8,22.8,2
2009-03-23 00:00:00+05:30,23.9,23.9,23.9,23.9,8000
2009-03-24 00:00:00+05:30,25.1,25.1,25.1,25.1,400
2009-03-26 00:00:00+05:30,27.65,27.65,27.65,27.65,2400
2009-03-27 00:00:00+05:30,29.0,29.0,29.0,29.0,200
2009-03-30 00:00:00+05:30,30.45,30.45,30.45,30.45,800
2009-03-31 00:00:00+05:30,31.95,31.95,31.95,31.95,200
2009-04-13 00:00:00+05:30,33.55,33.55,33.55,33.55,10
2009-04-15 00:00:00+05:30,35.2,35.2,35.2,35.2,50
2009-04-16 00:00:00+05:30,36.95,36.95,36.95,36.95,1800
2009-04-17 00:00:00+05:30,38.8,38.8,38.8,38.8,200
2009-04-21 00:00:00+05:30,40.7,40.7,40.7,40.7,80
2009-04-22 00:00:00+05:30,42.75,42.75,42.75,42.75,10
2009-04-23 00:00:00+05:30,44.85,44.85,44.85,44.85,2634
2009-04-24 00:00:00+05:30,47.1,47.1,47.1,47.1,1210
2009-04-29 00:00:00+05:30,49.45,49.45,49.45,49.45,30
2009-05-04 00:00:00+05:30,51.9,51.9,51.9,51.9,10
2009-05-06 00:00:00+05:30,54.45,54.45,54.45,54.45,10
2009-05-07 00:00:00+05:30,57.15,57.15,57.15,57.15,2
2009-05-08 00:00:00+05:30,60.0,60.0,60.0,60.0,10
2009-05-11 00:00:00+05:30,63.0,63.0,63.0,63.0,4
2009-05-12 00:00:00+05:30,66.15,66.15,66.15,66.15,4
2009-05-13 00:00:00+05:30,69.45,69.45,69.45,69.45,510
2009-05-14 00:00:00+05:30,72.9,72.9,72.9,72.9,410
2009-05-19 00:00:00+05:30,80.35,80.35,80.35,80.35,404
2009-05-20 00:00:00+05:30,84.35,84.35,84.35,84.35,4
2009-05-21 00:00:00+05:30,88.55,88.55,88.55,88.55,102
2009-05-22 00:00:00+05:30,93.0,93.0,93.0,93.0,48
2009-05-25 00:00:00+05:30,97.65,97.65,97.65,97.65,200
2009-05-27 00:00:00+05:30,102.5,102.5,102.5,102.5,430
2009-05-29 00:00:00+05:30,107.65,107.65,107.65,107.65,2
2009-06-01 00:00:00+05:30,113.0,113.0,113.0,113.0,200
2009-06-02 00:00:00+05:30,118.65,118.65,118.65,118.65,2
2009-06-04 00:00:00+05:30,124.6,124.6,124.6,124.6,2
2009-06-05 00:00:00+05:30,130.8,130.8,130.8,130.8,200
2009-06-08 00:00:00+05:30,137.35,137.35,137.35,137.35,150
2009-06-09 00:00:00+05:30,144.2,144.2,144.2,144.2,4
2009-06-10 00:00:00+05:30,151.4,151.4,151.4,151.4,130
2009-06-11 00:00:00+05:30,158.95,158.95,143.85,145.75,4498
2009-06-12 00:00:00+05:30,139.5,153.0,139.0,153.0,5520
2009-06-15 00:00:00+05:30,149.5,160.5,145.35,151.75,3354
2009-06-16 00:00:00+05:30,147.0,147.0,144.15,145.5,2020
2009-06-17 00:00:00+05:30,145.0,145.0,138.25,138.25,1024
2009-06-18 00:00:00+05:30,136.0,145.15,131.35,134.1,2420
2009-06-19 00:00:00+05:30,127.5,128.6,127.5,128.6,1900
2009-06-23 00:00:00+05:30,122.2,122.2,122.2,122.2,1000
2009-07-01 00:00:00+05:30,128.3,128.3,116.1,119.9,6204
2009-07-02 00:00:00+05:30,143.5,143.9,95.95,125.9,3820
2009-07-03 00:00:00+05:30,13.2,13.2,12.0,12.4,2620
2009-07-06 00:00:00+05:30,13.0,13.0,13.0,13.0,1576
2009-07-09 00:00:00+05:30,14.35,14.35,14.35,14.35,600
2009-07-10 00:00:00+05:30,15.05,15.05,13.65,14.85,17984
2009-07-13 00:00:00+05:30,15.4,15.6,14.25,15.6,3384
2009-07-14 00:00:00+05:30,16.35,16.35,15.9,16.35,2150
2009-07-15 00:00:00+05:30,17.15,17.15,17.15,17.15,590
2009-07-16 00:00:00+05:30,18.0,18.0,18.0,18.0,100608
2009-07-17 00:00:00+05:30,18.9,18.9,18.9,18.9,1450
2009-07-20 00:00:00+05:30,19.85,19.85,19.85,19.85,350
2009-07-21 00:00:00+05:30,20.8,20.8,20.8,20.8,150
2009-07-22 00:00:00+05:30,21.85,21.85,21.85,21.85,50
2009-07-23 00:00:00+05:30,22.9,22.9,22.9,22.9,200
2009-07-24 00:00:00+05:30,24.05,24.05,24.05,24.05,204
2009-07-27 00:00:00+05:30,25.25,25.25,25.25,25.25,81696
2009-07-28 00:00:00+05:30,26.5,26.5,26.5,26.5,406
2009-07-29 00:00:00+05:30,27.8,27.8,27.8,27.8,12996
2009-08-03 00:00:00+05:30,32.15,32.15,32.15,32.15,7020
2009-08-04 00:00:00+05:30,33.75,33.75,33.75,33.75,4632
2009-08-05 00:00:00+05:30,35.45,35.45,35.45,35.45,624
2009-08-06 00:00:00+05:30,37.2,37.2,37.2,37.2,2
2009-08-07 00:00:00+05:30,39.05,39.05,39.05,39.05,7402
2009-08-10 00:00:00+05:30,40.5,41.0,37.55,41.0,9482
2009-08-11 00:00:00+05:30,43.05,43.05,43.05,43.05,170
2009-08-12 00:00:00+05:30,45.2,45.2,45.2,45.2,60
2009-08-13 00:00:00+05:30,47.45,47.45,47.45,47.45,44
2009-08-14 00:00:00+05:30,49.8,49.8,45.1,47.3,3118
2009-08-17 00:00:00+05:30,44.95,44.95,44.95,44.95,1768
2009-08-18 00:00:00+05:30,42.7,42.7,42.7,42.7,174
2009-08-19 00:00:00+05:30,40.6,40.6,40.6,40.6,2
2009-08-25 00:00:00+05:30,36.65,36.65,36.65,36.65,106
2009-08-27 00:00:00+05:30,33.1,33.1,33.1,33.1,130
2009-08-31 00:00:00+05:30,29.9,30.0,29.9,29.9,5608
2009-09-02 00:00:00+05:30,31.5,32.0,29.0,30.85,1158
2009-09-04 00:00:00+05:30,33.5,33.6,30.5,32.9,1470
2009-09-07 00:00:00+05:30,31.25,31.25,31.25,31.25,2456
2009-09-09 00:00:00+05:30,30.5,32.65,29.75,31.15,1256
2009-09-10 00:00:00+05:30,31.5,32.0,31.5,32.0,310
2009-09-14 00:00:00+05:30,30.5,30.5,30.3,30.3,2600
2009-09-15 00:00:00+05:30,29.5,29.5,28.8,28.85,2154
2009-09-16 00:00:00+05:30,28.0,28.1,27.6,27.7,1556
2009-09-17 00:00:00+05:30,28.5,29.0,27.5,27.5,1430
