date,open,high,low,close,volume
2013-11-11 00:00:00+05:30,127.0,127.0,120.7,120.7,153
2013-11-12 00:00:00+05:30,114.7,114.7,114.7,114.7,14
2013-11-13 00:00:00+05:30,109.05,109.05,109.05,109.05,1
2013-11-14 00:00:00+05:30,103.6,103.6,103.6,103.6,667
2013-11-18 00:00:00+05:30,98.45,98.45,98.45,98.45,431
2013-11-19 00:00:00+05:30,93.55,93.55,93.55,93.55,3540
2013-11-20 00:00:00+05:30,88.9,88.95,88.9,88.9,3109
2013-11-21 00:00:00+05:30,84.5,88.0,84.5,84.5,4804
2013-11-22 00:00:00+05:30,80.3,82.0,80.3,80.3,2867
2013-11-25 00:00:00+05:30,76.3,77.45,76.3,76.3,2664
2013-11-26 00:00:00+05:30,76.3,76.3,65.25,68.2,5191
2013-11-27 00:00:00+05:30,58.05,65.8,58.05,62.55,7282
2013-11-28 00:00:00+05:30,60.65,63.0,57.15,58.45,2332
2013-11-29 00:00:00+05:30,55.3,57.0,54.65,55.15,2198
2013-12-02 00:00:00+05:30,52.0,60.65,52.0,60.65,9208
2013-12-03 00:00:00+05:30,63.0,66.7,63.0,66.7,3216
2013-12-04 00:00:00+05:30,73.34,73.34,73.34,73.34,47
2013-12-05 00:00:00+05:30,77.0,77.0,73.0,77.0,8382
2013-12-06 00:00:00+05:30,80.8,80.84,73.2,73.84,7862
2013-12-09 00:00:00+05:30,74.59,75.3,70.2,70.2,2753
2013-12-10 00:00:00+05:30,70.2,72.7,68.09,68.15,2119
2013-12-11 00:00:00+05:30,67.0,67.84,65.0,65.25,765
2013-12-12 00:00:00+05:30,62.1,66.45,62.1,65.0,2084
2013-12-13 00:00:00+05:30,65.95,65.95,62.15,62.7,722
2013-12-16 00:00:00+05:30,63.1,63.1,59.6,59.6,1251
2013-12-17 00:00:00+05:30,59.25,61.95,59.0,61.95,1022
2013-12-18 00:00:00+05:30,59.55,61.25,59.55,59.9,533
2013-12-19 00:00:00+05:30,58.05,59.95,58.0,58.9,1414
2013-12-20 00:00:00+05:30,58.05,59.75,58.05,59.7,855
2013-12-23 00:00:00+05:30,59.0,62.65,59.0,62.25,386
2013-12-24 00:00:00+05:30,63.0,64.4,61.0,61.0,723
2013-12-26 00:00:00+05:30,63.95,63.95,61.0,61.3,337
2013-12-27 00:00:00+05:30,60.05,64.34,60.0,62.45,2002
2013-12-30 00:00:00+05:30,64.0,65.55,62.05,65.5,423
2013-12-31 00:00:00+05:30,64.5,67.7,64.25,65.55,1000
2014-01-01 00:00:00+05:30,63.1,65.9,63.1,64.0,1649
2014-01-02 00:00:00+05:30,61.35,64.0,61.35,61.95,728
2014-01-03 00:00:00+05:30,60.25,62.6,60.25,61.95,1641
2014-01-06 00:00:00+05:30,61.0,61.15,60.65,60.8,408
2014-01-07 00:00:00+05:30,60.7,61.0,60.7,60.75,257
2014-01-08 00:00:00+05:30,62.8,63.4,60.95,62.05,2424
2014-01-09 00:00:00+05:30,61.25,62.0,60.15,61.2,413
2014-01-10 00:00:00+05:30,59.15,61.5,59.15,60.0,1060
2014-01-13 00:00:00+05:30,56.35,60.05,56.15,59.1,950
2014-01-14 00:00:00+05:30,58.6,59.75,58.6,59.75,188
2014-01-15 00:00:00+05:30,59.9,60.6,57.15,58.35,399
2014-01-16 00:00:00+05:30,57.5,58.9,57.25,57.45,567
2014-01-17 00:00:00+05:30,59.9,59.9,57.5,57.5,277
2014-01-20 00:00:00+05:30,53.2,59.0,53.2,56.15,2439
2014-01-21 00:00:00+05:30,56.1,57.45,55.35,56.75,759
2014-01-22 00:00:00+05:30,55.0,57.0,55.0,56.95,292
2014-01-23 00:00:00+05:30,55.0,57.05,52.55,54.6,1001
2014-01-24 00:00:00+05:30,53.2,56.5,53.2,55.35,422
2014-01-27 00:00:00+05:30,55.95,55.95,53.05,53.1,536
2014-01-28 00:00:00+05:30,52.0,53.9,52.0,52.75,720
2014-01-29 00:00:00+05:30,50.1,53.75,50.0,50.4,1404
2014-01-30 00:00:00+05:30,49.95,50.0,46.5,48.8,2428
2014-01-31 00:00:00+05:30,46.15,49.5,46.15,46.85,2483
2014-02-03 00:00:00+05:30,46.5,46.5,46.5,46.5,398
2014-02-04 00:00:00+05:30,46.05,49.0,46.05,46.7,494
2014-02-05 00:00:00+05:30,50.9,50.9,49.0,50.8,616
2014-02-06 00:00:00+05:30,48.45,49.9,48.45,49.9,1802
2014-02-07 00:00:00+05:30,49.6,50.6,48.1,49.0,268
2014-02-10 00:00:00+05:30,47.45,48.8,47.45,48.1,30
2014-02-11 00:00:00+05:30,51.3,51.3,49.2,50.9,1084
2014-02-12 00:00:00+05:30,52.6,52.6,48.65,51.1,745
2014-02-13 00:00:00+05:30,48.15,48.2,47.65,47.65,312
2014-02-14 00:00:00+05:30,43.55,49.9,43.55,44.05,2647
2014-02-17 00:00:00+05:30,40.25,47.0,40.25,42.15,631
2014-02-18 00:00:00+05:30,42.15,44.45,40.6,44.35,1044
2014-02-19 00:00:00+05:30,42.6,44.0,42.05,43.1,481
2014-02-20 00:00:00+05:30,42.5,42.6,40.9,41.0,1052
2014-02-21 00:00:00+05:30,40.65,44.3,40.6,44.2,32
2014-02-24 00:00:00+05:30,43.6,43.6,41.45,42.8,391
2014-02-25 00:00:00+05:30,43.8,43.8,41.0,43.35,2056
2014-02-26 00:00:00+05:30,41.0,42.9,41.0,42.9,1994
2014-02-28 00:00:00+05:30,44.85,44.85,43.2,43.9,5111
2014-03-03 00:00:00+05:30,43.85,44.9,42.0,44.4,3594
2014-03-04 00:00:00+05:30,43.95,43.95,43.0,43.0,928
2014-03-05 00:00:00+05:30,45.0,45.0,43.4,43.5,3114
2014-03-06 00:00:00+05:30,43.55,45.7,43.05,44.7,605
2014-03-07 00:00:00+05:30,44.0,45.85,43.05,44.9,3635
2014-03-10 00:00:00+05:30,40.25,53.3,40.25,51.8,2904
2014-03-11 00:00:00+05:30,52.75,58.4,51.0,52.45,3773
2014-03-12 00:00:00+05:30,51.9,57.8,51.0,54.5,4714
2014-03-13 00:00:00+05:30,55.7,57.5,52.25,54.75,1654
2014-03-14 00:00:00+05:30,55.0,57.5,51.65,52.55,2670
2014-03-18 00:00:00+05:30,58.0,58.0,52.3,56.6,1628
2014-03-19 00:00:00+05:30,60.0,61.5,57.3,60.4,3448
2014-03-20 00:00:00+05:30,64.9,64.9,60.25,63.15,1776
2014-03-21 00:00:00+05:30,67.7,67.7,60.5,62.2,575
