date,open,high,low,close,volume
2010-02-08 00:00:00+05:30,16.15,24.2,16.15,22.9,317538570
2010-02-09 00:00:00+05:30,24.75,25.05,22.2,24.45,140018100
2010-02-10 00:00:00+05:30,24.7,25.3,23.15,23.5,70261870
2010-02-11 00:00:00+05:30,23.9,23.9,22.5,23.1,33912760
2010-02-15 00:00:00+05:30,23.5,23.7,22.6,23.0,17592010
2010-02-16 00:00:00+05:30,23.15,23.4,22.7,23.0,11374190
2010-02-17 00:00:00+05:30,23.1,24.6,21.7,24.1,32267150
2010-02-18 00:00:00+05:30,24.1,24.1,22.75,23.1,12767150
2010-02-19 00:00:00+05:30,22.5,23.15,22.35,22.7,6092600
2010-02-22 00:00:00+05:30,23.2,23.5,22.8,23.0,4300490
2010-02-23 00:00:00+05:30,22.8,23.15,21.8,22.0,3116300
2010-02-24 00:00:00+05:30,21.8,22.7,21.3,22.0,5327050
2010-02-25 00:00:00+05:30,22.1,22.8,21.9,22.4,3645110
2010-02-26 00:00:00+05:30,22.25,24.1,22.2,22.7,4086550
2010-03-02 00:00:00+05:30,23.0,23.45,22.9,23.2,1539460
2010-03-03 00:00:00+05:30,23.1,24.0,23.0,23.1,2409340
2010-03-04 00:00:00+05:30,23.35,23.7,23.1,23.6,2188460
2010-03-05 00:00:00+05:30,23.7,27.45,23.5,25.8,41929730
2010-03-08 00:00:00+05:30,26.2,28.1,26.0,27.7,24304780
2010-03-09 00:00:00+05:30,27.8,31.8,27.3,30.0,68150000
2010-03-10 00:00:00+05:30,30.0,30.5,28.5,28.7,24087310
2010-03-11 00:00:00+05:30,28.7,28.8,27.55,27.7,6349160
2010-03-12 00:00:00+05:30,27.8,29.9,27.7,28.6,37264960
2010-03-15 00:00:00+05:30,28.6,29.05,27.5,27.7,7978850
2010-03-16 00:00:00+05:30,28.05,29.5,27.95,28.8,10620260
2010-03-17 00:00:00+05:30,29.2,29.6,28.6,28.8,7570160
2010-03-18 00:00:00+05:30,29.1,30.6,28.8,29.3,17481420
2010-03-19 00:00:00+05:30,29.5,34.85,29.2,34.4,91035800
2010-03-22 00:00:00+05:30,34.0,36.2,33.5,34.05,43999850
2010-03-23 00:00:00+05:30,34.5,35.2,32.4,33.1,18152480
2010-03-25 00:00:00+05:30,33.1,35.1,32.8,33.9,25849100
2010-03-26 00:00:00+05:30,34.2,34.85,33.25,33.8,10732740
2010-03-29 00:00:00+05:30,34.5,34.5,31.4,31.6,11196880
2010-03-30 00:00:00+05:30,33.0,33.1,31.55,31.8,8631180
2010-03-31 00:00:00+05:30,32.0,32.6,30.9,31.35,8778440
2010-04-01 00:00:00+05:30,31.8,32.65,31.5,32.3,12390090
2010-04-05 00:00:00+05:30,32.5,37.35,32.3,36.5,41659940
2010-04-06 00:00:00+05:30,36.6,36.75,35.0,35.6,11491890
2010-04-07 00:00:00+05:30,35.8,42.5,35.8,41.65,82344520
2010-04-08 00:00:00+05:30,41.6,42.1,38.1,38.9,39848250
2010-04-09 00:00:00+05:30,38.75,39.1,35.05,35.7,21982830
2010-04-12 00:00:00+05:30,35.9,37.5,35.35,36.0,18111470
2010-04-13 00:00:00+05:30,36.3,37.1,35.55,36.2,17897920
2010-04-15 00:00:00+05:30,36.6,37.0,35.4,35.65,8734970
2010-04-16 00:00:00+05:30,35.5,35.95,33.45,34.45,12797540
2010-04-19 00:00:00+05:30,34.0,34.8,32.9,33.6,19554660
2010-04-20 00:00:00+05:30,34.0,34.5,33.65,34.05,7421910
2010-04-21 00:00:00+05:30,34.2,35.95,34.1,35.25,21956100
2010-04-22 00:00:00+05:30,34.9,36.4,34.9,35.95,16533770
2010-04-23 00:00:00+05:30,36.1,36.4,34.6,35.3,6266190
2010-04-26 00:00:00+05:30,35.85,35.85,34.9,35.25,4705100
2010-04-27 00:00:00+05:30,35.0,35.4,34.5,34.7,3445990
2010-04-28 00:00:00+05:30,34.0,34.35,33.2,33.45,2941480
2010-04-29 00:00:00+05:30,33.6,34.7,33.6,34.2,4677440
2010-04-30 00:00:00+05:30,34.45,34.7,33.8,33.9,2715950
2010-05-03 00:00:00+05:30,34.0,34.0,33.0,33.4,2585640
2010-05-04 00:00:00+05:30,33.6,34.1,32.5,32.7,3821980
2010-05-05 00:00:00+05:30,32.05,34.2,31.15,33.75,6469170
2010-05-06 00:00:00+05:30,33.7,33.9,32.45,32.75,3124370
2010-05-07 00:00:00+05:30,32.1,32.25,31.4,31.6,2133110
