date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,143.85,143.85,132.0,134.0,18897
2008-01-02 00:00:00+05:30,138.0,138.0,132.0,134.55,5955
2008-01-03 00:00:00+05:30,134.9,134.9,127.5,128.65,6570
2008-01-04 00:00:00+05:30,129.1,132.25,127.0,129.15,19502
2008-01-07 00:00:00+05:30,127.0,144.0,124.15,137.1,23328
2008-01-08 00:00:00+05:30,138.9,138.94,125.25,129.1,5814
2008-01-09 00:00:00+05:30,130.0,130.1,126.25,126.4,3875
2008-01-10 00:00:00+05:30,123.1,129.0,120.0,120.8,4978
2008-01-11 00:00:00+05:30,123.9,123.95,114.1,115.95,4797
2008-01-14 00:00:00+05:30,118.0,120.9,117.1,117.55,1375
2008-01-15 00:00:00+05:30,123.0,141.0,118.55,126.2,7429
2008-01-16 00:00:00+05:30,120.05,125.0,119.0,122.2,5192
2008-01-17 00:00:00+05:30,119.25,128.0,119.25,124.1,4159
2008-01-18 00:00:00+05:30,124.0,131.0,121.05,123.7,9768
2008-01-21 00:00:00+05:30,110.0,117.8,102.1,103.15,9096
2008-01-22 00:00:00+05:30,104.0,104.0,85.3,102.9,7900
2008-01-23 00:00:00+05:30,101.0,122.9,95.5,118.15,3469
2008-01-24 00:00:00+05:30,114.9,120.0,101.0,107.9,18212
2008-01-25 00:00:00+05:30,103.0,107.0,103.0,106.3,868
2008-01-28 00:00:00+05:30,126.0,126.0,92.0,110.0,1870
2008-01-29 00:00:00+05:30,112.85,118.0,110.7,115.2,3629
2008-01-30 00:00:00+05:30,116.95,116.95,108.0,112.2,633
2008-01-31 00:00:00+05:30,114.7,118.25,110.15,116.9,5456
2008-02-01 00:00:00+05:30,112.05,116.0,110.9,114.6,2586
2008-02-04 00:00:00+05:30,117.85,123.5,115.1,116.0,12367
2008-02-05 00:00:00+05:30,118.5,119.95,113.2,118.75,13241
2008-02-06 00:00:00+05:30,114.9,119.9,112.2,115.0,5535
2008-02-07 00:00:00+05:30,116.05,116.05,113.5,114.45,3729
2008-02-08 00:00:00+05:30,112.0,116.35,109.25,110.0,3497
2008-02-11 00:00:00+05:30,112.9,117.5,108.2,110.0,4927
2008-02-12 00:00:00+05:30,109.0,113.0,105.75,109.4,7780
2008-02-13 00:00:00+05:30,108.05,112.95,106.1,106.3,4020
2008-02-14 00:00:00+05:30,112.9,115.9,105.25,111.5,2978
