date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,104.1,104.1,102.0,104.1,64887
2008-01-02 00:00:00+05:30,106.0,109.3,100.05,109.3,140880
2008-01-03 00:00:00+05:30,114.75,114.75,108.0,114.75,87987
2008-01-04 00:00:00+05:30,120.45,120.45,116.9,120.45,64472
2008-01-07 00:00:00+05:30,126.45,126.45,121.0,126.45,42975
2008-01-08 00:00:00+05:30,132.75,132.75,120.15,120.15,177584
2008-01-09 00:00:00+05:30,114.15,116.75,114.15,114.15,72680
2008-01-10 00:00:00+05:30,109.1,111.0,108.45,108.45,60152
2008-01-11 00:00:00+05:30,103.05,109.4,103.05,104.35,32575
2008-01-14 00:00:00+05:30,103.9,109.5,99.15,99.3,15645
2008-01-15 00:00:00+05:30,103.8,104.25,97.0,98.05,15811
2008-01-16 00:00:00+05:30,95.6,99.0,93.15,97.15,15517
2008-01-17 00:00:00+05:30,93.15,102.0,93.15,102.0,9552
2008-01-18 00:00:00+05:30,100.0,103.0,96.95,96.95,16335
2008-01-21 00:00:00+05:30,93.05,95.95,92.15,92.15,7597
2008-01-23 00:00:00+05:30,87.55,87.55,87.55,87.55,730
2008-01-24 00:00:00+05:30,84.0,85.0,83.2,83.2,2864
2008-01-25 00:00:00+05:30,79.05,83.0,79.05,79.5,10331
2008-01-28 00:00:00+05:30,75.55,75.55,75.55,75.55,4046
2008-01-29 00:00:00+05:30,72.0,78.0,71.8,75.9,9725
2008-01-30 00:00:00+05:30,76.0,78.95,72.15,72.15,5106
2008-01-31 00:00:00+05:30,68.55,68.55,68.55,68.55,3747
2008-02-01 00:00:00+05:30,67.09,71.95,67.09,70.3,12103
2008-02-04 00:00:00+05:30,68.2,73.5,68.2,71.65,5813
2008-02-05 00:00:00+05:30,70.0,73.95,70.0,70.8,4237
2008-02-06 00:00:00+05:30,72.45,73.9,67.3,71.0,4133
2008-02-07 00:00:00+05:30,72.8,72.8,67.5,67.55,9223
2008-02-08 00:00:00+05:30,64.25,67.15,64.2,64.25,7361
2008-02-11 00:00:00+05:30,61.2,64.59,61.05,61.05,15622
2008-02-12 00:00:00+05:30,59.2,61.9,58.0,58.0,18407
2008-02-13 00:00:00+05:30,55.15,60.75,55.15,56.75,7019
2008-02-14 00:00:00+05:30,58.5,59.55,57.3,59.55,1497
2008-02-15 00:00:00+05:30,60.0,62.5,60.0,62.5,6941
2008-02-18 00:00:00+05:30,63.3,65.59,61.5,64.95,5153
2008-02-19 00:00:00+05:30,66.0,66.4,61.75,62.95,6881
2008-02-20 00:00:00+05:30,63.4,63.4,59.9,61.35,4321
2008-02-21 00:00:00+05:30,61.55,62.0,59.55,60.85,1605
2008-02-22 00:00:00+05:30,61.4,63.85,61.35,62.95,2499
2008-02-25 00:00:00+05:30,61.95,63.0,59.85,62.7,3847
2008-02-26 00:00:00+05:30,61.1,63.8,59.85,61.85,2077
2008-02-27 00:00:00+05:30,62.95,62.95,59.2,60.3,4508
2008-02-28 00:00:00+05:30,62.4,63.3,60.4,63.2,4602
2008-02-29 00:00:00+05:30,63.9,64.9,62.1,64.3,10199
2008-03-03 00:00:00+05:30,67.4,67.4,61.1,61.1,6678
2008-03-04 00:00:00+05:30,61.0,61.0,58.05,58.05,10863
2008-03-05 00:00:00+05:30,55.5,58.0,55.15,55.15,2224
2008-03-07 00:00:00+05:30,57.0,57.0,52.45,52.95,4021
2008-03-10 00:00:00+05:30,47.7,51.3,47.7,47.7,6472
2008-03-11 00:00:00+05:30,48.0,50.05,46.4,48.65,9405
2008-03-12 00:00:00+05:30,46.55,50.75,46.25,47.2,3846
2008-03-13 00:00:00+05:30,45.4,46.0,44.95,44.95,1985
2008-03-14 00:00:00+05:30,42.8,45.0,42.75,42.75,11060
2008-03-17 00:00:00+05:30,40.65,40.65,40.65,40.65,238
2008-03-18 00:00:00+05:30,38.65,38.65,38.65,38.65,501
2008-03-19 00:00:00+05:30,38.7,40.29,36.75,36.75,55412
2008-03-24 00:00:00+05:30,38.0,38.0,35.0,35.0,46649
