date,open,high,low,close,volume
2023-06-12 00:00:00+05:30,1.39,1.39,1.39,1.39,5303
2023-06-19 00:00:00+05:30,1.39,1.39,1.39,1.39,925
2023-06-26 00:00:00+05:30,1.39,1.39,1.39,1.39,14708
2023-07-03 00:00:00+05:30,1.39,1.39,1.39,1.39,1440
2023-07-10 00:00:00+05:30,1.45,1.45,1.45,1.45,7058
2023-07-17 00:00:00+05:30,1.45,1.45,1.38,1.45,4200
2023-07-24 00:00:00+05:30,1.45,1.45,1.45,1.45,7694
2023-07-31 00:00:00+05:30,1.45,1.45,1.45,1.45,3427
2023-08-07 00:00:00+05:30,1.45,1.45,1.45,1.45,2750
2023-08-14 00:00:00+05:30,1.45,1.52,1.45,1.52,12850
2023-08-21 00:00:00+05:30,1.52,1.52,1.52,1.52,16732
2023-08-28 00:00:00+05:30,1.52,1.52,1.52,1.52,4916
2023-09-04 00:00:00+05:30,1.52,1.52,1.52,1.52,3132
2023-09-11 00:00:00+05:30,1.52,1.52,1.52,1.52,580
2023-09-18 00:00:00+05:30,1.52,1.52,1.52,1.52,2000
2023-09-25 00:00:00+05:30,1.52,1.52,1.52,1.52,12156
2023-10-03 00:00:00+05:30,1.52,1.52,1.52,1.52,2321
2023-10-09 00:00:00+05:30,1.59,1.59,1.59,1.59,7650
2023-10-16 00:00:00+05:30,1.59,1.59,1.59,1.59,1950
2023-10-23 00:00:00+05:30,1.59,1.59,1.59,1.59,4566
2023-10-30 00:00:00+05:30,1.59,1.59,1.59,1.59,5406
2023-11-06 00:00:00+05:30,1.59,1.59,1.59,1.59,2250
2023-11-13 00:00:00+05:30,1.66,1.66,1.66,1.66,958
2023-11-20 00:00:00+05:30,1.66,1.66,1.66,1.66,3903
2023-11-28 00:00:00+05:30,1.66,1.66,1.66,1.66,3600
2023-12-04 00:00:00+05:30,1.66,1.66,1.66,1.66,2865
2023-12-11 00:00:00+05:30,1.66,1.66,1.66,1.66,8301
2023-12-18 00:00:00+05:30,1.66,1.66,1.66,1.66,5800
2023-12-26 00:00:00+05:30,1.66,1.66,1.66,1.66,15894
2024-01-01 00:00:00+05:30,1.66,1.66,1.66,1.66,3466
2024-01-08 00:00:00+05:30,1.74,1.74,1.74,1.74,8475
2024-01-15 00:00:00+05:30,1.74,1.74,1.74,1.74,21851
2024-01-23 00:00:00+05:30,1.74,1.74,1.74,1.74,351
2024-01-29 00:00:00+05:30,1.74,1.74,1.74,1.74,4531
2024-02-05 00:00:00+05:30,1.74,1.74,1.74,1.74,3148
2024-02-12 00:00:00+05:30,1.82,1.82,1.82,1.82,1996
2024-02-19 00:00:00+05:30,1.82,1.82,1.82,1.82,1233
2024-02-26 00:00:00+05:30,1.82,1.82,1.82,1.82,8050
2024-03-04 00:00:00+05:30,1.82,1.82,1.82,1.82,340
2024-03-11 00:00:00+05:30,1.82,1.82,1.82,1.82,3356
2024-03-18 00:00:00+05:30,1.91,1.91,1.91,1.91,8234
2024-03-26 00:00:00+05:30,1.91,1.91,1.91,1.91,2584
2024-04-01 00:00:00+05:30,1.91,1.91,1.91,1.91,247
2024-04-08 00:00:00+05:30,1.91,1.91,1.91,1.91,10
2024-04-15 00:00:00+05:30,1.91,1.91,1.91,1.91,1073
2024-04-22 00:00:00+05:30,1.91,1.91,1.91,1.91,511
2024-05-06 00:00:00+05:30,1.91,1.91,1.91,1.91,651
2024-05-13 00:00:00+05:30,2.0,2.0,2.0,2.0,3860
2024-05-21 00:00:00+05:30,2.0,2.0,2.0,2.0,2400
2024-05-27 00:00:00+05:30,2.0,2.0,2.0,2.0,2078
2024-06-03 00:00:00+05:30,2.0,2.0,2.0,2.0,14024
2024-06-10 00:00:00+05:30,2.1,2.1,1.9,2.1,51354
2024-06-18 00:00:00+05:30,2.1,2.1,2.1,2.1,900
2024-06-24 00:00:00+05:30,2.1,2.1,2.1,2.1,3197
2024-06-25 00:00:00+05:30,2.2,2.2,2.2,2.2,636
2024-06-26 00:00:00+05:30,2.31,2.31,2.31,2.31,1938
2024-06-27 00:00:00+05:30,2.42,2.42,2.42,2.42,1113
2024-06-28 00:00:00+05:30,2.54,2.54,2.54,2.54,23543
2024-07-01 00:00:00+05:30,2.66,2.66,2.66,2.66,8214
2024-07-02 00:00:00+05:30,2.79,2.79,2.79,2.79,2771
2024-07-03 00:00:00+05:30,2.92,2.92,2.92,2.92,1326
2024-07-04 00:00:00+05:30,3.06,3.06,3.06,3.06,3050
2024-07-05 00:00:00+05:30,3.21,3.21,3.21,3.21,10336
2024-07-08 00:00:00+05:30,3.37,3.37,3.37,3.37,11590
2024-07-09 00:00:00+05:30,3.53,3.53,3.53,3.53,111358
2024-07-10 00:00:00+05:30,3.7,3.7,3.7,3.7,3401
2024-07-11 00:00:00+05:30,3.88,3.88,3.88,3.88,2650
2024-07-12 00:00:00+05:30,4.07,4.07,4.07,4.07,18300
2024-07-15 00:00:00+05:30,4.27,4.27,4.27,4.27,4957
2024-07-16 00:00:00+05:30,4.48,4.48,4.48,4.48,3302
2024-07-18 00:00:00+05:30,4.7,4.7,4.7,4.7,3600
2024-07-19 00:00:00+05:30,4.61,4.61,4.61,4.61,68848
2024-07-22 00:00:00+05:30,4.52,4.52,4.52,4.52,11115
2024-07-23 00:00:00+05:30,4.43,4.43,4.43,4.43,5547
2024-07-24 00:00:00+05:30,4.35,4.35,4.35,4.35,2986
2024-07-25 00:00:00+05:30,4.27,4.43,4.27,4.43,192441
2024-07-26 00:00:00+05:30,4.51,4.51,4.51,4.51,54265
2024-07-29 00:00:00+05:30,4.42,4.42,4.42,4.42,4197
2024-07-30 00:00:00+05:30,4.34,4.34,4.34,4.34,1511
2024-07-31 00:00:00+05:30,4.26,4.42,4.26,4.26,87349
2024-08-01 00:00:00+05:30,4.18,4.18,4.18,4.18,31203
2024-08-02 00:00:00+05:30,4.1,4.26,4.1,4.26,48542
2024-08-05 00:00:00+05:30,4.18,4.18,4.18,4.18,1560
2024-08-06 00:00:00+05:30,4.1,4.1,4.1,4.1,6733
2024-08-07 00:00:00+05:30,4.02,4.02,4.02,4.02,1889
2024-08-08 00:00:00+05:30,3.94,3.94,3.94,3.94,33496
2024-08-09 00:00:00+05:30,3.94,3.94,3.87,3.87,31491
2024-08-12 00:00:00+05:30,3.94,3.94,3.8,3.8,9869
2024-08-13 00:00:00+05:30,3.73,3.73,3.73,3.73,3636
