date,open,high,low,close,volume
2024-03-22 00:00:00+05:30,200.0,210.0,200.0,210.0,4644000
2024-03-26 00:00:00+05:30,220.5,220.5,220.5,220.5,88000
2024-03-27 00:00:00+05:30,231.5,231.5,231.5,231.5,64000
2024-03-28 00:00:00+05:30,243.05,243.05,243.05,243.05,434000
2024-04-01 00:00:00+05:30,255.2,255.2,255.2,255.2,293000
2024-04-02 00:00:00+05:30,267.95,267.95,267.95,267.95,47000
2024-04-03 00:00:00+05:30,281.3,281.3,281.3,281.3,199000
2024-04-04 00:00:00+05:30,295.35,295.35,295.35,295.35,48000
2024-04-05 00:00:00+05:30,305.0,310.1,280.6,310.1,2601000
2024-04-08 00:00:00+05:30,310.1,325.6,305.0,325.6,542000
2024-04-09 00:00:00+05:30,343.0,358.15,340.3,358.15,829000
2024-04-10 00:00:00+05:30,393.95,393.95,364.0,393.95,1463000
2024-04-12 00:00:00+05:30,415.0,433.3,411.0,433.3,614000
2024-04-15 00:00:00+05:30,439.0,454.95,433.35,454.95,757000
2024-04-16 00:00:00+05:30,474.3,477.65,445.05,477.65,1636000
2024-04-18 00:00:00+05:30,492.8,501.0,453.8,458.4,1599000
2024-04-19 00:00:00+05:30,437.0,481.3,436.65,481.3,1036000
2024-04-22 00:00:00+05:30,505.35,505.35,505.35,505.35,233000
2024-04-23 00:00:00+05:30,530.6,530.6,530.6,530.6,141000
2024-04-24 00:00:00+05:30,557.1,557.1,537.0,557.1,1875000
2024-04-25 00:00:00+05:30,579.9,584.95,551.05,584.95,820000
2024-04-26 00:00:00+05:30,579.0,595.0,555.75,561.45,1229000
2024-04-29 00:00:00+05:30,561.45,561.45,533.4,533.4,225000
2024-04-30 00:00:00+05:30,516.0,541.0,506.75,510.0,1462000
2024-05-02 00:00:00+05:30,514.5,535.5,514.5,535.5,232000
2024-05-03 00:00:00+05:30,562.25,562.25,550.0,562.25,388000
2024-05-06 00:00:00+05:30,590.35,590.35,573.1,590.35,409000
2024-05-07 00:00:00+05:30,619.85,619.85,605.0,619.85,291000
2024-05-08 00:00:00+05:30,642.0,650.8,606.2,650.8,784000
2024-05-09 00:00:00+05:30,680.0,683.3,626.0,650.55,1083000
