date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,290.0,300.0,280.0,284.75,22845
2008-01-02 00:00:00+05:30,298.0,298.0,275.0,282.95,7510
2008-01-03 00:00:00+05:30,294.0,294.0,280.05,282.6,7099
2008-01-04 00:00:00+05:30,288.0,305.0,285.05,287.14,24192
2008-01-07 00:00:00+05:30,295.0,301.0,288.0,289.55,10995
2008-01-08 00:00:00+05:30,288.5,291.0,252.25,274.95,9381
2008-01-09 00:00:00+05:30,260.14,285.0,260.14,280.0,9719
2008-01-10 00:00:00+05:30,280.0,283.5,259.95,260.7,3317
2008-01-11 00:00:00+05:30,252.0,260.0,240.1,244.3,8194
2008-01-14 00:00:00+05:30,250.0,255.0,245.35,248.2,3759
2008-01-15 00:00:00+05:30,265.0,285.95,230.0,247.45,5103
2008-01-16 00:00:00+05:30,248.7,248.7,235.0,239.2,3707
2008-01-17 00:00:00+05:30,242.0,251.9,242.0,246.5,1596
2008-01-18 00:00:00+05:30,246.0,255.75,225.0,237.8,10982
2008-01-21 00:00:00+05:30,214.0,229.0,190.25,192.6,7651
2008-01-22 00:00:00+05:30,193.05,193.05,155.05,180.4,1668
2008-01-23 00:00:00+05:30,190.0,200.0,180.4,185.55,2982
2008-01-24 00:00:00+05:30,209.9,209.9,175.0,178.4,3752
2008-01-25 00:00:00+05:30,188.0,188.0,175.0,177.95,4653
2008-01-28 00:00:00+05:30,187.0,188.0,175.0,179.35,1385
2008-01-29 00:00:00+05:30,180.0,189.8,175.6,178.85,2181
2008-01-30 00:00:00+05:30,176.05,186.55,165.2,169.45,1467
2008-01-31 00:00:00+05:30,161.3,177.95,161.05,170.55,1434
2008-02-01 00:00:00+05:30,179.95,179.95,171.25,175.0,636
2008-02-04 00:00:00+05:30,176.75,199.9,176.75,192.2,3586
2008-02-05 00:00:00+05:30,200.1,230.6,200.1,230.6,9059
2008-02-06 00:00:00+05:30,240.0,269.8,222.0,232.15,62602
2008-02-07 00:00:00+05:30,235.0,247.5,220.0,225.3,20484
2008-02-08 00:00:00+05:30,225.0,239.8,205.0,210.65,9457
2008-02-11 00:00:00+05:30,211.0,218.0,180.0,183.05,10485
2008-02-12 00:00:00+05:30,181.0,188.45,175.2,179.8,4190
2008-02-13 00:00:00+05:30,181.2,188.5,178.05,178.9,5887
2008-02-14 00:00:00+05:30,92.0,106.0,89.0,103.0,36521
2008-02-15 00:00:00+05:30,103.0,110.0,98.1,101.7,29290
2008-02-18 00:00:00+05:30,102.0,103.7,98.0,99.4,12366
2008-02-19 00:00:00+05:30,101.0,101.4,98.15,99.75,4053
2008-02-20 00:00:00+05:30,99.95,101.9,98.3,100.25,9251
2008-02-21 00:00:00+05:30,101.9,120.3,101.0,120.0,20410
2008-02-22 00:00:00+05:30,124.95,137.8,105.1,108.1,77645
2008-02-25 00:00:00+05:30,111.75,112.8,103.2,106.6,14381
2008-02-26 00:00:00+05:30,110.0,114.8,107.0,111.3,18770
2008-02-27 00:00:00+05:30,108.0,114.75,106.05,107.9,7228
2008-02-28 00:00:00+05:30,105.0,107.5,102.6,105.75,4421
2008-02-29 00:00:00+05:30,97.1,107.0,96.55,101.55,11501
2008-03-03 00:00:00+05:30,113.0,113.0,94.6,95.9,3222
2008-03-04 00:00:00+05:30,98.9,99.0,85.0,86.4,7694
2008-03-05 00:00:00+05:30,83.8,89.8,81.0,87.95,9328
2008-03-07 00:00:00+05:30,82.2,87.0,78.09,83.4,10993
2008-03-10 00:00:00+05:30,81.09,82.0,77.0,80.8,6219
2008-03-11 00:00:00+05:30,80.5,87.9,80.5,85.25,3880
2008-03-12 00:00:00+05:30,89.0,95.85,81.05,82.65,5815
2008-03-13 00:00:00+05:30,76.05,82.8,76.0,77.84,5537
2008-03-14 00:00:00+05:30,76.25,79.7,76.05,78.84,2817
2008-03-17 00:00:00+05:30,71.5,73.15,66.25,70.95,8044
2008-03-18 00:00:00+05:30,84.0,84.0,67.5,72.05,7315
2008-03-19 00:00:00+05:30,72.0,75.0,68.0,68.8,3218
2008-03-24 00:00:00+05:30,62.65,65.95,55.1,55.5,4915
2008-03-25 00:00:00+05:30,56.0,66.59,55.6,64.34,8317
2008-03-26 00:00:00+05:30,65.0,72.15,65.0,69.09,8374
2008-03-27 00:00:00+05:30,71.95,71.95,66.5,68.05,14138
2008-03-28 00:00:00+05:30,68.15,74.9,68.15,73.15,5471
2008-03-31 00:00:00+05:30,73.0,74.8,71.3,71.7,3386
2008-04-01 00:00:00+05:30,71.05,76.4,71.05,74.0,3254
2008-04-02 00:00:00+05:30,76.2,79.7,72.09,73.0,1971
2008-04-03 00:00:00+05:30,75.0,75.5,72.5,73.65,1272
2008-04-04 00:00:00+05:30,73.7,74.34,70.34,72.55,2808
2008-04-07 00:00:00+05:30,62.0,73.4,62.0,72.95,1688
2008-04-08 00:00:00+05:30,73.0,73.0,69.55,70.25,1984
2008-04-09 00:00:00+05:30,71.09,73.0,71.09,72.15,1138
2008-04-10 00:00:00+05:30,73.0,76.95,73.0,74.55,2555
2008-04-11 00:00:00+05:30,76.0,78.0,75.0,75.09,2403
2008-04-15 00:00:00+05:30,72.05,79.9,72.05,78.05,2248
2008-04-16 00:00:00+05:30,80.09,84.9,80.09,81.55,2223
2008-04-17 00:00:00+05:30,85.0,91.95,81.0,88.3,7645
2008-04-21 00:00:00+05:30,83.25,95.0,83.25,92.0,8127
2008-04-22 00:00:00+05:30,92.0,94.85,87.0,87.6,2998
2008-04-23 00:00:00+05:30,90.9,90.9,86.5,87.9,1492
2008-04-24 00:00:00+05:30,82.1,89.95,82.1,85.05,1362
2008-04-25 00:00:00+05:30,82.55,84.0,82.5,82.7,3065
2008-04-28 00:00:00+05:30,86.0,86.0,82.55,83.75,9606
2008-04-29 00:00:00+05:30,84.0,84.0,82.1,83.15,2707
2008-04-30 00:00:00+05:30,83.25,84.5,81.09,82.55,2440
2008-05-02 00:00:00+05:30,82.65,90.0,81.05,83.0,3712
2008-05-05 00:00:00+05:30,80.0,81.8,79.0,79.0,6670
2008-05-06 00:00:00+05:30,79.15,80.0,74.3,75.7,3195
2008-05-07 00:00:00+05:30,75.0,77.4,74.0,74.95,4781
2008-05-08 00:00:00+05:30,74.0,74.84,72.5,72.95,7358
2008-05-09 00:00:00+05:30,75.8,75.8,70.05,71.8,3495
2008-05-12 00:00:00+05:30,67.0,71.0,66.0,70.8,2136
2008-05-13 00:00:00+05:30,70.05,76.84,70.05,72.0,1568
2008-05-14 00:00:00+05:30,71.25,73.0,70.25,71.0,1805
2008-05-15 00:00:00+05:30,70.84,71.95,68.25,68.55,3133
2008-05-16 00:00:00+05:30,68.05,72.0,68.0,70.65,1826
2008-05-20 00:00:00+05:30,68.34,74.45,68.34,70.4,4004
2008-05-21 00:00:00+05:30,69.2,71.5,68.55,71.4,1696
2008-05-22 00:00:00+05:30,69.09,71.0,69.09,71.0,697
2008-05-23 00:00:00+05:30,72.75,72.8,69.0,69.65,1324
2008-05-26 00:00:00+05:30,65.15,68.75,65.09,67.45,844
2008-05-27 00:00:00+05:30,68.5,70.0,66.34,67.75,1607
2008-05-28 00:00:00+05:30,67.09,67.9,65.15,66.8,1024
2008-05-29 00:00:00+05:30,66.0,71.0,66.0,69.7,3274
2008-05-30 00:00:00+05:30,66.59,69.95,66.59,67.34,1443
2008-06-02 00:00:00+05:30,65.05,66.75,64.3,64.95,2004
2008-06-03 00:00:00+05:30,63.65,64.59,61.5,62.2,1663
2008-06-04 00:00:00+05:30,62.05,68.45,58.05,61.5,1986
2008-06-05 00:00:00+05:30,66.0,73.0,58.9,59.85,2834
2008-06-06 00:00:00+05:30,60.45,61.7,59.15,59.55,4132
2008-06-09 00:00:00+05:30,53.25,62.0,53.05,60.05,2649
2008-06-10 00:00:00+05:30,55.45,61.95,55.45,57.75,2858
2008-06-11 00:00:00+05:30,55.2,63.0,55.2,58.95,1879
2008-06-12 00:00:00+05:30,62.0,67.0,57.75,61.35,1275
2008-06-13 00:00:00+05:30,60.55,62.45,60.1,61.25,334
2008-06-16 00:00:00+05:30,61.1,65.9,61.0,61.75,499
2008-06-17 00:00:00+05:30,67.75,67.75,59.3,65.3,9081
2008-06-18 00:00:00+05:30,61.0,66.95,61.0,63.5,2247
2008-06-19 00:00:00+05:30,70.0,70.0,61.35,64.4,225
2008-06-20 00:00:00+05:30,65.0,65.0,61.0,61.8,1829
2008-06-23 00:00:00+05:30,57.3,60.8,56.15,58.5,3327
2008-06-24 00:00:00+05:30,60.85,62.95,55.8,56.2,2177
2008-06-26 00:00:00+05:30,55.6,57.7,55.6,57.7,250
2008-06-27 00:00:00+05:30,55.0,56.05,52.1,53.15,2159
2008-06-30 00:00:00+05:30,52.6,53.2,51.0,51.15,760
2008-07-01 00:00:00+05:30,61.0,61.0,48.15,48.85,681
2008-07-02 00:00:00+05:30,50.1,55.0,48.0,53.45,2045
2008-07-03 00:00:00+05:30,50.4,54.45,48.55,52.0,2402
2008-07-04 00:00:00+05:30,55.0,55.0,50.85,52.3,470
2008-07-07 00:00:00+05:30,55.0,59.7,55.0,55.0,56
2008-07-08 00:00:00+05:30,53.0,54.75,50.0,53.2,2266
2008-07-09 00:00:00+05:30,62.8,62.8,52.15,53.65,3320
2008-07-10 00:00:00+05:30,56.0,62.0,53.2,60.8,19511
2008-07-11 00:00:00+05:30,64.95,69.7,60.5,68.2,53620
2008-07-14 00:00:00+05:30,69.95,76.05,67.55,74.5,73510
2008-07-15 00:00:00+05:30,75.95,75.95,65.05,68.09,322284
2008-07-16 00:00:00+05:30,69.09,70.95,60.2,61.05,31896
2008-07-17 00:00:00+05:30,64.95,64.95,59.05,60.85,11565
2008-07-18 00:00:00+05:30,57.25,61.7,57.25,60.1,4363
2008-07-21 00:00:00+05:30,60.1,62.5,59.6,61.2,8074
2008-07-22 00:00:00+05:30,62.5,64.4,61.6,63.95,4214
2008-07-23 00:00:00+05:30,66.0,70.8,64.0,69.09,24226
2008-07-24 00:00:00+05:30,65.34,67.75,62.2,63.7,3630
2008-07-25 00:00:00+05:30,64.95,64.95,63.0,63.3,717
2008-07-28 00:00:00+05:30,63.25,65.8,63.25,64.45,3153
2008-07-29 00:00:00+05:30,62.1,64.0,60.3,61.45,8870
2008-07-30 00:00:00+05:30,64.65,65.09,61.25,63.45,2241
2008-07-31 00:00:00+05:30,63.05,68.0,63.05,64.59,1933
2008-08-01 00:00:00+05:30,66.9,66.9,62.0,64.55,486
