date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,15.8,15.9,14.9,15.1,1519750
2008-01-02 00:00:00+05:30,15.3,15.9,14.8,15.65,1327010
2008-01-03 00:00:00+05:30,15.0,15.8,15.0,15.5,827520
2008-01-04 00:00:00+05:30,15.6,16.6,15.5,15.7,3070570
2008-01-07 00:00:00+05:30,15.8,16.6,15.45,15.55,5174210
2008-01-08 00:00:00+05:30,15.7,17.1,15.0,17.1,11118640
2008-01-09 00:00:00+05:30,17.25,17.85,16.3,17.25,5520320
2008-01-10 00:00:00+05:30,17.5,17.6,15.5,15.7,1640410
2008-01-11 00:00:00+05:30,15.6,16.45,15.2,15.9,1266830
2008-01-14 00:00:00+05:30,16.1,17.1,15.8,16.8,1187850
2008-01-15 00:00:00+05:30,16.9,17.0,15.8,16.0,462240
2008-01-16 00:00:00+05:30,15.3,15.9,15.0,15.45,546390
2008-01-17 00:00:00+05:30,15.7,16.15,15.5,15.7,356630
2008-01-18 00:00:00+05:30,15.65,16.15,14.5,14.9,520860
2008-01-21 00:00:00+05:30,14.7,15.8,13.4,13.45,621740
2008-01-22 00:00:00+05:30,12.5,12.5,12.1,12.1,11260
2008-01-23 00:00:00+05:30,12.5,13.25,10.9,12.05,649140
2008-01-24 00:00:00+05:30,12.9,12.9,10.85,11.05,416460
2008-01-25 00:00:00+05:30,11.05,11.6,11.05,11.6,290950
2008-01-28 00:00:00+05:30,11.85,12.2,11.45,12.2,515570
2008-01-29 00:00:00+05:30,12.8,12.8,12.45,12.8,128800
2008-01-30 00:00:00+05:30,13.3,13.4,12.9,13.4,919870
2008-01-31 00:00:00+05:30,14.1,14.1,12.9,13.95,662620
2008-02-01 00:00:00+05:30,14.35,14.4,13.7,13.85,353560
2008-02-04 00:00:00+05:30,14.0,14.5,14.0,14.35,426430
2008-02-05 00:00:00+05:30,14.4,15.05,14.3,15.05,195830
2008-02-06 00:00:00+05:30,14.8,15.45,14.3,15.1,560280
2008-02-07 00:00:00+05:30,15.2,15.75,14.35,14.55,356000
2008-02-08 00:00:00+05:30,15.0,15.0,13.9,14.5,241940
2008-02-11 00:00:00+05:30,14.1,14.3,13.75,13.8,178920
2008-02-12 00:00:00+05:30,13.4,14.2,13.1,13.35,261570
