date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,84.8,98.75,82.0,98.45,201003
2008-01-02 00:00:00+05:30,103.9,110.0,90.5,95.6,59206
2008-01-03 00:00:00+05:30,97.9,98.0,90.0,91.0,32753
2008-01-04 00:00:00+05:30,93.25,94.65,88.0,88.15,17698
2008-01-07 00:00:00+05:30,88.0,91.9,88.0,90.4,17352
2008-01-08 00:00:00+05:30,94.5,95.5,85.0,89.15,45209
2008-01-09 00:00:00+05:30,86.0,88.3,83.45,84.35,19511
2008-01-10 00:00:00+05:30,85.15,88.8,80.0,81.0,16733
2008-01-11 00:00:00+05:30,77.59,84.0,77.59,80.05,6739
2008-01-14 00:00:00+05:30,77.25,83.0,77.25,79.3,5607
2008-01-15 00:00:00+05:30,79.25,80.0,78.0,78.8,6327
2008-01-16 00:00:00+05:30,78.65,78.65,75.0,76.09,2649
2008-01-17 00:00:00+05:30,77.95,83.0,77.95,81.15,7085
2008-01-18 00:00:00+05:30,73.3,82.85,73.3,78.2,6822
2008-01-21 00:00:00+05:30,77.09,81.5,62.6,63.9,16990
2008-01-22 00:00:00+05:30,51.2,62.0,51.2,61.25,3033
2008-01-23 00:00:00+05:30,69.9,71.5,61.0,62.65,10865
2008-01-24 00:00:00+05:30,63.0,67.4,60.0,60.5,8973
2008-01-25 00:00:00+05:30,61.25,64.0,60.65,63.95,5524
2008-01-28 00:00:00+05:30,61.25,62.0,60.0,61.0,9401
2008-01-29 00:00:00+05:30,62.1,63.35,62.0,62.7,2701
2008-01-30 00:00:00+05:30,62.75,63.0,61.55,62.9,2600
2008-01-31 00:00:00+05:30,61.55,61.55,58.2,59.9,3732
2008-02-01 00:00:00+05:30,61.0,61.45,59.95,60.6,3017
2008-02-04 00:00:00+05:30,61.05,64.0,61.05,63.0,5105
2008-02-05 00:00:00+05:30,61.15,64.5,61.05,64.0,4276
2008-02-06 00:00:00+05:30,62.95,65.9,62.95,64.25,4285
2008-02-07 00:00:00+05:30,64.15,66.45,62.1,62.2,2906
2008-02-08 00:00:00+05:30,65.0,65.0,60.1,60.65,1991
2008-02-11 00:00:00+05:30,60.65,63.45,57.15,57.95,2486
2008-02-12 00:00:00+05:30,56.35,61.45,56.35,57.2,2881
2008-02-13 00:00:00+05:30,57.2,57.2,54.0,54.75,4271
2008-02-14 00:00:00+05:30,55.45,58.65,55.45,57.75,16503
2008-02-15 00:00:00+05:30,57.55,59.45,55.05,56.0,9715
2008-02-18 00:00:00+05:30,63.1,63.1,55.75,57.75,3470
2008-02-19 00:00:00+05:30,59.75,59.8,58.0,58.2,2249
2008-02-20 00:00:00+05:30,56.6,58.6,56.6,57.05,1587
2008-02-21 00:00:00+05:30,55.15,56.65,53.1,55.3,10013
2008-02-22 00:00:00+05:30,55.8,56.7,55.05,55.6,6079
2008-02-25 00:00:00+05:30,56.15,57.6,55.0,55.35,1331
