date,open,high,low,close,volume
2010-12-22 00:00:00+05:30,94.8,111.0,82.0,99.85,94966
2010-12-23 00:00:00+05:30,96.0,104.8,94.9,97.1,19243
2010-12-24 00:00:00+05:30,95.05,96.2,93.3,94.25,6745
2010-12-27 00:00:00+05:30,93.2,93.2,90.55,90.9,5921
2010-12-28 00:00:00+05:30,87.5,93.8,87.0,92.4,3757
2010-12-29 00:00:00+05:30,94.35,97.0,91.25,97.0,6449
2010-12-30 00:00:00+05:30,101.0,101.85,101.0,101.85,2965
2010-12-31 00:00:00+05:30,104.4,106.9,100.1,106.9,21135
2011-01-03 00:00:00+05:30,110.9,112.2,110.0,112.2,5577
2011-01-04 00:00:00+05:30,117.8,117.8,114.0,117.8,25713
2011-01-05 00:00:00+05:30,129.4,129.4,112.0,115.7,109686
2011-01-06 00:00:00+05:30,116.75,119.4,108.25,108.7,8239
2011-01-07 00:00:00+05:30,108.9,108.9,99.3,101.6,11975
2011-01-10 00:00:00+05:30,100.0,102.8,96.5,98.75,2174
2011-01-11 00:00:00+05:30,102.75,102.75,98.05,99.25,2968
2011-01-12 00:00:00+05:30,99.0,100.0,96.25,99.65,1740
2011-01-13 00:00:00+05:30,100.0,100.0,96.25,97.1,2037
2011-01-14 00:00:00+05:30,100.0,100.0,96.0,96.55,1381
2011-01-17 00:00:00+05:30,93.6,93.65,90.5,92.1,885
2011-01-18 00:00:00+05:30,90.25,97.8,90.1,97.2,3105
2011-01-19 00:00:00+05:30,95.0,97.3,94.0,97.0,61
2011-01-20 00:00:00+05:30,96.8,96.8,94.5,95.0,360
2011-01-21 00:00:00+05:30,95.0,96.5,93.0,93.1,1509
2011-01-24 00:00:00+05:30,93.65,95.0,93.25,95.0,1238
2011-01-25 00:00:00+05:30,94.0,94.0,90.55,91.4,920
2011-01-27 00:00:00+05:30,94.0,96.75,94.0,94.5,460
2011-01-28 00:00:00+05:30,90.1,94.0,84.55,90.3,1655
2011-01-31 00:00:00+05:30,85.25,93.0,82.5,89.6,610
2011-02-01 00:00:00+05:30,85.0,91.9,85.0,91.0,611
2011-02-02 00:00:00+05:30,84.15,90.0,84.15,86.6,165
2011-02-03 00:00:00+05:30,93.0,93.0,83.5,91.95,114
2011-02-04 00:00:00+05:30,91.75,97.8,86.0,88.3,2189
2011-02-07 00:00:00+05:30,89.35,89.35,85.5,85.5,20
2011-02-08 00:00:00+05:30,83.3,84.0,74.0,81.9,1000
2011-02-09 00:00:00+05:30,81.0,84.0,75.0,75.55,1210
2011-02-10 00:00:00+05:30,70.55,90.5,69.25,84.75,27549
2011-02-11 00:00:00+05:30,85.5,88.8,80.05,80.65,334
2011-02-14 00:00:00+05:30,76.4,88.8,76.4,83.55,483
2011-02-15 00:00:00+05:30,92.0,92.0,82.0,89.0,6104
2011-02-16 00:00:00+05:30,89.0,89.0,81.2,83.05,2936
2011-02-17 00:00:00+05:30,88.0,88.0,88.0,88.0,155
2011-02-18 00:00:00+05:30,87.0,87.0,84.0,84.0,163
2011-02-21 00:00:00+05:30,84.0,84.0,84.0,84.0,887
2011-02-22 00:00:00+05:30,81.0,84.0,81.0,81.0,1250
2011-02-23 00:00:00+05:30,77.0,84.95,77.0,83.7,24217
2011-02-24 00:00:00+05:30,79.55,80.9,75.0,77.0,615
2011-02-25 00:00:00+05:30,73.2,84.7,73.2,83.95,7627
2011-02-28 00:00:00+05:30,72.05,85.2,72.05,81.0,1150
2011-03-01 00:00:00+05:30,80.05,88.45,80.05,87.95,6305
2011-03-03 00:00:00+05:30,77.9,85.0,77.9,81.05,2105
2011-03-04 00:00:00+05:30,87.0,88.75,83.1,84.0,1877
2011-03-07 00:00:00+05:30,84.0,88.4,81.9,88.0,3600
2011-03-08 00:00:00+05:30,84.0,88.9,84.0,88.75,103
2011-03-09 00:00:00+05:30,84.0,89.0,81.15,85.8,10558
2011-03-10 00:00:00+05:30,82.05,86.5,82.05,86.5,1270
2011-03-11 00:00:00+05:30,85.9,87.2,81.59,87.2,8075
2011-03-14 00:00:00+05:30,85.0,89.75,78.0,80.65,12293
2011-03-15 00:00:00+05:30,80.0,83.5,76.05,83.5,2802
2011-03-16 00:00:00+05:30,78.05,86.0,78.05,80.5,185
2011-03-17 00:00:00+05:30,80.0,80.0,79.5,79.5,1100
2011-03-18 00:00:00+05:30,75.25,79.95,75.0,79.05,2057
2011-03-21 00:00:00+05:30,77.05,84.0,75.25,76.25,836
2011-03-22 00:00:00+05:30,76.55,81.0,75.25,77.25,17102
2011-03-23 00:00:00+05:30,73.05,82.95,73.05,78.7,1073
2011-03-24 00:00:00+05:30,76.5,78.5,76.5,76.5,670
2011-03-25 00:00:00+05:30,76.0,85.0,76.0,81.25,3865
2011-03-28 00:00:00+05:30,78.0,84.75,77.3,80.0,8126
2011-03-29 00:00:00+05:30,80.0,83.5,78.0,82.0,680
2011-03-30 00:00:00+05:30,84.05,84.05,78.55,78.55,83
2011-03-31 00:00:00+05:30,78.59,84.6,78.59,80.05,1377
2011-04-01 00:00:00+05:30,78.3,82.0,78.2,82.0,268
2011-04-04 00:00:00+05:30,81.7,89.8,81.5,88.5,3075
2011-04-05 00:00:00+05:30,86.2,88.9,80.25,87.05,5532
2011-04-06 00:00:00+05:30,86.5,89.0,86.5,88.55,621
2011-04-07 00:00:00+05:30,89.5,89.5,80.0,81.9,16674
2011-04-08 00:00:00+05:30,82.0,83.5,80.59,82.4,478
2011-04-11 00:00:00+05:30,85.75,86.0,81.2,81.65,2410
2011-04-13 00:00:00+05:30,84.9,84.9,81.0,82.8,1876
2011-04-15 00:00:00+05:30,81.8,84.95,81.8,82.9,331
2011-04-18 00:00:00+05:30,80.2,84.85,80.09,80.2,684
2011-04-19 00:00:00+05:30,80.0,83.65,78.75,79.05,1744
2011-04-20 00:00:00+05:30,79.0,84.75,78.3,81.65,6922
2011-04-25 00:00:00+05:30,79.0,84.0,79.0,84.0,1000
2011-04-26 00:00:00+05:30,80.0,82.95,79.25,79.84,5008
2011-04-27 00:00:00+05:30,80.0,84.4,80.0,80.15,11966
2011-04-28 00:00:00+05:30,80.0,80.2,80.0,80.2,6515
2011-04-29 00:00:00+05:30,80.09,83.1,79.09,79.09,13060
2011-05-02 00:00:00+05:30,80.0,80.0,80.0,80.0,1381
2011-05-03 00:00:00+05:30,82.6,82.8,80.0,80.0,644
2011-05-04 00:00:00+05:30,80.0,80.0,80.0,80.0,232
2011-05-05 00:00:00+05:30,80.0,80.0,80.0,80.0,270
2011-05-06 00:00:00+05:30,80.0,80.0,78.05,78.05,2662
2011-05-09 00:00:00+05:30,77.09,77.09,77.09,77.09,14
2011-05-10 00:00:00+05:30,77.55,77.55,77.55,77.55,35
2011-05-12 00:00:00+05:30,77.09,78.59,77.09,78.45,566
2011-05-13 00:00:00+05:30,78.0,78.0,75.8,76.3,825
2011-05-16 00:00:00+05:30,75.25,75.25,75.25,75.25,5
2011-05-17 00:00:00+05:30,77.0,77.0,77.0,77.0,1
2011-05-18 00:00:00+05:30,75.7,75.84,75.0,75.0,327
2011-05-19 00:00:00+05:30,76.95,76.95,74.65,74.65,60
2011-05-20 00:00:00+05:30,78.95,78.95,74.0,74.0,43
2011-05-24 00:00:00+05:30,71.55,73.0,71.55,73.0,60
2011-06-01 00:00:00+05:30,73.34,73.34,73.34,73.34,20
2011-06-03 00:00:00+05:30,73.05,74.0,73.05,73.7,270
2011-06-07 00:00:00+05:30,78.5,78.5,78.5,78.5,30
2011-06-08 00:00:00+05:30,74.59,74.65,74.59,74.65,110
2011-06-09 00:00:00+05:30,74.5,74.5,74.5,74.5,249
2011-06-10 00:00:00+05:30,74.5,79.8,74.15,79.8,1405
2011-06-13 00:00:00+05:30,82.5,82.7,80.0,80.0,435
2011-06-14 00:00:00+05:30,76.2,81.4,76.2,81.4,23
2011-06-15 00:00:00+05:30,77.15,77.15,75.59,76.55,685
2011-06-16 00:00:00+05:30,76.84,77.5,72.59,77.5,655
2011-06-17 00:00:00+05:30,77.95,77.95,77.75,77.75,54
2011-06-20 00:00:00+05:30,80.0,80.0,73.0,75.0,2036
2011-06-21 00:00:00+05:30,73.05,74.95,73.05,74.95,105
2011-06-22 00:00:00+05:30,73.0,73.0,73.0,73.0,910
2011-06-23 00:00:00+05:30,72.65,72.65,72.0,72.0,2991
2011-06-27 00:00:00+05:30,75.45,75.45,72.0,72.9,691
2011-06-28 00:00:00+05:30,79.0,79.0,75.05,77.8,851
2011-06-29 00:00:00+05:30,78.4,78.8,75.55,76.0,468
2011-06-30 00:00:00+05:30,81.0,85.0,81.0,85.0,125
2011-07-01 00:00:00+05:30,84.8,84.8,80.15,84.25,264
2011-07-04 00:00:00+05:30,85.25,86.35,82.0,82.0,1143
2011-07-05 00:00:00+05:30,82.1,83.0,82.0,82.0,274
2011-07-06 00:00:00+05:30,80.25,81.0,80.25,81.0,77
2011-07-07 00:00:00+05:30,79.09,88.35,79.09,84.4,2072
2011-07-08 00:00:00+05:30,82.0,85.8,79.0,79.45,2668
2011-07-12 00:00:00+05:30,81.0,82.75,80.0,81.75,820
2011-07-13 00:00:00+05:30,84.45,84.45,81.0,82.0,391
2011-07-14 00:00:00+05:30,83.95,85.0,83.0,83.7,3971
2011-07-15 00:00:00+05:30,83.0,87.75,83.0,87.35,1724
2011-07-18 00:00:00+05:30,88.8,88.9,83.0,83.0,1325
2011-07-19 00:00:00+05:30,86.0,88.45,83.0,83.55,52800
2011-07-20 00:00:00+05:30,87.0,89.5,86.0,86.85,33516
2011-07-21 00:00:00+05:30,84.7,88.0,84.65,86.0,5674
2011-07-22 00:00:00+05:30,89.0,89.45,86.25,88.4,17353
2011-07-25 00:00:00+05:30,89.0,89.5,85.6,88.1,8728
2011-07-26 00:00:00+05:30,87.0,89.9,87.0,87.95,1732
2011-07-27 00:00:00+05:30,87.0,87.9,85.3,86.9,3495
2011-07-28 00:00:00+05:30,85.0,85.0,82.6,83.1,1540
2011-07-29 00:00:00+05:30,82.2,87.0,82.2,83.1,2345
2011-08-01 00:00:00+05:30,84.9,85.5,83.0,84.8,4138
2011-08-03 00:00:00+05:30,81.0,83.0,80.0,80.75,1325
2011-08-04 00:00:00+05:30,82.5,82.55,81.25,81.3,1720
2011-08-05 00:00:00+05:30,85.65,85.65,79.0,79.0,623
2011-08-08 00:00:00+05:30,79.0,79.0,73.65,73.95,3210
2011-08-09 00:00:00+05:30,76.0,76.0,75.0,75.0,573
2011-08-10 00:00:00+05:30,77.0,78.95,76.0,76.0,1422
2011-08-11 00:00:00+05:30,79.75,79.75,77.95,77.95,182
2011-08-12 00:00:00+05:30,73.5,79.0,73.5,79.0,270
2011-08-16 00:00:00+05:30,75.15,75.15,73.3,73.3,24
2011-08-17 00:00:00+05:30,73.05,74.0,73.05,74.0,238
2011-08-18 00:00:00+05:30,79.45,80.75,72.09,77.9,1080
2011-08-19 00:00:00+05:30,73.0,73.0,70.0,70.34,1510
2011-08-22 00:00:00+05:30,72.0,75.0,69.05,74.8,1039
2011-08-23 00:00:00+05:30,76.5,77.0,73.0,77.0,143
2011-08-24 00:00:00+05:30,75.0,76.5,75.0,75.0,1693
2011-08-25 00:00:00+05:30,71.65,78.5,71.65,78.5,65
2011-08-26 00:00:00+05:30,78.75,78.75,73.0,73.05,315
2011-08-29 00:00:00+05:30,72.0,72.55,72.0,72.55,671
2011-08-30 00:00:00+05:30,71.09,76.5,71.09,76.5,304
2011-09-05 00:00:00+05:30,76.0,76.5,76.0,76.45,830
2011-09-06 00:00:00+05:30,72.0,72.0,72.0,72.0,400
2011-09-07 00:00:00+05:30,71.25,73.5,71.25,72.2,1977
2011-09-08 00:00:00+05:30,72.3,74.45,71.05,72.9,1560
2011-09-09 00:00:00+05:30,72.95,74.0,72.95,74.0,130
2011-09-12 00:00:00+05:30,72.0,72.0,71.0,71.45,153
2011-09-13 00:00:00+05:30,71.59,71.59,71.5,71.55,178
2011-09-14 00:00:00+05:30,72.0,74.75,71.0,74.75,4825
2011-09-15 00:00:00+05:30,75.0,76.5,75.0,76.45,58
2011-09-16 00:00:00+05:30,72.0,75.75,70.8,73.05,184
2011-09-20 00:00:00+05:30,76.5,76.5,75.0,75.0,209
2011-09-21 00:00:00+05:30,76.5,76.5,71.75,72.0,12177
2011-09-22 00:00:00+05:30,73.8,75.0,69.5,74.2,1239
2011-09-23 00:00:00+05:30,72.0,74.0,72.0,74.0,1150
2011-09-26 00:00:00+05:30,74.0,74.0,74.0,74.0,100
2011-09-27 00:00:00+05:30,70.5,74.0,70.2,72.75,286
2011-09-28 00:00:00+05:30,74.5,74.5,70.0,70.9,1056
2011-09-29 00:00:00+05:30,70.3,70.4,70.3,70.4,71
2011-09-30 00:00:00+05:30,71.0,71.0,67.25,69.95,1141
2011-10-03 00:00:00+05:30,73.95,73.95,70.05,70.05,60
2011-10-04 00:00:00+05:30,70.09,70.09,57.0,62.8,14418
2011-10-05 00:00:00+05:30,64.9,64.9,62.5,62.9,516
2011-10-07 00:00:00+05:30,65.84,66.7,64.0,65.59,377
2011-10-10 00:00:00+05:30,60.3,65.45,60.3,65.34,1893
2011-10-13 00:00:00+05:30,66.5,66.5,66.05,66.4,35
2011-10-14 00:00:00+05:30,66.0,66.0,66.0,66.0,17
2011-10-17 00:00:00+05:30,69.59,71.9,69.59,70.0,710
2011-10-19 00:00:00+05:30,65.34,66.0,65.34,65.7,21
2011-10-20 00:00:00+05:30,65.5,69.8,65.15,69.8,80
2011-10-21 00:00:00+05:30,65.55,70.0,65.55,69.95,1041
2011-10-24 00:00:00+05:30,66.2,68.65,66.0,68.0,1095
2011-10-26 00:00:00+05:30,65.05,71.95,65.05,68.5,2
2011-10-28 00:00:00+05:30,67.0,70.0,67.0,70.0,900
2011-10-31 00:00:00+05:30,69.0,70.0,69.0,69.7,490
2011-11-01 00:00:00+05:30,72.0,74.0,68.05,73.95,1638
2011-11-02 00:00:00+05:30,72.09,72.09,72.09,72.09,50
2011-11-03 00:00:00+05:30,72.0,76.0,72.0,76.0,80
2011-11-04 00:00:00+05:30,78.0,78.0,72.5,72.7,325
2011-11-08 00:00:00+05:30,72.09,75.0,70.0,74.45,103
2011-11-09 00:00:00+05:30,74.9,75.0,74.9,74.95,300
2011-11-11 00:00:00+05:30,79.0,80.0,74.0,75.0,512
2011-11-14 00:00:00+05:30,75.0,75.0,69.9,70.0,811
2011-11-15 00:00:00+05:30,70.0,70.0,67.25,67.25,80
2011-11-16 00:00:00+05:30,65.0,66.0,65.0,66.0,300
2011-11-17 00:00:00+05:30,66.0,73.75,63.4,63.8,67
2011-11-18 00:00:00+05:30,65.0,65.0,65.0,65.0,250
2011-11-21 00:00:00+05:30,71.95,71.95,64.05,64.09,290
