date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,15.25,15.38,13.5,14.28,294974
2008-01-02 00:00:00+05:30,15.4,15.65,12.86,14.44,281246
2008-01-03 00:00:00+05:30,14.5,15.41,14.0,14.44,213429
2008-01-04 00:00:00+05:30,15.88,15.88,13.15,13.47,189088
2008-01-07 00:00:00+05:30,12.6,14.81,12.35,14.8,264402
2008-01-08 00:00:00+05:30,16.28,16.28,13.33,13.74,297270
2008-01-09 00:00:00+05:30,13.8,13.8,12.52,13.03,136045
2008-01-10 00:00:00+05:30,13.99,13.99,11.73,11.83,79386
2008-01-11 00:00:00+05:30,11.06,12.0,10.65,10.81,83305
2008-01-14 00:00:00+05:30,10.01,11.88,10.01,11.43,55213
2008-01-15 00:00:00+05:30,11.5,12.2,11.4,11.6,36428
2008-01-16 00:00:00+05:30,11.94,12.0,10.45,11.46,43129
2008-01-17 00:00:00+05:30,10.52,12.0,10.52,11.6,32115
2008-01-18 00:00:00+05:30,11.5,12.0,10.6,10.82,40886
2008-01-21 00:00:00+05:30,10.02,10.5,9.74,9.74,53122
2008-01-22 00:00:00+05:30,9.5,9.5,8.77,8.77,7115
2008-01-23 00:00:00+05:30,9.0,9.0,7.9,7.95,32787
2008-01-24 00:00:00+05:30,7.56,8.34,7.56,7.84,38371
2008-01-25 00:00:00+05:30,8.08,8.23,7.56,8.23,22414
2008-01-28 00:00:00+05:30,8.5,8.5,8.1,8.24,6142
2008-01-29 00:00:00+05:30,8.65,8.65,8.5,8.65,12916
2008-01-30 00:00:00+05:30,9.08,9.08,8.3,8.59,13470
2008-01-31 00:00:00+05:30,8.31,8.72,8.22,8.44,9247
2008-02-01 00:00:00+05:30,8.75,8.75,8.25,8.31,8103
2008-02-04 00:00:00+05:30,8.16,8.72,8.16,8.72,8566
2008-02-05 00:00:00+05:30,9.15,9.15,9.15,9.15,4101
2008-02-06 00:00:00+05:30,9.5,9.6,8.69,9.6,19912
2008-02-07 00:00:00+05:30,10.08,10.08,9.3,9.61,31090
2008-02-08 00:00:00+05:30,9.69,9.99,9.14,9.18,15957
2008-02-11 00:00:00+05:30,8.75,9.57,8.73,8.99,13480
2008-02-12 00:00:00+05:30,8.56,9.25,8.55,9.1,11451
2008-02-13 00:00:00+05:30,9.4,9.4,8.65,8.65,8050
2008-02-14 00:00:00+05:30,8.26,9.02,8.26,8.97,8643
2008-02-15 00:00:00+05:30,8.56,9.02,8.52,9.0,22620
2008-02-18 00:00:00+05:30,9.0,9.4,8.6,8.88,13149
2008-02-19 00:00:00+05:30,8.6,8.99,8.5,8.77,8602
2008-02-20 00:00:00+05:30,8.6,8.92,8.35,8.38,7555
2008-02-21 00:00:00+05:30,8.4,8.48,8.11,8.33,12110
2008-02-22 00:00:00+05:30,8.33,8.39,8.0,8.33,8115
2008-02-25 00:00:00+05:30,8.19,8.3,8.05,8.23,8791
2008-02-26 00:00:00+05:30,8.05,8.19,8.05,8.06,3585
2008-02-27 00:00:00+05:30,8.3,8.46,8.3,8.46,5230
2008-02-28 00:00:00+05:30,8.4,8.46,8.1,8.19,21651
2008-02-29 00:00:00+05:30,8.13,8.5,8.05,8.07,15201
2008-03-03 00:00:00+05:30,7.85,8.0,7.85,7.85,10471
2008-03-04 00:00:00+05:30,7.48,7.8,7.46,7.46,6431
2008-03-05 00:00:00+05:30,7.1,7.25,7.09,7.16,11720
2008-03-07 00:00:00+05:30,6.9,6.99,6.81,6.99,5095
2008-03-10 00:00:00+05:30,6.75,7.49,6.3,6.35,28735
2008-03-11 00:00:00+05:30,6.95,6.98,6.95,6.98,1834
2008-03-12 00:00:00+05:30,7.65,7.65,6.6,7.05,11076
2008-03-13 00:00:00+05:30,6.96,6.96,6.35,6.35,10701
2008-03-14 00:00:00+05:30,6.75,6.75,5.72,6.01,49310
2008-03-17 00:00:00+05:30,5.5,6.44,5.42,5.85,31161
2008-03-18 00:00:00+05:30,5.8,6.41,5.41,5.9,9680
2008-03-19 00:00:00+05:30,5.35,6.0,5.35,5.97,6505
2008-03-24 00:00:00+05:30,5.6,5.79,5.38,5.5,26350
2008-03-25 00:00:00+05:30,4.98,6.05,4.98,5.68,15206
2008-03-26 00:00:00+05:30,5.8,5.95,5.65,5.69,11298
2008-03-27 00:00:00+05:30,5.7,6.0,5.27,5.98,16878
2008-03-28 00:00:00+05:30,5.99,6.57,5.5,6.48,26343
2008-03-31 00:00:00+05:30,6.0,7.12,6.0,6.75,15121
2008-04-01 00:00:00+05:30,7.4,7.4,6.08,6.58,12218
2008-04-02 00:00:00+05:30,6.85,7.17,6.85,6.85,4163
2008-04-03 00:00:00+05:30,6.27,7.1,6.27,6.7,5801
2008-04-04 00:00:00+05:30,6.87,7.2,6.3,6.51,4052
2008-04-07 00:00:00+05:30,6.17,6.69,5.86,6.04,22661
2008-04-08 00:00:00+05:30,6.1,6.1,5.92,5.97,5600
2008-04-09 00:00:00+05:30,5.93,6.09,5.93,6.04,6861
2008-04-10 00:00:00+05:30,5.95,6.24,5.95,6.14,8548
2008-04-11 00:00:00+05:30,6.01,6.45,6.01,6.15,6908
2008-04-15 00:00:00+05:30,6.31,6.6,6.01,6.31,6954
2008-04-16 00:00:00+05:30,6.73,6.85,6.53,6.61,3300
2008-04-17 00:00:00+05:30,6.61,7.0,6.48,6.5,7601
2008-04-21 00:00:00+05:30,6.84,6.96,6.65,6.78,6632
2008-04-22 00:00:00+05:30,6.8,7.32,6.8,6.93,10400
2008-04-23 00:00:00+05:30,6.57,6.95,6.57,6.95,3000
2008-04-24 00:00:00+05:30,7.2,7.2,6.75,6.99,8201
2008-04-25 00:00:00+05:30,6.61,7.0,6.61,6.84,8875
2008-04-28 00:00:00+05:30,7.04,7.04,6.35,6.38,7942
2008-04-29 00:00:00+05:30,6.25,6.79,6.16,6.33,14390
2008-04-30 00:00:00+05:30,6.36,6.58,6.36,6.58,1879
2008-05-02 00:00:00+05:30,6.8,6.8,6.11,6.26,5248
2008-05-05 00:00:00+05:30,6.5,6.6,6.36,6.53,6482
2008-05-06 00:00:00+05:30,6.5,6.7,6.32,6.34,5421
2008-05-07 00:00:00+05:30,6.36,6.47,6.26,6.26,8960
2008-05-08 00:00:00+05:30,6.26,6.4,6.2,6.27,3410
