date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,22.1,22.1,22.1,22.1,20686
2008-01-02 00:00:00+05:30,23.2,23.2,23.2,23.2,24357
2008-01-03 00:00:00+05:30,24.35,24.35,24.35,24.35,20055
2008-01-04 00:00:00+05:30,25.55,25.55,25.55,25.55,27488
2008-01-07 00:00:00+05:30,26.8,26.8,24.3,24.3,86606
2008-01-08 00:00:00+05:30,23.1,23.1,23.1,23.1,20500
2008-01-09 00:00:00+05:30,21.95,21.95,21.95,21.95,4400
2008-01-10 00:00:00+05:30,20.9,20.9,20.9,20.9,6569
2008-01-11 00:00:00+05:30,19.89,19.89,19.89,19.89,3757
2008-01-14 00:00:00+05:30,18.95,18.95,18.95,18.95,276
2008-01-15 00:00:00+05:30,18.05,18.05,18.05,18.05,460
2008-01-16 00:00:00+05:30,17.14,17.14,17.14,17.14,875
2008-01-17 00:00:00+05:30,16.3,18.0,16.3,16.5,65240
2008-01-18 00:00:00+05:30,16.75,16.75,15.7,15.7,17201
2008-01-21 00:00:00+05:30,15.5,15.7,14.95,14.95,7826
2008-01-22 00:00:00+05:30,14.25,14.25,14.25,14.25,2190
2008-01-23 00:00:00+05:30,13.55,13.55,13.55,13.55,3100
2008-01-24 00:00:00+05:30,12.9,12.9,12.9,12.9,8569
2008-01-25 00:00:00+05:30,12.3,12.3,12.3,12.3,1565
2008-01-28 00:00:00+05:30,12.0,12.0,11.7,11.7,1952
2008-01-29 00:00:00+05:30,11.15,11.15,11.15,11.15,4602
2008-01-30 00:00:00+05:30,10.6,10.6,10.6,10.6,4711
2008-01-31 00:00:00+05:30,10.1,11.0,10.1,10.6,14079
2008-02-01 00:00:00+05:30,11.0,11.0,10.08,10.58,5560
2008-02-04 00:00:00+05:30,10.51,11.1,10.36,11.1,12290
2008-02-05 00:00:00+05:30,10.95,11.65,10.6,11.65,9394
2008-02-06 00:00:00+05:30,12.05,12.23,11.15,12.0,10794
2008-02-07 00:00:00+05:30,11.41,12.57,11.41,12.07,13000
