date,open,high,low,close,volume
2009-01-19 00:00:00+05:30,3.0,10.0,3.0,10.0,200
2009-01-20 00:00:00+05:30,10.5,10.5,10.5,10.5,200
2009-01-23 00:00:00+05:30,9.98,11.02,9.98,11.02,200
2009-01-27 00:00:00+05:30,10.47,10.47,10.47,10.47,200
2009-01-28 00:00:00+05:30,9.94,9.94,9.94,9.94,100
2009-01-29 00:00:00+05:30,9.46,9.46,9.46,9.46,100
2009-01-30 00:00:00+05:30,9.05,9.05,9.05,9.05,100
2009-02-06 00:00:00+05:30,9.5,9.5,9.0,9.5,400
2009-02-09 00:00:00+05:30,9.97,9.97,9.97,9.97,100
2009-02-10 00:00:00+05:30,9.48,9.48,9.48,9.48,100
2009-02-11 00:00:00+05:30,9.01,9.01,9.01,9.01,100
2009-02-12 00:00:00+05:30,8.56,8.56,8.56,8.56,100
2009-02-13 00:00:00+05:30,8.5,8.98,8.14,8.14,300
2009-02-17 00:00:00+05:30,7.36,7.36,7.36,7.36,100
2009-02-18 00:00:00+05:30,7.0,7.0,7.0,7.0,1200
2009-02-19 00:00:00+05:30,6.66,6.66,6.66,6.66,100
2009-02-20 00:00:00+05:30,6.33,6.33,6.33,6.33,100
2009-02-24 00:00:00+05:30,6.02,6.02,6.02,6.02,500
2009-02-25 00:00:00+05:30,5.75,5.75,5.75,5.75,100
2009-02-26 00:00:00+05:30,5.47,5.47,5.47,5.47,100
2009-02-27 00:00:00+05:30,5.22,5.74,5.22,5.22,1200
2009-03-02 00:00:00+05:30,4.97,4.97,4.97,4.97,100
2009-03-03 00:00:00+05:30,4.73,4.73,4.73,4.73,500
2009-03-04 00:00:00+05:30,4.5,4.5,4.5,4.5,200
2009-03-05 00:00:00+05:30,4.28,4.72,4.28,4.28,300
2009-03-06 00:00:00+05:30,4.07,4.07,4.07,4.07,200
2009-03-09 00:00:00+05:30,3.87,3.87,3.87,3.87,100
2009-03-12 00:00:00+05:30,3.68,3.68,3.68,3.68,200
2009-03-13 00:00:00+05:30,3.55,3.55,3.55,3.55,200
2009-03-16 00:00:00+05:30,3.38,3.38,3.38,3.38,100
2009-06-23 00:00:00+05:30,3.54,3.54,3.54,3.54,200
2009-07-15 00:00:00+05:30,3.56,3.56,3.55,3.55,300
2009-08-05 00:00:00+05:30,3.72,3.72,3.72,3.72,200
2009-10-05 00:00:00+05:30,3.9,3.9,3.9,3.9,400
2009-11-04 00:00:00+05:30,4.09,4.09,4.09,4.09,100
2009-12-11 00:00:00+05:30,3.92,4.29,3.92,4.29,300
2009-12-14 00:00:00+05:30,4.5,4.5,4.5,4.5,200
2009-12-17 00:00:00+05:30,4.72,4.72,4.72,4.72,100
2009-12-18 00:00:00+05:30,4.95,4.95,4.95,4.95,200
2010-01-12 00:00:00+05:30,5.19,5.19,5.19,5.19,100
2010-01-21 00:00:00+05:30,5.43,5.43,5.43,5.43,100
2010-02-09 00:00:00+05:30,5.5,5.5,5.5,5.5,700
2010-02-19 00:00:00+05:30,5.77,5.77,5.77,5.77,100
2010-02-22 00:00:00+05:30,6.05,6.05,6.05,6.05,200
2010-03-18 00:00:00+05:30,6.35,6.35,6.35,6.35,1300
2010-04-26 00:00:00+05:30,6.66,6.66,6.66,6.66,200
2010-05-13 00:00:00+05:30,6.99,6.99,6.99,6.99,600
2010-05-18 00:00:00+05:30,7.33,7.33,7.33,7.33,500
2010-05-19 00:00:00+05:30,7.69,7.69,7.69,7.69,100
2010-06-09 00:00:00+05:30,8.07,8.07,8.06,8.07,4500
2010-06-10 00:00:00+05:30,8.47,8.47,8.47,8.47,500
2010-06-11 00:00:00+05:30,8.89,8.89,8.89,8.89,600
2010-06-14 00:00:00+05:30,9.33,9.33,9.33,9.33,300
2010-06-15 00:00:00+05:30,9.78,9.78,9.78,9.78,800
2010-06-16 00:00:00+05:30,10.27,10.27,10.27,10.27,1300
2010-06-18 00:00:00+05:30,10.78,10.78,10.78,10.78,100
2010-06-22 00:00:00+05:30,11.31,11.31,11.31,11.31,100
2010-06-23 00:00:00+05:30,11.87,11.87,11.87,11.87,300
2010-06-24 00:00:00+05:30,12.46,12.46,12.46,12.46,100
2010-06-25 00:00:00+05:30,13.08,13.08,13.08,13.08,800
2010-06-28 00:00:00+05:30,13.73,13.73,13.73,13.73,700
2010-06-29 00:00:00+05:30,14.41,14.41,14.41,14.41,600
2010-06-30 00:00:00+05:30,15.13,15.13,15.13,15.13,300
2010-07-01 00:00:00+05:30,15.85,15.85,15.85,15.85,800
2010-07-02 00:00:00+05:30,16.6,16.6,16.6,16.6,800
2010-07-05 00:00:00+05:30,17.39,17.39,17.39,17.39,300
2010-07-06 00:00:00+05:30,18.25,18.25,18.14,18.25,5200
2010-07-07 00:00:00+05:30,19.14,19.14,18.0,19.05,1800
2010-07-08 00:00:00+05:30,19.85,19.85,18.1,18.1,500
2010-07-09 00:00:00+05:30,17.2,17.89,17.2,17.89,1200
2010-07-12 00:00:00+05:30,17.05,17.05,17.05,17.05,500
2010-07-14 00:00:00+05:30,17.5,17.89,17.5,17.89,5100
2010-07-15 00:00:00+05:30,17.05,18.75,17.05,18.75,1200
2010-07-16 00:00:00+05:30,19.64,19.64,19.64,19.64,2400
2010-07-19 00:00:00+05:30,20.6,20.6,20.55,20.6,3700
2010-07-20 00:00:00+05:30,21.6,21.6,21.6,21.6,2500
2010-07-21 00:00:00+05:30,22.65,22.65,22.5,22.6,800
2010-07-22 00:00:00+05:30,22.6,22.9,22.6,22.9,200
2010-07-23 00:00:00+05:30,22.8,22.8,21.8,21.8,600
2010-07-26 00:00:00+05:30,22.0,22.0,20.8,20.85,3300
2010-07-27 00:00:00+05:30,20.05,20.05,19.89,19.89,2000
2010-07-28 00:00:00+05:30,19.0,20.85,19.0,20.85,3500
2010-07-29 00:00:00+05:30,21.75,21.85,21.75,21.85,2000
2010-07-30 00:00:00+05:30,22.5,22.9,21.1,22.85,3100
2010-08-02 00:00:00+05:30,21.75,22.9,21.75,22.9,600
2010-08-03 00:00:00+05:30,22.9,23.2,21.8,21.8,900
2010-08-04 00:00:00+05:30,22.25,22.25,20.75,20.75,1300
2010-08-05 00:00:00+05:30,21.75,21.75,19.95,21.0,5200
2010-08-06 00:00:00+05:30,21.0,21.0,20.1,20.1,700
2010-08-09 00:00:00+05:30,19.14,19.14,19.14,19.14,400
2010-08-10 00:00:00+05:30,18.55,20.1,18.55,20.1,3500
2010-08-11 00:00:00+05:30,19.1,19.1,19.1,19.1,500
2010-08-12 00:00:00+05:30,20.05,20.05,18.14,18.14,1800
2010-08-13 00:00:00+05:30,19.0,19.05,19.0,19.0,2100
2010-08-16 00:00:00+05:30,19.95,19.95,19.95,19.95,2500
2010-08-17 00:00:00+05:30,20.0,20.0,19.5,19.5,400
2010-08-18 00:00:00+05:30,19.0,20.45,19.0,20.39,2500
2010-08-19 00:00:00+05:30,19.39,19.39,19.39,19.39,100
2010-08-20 00:00:00+05:30,19.5,19.5,19.5,19.5,200
2010-08-23 00:00:00+05:30,19.7,19.7,19.7,19.7,500
2010-08-25 00:00:00+05:30,19.0,19.0,19.0,19.0,1000
2010-08-26 00:00:00+05:30,19.0,19.0,19.0,19.0,1000
