date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,31.65,32.2,30.5,30.7,36193
2008-01-02 00:00:00+05:30,30.85,36.6,29.05,34.85,325939
2008-01-03 00:00:00+05:30,34.55,35.55,33.4,33.9,139896
2008-01-04 00:00:00+05:30,34.0,34.55,31.05,31.35,82251
2008-01-07 00:00:00+05:30,32.25,32.5,30.0,30.9,49173
2008-01-08 00:00:00+05:30,31.7,31.85,29.3,30.35,99402
2008-01-09 00:00:00+05:30,28.8,32.0,28.8,31.4,72408
2008-01-10 00:00:00+05:30,32.55,32.7,28.8,29.0,51943
2008-01-11 00:00:00+05:30,29.0,29.0,27.45,27.7,34117
2008-01-14 00:00:00+05:30,28.8,31.05,28.8,30.25,56169
2008-01-15 00:00:00+05:30,30.95,31.25,29.9,30.75,48059
2008-01-16 00:00:00+05:30,30.2,30.65,29.2,29.75,52911
2008-01-17 00:00:00+05:30,30.65,31.85,30.5,30.75,55634
2008-01-18 00:00:00+05:30,31.05,33.95,30.15,30.65,182404
2008-01-21 00:00:00+05:30,30.85,32.1,24.75,26.2,115648
2008-01-22 00:00:00+05:30,25.85,25.85,22.4,24.55,33034
2008-01-23 00:00:00+05:30,25.6,28.65,23.55,26.6,18235
2008-01-24 00:00:00+05:30,27.25,28.05,26.45,26.55,40893
2008-01-25 00:00:00+05:30,26.6,28.3,26.45,27.7,24558
2008-01-28 00:00:00+05:30,25.85,28.75,25.85,28.25,13747
2008-01-29 00:00:00+05:30,28.85,30.4,27.55,28.8,17375
2008-01-30 00:00:00+05:30,28.9,29.55,27.15,29.3,40933
2008-01-31 00:00:00+05:30,29.65,29.65,27.95,28.95,11918
2008-02-01 00:00:00+05:30,29.4,30.1,28.15,29.75,42660
2008-02-04 00:00:00+05:30,30.0,30.5,29.55,30.35,12124
2008-02-05 00:00:00+05:30,29.65,30.4,29.55,29.9,13483
2008-02-06 00:00:00+05:30,29.1,30.4,27.75,29.8,7226
2008-02-07 00:00:00+05:30,30.25,31.05,29.65,30.7,48546
2008-02-08 00:00:00+05:30,30.75,31.5,27.7,30.15,30467
2008-02-11 00:00:00+05:30,29.9,30.25,28.8,29.7,697415
2008-02-12 00:00:00+05:30,29.3,30.1,27.15,29.85,80122
2008-02-13 00:00:00+05:30,29.9,30.4,27.7,29.9,33035
2008-02-14 00:00:00+05:30,30.0,30.15,29.45,29.9,12864
2008-02-15 00:00:00+05:30,28.9,30.5,28.9,29.9,12427
2008-02-18 00:00:00+05:30,30.85,30.95,28.85,29.25,12748
2008-02-19 00:00:00+05:30,30.2,30.2,29.0,29.95,11868
2008-02-20 00:00:00+05:30,29.9,29.9,27.55,27.85,14103
2008-02-21 00:00:00+05:30,28.85,32.65,28.55,29.6,133491
2008-02-22 00:00:00+05:30,28.8,29.8,27.8,28.1,17269
2008-02-25 00:00:00+05:30,28.15,30.7,27.15,29.95,45380
2008-02-26 00:00:00+05:30,29.7,30.5,29.3,29.95,16495
2008-02-27 00:00:00+05:30,30.4,30.75,30.0,30.25,15158
2008-02-28 00:00:00+05:30,30.65,30.65,29.15,30.0,6146
2008-02-29 00:00:00+05:30,29.9,30.95,29.9,30.7,49207
2008-03-03 00:00:00+05:30,30.3,30.55,29.55,29.95,13972
2008-03-04 00:00:00+05:30,30.35,31.5,29.3,30.25,249041
2008-03-05 00:00:00+05:30,29.8,29.85,28.65,28.9,8506
2008-03-07 00:00:00+05:30,28.15,29.0,27.05,28.8,32500
2008-03-10 00:00:00+05:30,28.4,28.4,27.05,27.1,22508
2008-03-11 00:00:00+05:30,27.05,28.15,26.95,27.75,5456
2008-03-12 00:00:00+05:30,27.95,28.75,27.95,28.3,5258
2008-03-13 00:00:00+05:30,27.85,27.95,27.1,27.3,8556
2008-03-14 00:00:00+05:30,27.2,28.05,27.2,27.55,5192
2008-03-17 00:00:00+05:30,27.05,27.55,26.45,26.45,197447
2008-03-18 00:00:00+05:30,25.45,25.95,23.85,24.75,15042
2008-03-19 00:00:00+05:30,25.25,25.25,24.1,24.15,31427
2008-03-24 00:00:00+05:30,24.15,24.7,24.1,24.15,13112
2008-03-25 00:00:00+05:30,24.7,26.7,24.4,25.45,9486
2008-03-26 00:00:00+05:30,26.1,26.1,24.1,24.1,70649
2008-03-27 00:00:00+05:30,24.35,24.7,24.1,24.25,17301
2008-03-28 00:00:00+05:30,24.8,25.15,24.6,25.0,4885
2008-03-31 00:00:00+05:30,23.3,28.65,23.3,26.95,22878
2008-04-01 00:00:00+05:30,26.45,26.55,24.75,24.95,4501
2008-04-02 00:00:00+05:30,26.3,26.3,24.7,24.75,4071
2008-04-03 00:00:00+05:30,25.15,25.25,24.1,24.15,2715
2008-04-04 00:00:00+05:30,24.35,24.85,23.85,24.0,250358
2008-04-07 00:00:00+05:30,23.65,24.4,23.65,23.75,2794
2008-04-08 00:00:00+05:30,23.6,24.1,23.6,23.95,2569
2008-04-09 00:00:00+05:30,24.1,24.45,23.85,23.85,29408
2008-04-10 00:00:00+05:30,23.5,24.55,23.4,24.35,3619
2008-04-11 00:00:00+05:30,24.1,24.6,23.55,23.7,1694
2008-04-15 00:00:00+05:30,23.35,23.7,23.0,23.15,7516
2008-04-16 00:00:00+05:30,23.1,24.1,23.1,23.9,3521
2008-04-17 00:00:00+05:30,24.0,24.1,23.55,23.7,3929
2008-04-21 00:00:00+05:30,24.6,25.25,23.55,24.75,8319
2008-04-22 00:00:00+05:30,25.25,30.4,25.1,29.4,74800
2008-04-23 00:00:00+05:30,30.15,30.15,27.45,27.85,20053
2008-04-24 00:00:00+05:30,27.95,28.4,25.6,26.1,5582
2008-04-25 00:00:00+05:30,25.25,26.45,25.25,25.8,6612
2008-04-28 00:00:00+05:30,26.45,27.05,25.85,26.25,8599
2008-04-29 00:00:00+05:30,25.85,26.45,25.45,25.8,3394
2008-04-30 00:00:00+05:30,25.85,27.1,25.7,26.45,7529
2008-05-02 00:00:00+05:30,27.4,28.65,26.2,26.7,10383
2008-05-05 00:00:00+05:30,26.7,27.8,26.7,27.55,11363
2008-05-06 00:00:00+05:30,27.85,29.4,27.55,27.6,36646
2008-05-07 00:00:00+05:30,27.2,28.55,27.2,27.8,10899
2008-05-08 00:00:00+05:30,27.55,28.25,27.55,27.95,3795
2008-05-09 00:00:00+05:30,27.3,28.5,27.15,27.8,5524
2008-05-12 00:00:00+05:30,27.05,28.8,27.05,28.15,555886
2008-05-13 00:00:00+05:30,28.3,28.95,28.15,28.55,10183
2008-05-14 00:00:00+05:30,28.15,29.1,28.15,28.7,14646
2008-05-15 00:00:00+05:30,29.3,29.3,28.55,28.6,5914
2008-05-16 00:00:00+05:30,28.15,28.35,27.85,28.15,15516
2008-05-20 00:00:00+05:30,28.65,28.65,27.05,27.1,2138
2008-05-21 00:00:00+05:30,27.05,27.3,26.7,26.95,5764
