date,open,high,low,close,volume
2015-10-09 00:00:00+05:30,6.33,6.33,6.33,6.33,50
2015-10-12 00:00:00+05:30,6.64,6.64,6.64,6.64,544
2015-10-13 00:00:00+05:30,6.97,6.97,6.97,6.97,500
2015-10-14 00:00:00+05:30,7.31,7.31,7.31,7.31,160
2015-10-15 00:00:00+05:30,7.59,7.59,7.59,7.59,400
2015-10-16 00:00:00+05:30,7.59,7.59,7.59,7.59,1389
2015-10-19 00:00:00+05:30,7.96,7.96,7.96,7.96,1151
2015-10-20 00:00:00+05:30,8.35,8.35,8.15,8.19,8897
2015-10-21 00:00:00+05:30,8.61,8.61,8.6,8.6,3400
2015-10-23 00:00:00+05:30,8.63,8.63,8.6,8.6,1200
2015-10-27 00:00:00+05:30,8.17,8.17,8.17,8.17,500
2015-10-28 00:00:00+05:30,7.77,7.77,7.77,7.77,301
2015-10-29 00:00:00+05:30,8.15,8.15,8.15,8.15,1
2015-11-02 00:00:00+05:30,8.55,8.55,8.55,8.55,1299
2015-11-03 00:00:00+05:30,8.55,8.55,8.55,8.55,1
2015-11-04 00:00:00+05:30,8.9,8.9,8.25,8.25,2201
2015-11-23 00:00:00+05:30,8.13,8.13,8.13,8.13,1311
2015-11-24 00:00:00+05:30,8.13,8.13,8.13,8.13,1000
2015-12-09 00:00:00+05:30,8.5,8.5,8.5,8.5,9
2015-12-14 00:00:00+05:30,8.52,8.52,8.52,8.52,9
2015-12-18 00:00:00+05:30,8.52,8.52,8.52,8.52,28
2015-12-21 00:00:00+05:30,8.11,8.11,8.11,8.11,2
2015-12-22 00:00:00+05:30,7.71,7.71,7.71,7.71,2050
2015-12-23 00:00:00+05:30,7.71,7.71,7.33,7.33,1489
2016-01-05 00:00:00+05:30,6.97,6.97,6.97,6.97,100
2016-01-06 00:00:00+05:30,6.63,6.63,6.63,6.63,100
2016-01-07 00:00:00+05:30,6.63,6.63,6.63,6.63,1830
2016-01-11 00:00:00+05:30,6.3,6.3,6.3,6.3,212
2016-01-12 00:00:00+05:30,5.99,5.99,5.99,5.99,100
2016-01-13 00:00:00+05:30,6.28,6.28,5.7,5.7,110
2016-01-21 00:00:00+05:30,5.42,5.42,5.42,5.42,25
2016-01-22 00:00:00+05:30,5.15,5.15,5.15,5.15,10
2016-01-25 00:00:00+05:30,5.14,5.14,5.14,5.14,125
2016-01-27 00:00:00+05:30,5.14,5.14,5.14,5.14,1200
2016-02-01 00:00:00+05:30,4.88,4.88,4.88,4.88,10
2016-02-03 00:00:00+05:30,4.66,4.66,4.66,4.66,700
2016-02-04 00:00:00+05:30,4.43,4.43,4.43,4.43,10
2016-02-05 00:00:00+05:30,4.21,4.21,4.21,4.21,99
2016-02-08 00:00:00+05:30,4.0,4.0,4.0,4.0,12
2016-02-09 00:00:00+05:30,3.8,3.8,3.8,3.8,9
2016-02-10 00:00:00+05:30,3.63,3.63,3.63,3.63,9
2016-02-18 00:00:00+05:30,3.45,3.45,3.45,3.45,100
2016-02-19 00:00:00+05:30,3.28,3.28,3.28,3.28,25
2016-02-26 00:00:00+05:30,3.14,3.14,3.13,3.13,1009
2016-02-29 00:00:00+05:30,2.98,2.98,2.98,2.98,109
2016-03-01 00:00:00+05:30,3.0,3.0,3.0,3.0,100
2016-03-02 00:00:00+05:30,2.95,2.95,2.95,2.95,290
2016-03-04 00:00:00+05:30,2.94,2.94,2.94,2.94,5
2016-03-21 00:00:00+05:30,2.95,3.08,2.94,3.08,20760
2016-03-22 00:00:00+05:30,3.22,3.23,3.0,3.23,5635
2016-03-23 00:00:00+05:30,3.39,3.39,3.39,3.39,83
2016-03-28 00:00:00+05:30,3.55,3.55,3.25,3.25,551
2016-03-29 00:00:00+05:30,3.4,3.4,3.4,3.4,1
2016-03-30 13:00:00+05:30,3.57,3.57,3.25,3.57,305
2016-03-31 00:00:00+05:30,3.4,3.74,3.4,3.74,2055
2016-04-01 00:00:00+05:30,3.91,3.92,3.89,3.92,1100
2016-04-04 00:00:00+05:30,4.1,4.1,4.1,4.1,1
2016-04-05 00:00:00+05:30,3.9,3.9,3.9,3.9,1
2016-04-06 00:00:00+05:30,4.05,4.05,4.05,4.05,1
2016-04-07 00:00:00+05:30,4.25,4.25,4.25,4.25,1
2016-04-08 00:00:00+05:30,4.45,4.45,4.45,4.45,1001
2016-04-12 15:00:00+05:30,4.65,4.65,4.65,4.65,2
2016-04-18 00:00:00+05:30,4.7,4.84,4.7,4.84,458
2016-04-20 00:00:00+05:30,4.84,4.84,4.84,4.84,100
2016-04-22 00:00:00+05:30,4.84,5.08,4.84,5.08,5001
2016-04-26 00:00:00+05:30,4.9,4.9,4.9,4.9,1000
2016-05-03 00:00:00+05:30,5.04,5.04,5.04,5.04,2
2016-05-10 00:00:00+05:30,5.24,5.24,5.24,5.24,200
2016-05-19 00:00:00+05:30,5.39,5.39,5.39,5.39,1
2016-05-23 00:00:00+05:30,5.59,5.59,5.59,5.59,9
2016-05-24 00:00:00+05:30,5.79,5.79,5.74,5.74,1109
2016-05-25 00:00:00+05:30,5.94,5.94,5.94,5.94,309
2016-05-26 00:00:00+05:30,5.93,5.93,5.93,5.93,109
2016-05-27 00:00:00+05:30,5.95,5.95,5.95,5.95,9
2016-05-30 00:00:00+05:30,5.94,5.94,5.94,5.94,305
2016-06-02 00:00:00+05:30,5.93,5.93,5.93,5.93,4000
2016-06-14 00:00:00+05:30,5.9,5.9,5.9,5.9,9
2016-06-17 00:00:00+05:30,5.98,5.98,5.98,5.98,1
2016-06-23 00:00:00+05:30,5.95,5.95,5.95,5.95,125
2016-06-27 00:00:00+05:30,5.94,5.94,5.94,5.94,1
2016-07-01 00:00:00+05:30,6.23,6.23,6.23,6.23,10
2016-07-04 00:00:00+05:30,6.54,6.54,6.54,6.54,25
2016-07-18 00:00:00+05:30,6.22,6.22,6.22,6.22,50
2016-07-21 00:00:00+05:30,6.2,6.2,6.2,6.2,25
2016-07-27 00:00:00+05:30,5.89,6.0,5.89,6.0,42
2016-07-28 00:00:00+05:30,5.7,5.7,5.7,5.7,1000
2016-07-29 00:00:00+05:30,5.42,5.42,5.42,5.42,1000
2016-08-01 00:00:00+05:30,5.15,5.15,5.15,5.15,1055
2016-08-09 00:00:00+05:30,5.15,5.15,5.15,5.15,40
2016-08-23 00:00:00+05:30,5.15,5.15,5.15,5.15,758
2016-08-24 00:00:00+05:30,5.0,5.0,5.0,5.0,100
2016-09-01 00:00:00+05:30,5.2,5.2,5.2,5.2,1
2016-09-02 00:00:00+05:30,4.94,4.94,4.94,4.94,60
2016-09-12 00:00:00+05:30,5.1,5.1,5.1,5.1,25
2016-09-14 00:00:00+05:30,5.35,5.35,5.35,5.35,25
2016-09-15 00:00:00+05:30,5.61,5.61,5.61,5.61,75
2016-09-19 00:00:00+05:30,5.75,5.75,5.75,5.75,25
2016-09-21 00:00:00+05:30,6.0,6.0,6.0,6.0,25
2016-09-22 00:00:00+05:30,5.95,5.95,5.95,5.95,25
2016-09-27 00:00:00+05:30,6.2,6.2,6.2,6.2,10
2016-09-28 00:00:00+05:30,6.48,6.48,6.48,6.48,10
2016-10-10 00:00:00+05:30,6.16,6.74,6.16,6.16,1024
2016-10-14 00:00:00+05:30,6.45,6.45,6.45,6.45,5
2016-10-19 00:00:00+05:30,6.75,6.75,6.75,6.75,15
2016-10-24 00:00:00+05:30,6.42,6.42,6.42,6.42,25
2016-10-26 00:00:00+05:30,6.7,6.7,6.7,6.7,10
2016-10-27 00:00:00+05:30,7.0,7.0,7.0,7.0,10
2016-10-30 00:00:00+05:30,7.0,7.0,7.0,7.0,100
2016-11-01 00:00:00+05:30,7.35,7.35,7.35,7.35,10
2016-11-08 00:00:00+05:30,7.7,7.7,7.7,7.7,24
2016-11-22 00:00:00+05:30,7.32,7.32,7.32,7.32,585
2016-11-25 00:00:00+05:30,7.68,7.68,7.68,7.68,50
2016-12-19 00:00:00+05:30,8.0,8.0,8.0,8.0,1
2016-12-29 00:00:00+05:30,7.6,7.6,7.6,7.6,80
2017-01-04 00:00:00+05:30,7.22,7.22,7.22,7.22,80
2017-01-11 00:00:00+05:30,6.86,6.86,6.86,6.86,105
2017-01-13 00:00:00+05:30,6.52,6.52,6.52,6.52,5
2017-01-17 00:00:00+05:30,6.2,6.2,6.2,6.2,5
2017-01-18 00:00:00+05:30,5.89,5.89,5.89,5.89,1005
2017-01-20 00:00:00+05:30,5.6,5.6,5.6,5.6,5
2017-01-23 00:00:00+05:30,5.32,5.32,5.32,5.32,110
2017-01-24 00:00:00+05:30,5.06,5.06,5.06,5.06,10
2017-01-25 00:00:00+05:30,4.81,4.81,4.81,4.81,10
2017-02-02 00:00:00+05:30,4.57,4.57,4.57,4.57,100
2017-02-03 00:00:00+05:30,4.5,4.5,4.35,4.35,3125
2017-02-06 00:00:00+05:30,4.14,4.14,4.14,4.14,464
2017-02-07 00:00:00+05:30,3.94,3.94,3.94,3.94,120
2017-02-09 00:00:00+05:30,3.75,3.75,3.75,3.75,905
2017-02-15 00:00:00+05:30,3.57,3.57,3.57,3.57,210
2017-02-17 00:00:00+05:30,3.4,3.4,3.4,3.4,1880
2017-02-28 00:00:00+05:30,3.37,3.37,3.37,3.37,25
