date,open,high,low,close,volume
2021-12-10 00:00:00+05:30,18.55,19.82,18.55,19.65,8084
2021-12-13 00:00:00+05:30,19.75,19.92,19.52,19.6,28100
2021-12-14 00:00:00+05:30,19.02,19.55,19.02,19.2,34151
2021-12-15 00:00:00+05:30,19.68,19.68,18.9,18.97,72252
2021-12-16 00:00:00+05:30,18.95,19.13,18.55,19.03,17656
2021-12-17 00:00:00+05:30,18.64,18.85,18.23,18.53,13278
2021-12-20 00:00:00+05:30,17.94,18.1,17.75,17.89,1189
2021-12-21 00:00:00+05:30,18.0,18.25,17.71,17.9,31037
2021-12-22 00:00:00+05:30,18.25,18.45,18.06,18.45,890
2021-12-23 00:00:00+05:30,18.45,18.45,18.12,18.25,2019
2021-12-24 00:00:00+05:30,17.95,18.68,17.85,18.0,4155
2021-12-27 00:00:00+05:30,18.13,18.15,17.85,18.15,2032
2021-12-28 00:00:00+05:30,18.25,18.25,17.84,17.9,68887
2021-12-29 00:00:00+05:30,17.71,17.71,17.55,17.6,18932
2021-12-30 00:00:00+05:30,17.98,17.98,17.36,17.49,18798
2021-12-31 00:00:00+05:30,17.7,18.1,17.7,18.03,18263
2022-01-03 00:00:00+05:30,18.1,18.33,17.87,18.0,15348
2022-01-04 00:00:00+05:30,17.95,17.98,17.65,17.79,15430
2022-01-05 00:00:00+05:30,17.48,17.48,17.0,17.02,48694
2022-01-06 00:00:00+05:30,17.05,17.48,16.8,17.33,50587
2022-01-07 00:00:00+05:30,17.25,17.57,17.0,17.44,19469
2022-01-10 00:00:00+05:30,17.6,18.15,17.45,18.12,64598
2022-01-11 00:00:00+05:30,18.12,18.28,17.76,17.77,43007
2022-01-12 00:00:00+05:30,18.35,19.82,18.1,19.19,98703
2022-01-13 00:00:00+05:30,19.71,19.71,18.35,18.6,22948
2022-01-14 00:00:00+05:30,18.45,18.48,18.0,18.43,18597
2022-01-17 00:00:00+05:30,18.35,18.45,17.95,18.41,6253
2022-01-18 00:00:00+05:30,18.5,18.55,17.85,18.05,19987
2022-01-19 00:00:00+05:30,18.2,18.52,18.15,18.15,4666
2022-01-20 00:00:00+05:30,18.5,18.95,18.26,18.83,2390
2022-01-21 00:00:00+05:30,18.85,18.85,18.51,18.8,2346
2022-01-24 00:00:00+05:30,18.24,18.98,17.7,18.27,63373
2022-01-25 00:00:00+05:30,18.25,18.25,17.65,17.93,20446
2022-01-27 00:00:00+05:30,17.95,17.95,17.25,17.46,24460
2022-01-28 00:00:00+05:30,17.45,17.45,16.99,17.13,18281
2022-01-31 00:00:00+05:30,16.62,17.52,16.62,17.4,10214
2022-02-01 00:00:00+05:30,17.5,17.68,17.36,17.47,57552
2022-02-02 00:00:00+05:30,17.68,17.68,17.44,17.48,2357
2022-02-03 00:00:00+05:30,17.55,17.59,17.15,17.53,2014
2022-02-04 00:00:00+05:30,17.6,18.2,17.5,18.06,2899
2022-02-07 00:00:00+05:30,17.52,18.45,17.5,17.66,8735
2022-02-08 00:00:00+05:30,17.65,17.65,17.25,17.5,6806
2022-02-09 00:00:00+05:30,17.6,18.1,17.6,18.1,12424
2022-02-10 00:00:00+05:30,17.65,18.3,17.56,18.12,17077
2022-02-11 00:00:00+05:30,18.06,18.18,17.74,18.07,1948
2022-02-14 00:00:00+05:30,18.5,18.5,17.25,17.91,23529
2022-02-15 00:00:00+05:30,17.38,18.35,17.38,17.85,9170
2022-02-16 00:00:00+05:30,17.8,18.1,17.7,18.02,729
2022-02-17 00:00:00+05:30,18.35,18.35,17.55,18.1,2511
2022-02-18 00:00:00+05:30,18.1,18.1,17.82,18.0,7160
2022-02-21 00:00:00+05:30,17.46,18.35,17.34,17.49,14155
2022-02-22 00:00:00+05:30,17.38,17.78,16.73,17.52,30448
2022-02-23 00:00:00+05:30,17.48,17.5,17.01,17.19,5555
2022-02-24 00:00:00+05:30,16.68,17.28,16.36,16.39,18692
2022-02-25 00:00:00+05:30,15.9,16.99,15.9,16.9,11264
2022-02-28 00:00:00+05:30,16.55,16.74,16.25,16.63,12296
2022-03-02 00:00:00+05:30,16.14,16.6,16.14,16.36,7749
2022-03-03 00:00:00+05:30,16.4,16.4,16.01,16.06,15910
2022-03-04 00:00:00+05:30,16.05,16.05,15.5,15.55,25187
2022-03-07 00:00:00+05:30,15.55,15.55,14.5,15.02,77347
2022-03-08 00:00:00+05:30,15.1,15.45,14.51,14.55,75911
2022-03-09 00:00:00+05:30,14.55,14.55,14.1,14.34,33795
2022-03-10 00:00:00+05:30,14.35,15.35,14.2,14.36,72877
