date,open,high,low,close,volume
2023-06-13 00:00:00+05:30,1.69,1.69,1.69,1.69,57
2023-06-15 00:00:00+05:30,1.61,1.61,1.61,1.61,2000
2023-06-19 00:00:00+05:30,1.53,1.69,1.53,1.69,22063
2023-06-20 00:00:00+05:30,1.69,1.77,1.69,1.77,171
2023-06-26 00:00:00+05:30,1.69,1.69,1.69,1.69,1000
2023-06-27 00:00:00+05:30,1.76,1.76,1.69,1.69,1011
2023-07-06 00:00:00+05:30,1.77,1.77,1.77,1.77,1
2023-07-07 00:00:00+05:30,1.85,1.85,1.69,1.69,2707
2023-07-10 00:00:00+05:30,1.69,1.76,1.61,1.61,12137
2023-07-11 00:00:00+05:30,1.69,1.69,1.61,1.69,67443
2023-07-12 00:00:00+05:30,1.77,1.77,1.61,1.63,12490
2023-07-13 00:00:00+05:30,1.7,1.71,1.55,1.65,18953
2023-07-14 00:00:00+05:30,1.73,1.73,1.57,1.73,68997
2023-07-17 00:00:00+05:30,1.73,1.81,1.65,1.65,23813
2023-07-18 00:00:00+05:30,1.68,1.73,1.57,1.72,17719
2023-07-19 00:00:00+05:30,1.8,1.8,1.64,1.77,13241
2023-07-20 00:00:00+05:30,1.81,1.83,1.69,1.71,18895
2023-07-21 00:00:00+05:30,1.74,1.79,1.63,1.74,4264
2023-07-24 00:00:00+05:30,1.74,1.79,1.66,1.67,13703
2023-07-25 00:00:00+05:30,1.7,1.75,1.6,1.75,9360
2023-07-26 00:00:00+05:30,1.72,1.8,1.67,1.75,8850
2023-07-27 00:00:00+05:30,1.67,1.82,1.67,1.81,15837
2023-07-28 00:00:00+05:30,1.87,1.87,1.81,1.85,6944
2023-07-31 00:00:00+05:30,1.87,1.91,1.79,1.89,14725
2023-08-01 00:00:00+05:30,1.89,1.95,1.8,1.88,2042
2023-08-02 00:00:00+05:30,1.8,1.88,1.79,1.79,1551
2023-08-03 00:00:00+05:30,1.83,1.83,1.71,1.8,3439
2023-08-04 00:00:00+05:30,1.84,1.88,1.71,1.84,9523
2023-08-07 00:00:00+05:30,1.85,1.85,1.75,1.84,1721
2023-08-08 00:00:00+05:30,1.8,1.8,1.75,1.75,547
2023-08-09 00:00:00+05:30,1.79,1.79,1.75,1.75,6200
2023-08-10 00:00:00+05:30,1.67,1.83,1.67,1.81,9036
2023-08-11 00:00:00+05:30,1.9,1.9,1.72,1.84,4766
2023-08-14 00:00:00+05:30,1.85,1.85,1.75,1.84,5649
2023-08-16 00:00:00+05:30,1.84,1.84,1.82,1.82,10069
2023-08-17 00:00:00+05:30,1.9,1.9,1.8,1.8,1714
2023-08-18 00:00:00+05:30,1.8,1.8,1.71,1.71,8268
2023-08-21 00:00:00+05:30,1.74,1.79,1.71,1.78,12613
2023-08-22 00:00:00+05:30,1.82,1.82,1.7,1.72,6153
2023-08-23 00:00:00+05:30,1.77,1.8,1.64,1.8,8871
2023-08-24 00:00:00+05:30,1.89,1.89,1.75,1.85,9879
2023-08-25 00:00:00+05:30,1.89,1.93,1.76,1.79,7705
2023-08-28 00:00:00+05:30,1.87,1.87,1.71,1.79,10533
2023-08-29 00:00:00+05:30,1.71,1.87,1.71,1.83,10858
2023-08-30 00:00:00+05:30,1.92,1.92,1.76,1.8,11805
2023-08-31 00:00:00+05:30,1.89,1.89,1.71,1.88,33689
2023-09-01 00:00:00+05:30,1.92,1.97,1.79,1.88,61532
2023-09-04 00:00:00+05:30,1.97,1.97,1.79,1.9,9616
2023-09-05 00:00:00+05:30,1.9,1.99,1.81,1.95,15209
2023-09-06 00:00:00+05:30,1.95,2.04,1.95,2.04,16945
2023-09-07 00:00:00+05:30,2.14,2.14,1.94,2.14,24226
2023-09-08 00:00:00+05:30,2.14,2.24,2.04,2.19,16338
2023-09-11 00:00:00+05:30,2.29,2.29,2.25,2.29,26091
2023-10-16 00:00:00+05:30,2.25,2.25,2.25,2.25,1
2023-10-23 00:00:00+05:30,2.25,2.25,2.14,2.14,2455
2023-11-16 00:00:00+05:30,2.09,2.14,2.09,2.12,500
2023-11-20 00:00:00+05:30,2.08,2.08,2.08,2.08,2453
2023-11-22 00:00:00+05:30,2.0,2.0,1.98,2.0,2099
2023-11-23 00:00:00+05:30,2.0,2.0,1.95,1.95,660
2023-11-24 00:00:00+05:30,1.9,1.9,1.89,1.89,539
2023-11-28 00:00:00+05:30,1.88,1.88,1.88,1.88,9999
2023-11-29 00:00:00+05:30,1.88,1.88,1.88,1.88,2564
2023-11-30 00:00:00+05:30,1.85,1.85,1.79,1.79,2810
2023-12-01 00:00:00+05:30,1.79,1.79,1.79,1.79,726
2023-12-04 00:00:00+05:30,1.71,1.71,1.71,1.71,4000
2023-12-05 00:00:00+05:30,1.71,1.71,1.71,1.71,289
2023-12-06 00:00:00+05:30,1.63,1.7,1.63,1.63,4400
2023-12-07 00:00:00+05:30,1.63,1.63,1.55,1.55,3670
2023-12-08 00:00:00+05:30,1.55,1.62,1.48,1.53,26203
2023-12-11 00:00:00+05:30,1.46,1.6,1.46,1.48,8705
2023-12-12 00:00:00+05:30,1.55,1.55,1.48,1.48,13137
2023-12-13 00:00:00+05:30,1.41,1.55,1.41,1.43,44930
2023-12-14 00:00:00+05:30,1.5,1.5,1.5,1.5,10917
2023-12-15 00:00:00+05:30,1.5,1.56,1.44,1.45,10278
2023-12-18 00:00:00+05:30,1.52,1.52,1.52,1.52,15110
2023-12-19 00:00:00+05:30,1.59,1.59,1.59,1.59,12986
2023-12-20 00:00:00+05:30,1.66,1.66,1.66,1.66,37453
2023-12-21 00:00:00+05:30,1.74,1.74,1.74,1.74,923
2023-12-22 00:00:00+05:30,1.82,1.82,1.77,1.82,56883
2023-12-26 00:00:00+05:30,1.91,1.91,1.91,1.91,14520
2023-12-27 00:00:00+05:30,2.0,2.0,2.0,2.0,18982
2023-12-28 00:00:00+05:30,2.1,2.1,2.1,2.1,11017
2023-12-29 00:00:00+05:30,2.2,2.2,2.2,2.2,6817
2024-01-01 00:00:00+05:30,2.31,2.31,2.31,2.31,15785
2024-01-02 00:00:00+05:30,2.42,2.42,2.42,2.42,35477
2024-01-03 00:00:00+05:30,2.54,2.54,2.3,2.3,29593
2024-01-08 00:00:00+05:30,2.19,2.19,2.19,2.19,10500
2024-01-15 00:00:00+05:30,2.09,2.09,2.09,2.09,1525
2024-01-23 00:00:00+05:30,1.99,1.99,1.99,1.99,5
2024-01-29 00:00:00+05:30,1.9,1.9,1.9,1.9,6
2024-02-05 00:00:00+05:30,1.81,1.81,1.81,1.81,565
2024-02-12 00:00:00+05:30,1.81,1.81,1.72,1.72,9680
2024-02-13 00:00:00+05:30,1.72,1.72,1.64,1.64,101
2024-02-14 00:00:00+05:30,1.61,1.64,1.56,1.56,6994
2024-02-15 00:00:00+05:30,1.6,1.63,1.49,1.63,16461
2024-02-16 00:00:00+05:30,1.71,1.71,1.71,1.71,2637
2024-02-19 00:00:00+05:30,1.79,1.79,1.79,1.79,30573
2024-02-20 00:00:00+05:30,1.87,1.87,1.75,1.84,38955
2024-02-21 00:00:00+05:30,1.84,1.84,1.84,1.84,9
2024-02-22 00:00:00+05:30,1.84,1.84,1.84,1.84,55
2024-02-23 00:00:00+05:30,1.84,1.84,1.75,1.75,125
2024-02-26 00:00:00+05:30,1.72,1.72,1.72,1.72,853
2024-02-27 00:00:00+05:30,1.8,1.8,1.72,1.8,900
2024-02-28 00:00:00+05:30,1.71,1.72,1.71,1.71,1810
2024-02-29 00:00:00+05:30,1.64,1.79,1.63,1.63,14146
2024-03-01 00:00:00+05:30,1.63,1.71,1.56,1.71,7142
2024-03-02 00:00:00+05:30,1.71,1.79,1.71,1.78,1211
2024-03-04 00:00:00+05:30,1.78,1.86,1.78,1.85,5393
2024-03-05 00:00:00+05:30,1.85,1.85,1.76,1.76,19206
2024-03-06 00:00:00+05:30,1.76,1.76,1.68,1.68,1900
2024-03-07 00:00:00+05:30,1.6,1.6,1.6,1.6,6450
2024-03-11 00:00:00+05:30,1.57,1.68,1.57,1.6,5340
2024-03-12 00:00:00+05:30,1.52,1.68,1.52,1.52,1060
2024-03-13 00:00:00+05:30,1.59,1.59,1.59,1.59,3013
2024-03-14 00:00:00+05:30,1.66,1.66,1.66,1.66,55810
2024-03-15 00:00:00+05:30,1.58,1.74,1.58,1.74,88238
2024-03-18 00:00:00+05:30,1.82,1.82,1.82,1.82,6915
2024-03-19 00:00:00+05:30,1.91,1.91,1.91,1.91,2081
2024-03-20 00:00:00+05:30,2.0,2.0,2.0,2.0,5264
2024-03-21 00:00:00+05:30,2.1,2.1,2.1,2.1,42551
2024-03-22 00:00:00+05:30,2.2,2.2,2.2,2.2,24476
2024-03-26 00:00:00+05:30,2.3,2.3,2.09,2.1,17698
2024-03-27 00:00:00+05:30,2.0,2.2,2.0,2.0,21946
2024-03-28 00:00:00+05:30,2.1,2.1,2.0,2.1,38676
2024-04-01 00:00:00+05:30,2.15,2.2,2.1,2.2,29184
2024-04-02 00:00:00+05:30,2.25,2.31,2.24,2.31,12154
2024-04-03 00:00:00+05:30,2.41,2.42,2.31,2.42,11409
2024-04-04 00:00:00+05:30,2.54,2.54,2.52,2.54,6765
2024-04-05 00:00:00+05:30,2.66,2.66,2.66,2.66,2871
2024-04-15 00:00:00+05:30,2.53,2.66,2.53,2.61,19834
2024-04-22 00:00:00+05:30,2.53,2.61,2.53,2.61,742
2024-04-29 00:00:00+05:30,2.61,2.61,2.61,2.61,12739
2024-05-06 00:00:00+05:30,2.61,2.61,2.61,2.61,1778
2024-05-13 00:00:00+05:30,2.61,2.61,2.61,2.61,431
2024-05-21 00:00:00+05:30,2.48,2.48,2.48,2.48,1000
