date,open,high,low,close,volume
2021-09-24 00:00:00+05:30,28.56,28.6,27.65,28.05,45228
2021-09-27 00:00:00+05:30,28.4,28.5,27.75,28.19,49770
2021-09-28 00:00:00+05:30,29.03,29.03,27.76,27.96,57223
2021-09-29 00:00:00+05:30,28.0,28.0,27.31,27.75,15536
2021-09-30 00:00:00+05:30,27.8,27.9,27.7,27.8,15155
2021-10-01 00:00:00+05:30,27.95,28.14,27.09,27.23,42824
2021-10-04 00:00:00+05:30,27.23,28.04,27.23,27.63,56379
2021-10-05 00:00:00+05:30,28.27,28.27,27.1,27.47,17325
2021-10-06 00:00:00+05:30,27.6,27.95,27.2,27.55,17131
2021-10-07 00:00:00+05:30,27.6,28.17,27.55,27.92,7307
2021-10-08 00:00:00+05:30,28.63,28.63,27.9,28.12,5227
2021-10-11 00:00:00+05:30,28.0,28.25,27.83,28.08,9139
2021-10-12 00:00:00+05:30,28.53,28.53,27.87,28.03,2351
2021-10-13 00:00:00+05:30,28.87,28.87,27.81,28.01,6045
2021-10-14 00:00:00+05:30,28.2,28.49,27.85,28.07,4305
2021-10-18 00:00:00+05:30,28.3,28.72,28.3,28.66,6038
2021-10-19 00:00:00+05:30,28.6,29.09,28.57,28.78,13378
2021-10-20 00:00:00+05:30,29.1,29.34,28.85,28.95,8446
2021-10-21 00:00:00+05:30,29.0,29.48,28.95,29.1,6459
2021-10-22 00:00:00+05:30,28.63,29.25,28.63,29.02,12187
2021-10-25 00:00:00+05:30,28.97,29.49,28.4,28.78,42486
2021-10-26 00:00:00+05:30,28.0,29.49,28.0,29.21,3164
2021-10-27 00:00:00+05:30,29.14,29.47,29.05,29.27,7849
2021-10-28 00:00:00+05:30,29.1,29.49,29.1,29.49,1106
2021-10-29 00:00:00+05:30,29.25,29.79,29.01,29.45,5132
2021-11-01 00:00:00+05:30,29.6,30.59,29.58,29.95,65542
2021-11-02 00:00:00+05:30,30.52,30.52,29.6,29.75,1425
2021-11-03 00:00:00+05:30,30.0,30.0,29.53,29.85,45549
2021-11-04 00:00:00+05:30,29.8,30.56,29.8,30.17,5629
2021-11-08 00:00:00+05:30,30.39,30.59,29.89,30.21,3780
2021-11-09 00:00:00+05:30,30.4,30.4,29.9,30.15,5918
2021-11-10 00:00:00+05:30,31.05,31.05,29.61,30.0,2889
2021-11-11 00:00:00+05:30,29.75,29.99,29.51,29.8,5829
2021-11-12 00:00:00+05:30,30.48,30.48,29.57,30.0,1657
2021-11-15 00:00:00+05:30,29.88,30.2,29.73,29.74,14588
2021-11-16 00:00:00+05:30,29.53,30.1,29.53,30.09,6993
2021-11-17 00:00:00+05:30,30.19,30.28,29.8,29.81,14709
2021-11-18 00:00:00+05:30,29.91,30.14,29.77,29.87,2318
2021-11-22 00:00:00+05:30,30.29,30.59,29.85,30.24,4652
2021-11-23 00:00:00+05:30,29.95,30.41,29.53,30.17,2432
2021-11-24 00:00:00+05:30,30.39,30.69,29.95,30.03,5775
2021-11-25 00:00:00+05:30,30.2,30.59,30.2,30.4,5103
2021-11-26 00:00:00+05:30,30.25,30.3,29.7,29.86,6895
2021-11-29 00:00:00+05:30,29.56,30.38,29.51,30.35,22200
2021-11-30 00:00:00+05:30,30.4,30.5,29.91,30.12,11739
2021-12-01 00:00:00+05:30,30.2,30.4,29.81,30.15,8853
2021-12-02 00:00:00+05:30,29.85,30.01,29.78,29.9,2030
2021-12-03 00:00:00+05:30,29.81,30.3,29.5,29.98,25690
2021-12-06 00:00:00+05:30,29.03,29.97,29.03,29.63,4871
2021-12-07 00:00:00+05:30,30.0,30.11,29.75,30.05,1052
2021-12-08 00:00:00+05:30,30.15,30.54,30.15,30.5,3697
2021-12-09 00:00:00+05:30,30.59,30.83,30.45,30.46,6691
2021-12-10 00:00:00+05:30,30.59,30.83,30.37,30.69,999
2021-12-13 00:00:00+05:30,29.77,31.29,29.77,31.01,10869
2021-12-14 00:00:00+05:30,31.1,31.1,30.76,31.0,1123
2021-12-15 00:00:00+05:30,31.0,31.0,30.37,30.78,5502
2021-12-16 00:00:00+05:30,30.53,31.5,30.53,31.24,13912
2021-12-17 00:00:00+05:30,31.11,31.11,30.5,30.95,4451
2021-12-20 00:00:00+05:30,29.83,31.25,29.67,30.02,38600
2021-12-21 00:00:00+05:30,30.19,30.51,29.9,30.2,12283
2021-12-22 00:00:00+05:30,30.29,30.55,30.27,30.47,2062
2021-12-23 00:00:00+05:30,30.59,30.93,30.59,30.74,1781
2021-12-24 00:00:00+05:30,30.82,30.95,30.64,30.76,3060
2021-12-27 00:00:00+05:30,30.8,31.09,30.61,30.81,741
2021-12-28 00:00:00+05:30,31.73,31.73,30.75,31.25,10877
2021-12-29 00:00:00+05:30,31.2,31.25,30.96,31.1,7171
2021-12-30 00:00:00+05:30,31.78,31.78,30.91,31.05,11227
2021-12-31 00:00:00+05:30,30.12,31.34,30.12,30.84,37640
2022-01-03 00:00:00+05:30,31.0,31.19,30.55,30.75,9664
2022-01-04 00:00:00+05:30,30.9,31.25,30.9,31.24,965
2022-01-05 00:00:00+05:30,31.0,31.0,30.61,30.89,125871
2022-01-06 00:00:00+05:30,30.78,30.78,30.1,30.25,222678
2022-01-07 00:00:00+05:30,31.53,31.53,30.06,30.15,18019
2022-01-10 00:00:00+05:30,30.08,30.15,29.88,29.95,62628
2022-01-11 00:00:00+05:30,30.15,30.29,29.9,30.1,63859
2022-01-12 00:00:00+05:30,30.0,30.27,30.0,30.18,14192
2022-01-13 00:00:00+05:30,30.13,30.33,30.1,30.25,12385
2022-01-14 00:00:00+05:30,29.98,30.0,29.69,29.85,32217
2022-01-17 00:00:00+05:30,30.0,30.18,29.8,29.95,28885
2022-01-18 00:00:00+05:30,30.0,30.19,29.86,29.94,9569
2022-01-19 00:00:00+05:30,29.2,29.78,29.2,29.48,45415
2022-01-20 00:00:00+05:30,29.48,29.48,29.03,29.3,14868
2022-01-21 00:00:00+05:30,29.38,29.38,28.59,28.9,30692
2022-01-24 00:00:00+05:30,28.71,28.86,28.0,28.2,29240
2022-01-25 00:00:00+05:30,28.35,28.35,27.87,28.12,50976
2022-01-27 00:00:00+05:30,27.9,28.2,27.45,28.0,36223
2022-01-28 00:00:00+05:30,28.2,28.44,28.08,28.08,6610
2022-01-31 00:00:00+05:30,28.92,29.0,28.68,28.85,4024
2022-02-01 00:00:00+05:30,29.15,29.59,29.01,29.3,58830
2022-02-02 00:00:00+05:30,29.31,29.75,29.31,29.55,1162
2022-02-03 00:00:00+05:30,29.3,29.6,29.26,29.42,3283
2022-02-04 00:00:00+05:30,29.3,29.3,28.93,29.07,2231
2022-02-07 00:00:00+05:30,28.92,29.25,28.76,29.1,3558
2022-02-08 00:00:00+05:30,28.91,29.15,28.76,28.98,5560
2022-02-09 00:00:00+05:30,29.15,29.35,28.91,29.1,701
2022-02-10 00:00:00+05:30,29.1,29.69,29.1,29.35,2064
2022-02-11 00:00:00+05:30,29.3,29.3,28.81,28.85,54114
2022-02-14 00:00:00+05:30,28.7,28.85,28.37,28.5,12141
2022-02-15 00:00:00+05:30,28.6,28.81,28.5,28.78,5932
2022-02-16 00:00:00+05:30,28.9,29.09,28.72,28.99,3885
2022-02-17 00:00:00+05:30,28.99,29.0,28.6,29.0,10565
2022-02-18 00:00:00+05:30,28.6,28.9,28.5,28.62,8750
2022-02-21 00:00:00+05:30,28.49,28.59,27.67,28.04,45841
2022-02-22 00:00:00+05:30,27.95,27.99,27.51,27.99,4269
2022-02-23 00:00:00+05:30,28.1,28.37,27.8,28.22,4701
2022-02-24 00:00:00+05:30,27.4,27.88,26.35,26.81,50029
2022-02-25 00:00:00+05:30,27.25,27.75,27.24,27.58,6948
2022-02-28 00:00:00+05:30,27.59,28.1,27.52,28.02,3142
2022-03-02 00:00:00+05:30,30.57,30.57,27.33,27.75,10045
2022-03-03 00:00:00+05:30,27.8,28.6,27.8,28.39,11137
2022-03-04 00:00:00+05:30,28.45,28.45,27.9,28.15,1214
2022-03-07 00:00:00+05:30,27.31,28.01,27.31,27.76,7085
2022-03-08 00:00:00+05:30,27.75,27.79,27.39,27.72,15182
2022-03-09 00:00:00+05:30,27.61,27.8,27.38,27.8,14580
2022-03-10 00:00:00+05:30,28.2,28.39,27.6,27.82,40460
2022-03-11 00:00:00+05:30,27.8,27.96,27.7,27.93,15345
2022-03-14 00:00:00+05:30,27.85,27.85,27.58,27.84,837
2022-03-15 00:00:00+05:30,27.84,27.84,27.11,27.28,25675
2022-03-16 00:00:00+05:30,28.09,28.24,27.25,28.07,4666
2022-03-17 00:00:00+05:30,28.15,28.59,28.11,28.23,6117
2022-03-21 00:00:00+05:30,28.35,29.1,28.23,28.55,19000
2022-03-22 00:00:00+05:30,28.79,29.22,28.72,29.06,13807
2022-03-23 00:00:00+05:30,29.19,29.64,29.1,29.38,17218
2022-03-24 00:00:00+05:30,29.49,29.5,29.18,29.19,2726
2022-03-25 00:00:00+05:30,29.3,29.7,29.3,29.5,3616
2022-03-28 00:00:00+05:30,29.57,29.92,29.57,29.58,2067
2022-03-29 00:00:00+05:30,29.69,30.38,29.69,30.27,24222
2022-03-30 00:00:00+05:30,30.35,30.85,30.01,30.15,5008
2022-03-31 00:00:00+05:30,30.3,30.39,30.02,30.09,2672
2022-04-01 00:00:00+05:30,30.3,30.3,29.76,30.04,3236
2022-04-04 00:00:00+05:30,30.01,30.09,29.46,29.8,30838
2022-04-05 00:00:00+05:30,28.89,30.23,28.89,29.93,13891
2022-04-06 00:00:00+05:30,29.04,30.0,29.04,29.77,10604
2022-04-07 00:00:00+05:30,29.51,29.7,29.01,29.42,22260
2022-04-08 00:00:00+05:30,30.05,30.05,29.42,29.57,11525
2022-04-11 00:00:00+05:30,28.69,29.5,28.69,29.45,13560
2022-04-12 00:00:00+05:30,29.23,29.23,28.62,28.85,37160
2022-04-13 00:00:00+05:30,28.9,29.09,28.61,28.79,14072
2022-04-18 00:00:00+05:30,27.93,28.99,27.93,28.29,14061
2022-04-19 00:00:00+05:30,28.39,28.75,28.3,28.41,23184
2022-04-20 00:00:00+05:30,28.39,29.15,28.39,29.0,3565
2022-04-21 00:00:00+05:30,28.9,29.05,28.65,29.0,16547
2022-04-22 00:00:00+05:30,28.9,28.9,28.05,28.39,5995
2022-04-25 00:00:00+05:30,28.0,28.0,27.71,27.85,19596
2022-04-26 00:00:00+05:30,28.48,28.48,27.93,28.2,6584
2022-04-27 00:00:00+05:30,27.11,27.99,26.81,27.54,24960
2022-04-28 00:00:00+05:30,27.65,27.99,27.54,27.9,642
2022-04-29 00:00:00+05:30,28.0,28.49,27.25,27.61,36712
2022-05-02 00:00:00+05:30,27.41,27.59,27.0,27.12,22116
2022-05-04 00:00:00+05:30,27.3,27.77,26.81,27.09,29491
2022-05-05 00:00:00+05:30,27.01,28.19,26.96,27.05,8821
2022-05-06 00:00:00+05:30,27.02,27.02,26.63,26.86,6233
2022-05-09 00:00:00+05:30,26.97,27.67,26.11,26.86,15205
2022-05-10 00:00:00+05:30,26.82,27.3,26.17,27.01,21441
2022-05-11 00:00:00+05:30,26.9,26.99,26.51,26.8,2610
2022-05-12 00:00:00+05:30,26.68,27.15,25.78,26.24,16147
2022-05-13 00:00:00+05:30,26.9,27.3,26.1,26.52,9541
2022-05-16 00:00:00+05:30,26.6,26.72,26.27,26.46,24277
2022-05-17 00:00:00+05:30,26.5,26.97,26.37,26.61,4585
2022-05-18 00:00:00+05:30,26.6,26.85,26.5,26.75,3925
2022-05-19 00:00:00+05:30,25.95,26.58,25.3,25.6,21004
2022-05-20 00:00:00+05:30,25.8,26.27,25.7,25.97,5881
2022-05-23 00:00:00+05:30,25.6,26.15,25.5,26.07,7173
2022-05-24 00:00:00+05:30,25.9,26.19,25.71,25.8,12334
2022-05-25 00:00:00+05:30,26.0,26.0,25.28,25.73,20443
2022-05-26 00:00:00+05:30,25.8,26.09,25.51,25.89,5126
2022-05-27 00:00:00+05:30,25.9,26.53,25.9,26.45,5072
2022-05-30 00:00:00+05:30,26.49,27.17,26.49,27.01,13504
2022-05-31 00:00:00+05:30,27.1,27.2,27.0,27.06,810
2022-06-01 00:00:00+05:30,27.1,27.39,26.67,26.78,8059
2022-06-02 00:00:00+05:30,26.9,26.92,26.32,26.33,1364
2022-06-03 00:00:00+05:30,27.11,27.33,26.54,27.18,3644
2022-06-06 00:00:00+05:30,27.14,27.14,26.56,27.03,2279
2022-06-07 00:00:00+05:30,26.4,27.23,26.21,26.52,4816
2022-06-08 00:00:00+05:30,26.43,27.29,26.43,27.15,4777
2022-06-09 00:00:00+05:30,26.99,27.13,26.75,27.02,1785
2022-06-10 00:00:00+05:30,26.75,26.75,26.4,26.57,22686
2022-06-13 00:00:00+05:30,25.9,26.19,25.28,26.06,26495
2022-06-14 00:00:00+05:30,25.63,26.93,24.86,25.38,42178
2022-06-15 00:00:00+05:30,25.35,25.98,24.7,24.78,13002
2022-06-16 00:00:00+05:30,25.32,25.45,24.5,24.74,4356
2022-06-17 00:00:00+05:30,24.3,26.48,24.3,25.19,10481
2022-06-20 00:00:00+05:30,25.54,25.98,24.55,24.87,56473
2022-06-21 00:00:00+05:30,24.79,25.72,24.72,25.42,3949
2022-06-22 00:00:00+05:30,25.65,25.65,24.7,24.8,3437
2022-06-23 00:00:00+05:30,24.9,25.13,24.73,25.12,850
2022-06-24 00:00:00+05:30,25.15,25.54,25.15,25.54,7143
2022-06-27 00:00:00+05:30,25.85,26.59,25.85,26.33,2172
2022-06-28 00:00:00+05:30,26.2,27.0,26.2,26.89,16668
2022-06-29 00:00:00+05:30,26.18,26.22,25.58,25.96,12592
2022-06-30 00:00:00+05:30,26.01,26.26,25.68,26.12,2920
2022-07-01 00:00:00+05:30,26.15,26.15,25.02,25.45,10941
2022-07-04 00:00:00+05:30,26.0,26.0,24.83,25.68,8236
2022-07-05 00:00:00+05:30,26.15,26.68,25.59,26.24,8671
2022-07-06 00:00:00+05:30,24.5,26.6,24.5,25.98,1862
2022-07-07 00:00:00+05:30,25.21,26.21,25.21,26.19,2781
2022-07-08 00:00:00+05:30,26.19,26.79,25.87,26.24,5050
2022-07-11 00:00:00+05:30,25.73,27.02,25.73,26.49,5066
2022-07-12 00:00:00+05:30,26.55,26.55,26.0,26.27,793
2022-07-13 00:00:00+05:30,26.1,26.14,25.61,25.88,3420
2022-07-14 00:00:00+05:30,26.01,26.07,25.53,25.77,937
2022-07-15 00:00:00+05:30,25.87,26.43,25.68,26.29,2490
2022-07-18 00:00:00+05:30,26.15,26.82,26.15,26.8,10450
2022-07-19 00:00:00+05:30,26.7,26.7,26.02,26.36,2360
2022-07-20 00:00:00+05:30,27.2,27.5,26.53,26.71,7448
2022-07-21 00:00:00+05:30,27.0,27.2,26.81,27.0,914
2022-07-22 00:00:00+05:30,26.63,27.5,26.63,27.09,1452
2022-07-25 00:00:00+05:30,27.8,27.98,26.7,27.05,675
2022-07-26 00:00:00+05:30,27.0,27.09,26.52,26.53,787
2022-07-27 00:00:00+05:30,26.64,27.3,26.5,26.93,3252
2022-07-28 00:00:00+05:30,26.33,27.53,26.33,27.28,8728
2022-07-29 00:00:00+05:30,27.03,27.79,27.03,27.45,10481
2022-08-01 00:00:00+05:30,27.59,27.75,27.3,27.49,6635
2022-08-02 00:00:00+05:30,27.5,27.7,27.05,27.28,6980
2022-08-03 00:00:00+05:30,27.21,27.59,27.01,27.4,657
2022-08-04 00:00:00+05:30,27.4,28.0,27.31,27.98,16214
2022-08-05 00:00:00+05:30,28.0,28.37,27.61,28.36,2760
2022-08-08 00:00:00+05:30,27.51,28.36,27.0,28.19,7916
2022-08-10 00:00:00+05:30,28.19,28.19,27.6,27.95,8484
2022-08-11 00:00:00+05:30,28.19,28.88,27.73,28.5,14782
2022-08-12 00:00:00+05:30,28.22,28.77,27.93,28.61,693
2022-08-16 00:00:00+05:30,27.76,29.11,26.13,28.95,14256
2022-08-17 00:00:00+05:30,28.7,29.37,28.41,28.58,9337
2022-08-18 00:00:00+05:30,28.03,28.99,28.03,28.95,1201
2022-08-19 00:00:00+05:30,28.09,29.19,28.09,28.58,16142
2022-08-22 00:00:00+05:30,28.3,28.85,27.73,28.71,5180
2022-08-23 00:00:00+05:30,27.85,28.42,27.81,27.97,11292
2022-08-24 00:00:00+05:30,27.32,28.35,27.31,27.53,7960
2022-08-25 00:00:00+05:30,27.53,28.55,27.23,28.55,3436
2022-08-26 00:00:00+05:30,28.2,28.3,27.43,27.81,65467
2022-08-29 00:00:00+05:30,27.15,27.99,27.15,27.66,2623
2022-08-30 00:00:00+05:30,27.2,27.72,27.11,27.35,6861
2022-09-01 00:00:00+05:30,27.48,27.48,26.02,26.68,15368
2022-09-02 00:00:00+05:30,26.07,27.2,26.07,26.95,11222
2022-09-05 00:00:00+05:30,26.65,27.7,26.5,27.4,8336
2022-09-06 00:00:00+05:30,27.35,27.35,26.51,26.76,24389
2022-09-07 00:00:00+05:30,26.31,26.9,26.05,26.19,10150
2022-09-08 00:00:00+05:30,26.36,26.79,26.36,26.38,3993
2022-09-09 00:00:00+05:30,26.5,27.02,26.44,26.47,865
2022-09-12 00:00:00+05:30,26.63,27.22,26.63,26.9,23704
2022-09-13 00:00:00+05:30,27.0,27.44,27.0,27.16,12148
2022-09-14 00:00:00+05:30,27.0,27.0,26.25,26.43,18850
2022-09-15 00:00:00+05:30,26.25,26.79,26.25,26.55,6562
2022-09-16 00:00:00+05:30,26.25,26.45,25.76,26.1,18073
2022-09-19 00:00:00+05:30,25.65,26.39,25.55,25.75,12398
2022-09-20 00:00:00+05:30,25.85,26.33,25.85,25.9,3963
2022-09-21 00:00:00+05:30,26.35,27.14,25.6,25.9,24517
2022-09-22 00:00:00+05:30,25.9,26.03,25.61,25.87,17190
2022-09-23 00:00:00+05:30,25.6,26.39,25.51,25.81,9064
2022-09-26 00:00:00+05:30,25.21,25.99,25.21,25.36,13343
2022-09-27 00:00:00+05:30,25.1,25.95,24.9,25.5,12789
2022-09-28 00:00:00+05:30,24.74,25.9,24.74,25.28,7110
2022-09-29 00:00:00+05:30,25.3,26.29,25.0,25.86,12153
2022-09-30 00:00:00+05:30,25.6,25.89,25.01,25.62,11108
2022-10-03 00:00:00+05:30,25.0,25.78,24.62,25.06,19877
2022-10-04 00:00:00+05:30,25.49,25.99,25.15,25.72,4173
2022-10-06 00:00:00+05:30,25.7,26.42,25.5,25.76,16036
2022-10-07 00:00:00+05:30,25.89,26.2,25.89,25.89,9762
2022-10-10 00:00:00+05:30,25.88,25.88,24.95,25.4,10523
2022-10-11 00:00:00+05:30,25.3,25.32,24.71,25.08,12989
2022-10-12 00:00:00+05:30,24.33,25.55,24.33,24.99,7027
2022-10-13 00:00:00+05:30,25.48,25.48,24.56,24.69,10996
2022-10-14 00:00:00+05:30,24.91,25.65,24.85,25.1,13214
2022-10-17 00:00:00+05:30,24.76,25.22,23.93,24.98,304912
2022-10-18 00:00:00+05:30,25.1,26.09,25.1,25.72,2254
2022-10-19 00:00:00+05:30,25.89,26.1,25.53,25.74,1321
2022-10-20 00:00:00+05:30,25.61,26.13,25.27,25.79,17430
2022-10-21 00:00:00+05:30,25.41,26.03,25.3,25.59,5155
2022-10-24 00:00:00+05:30,25.53,26.43,25.53,26.34,7901
2022-10-25 00:00:00+05:30,26.2,26.52,26.2,26.36,7982
2022-10-27 00:00:00+05:30,26.4,26.5,25.8,25.99,7264
2022-10-28 00:00:00+05:30,25.91,26.39,25.45,25.98,14176
2022-10-31 00:00:00+05:30,26.19,26.55,26.0,26.53,17241
2022-11-01 00:00:00+05:30,26.51,26.95,26.41,26.7,1798
2022-11-02 00:00:00+05:30,26.41,26.79,26.01,26.47,13636
2022-11-03 00:00:00+05:30,26.29,26.29,25.51,25.91,32974
2022-11-04 00:00:00+05:30,25.98,25.98,25.11,25.17,48748
2022-11-07 00:00:00+05:30,25.14,25.89,25.05,25.42,7783
2022-11-09 00:00:00+05:30,25.25,26.0,25.25,25.41,10919
2022-11-10 00:00:00+05:30,25.55,25.55,24.91,25.08,7852
2022-11-11 00:00:00+05:30,25.75,26.29,25.73,25.98,24972
2022-11-14 00:00:00+05:30,26.0,26.88,25.63,26.38,8912
2022-11-15 00:00:00+05:30,25.59,26.38,25.59,26.22,14051
2022-11-16 00:00:00+05:30,26.29,26.48,26.13,26.35,13228
2022-11-17 00:00:00+05:30,26.37,26.37,26.05,26.29,4488
2022-11-18 00:00:00+05:30,26.46,26.46,26.31,26.31,507
2022-11-21 00:00:00+05:30,26.71,26.71,26.27,26.45,1196
2022-11-22 00:00:00+05:30,26.31,26.6,26.0,26.18,14430
2022-11-23 00:00:00+05:30,26.3,26.65,26.13,26.57,10825
2022-11-24 00:00:00+05:30,26.33,26.83,26.33,26.72,9579
2022-11-25 00:00:00+05:30,26.5,27.0,26.5,26.97,3296
2022-11-28 00:00:00+05:30,26.85,26.96,26.5,26.66,9778
2022-11-29 00:00:00+05:30,26.5,26.55,26.31,26.5,5051
