date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,48.0,50.4,47.0,49.15,59511
2008-01-02 00:00:00+05:30,50.9,52.15,47.0,47.75,37836
2008-01-03 00:00:00+05:30,49.0,49.5,43.75,44.45,41670
2008-01-04 00:00:00+05:30,45.0,45.75,42.6,43.3,34901
2008-01-07 00:00:00+05:30,51.95,51.95,44.9,50.2,307108
2008-01-08 00:00:00+05:30,51.2,54.7,45.7,46.3,141733
2008-01-09 00:00:00+05:30,46.0,47.0,42.55,45.75,61349
2008-01-10 00:00:00+05:30,46.7,50.0,43.3,43.85,60803
2008-01-11 00:00:00+05:30,45.95,46.0,42.4,43.5,24634
2008-01-14 00:00:00+05:30,43.5,43.5,41.3,42.1,41113
2008-01-15 00:00:00+05:30,42.5,44.4,40.79,41.3,35845
2008-01-16 00:00:00+05:30,40.95,41.4,37.0,38.65,45612
2008-01-17 00:00:00+05:30,39.6,39.95,38.5,39.1,47951
2008-01-18 00:00:00+05:30,37.15,39.25,37.0,37.5,24104
2008-01-21 00:00:00+05:30,38.29,38.29,31.5,32.29,34297
2008-01-22 00:00:00+05:30,31.0,31.7,26.0,29.6,8700
2008-01-23 00:00:00+05:30,34.95,34.95,31.5,33.4,13197
2008-01-24 00:00:00+05:30,36.0,36.0,29.5,30.75,13417
2008-01-25 00:00:00+05:30,31.0,33.29,29.8,31.5,24114
2008-01-28 00:00:00+05:30,31.1,32.85,30.0,30.3,38271
2008-01-29 00:00:00+05:30,31.0,31.9,29.6,30.05,12278
2008-01-30 00:00:00+05:30,29.85,31.65,29.0,29.4,12937
2008-01-31 00:00:00+05:30,29.0,30.0,27.0,27.05,21636
2008-02-01 00:00:00+05:30,29.0,29.7,27.15,28.9,5502
2008-02-04 00:00:00+05:30,31.0,31.0,28.0,29.25,29113
2008-02-05 00:00:00+05:30,31.0,31.0,29.95,30.4,10538
2008-02-06 00:00:00+05:30,29.05,32.0,29.05,30.95,8251
2008-02-07 00:00:00+05:30,31.5,32.9,30.5,31.35,12308
2008-02-08 00:00:00+05:30,29.25,30.95,28.5,28.9,9541
2008-02-11 00:00:00+05:30,29.95,30.95,26.05,26.55,17229
2008-02-12 00:00:00+05:30,26.5,27.95,25.0,25.6,4870
2008-02-13 00:00:00+05:30,25.05,26.1,24.15,25.05,5234
2008-02-14 00:00:00+05:30,26.95,27.9,26.0,27.35,2720
2008-02-15 00:00:00+05:30,28.95,29.1,27.0,28.7,9181
2008-02-18 00:00:00+05:30,28.55,28.75,26.9,27.35,18020
2008-02-19 00:00:00+05:30,27.2,29.15,26.15,27.05,11984
2008-02-20 00:00:00+05:30,26.35,27.6,25.5,27.0,6656
2008-02-21 00:00:00+05:30,27.6,27.8,26.7,26.85,2799
2008-02-22 00:00:00+05:30,28.2,28.2,26.8,26.85,2882
2008-02-25 00:00:00+05:30,28.0,32.2,27.15,30.25,46421
2008-02-26 00:00:00+05:30,31.75,32.4,30.1,31.0,20536
2008-02-27 00:00:00+05:30,31.05,31.45,29.2,29.8,8200
2008-02-28 00:00:00+05:30,30.75,30.75,28.6,29.7,2994
2008-02-29 00:00:00+05:30,27.5,30.45,27.5,29.35,5324
2008-03-03 00:00:00+05:30,27.2,29.45,27.2,28.9,8001
2008-03-04 00:00:00+05:30,27.2,28.15,27.0,27.1,3861
2008-03-05 00:00:00+05:30,27.0,28.25,25.0,25.4,11120
2008-03-07 00:00:00+05:30,25.8,26.8,24.0,25.45,8472
2008-03-10 00:00:00+05:30,24.3,25.3,24.3,24.75,5956
2008-03-11 00:00:00+05:30,26.0,26.5,25.2,25.95,3668
2008-03-12 00:00:00+05:30,27.2,27.95,26.1,26.5,4457
2008-03-13 00:00:00+05:30,25.9,25.9,24.6,25.0,3926
2008-03-14 00:00:00+05:30,24.8,26.3,23.0,23.65,9831
2008-03-17 00:00:00+05:30,23.7,23.8,21.05,22.35,3260
2008-03-18 00:00:00+05:30,21.5,22.65,18.1,20.85,9997
2008-03-19 00:00:00+05:30,21.2,22.95,18.5,19.05,11705
2008-03-24 00:00:00+05:30,19.35,22.85,19.3,22.3,28085
2008-03-25 00:00:00+05:30,23.0,24.4,21.5,23.15,20578
2008-03-26 00:00:00+05:30,24.0,24.0,21.9,22.3,9975
2008-03-27 00:00:00+05:30,21.75,22.7,21.5,21.75,10092
2008-03-28 00:00:00+05:30,21.1,24.6,21.0,24.45,6211
2008-03-31 00:00:00+05:30,23.05,24.5,22.6,24.3,10915
2008-04-01 00:00:00+05:30,24.0,27.0,24.0,24.95,3358
2008-04-02 00:00:00+05:30,24.35,26.45,24.0,24.0,4845
2008-04-03 00:00:00+05:30,22.75,24.45,22.75,24.25,1621
2008-04-04 00:00:00+05:30,25.0,25.0,23.0,23.25,2055
2008-04-07 00:00:00+05:30,23.0,24.5,22.4,23.8,1726
2008-04-08 00:00:00+05:30,24.45,24.8,22.75,24.25,4864
2008-04-09 00:00:00+05:30,23.4,25.3,23.1,23.45,6444
2008-04-10 00:00:00+05:30,24.0,24.75,23.6,24.15,2772
2008-04-11 00:00:00+05:30,23.55,24.65,23.4,23.55,1951
2008-04-15 00:00:00+05:30,22.7,23.95,22.7,23.45,2581
2008-04-16 00:00:00+05:30,25.0,26.65,24.8,25.7,12561
2008-04-17 00:00:00+05:30,25.25,26.1,23.65,25.5,2542
2008-04-21 00:00:00+05:30,24.1,27.0,24.1,26.15,3484
2008-04-22 00:00:00+05:30,27.25,28.5,27.0,28.05,8027
2008-04-23 00:00:00+05:30,28.6,30.9,28.6,29.4,11845
2008-04-24 00:00:00+05:30,27.65,30.0,27.65,28.75,6542
2008-04-25 00:00:00+05:30,30.0,30.95,26.8,26.95,8321
2008-04-28 00:00:00+05:30,26.5,28.45,26.0,28.0,2160
2008-04-29 00:00:00+05:30,25.15,29.0,25.15,27.25,1406
2008-04-30 00:00:00+05:30,27.4,28.15,25.05,26.15,5858
2008-05-02 00:00:00+05:30,26.0,26.8,25.65,25.75,6495
2008-05-05 00:00:00+05:30,25.05,26.0,24.3,25.2,7757
2008-05-06 00:00:00+05:30,25.5,25.95,25.0,25.5,2237
2008-05-07 00:00:00+05:30,25.75,25.95,24.7,25.25,3259
2008-05-08 00:00:00+05:30,24.65,25.45,24.5,24.7,3980
2008-05-09 00:00:00+05:30,24.6,24.65,24.15,24.25,4470
2008-05-12 00:00:00+05:30,23.75,25.5,23.5,23.75,3353
2008-05-13 00:00:00+05:30,23.5,24.35,23.5,24.1,2181
2008-05-14 00:00:00+05:30,23.1,23.8,23.05,23.6,2462
2008-05-15 00:00:00+05:30,23.6,24.35,23.6,24.3,3075
2008-05-16 00:00:00+05:30,23.1,24.45,23.1,23.85,3770
2008-05-20 00:00:00+05:30,24.0,24.25,23.3,23.55,2916
2008-05-21 00:00:00+05:30,25.25,25.25,22.65,23.35,16019
2008-05-22 00:00:00+05:30,24.7,24.7,22.85,23.8,4127
2008-05-23 00:00:00+05:30,23.55,24.0,23.0,23.45,3736
2008-05-26 00:00:00+05:30,23.5,23.5,22.6,22.95,1460
2008-05-27 00:00:00+05:30,23.85,23.9,22.9,22.9,4320
2008-05-28 00:00:00+05:30,22.65,23.55,22.0,22.6,4393
2008-05-29 00:00:00+05:30,22.6,23.0,22.45,22.55,1428
2008-05-30 00:00:00+05:30,23.9,23.9,22.0,22.2,2285
2008-06-02 00:00:00+05:30,22.0,22.45,21.5,21.6,2716
2008-06-03 00:00:00+05:30,21.0,21.4,20.3,21.05,4052
2008-06-04 00:00:00+05:30,20.55,22.7,20.55,21.2,1348
2008-06-05 00:00:00+05:30,20.3,22.0,20.3,21.7,3411
2008-06-06 00:00:00+05:30,22.85,22.85,21.35,21.5,1980
2008-06-09 00:00:00+05:30,21.35,21.85,20.1,20.65,1955
2008-06-10 00:00:00+05:30,20.25,21.1,20.25,20.7,2044
2008-06-11 00:00:00+05:30,21.5,22.0,20.25,21.0,1863
2008-06-12 00:00:00+05:30,21.95,22.0,20.1,20.25,4837
2008-06-13 00:00:00+05:30,21.5,22.0,21.05,21.8,4483
2008-06-16 00:00:00+05:30,23.0,23.0,21.5,21.95,3534
2008-06-17 00:00:00+05:30,21.8,22.55,21.65,22.35,745
2008-06-18 00:00:00+05:30,21.4,22.5,21.4,22.0,2380
2008-06-19 00:00:00+05:30,21.3,22.35,20.5,20.95,2282
2008-06-20 00:00:00+05:30,22.65,22.65,21.0,21.6,1580
2008-06-23 00:00:00+05:30,20.5,21.45,18.64,20.05,1580
2008-06-24 00:00:00+05:30,20.1,20.7,19.39,20.0,4387
2008-06-26 00:00:00+05:30,20.0,22.0,19.8,19.85,948
2008-06-27 00:00:00+05:30,20.25,20.6,20.1,20.25,2466
2008-06-30 00:00:00+05:30,19.1,19.75,18.25,19.0,3418
2008-07-01 00:00:00+05:30,20.9,20.9,18.2,18.85,2765
2008-07-02 00:00:00+05:30,18.0,19.45,18.0,18.64,3527
2008-07-03 00:00:00+05:30,19.0,19.0,16.8,17.39,2950
2008-07-04 00:00:00+05:30,20.0,20.0,17.05,18.0,1506
2008-07-07 00:00:00+05:30,18.0,19.45,18.0,18.85,376
2008-07-08 00:00:00+05:30,18.0,19.0,17.75,18.1,1158
2008-07-09 00:00:00+05:30,20.0,20.7,18.8,18.95,3940
2008-07-10 00:00:00+05:30,19.0,21.1,19.0,21.0,11306
2008-07-11 00:00:00+05:30,20.6,20.85,20.6,20.8,1850
2008-07-14 00:00:00+05:30,19.6,20.85,19.6,19.7,1393
2008-07-15 00:00:00+05:30,19.6,20.0,18.5,18.55,3547
2008-07-16 00:00:00+05:30,18.6,19.05,17.55,18.5,2585
2008-07-17 00:00:00+05:30,18.3,18.85,18.0,18.05,1055
2008-07-18 00:00:00+05:30,18.1,18.45,17.0,18.25,3701
2008-07-21 00:00:00+05:30,20.0,20.0,17.64,17.89,1479
2008-07-22 00:00:00+05:30,18.39,19.0,17.89,18.75,2237
2008-07-23 00:00:00+05:30,19.0,19.89,19.0,19.39,1050
2008-07-24 00:00:00+05:30,18.5,19.89,18.5,19.2,1745
2008-07-25 00:00:00+05:30,18.14,20.0,18.0,19.3,2907
2008-07-28 00:00:00+05:30,19.5,21.0,19.05,20.45,4474
2008-07-29 00:00:00+05:30,19.5,20.0,18.6,19.5,2095
2008-07-30 00:00:00+05:30,19.0,20.3,17.89,18.1,35002
2008-07-31 00:00:00+05:30,18.05,18.7,18.0,18.1,5482
2008-08-01 00:00:00+05:30,18.45,18.64,18.1,18.3,3735
2008-08-04 00:00:00+05:30,18.35,21.5,18.35,20.6,35953
2008-08-05 00:00:00+05:30,20.0,21.45,19.05,19.2,19240
2008-08-06 00:00:00+05:30,19.2,20.39,19.0,20.0,4597
2008-08-07 00:00:00+05:30,20.0,20.2,19.75,19.75,3024
2008-08-08 00:00:00+05:30,18.1,19.75,17.05,19.35,2957
2008-08-11 00:00:00+05:30,20.0,20.14,19.05,19.6,4266
2008-08-12 00:00:00+05:30,19.95,19.95,18.1,18.6,13580
2008-08-13 00:00:00+05:30,18.95,18.95,17.89,18.0,25576
2008-08-14 00:00:00+05:30,18.0,18.89,18.0,18.75,5792
