date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,10.5,10.5,10.5,10.5,99220
2008-01-02 00:00:00+05:30,11.05,11.05,11.0,11.05,15620
2008-01-03 00:00:00+05:30,11.55,11.6,11.55,11.6,13545
2008-01-04 00:00:00+05:30,12.15,12.15,12.15,12.15,80955
2008-01-07 00:00:00+05:30,12.0,12.0,11.55,11.7,104955
2008-01-08 00:00:00+05:30,11.55,11.55,11.15,11.15,20705
2008-01-09 00:00:00+05:30,11.15,11.15,10.6,10.6,36200
2008-01-10 00:00:00+05:30,11.15,11.15,10.8,10.9,100125
2008-01-11 00:00:00+05:30,11.0,11.45,10.65,10.8,49800
2008-01-14 00:00:00+05:30,10.25,11.3,10.25,11.3,135965
2008-01-15 00:00:00+05:30,11.4,11.85,11.4,11.85,83000
2008-01-16 00:00:00+05:30,12.4,12.45,11.55,11.75,105925
2008-01-17 00:00:00+05:30,12.0,12.3,11.7,12.1,85450
2008-01-18 00:00:00+05:30,11.9,11.9,11.5,11.5,69075
2008-01-21 00:00:00+05:30,11.0,11.3,10.95,11.3,4725
2008-01-24 00:00:00+05:30,10.75,10.75,10.75,10.75,250
2008-01-25 00:00:00+05:30,10.8,10.8,10.2,10.2,6550
2008-01-28 00:00:00+05:30,9.7,9.7,9.7,9.7,5225
2008-01-29 00:00:00+05:30,9.2,9.2,9.2,9.2,45000
2008-01-30 00:00:00+05:30,8.75,8.75,8.75,8.75,3500
2008-01-31 00:00:00+05:30,8.6,8.6,8.35,8.35,2625
2008-02-01 00:00:00+05:30,7.9,7.9,7.9,7.9,4660
2008-02-04 00:00:00+05:30,8.3,8.3,7.55,8.25,32000
2008-02-05 00:00:00+05:30,7.85,8.5,7.85,8.3,16975
2008-02-06 00:00:00+05:30,8.6,8.6,7.9,8.4,17130
2008-02-07 00:00:00+05:30,8.25,8.25,7.95,7.95,6725
2008-02-08 00:00:00+05:30,7.6,7.9,7.6,7.6,5875
2008-02-11 00:00:00+05:30,7.6,7.6,7.25,7.25,875
2008-02-12 00:00:00+05:30,6.9,6.9,6.9,6.9,500
2008-02-13 00:00:00+05:30,6.55,6.55,6.55,6.55,1250
2008-02-14 00:00:00+05:30,6.4,6.4,6.2,6.2,6725
2008-02-15 00:00:00+05:30,5.9,5.9,5.9,5.9,11275
2008-02-18 00:00:00+05:30,5.65,6.2,5.6,6.2,9000
2008-02-19 00:00:00+05:30,6.5,6.5,6.4,6.5,21500
2008-02-20 00:00:00+05:30,6.3,6.8,6.3,6.35,8140
2008-02-21 00:00:00+05:30,6.2,6.2,6.05,6.05,7660
