date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,0.4,0.4,0.4,0.4,92980
2008-01-02 00:00:00+05:30,0.42,0.42,0.38,0.42,614580
2008-01-03 00:00:00+05:30,0.44,0.44,0.44,0.44,177500
2008-01-04 00:00:00+05:30,0.46,0.46,0.42,0.45,385940
2008-01-07 00:00:00+05:30,0.48,0.48,0.43,0.43,959600
2008-01-08 00:00:00+05:30,0.43,0.43,0.41,0.41,221000
2008-01-09 00:00:00+05:30,0.39,0.39,0.39,0.39,35030
2008-01-10 00:00:00+05:30,0.37,0.37,0.37,0.37,830000
2008-01-11 00:00:00+05:30,0.37,0.39,0.37,0.39,1538700
2008-01-14 00:00:00+05:30,0.41,0.41,0.38,0.4,244500
2008-01-15 00:00:00+05:30,0.42,0.42,0.39,0.42,216170
2008-01-16 00:00:00+05:30,0.44,0.44,0.4,0.4,1687500
2008-01-17 00:00:00+05:30,0.4,0.42,0.38,0.4,265000
2008-01-18 00:00:00+05:30,0.38,0.4,0.38,0.38,368930
2008-01-21 00:00:00+05:30,0.39,0.39,0.36,0.36,221810
2008-01-22 00:00:00+05:30,0.34,0.34,0.34,0.34,149390
2008-01-23 00:00:00+05:30,0.34,0.34,0.34,0.34,77500
2008-01-24 00:00:00+05:30,0.32,0.35,0.32,0.32,309950
2008-01-25 00:00:00+05:30,0.34,0.34,0.34,0.34,608680
2008-01-28 00:00:00+05:30,0.35,0.35,0.33,0.35,271800
2008-01-29 00:00:00+05:30,0.35,0.37,0.35,0.37,28500
2008-01-30 00:00:00+05:30,0.38,0.39,0.38,0.39,98920
2008-01-31 00:00:00+05:30,0.4,0.4,0.4,0.4,318350
2008-02-01 00:00:00+05:30,0.43,0.43,0.39,0.43,215190
2008-02-04 00:00:00+05:30,0.45,0.45,0.41,0.42,145560
2008-02-05 00:00:00+05:30,0.4,0.43,0.4,0.43,75700
2008-02-06 00:00:00+05:30,0.43,0.45,0.42,0.45,105500
2008-02-07 00:00:00+05:30,0.42,0.43,0.42,0.42,29000
2008-02-08 00:00:00+05:30,0.42,0.43,0.4,0.42,133000
2008-02-11 00:00:00+05:30,0.42,0.43,0.42,0.42,81000
2008-02-12 00:00:00+05:30,0.4,0.43,0.4,0.42,129500
2008-02-13 00:00:00+05:30,0.4,0.41,0.4,0.4,78150
2008-02-14 00:00:00+05:30,0.4,0.41,0.38,0.38,204000
2008-02-15 00:00:00+05:30,0.36,0.4,0.36,0.4,152300
2008-02-18 00:00:00+05:30,0.42,0.42,0.38,0.39,62640
2008-02-19 00:00:00+05:30,0.41,0.41,0.37,0.37,33990
2008-02-20 00:00:00+05:30,0.39,0.39,0.36,0.36,150030
2008-02-21 00:00:00+05:30,0.38,0.38,0.37,0.38,260000
2008-02-26 00:00:00+05:30,0.39,0.39,0.39,0.39,1500
2008-02-27 00:00:00+05:30,0.4,0.41,0.39,0.39,30000
2008-02-28 00:00:00+05:30,0.37,0.37,0.37,0.37,11000
2008-03-03 00:00:00+05:30,0.35,0.35,0.35,0.35,16000
2008-03-11 00:00:00+05:30,0.34,0.34,0.34,0.34,10000
2008-03-12 00:00:00+05:30,0.32,0.32,0.32,0.32,15000
2008-03-18 00:00:00+05:30,0.29,0.29,0.29,0.29,10010
2008-03-19 00:00:00+05:30,0.26,0.26,0.26,0.26,3010
2008-03-25 00:00:00+05:30,0.28,0.28,0.24,0.26,10020
2008-03-27 00:00:00+05:30,0.24,0.24,0.24,0.24,10850
2008-03-28 00:00:00+05:30,0.21,0.21,0.21,0.21,8010
2008-03-31 00:00:00+05:30,0.23,0.23,0.2,0.2,3500
2008-04-01 00:00:00+05:30,0.19,0.2,0.19,0.2,30000
2008-04-02 00:00:00+05:30,0.2,0.21,0.19,0.19,84220
2008-04-03 00:00:00+05:30,0.2,0.2,0.2,0.2,26000
2008-04-04 00:00:00+05:30,0.2,0.2,0.19,0.19,22500
2008-04-08 00:00:00+05:30,0.2,0.2,0.2,0.2,10
2008-04-09 00:00:00+05:30,0.2,0.21,0.2,0.21,54100
2008-04-10 00:00:00+05:30,0.2,0.21,0.2,0.21,20000
2008-04-11 00:00:00+05:30,0.2,0.2,0.2,0.2,780
2008-04-15 00:00:00+05:30,0.19,0.19,0.19,0.19,20000
2008-04-16 00:00:00+05:30,0.2,0.2,0.19,0.2,24000
2008-04-17 00:00:00+05:30,0.19,0.19,0.19,0.19,16000
2008-04-21 00:00:00+05:30,0.19,0.2,0.19,0.2,58000
2008-04-22 00:00:00+05:30,0.19,0.19,0.19,0.19,6000
2008-04-23 00:00:00+05:30,0.2,0.2,0.2,0.2,7600
2008-04-24 00:00:00+05:30,0.19,0.21,0.19,0.21,39000
2008-04-25 00:00:00+05:30,0.22,0.22,0.22,0.22,1000
2008-04-28 00:00:00+05:30,0.22,0.22,0.21,0.21,21000
2008-04-29 00:00:00+05:30,0.2,0.21,0.2,0.2,13650
2008-05-02 00:00:00+05:30,0.19,0.19,0.19,0.19,6000
2008-05-05 00:00:00+05:30,0.19,0.2,0.19,0.2,9500
2008-05-06 00:00:00+05:30,0.21,0.21,0.2,0.2,3012000
2008-05-07 00:00:00+05:30,0.21,0.21,0.21,0.21,1642070
2008-05-08 00:00:00+05:30,0.22,0.22,0.22,0.22,138040
2008-05-09 00:00:00+05:30,0.23,0.23,0.23,0.23,23640
2008-05-12 00:00:00+05:30,0.24,0.24,0.22,0.23,47650
2008-05-13 00:00:00+05:30,0.22,0.22,0.22,0.22,2000
2008-05-15 00:00:00+05:30,0.21,0.21,0.21,0.21,500
2008-05-16 00:00:00+05:30,0.21,0.22,0.2,0.2,42540
2008-05-20 00:00:00+05:30,0.2,0.21,0.2,0.21,35000
2008-05-22 00:00:00+05:30,0.2,0.2,0.2,0.2,4240
2008-05-23 00:00:00+05:30,0.2,0.21,0.2,0.2,55600
2008-05-26 00:00:00+05:30,0.2,0.2,0.2,0.2,5000
2008-05-27 00:00:00+05:30,0.21,0.21,0.21,0.21,62500
2008-05-28 00:00:00+05:30,0.22,0.22,0.22,0.22,23530
2008-05-29 00:00:00+05:30,0.23,0.23,0.23,0.23,23000
2008-05-30 00:00:00+05:30,0.24,0.24,0.24,0.24,6000
2008-06-02 00:00:00+05:30,0.25,0.25,0.25,0.25,43280
2008-06-03 00:00:00+05:30,0.27,0.27,0.27,0.27,41490
2008-06-04 00:00:00+05:30,0.28,0.28,0.28,0.28,18000
2008-06-05 00:00:00+05:30,0.29,0.29,0.29,0.29,64100
2008-06-06 00:00:00+05:30,0.31,0.31,0.31,0.31,6000
2008-06-09 00:00:00+05:30,0.32,0.32,0.32,0.32,52000
2008-06-10 00:00:00+05:30,0.34,0.34,0.34,0.34,125000
2008-06-11 00:00:00+05:30,0.35,0.35,0.35,0.35,24990
2008-06-12 00:00:00+05:30,0.37,0.37,0.37,0.37,18070
2008-06-13 00:00:00+05:30,0.39,0.39,0.37,0.39,92770
2008-06-16 00:00:00+05:30,0.41,0.41,0.41,0.41,67350
2008-06-17 00:00:00+05:30,0.43,0.43,0.43,0.43,86600
2008-06-18 00:00:00+05:30,0.45,0.45,0.4,0.4,138510
