date,open,high,low,close,volume
2024-08-27 00:00:00+05:30,117.25,117.25,111.39,111.39,4050
2024-08-28 00:00:00+05:30,106.0,106.0,105.83,105.83,971
2024-08-29 00:00:00+05:30,100.54,100.54,100.54,100.54,40
2024-08-30 00:00:00+05:30,95.52,95.52,95.52,95.52,53
2024-09-02 00:00:00+05:30,90.75,90.75,90.75,90.75,143
2024-09-03 00:00:00+05:30,86.61,86.61,86.22,86.22,75
2024-09-04 00:00:00+05:30,81.91,89.95,81.91,83.0,5476
2024-09-05 00:00:00+05:30,81.33,81.33,78.85,78.85,7890
2024-09-06 00:00:00+05:30,74.91,74.91,74.91,74.91,9323
2024-09-09 00:00:00+05:30,71.17,71.17,71.17,71.17,5789
2024-09-10 00:00:00+05:30,76.89,85.4,59.98,62.36,93266
2024-09-11 00:00:00+05:30,63.61,69.16,60.43,60.94,20697
2024-09-12 00:00:00+05:30,66.99,67.0,56.77,60.12,2202
2024-09-13 00:00:00+05:30,61.33,63.09,59.41,59.43,7030
2024-09-16 00:00:00+05:30,59.0,66.99,56.77,60.0,473
2024-09-17 00:00:00+05:30,60.0,61.8,57.33,60.95,1163
2024-09-18 00:00:00+05:30,60.0,62.9,57.91,60.9,2308
2024-09-19 00:00:00+05:30,60.8,60.9,57.86,57.86,447
2024-09-20 00:00:00+05:30,56.99,56.99,54.97,55.99,1224
2024-09-23 00:00:00+05:30,54.99,58.7,53.27,56.12,3208
2024-09-24 00:00:00+05:30,55.8,58.92,54.15,58.91,4088
2024-09-25 00:00:00+05:30,60.09,60.09,56.6,59.78,1434
2024-09-26 00:00:00+05:30,59.77,59.78,56.8,57.2,3891
2024-09-27 00:00:00+05:30,56.06,60.06,55.11,58.35,2505
2024-09-30 00:00:00+05:30,58.35,59.45,55.45,58.35,1230
2024-10-01 00:00:00+05:30,60.1,60.1,55.44,55.69,1012
2024-10-03 00:00:00+05:30,54.58,58.45,53.22,53.95,122
2024-10-04 00:00:00+05:30,56.0,56.64,54.5,56.32,369
2024-10-07 00:00:00+05:30,57.45,57.45,54.95,55.22,9
2024-10-08 00:00:00+05:30,55.22,56.85,53.01,53.41,216
2024-10-09 00:00:00+05:30,53.41,56.08,53.41,56.05,1648
2024-10-10 00:00:00+05:30,58.85,58.85,58.78,58.78,2
2024-10-11 00:00:00+05:30,57.55,58.75,57.55,58.75,13
2024-10-14 00:00:00+05:30,60.0,60.0,57.9,57.9,34
2024-10-15 00:00:00+05:30,57.9,60.7,55.5,59.69,1363
2024-10-16 00:00:00+05:30,59.5,59.5,56.91,57.23,10
2024-10-17 00:00:00+05:30,59.9,59.9,58.99,58.99,4
2024-10-18 00:00:00+05:30,56.25,58.98,56.05,58.98,4
2024-10-21 00:00:00+05:30,58.98,60.85,56.9,56.95,156
2024-10-25 00:00:00+05:30,59.7,59.7,54.9,54.9,1052
2024-10-28 00:00:00+05:30,55.83,55.83,52.17,55.82,164
2024-10-29 00:00:00+05:30,58.59,58.59,58.59,58.59,51
2024-10-30 00:00:00+05:30,56.0,58.55,56.0,58.54,474
2024-10-31 00:00:00+05:30,55.62,55.62,55.62,55.62,13
2024-11-01 00:00:00+05:30,54.51,58.4,54.51,58.2,179
2024-11-04 00:00:00+05:30,58.2,58.2,58.19,58.19,3014
2024-11-05 00:00:00+05:30,56.0,56.0,55.29,55.29,34
2024-11-06 00:00:00+05:30,55.29,57.8,53.3,57.79,162
2024-11-07 00:00:00+05:30,55.0,55.0,54.91,54.91,264
2024-11-08 00:00:00+05:30,56.0,57.62,54.1,55.36,83
2024-11-11 00:00:00+05:30,57.99,57.99,52.6,57.46,386
2024-11-12 00:00:00+05:30,54.6,57.29,54.6,57.23,121
