date,open,high,low,close,volume
2015-01-14 00:00:00+05:30,2.9,3.15,2.9,3.15,9909
2015-01-15 00:00:00+05:30,3.25,3.25,3.0,3.2,4738
2015-01-16 00:00:00+05:30,3.05,3.05,3.05,3.05,2700
2015-01-20 00:00:00+05:30,2.85,2.85,2.85,2.85,900
2015-01-21 00:00:00+05:30,2.75,2.9,2.75,2.75,900
2015-01-22 00:00:00+05:30,2.85,2.85,2.6,2.6,2934
2015-01-23 00:00:00+05:30,2.45,2.45,2.45,2.45,3154
2015-01-27 00:00:00+05:30,2.45,2.45,2.35,2.35,12843
2015-01-28 00:00:00+05:30,2.25,2.25,2.25,2.25,3825
2015-01-29 00:00:00+05:30,2.15,2.15,2.15,2.15,2700
2015-01-30 00:00:00+05:30,2.05,2.05,2.05,2.05,9
2015-02-02 00:00:00+05:30,1.95,1.95,1.95,1.95,9
2015-02-03 00:00:00+05:30,1.85,2.05,1.85,1.85,2313
2015-02-04 00:00:00+05:30,1.8,1.85,1.8,1.85,3825
2015-02-09 00:00:00+05:30,1.75,1.75,1.75,1.75,4
2015-02-10 00:00:00+05:30,1.85,1.85,1.85,1.85,20696
2015-02-11 00:00:00+05:30,1.85,1.95,1.75,1.75,32094
2015-02-12 00:00:00+05:30,1.85,1.85,1.85,1.85,4950
2015-02-13 00:00:00+05:30,1.95,1.95,1.95,1.95,45
2015-02-16 00:00:00+05:30,2.05,2.05,2.05,2.05,4500
2015-02-18 00:00:00+05:30,2.15,2.15,2.05,2.15,23504
2015-02-19 00:00:00+05:30,2.05,2.25,2.05,2.25,27058
2015-02-20 00:00:00+05:30,2.35,2.35,2.35,2.35,464
2015-02-23 00:00:00+05:30,2.25,2.45,2.25,2.45,20007
2015-02-24 00:00:00+05:30,2.55,2.55,2.45,2.45,23400
2015-02-25 00:00:00+05:30,2.6,2.6,2.6,2.6,4500
2015-02-26 00:00:00+05:30,2.5,2.5,2.5,2.5,2830
2015-02-27 00:00:00+05:30,2.5,2.5,2.45,2.45,15633
2015-03-03 00:00:00+05:30,2.25,2.45,2.2,2.35,94
2015-03-04 00:00:00+05:30,2.25,2.45,2.25,2.3,8694
2015-03-05 00:00:00+05:30,2.25,2.25,2.2,2.25,2020
2015-03-09 00:00:00+05:30,2.25,2.25,2.15,2.15,2268
2015-03-11 00:00:00+05:30,2.25,2.25,2.25,2.25,2250
2015-03-13 00:00:00+05:30,2.15,2.15,2.15,2.15,450
2015-03-16 00:00:00+05:30,2.05,2.05,2.05,2.05,1350
2015-03-20 00:00:00+05:30,2.15,2.15,2.0,2.0,14850
2015-03-23 00:00:00+05:30,1.9,2.1,1.9,2.0,7695
2015-03-24 00:00:00+05:30,2.1,2.1,2.1,2.1,486
2015-03-26 00:00:00+05:30,2.0,2.0,2.0,2.0,4
2015-04-10 00:00:00+05:30,2.1,2.1,2.1,2.1,4500
2015-04-15 00:00:00+05:30,2.15,2.15,2.15,2.15,4500
2015-04-16 00:00:00+05:30,2.25,2.25,2.25,2.25,4500
2015-04-17 00:00:00+05:30,2.35,2.4,2.15,2.3,6754
2015-04-20 00:00:00+05:30,2.15,2.3,2.15,2.3,5850
2015-04-21 00:00:00+05:30,2.25,2.3,2.25,2.3,1634
2015-04-22 00:00:00+05:30,2.45,2.45,2.45,2.45,3150
2015-04-23 00:00:00+05:30,2.55,2.55,2.3,2.4,6894
2015-04-24 00:00:00+05:30,2.3,2.5,2.3,2.5,5400
2015-04-27 00:00:00+05:30,2.65,2.65,2.65,2.65,450
2015-04-28 00:00:00+05:30,2.5,2.75,2.5,2.75,14625
2015-04-29 00:00:00+05:30,2.75,2.85,2.75,2.85,2970
2015-05-04 00:00:00+05:30,2.75,2.9,2.75,2.9,12622
2015-05-05 00:00:00+05:30,3.0,3.05,2.75,3.05,504
2015-05-06 00:00:00+05:30,3.05,3.05,3.05,3.05,4500
2015-05-08 00:00:00+05:30,3.0,3.0,3.0,3.0,450
2015-05-11 00:00:00+05:30,3.1,3.1,3.1,3.1,9225
2015-05-12 00:00:00+05:30,3.0,3.25,3.0,3.25,1755
2015-05-13 00:00:00+05:30,3.3,3.3,3.05,3.1,3312
2015-05-14 00:00:00+05:30,3.25,3.25,3.25,3.25,225
2015-05-15 00:00:00+05:30,3.35,3.35,3.05,3.25,1215
2015-05-18 00:00:00+05:30,3.35,3.35,3.05,3.25,3033
2015-05-19 00:00:00+05:30,3.1,3.35,3.1,3.35,26780
2015-05-20 00:00:00+05:30,3.45,3.55,3.45,3.45,4118
2015-05-21 00:00:00+05:30,3.55,3.55,3.25,3.55,5116
2015-05-22 00:00:00+05:30,3.7,3.7,3.45,3.7,5688
2015-05-25 00:00:00+05:30,3.9,3.9,3.85,3.9,13770
2015-05-26 00:00:00+05:30,4.05,4.05,3.9,3.95,5490
2015-05-27 00:00:00+05:30,3.9,4.05,3.75,3.95,11934
2015-05-28 00:00:00+05:30,3.8,3.95,3.75,3.9,20722
2015-05-29 00:00:00+05:30,4.05,4.05,3.75,3.75,1395
2015-06-02 00:00:00+05:30,3.75,3.75,3.75,3.75,9000
2015-06-03 00:00:00+05:30,3.55,3.95,3.55,3.95,17104
2015-06-04 00:00:00+05:30,3.75,3.95,3.75,3.75,14962
2015-06-05 00:00:00+05:30,3.6,3.6,3.6,3.6,248
