date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,92.5,96.0,88.5,89.1,45312
2008-01-02 00:00:00+05:30,91.25,91.5,87.0,88.3,31454
2008-01-03 00:00:00+05:30,90.0,91.0,86.6,88.65,43722
2008-01-04 00:00:00+05:30,90.0,90.0,88.5,89.0,9764
2008-01-07 00:00:00+05:30,89.75,90.0,87.1,87.4,8310
2008-01-08 00:00:00+05:30,87.5,88.5,85.0,85.9,8258
2008-01-09 00:00:00+05:30,86.0,87.45,80.55,83.3,18898
2008-01-10 00:00:00+05:30,85.0,85.0,80.0,80.0,9508
2008-01-11 00:00:00+05:30,86.0,89.0,78.55,81.45,6336
2008-01-14 00:00:00+05:30,81.1,81.1,79.75,80.0,7872
2008-01-15 00:00:00+05:30,78.5,82.75,78.5,79.05,4494
2008-01-16 00:00:00+05:30,79.85,79.85,77.75,79.25,2410
2008-01-17 00:00:00+05:30,79.25,80.85,76.5,77.6,5192
2008-01-18 00:00:00+05:30,77.5,80.0,76.5,77.45,4976
2008-01-21 00:00:00+05:30,75.9,79.5,72.75,73.8,10094
2008-01-22 00:00:00+05:30,63.0,70.0,63.0,64.0,2876
2008-01-23 00:00:00+05:30,66.5,73.0,65.5,72.5,3344
2008-01-24 00:00:00+05:30,71.1,71.1,58.5,61.1,16510
2008-01-25 00:00:00+05:30,62.5,67.3,61.7,66.7,2374
2008-01-28 00:00:00+05:30,67.7,67.7,64.6,65.3,2628
2008-01-29 00:00:00+05:30,68.0,69.5,68.0,68.9,3750
2008-01-30 00:00:00+05:30,69.45,69.45,65.0,66.4,6076
2008-01-31 00:00:00+05:30,65.0,66.5,65.0,65.5,3192
2008-02-01 00:00:00+05:30,66.5,67.3,65.65,67.25,840
2008-02-04 00:00:00+05:30,67.5,70.5,67.5,70.5,1786
2008-02-05 00:00:00+05:30,68.2,70.0,68.2,70.0,1502
2008-02-06 00:00:00+05:30,66.3,71.5,66.3,71.25,1150
2008-02-07 00:00:00+05:30,68.5,71.95,68.5,70.5,1392
2008-02-08 00:00:00+05:30,68.0,70.0,67.5,68.1,2836
2008-02-11 00:00:00+05:30,71.7,71.7,65.0,65.15,4650
2008-02-12 00:00:00+05:30,65.7,67.7,65.55,65.6,1786
2008-02-13 00:00:00+05:30,65.15,66.0,64.75,64.75,4908
2008-02-14 00:00:00+05:30,66.45,66.5,65.4,66.5,1000
2008-02-18 00:00:00+05:30,67.6,70.0,66.1,69.5,2234
2008-02-19 00:00:00+05:30,67.55,68.0,67.5,67.95,360
2008-02-20 00:00:00+05:30,68.5,68.5,67.5,67.5,530
2008-02-21 00:00:00+05:30,67.65,67.65,66.1,67.5,700
2008-02-22 00:00:00+05:30,69.95,69.95,66.2,66.2,1112
2008-02-25 00:00:00+05:30,66.0,68.5,65.35,67.5,500
2008-02-26 00:00:00+05:30,69.4,69.4,66.5,67.2,700
2008-02-27 00:00:00+05:30,67.55,69.85,67.55,69.3,3686
2008-02-28 00:00:00+05:30,67.5,69.95,67.5,68.0,866
2008-02-29 00:00:00+05:30,70.5,70.5,70.5,70.5,10
2008-03-03 00:00:00+05:30,67.5,67.5,66.0,66.05,1030
2008-03-04 00:00:00+05:30,66.0,66.0,66.0,66.0,770
2008-03-05 00:00:00+05:30,65.3,68.95,65.3,66.0,1278
2008-03-07 00:00:00+05:30,65.05,66.0,63.75,65.0,4470
2008-03-10 00:00:00+05:30,64.5,64.75,60.05,63.85,3202
2008-03-11 00:00:00+05:30,60.75,63.5,60.5,61.5,26302
2008-03-12 00:00:00+05:30,65.4,65.4,63.0,63.15,1302
2008-03-13 00:00:00+05:30,62.5,62.5,60.9,61.2,550
2008-03-14 00:00:00+05:30,60.5,63.5,60.5,63.5,148
2008-03-17 00:00:00+05:30,62.55,62.55,55.0,60.2,3378
2008-03-18 00:00:00+05:30,57.5,58.05,55.2,57.0,2130
2008-03-19 00:00:00+05:30,56.3,56.6,55.0,55.5,5280
2008-03-24 00:00:00+05:30,55.5,55.5,54.0,54.0,2050
2008-03-25 00:00:00+05:30,49.45,54.95,49.45,53.15,3004
2008-03-26 00:00:00+05:30,55.0,56.75,54.0,54.0,2922
2008-03-27 00:00:00+05:30,58.9,58.95,52.5,55.2,4190
2008-03-28 00:00:00+05:30,56.5,58.7,55.0,57.4,2718
2008-03-31 00:00:00+05:30,59.0,59.0,57.0,57.5,900
2008-04-01 00:00:00+05:30,60.4,61.5,60.4,61.5,224
2008-04-02 00:00:00+05:30,62.0,62.0,58.05,58.75,1100
2008-04-03 00:00:00+05:30,60.95,61.2,57.5,60.0,702
2008-04-04 00:00:00+05:30,55.75,60.0,55.75,57.1,326
2008-04-07 00:00:00+05:30,54.1,59.25,54.05,57.1,810
2008-04-08 00:00:00+05:30,55.05,58.0,55.0,56.05,760
2008-04-09 00:00:00+05:30,57.6,57.6,57.5,57.5,252
2008-04-10 00:00:00+05:30,56.55,57.5,56.55,57.5,400
2008-04-11 00:00:00+05:30,55.55,60.5,55.55,57.6,10400
2008-04-15 00:00:00+05:30,57.0,58.5,56.55,57.9,2270
2008-04-16 00:00:00+05:30,59.0,60.0,59.0,60.0,504
2008-04-17 00:00:00+05:30,58.0,61.0,58.0,59.4,414
2008-04-21 00:00:00+05:30,61.55,62.5,61.5,61.5,1436
2008-04-22 00:00:00+05:30,59.5,63.55,59.5,63.4,54988
2008-04-23 00:00:00+05:30,61.75,64.0,61.75,63.3,672
2008-04-24 00:00:00+05:30,62.6,62.6,62.05,62.05,630
2008-04-25 00:00:00+05:30,62.05,62.5,62.0,62.5,1830
2008-04-28 00:00:00+05:30,62.0,62.1,62.0,62.0,400
2008-04-29 00:00:00+05:30,61.75,63.5,61.75,63.5,300
2008-04-30 00:00:00+05:30,62.15,64.0,62.0,64.0,1250
2008-05-02 00:00:00+05:30,64.5,67.5,64.5,66.0,1922
2008-05-05 00:00:00+05:30,67.0,78.5,66.5,68.05,73388
2008-05-06 00:00:00+05:30,67.0,67.5,65.8,65.95,6126
2008-05-07 00:00:00+05:30,65.25,68.2,65.1,66.7,5124
2008-05-08 00:00:00+05:30,72.5,72.5,66.5,66.9,4936
2008-05-09 00:00:00+05:30,67.0,72.95,67.0,69.5,11920
2008-05-12 00:00:00+05:30,68.3,70.25,68.1,69.2,3352
2008-05-13 00:00:00+05:30,70.0,70.0,68.5,68.6,1314
2008-05-14 00:00:00+05:30,70.0,70.0,66.5,69.6,150
2008-05-15 00:00:00+05:30,67.2,69.95,67.2,69.9,1420
2008-05-16 00:00:00+05:30,67.5,70.0,67.5,69.35,1868
2008-05-20 00:00:00+05:30,70.0,72.5,70.0,72.5,60120
2008-05-21 00:00:00+05:30,72.4,77.5,70.25,74.45,4638
2008-05-22 00:00:00+05:30,72.5,81.0,72.5,76.6,27052
2008-05-23 00:00:00+05:30,74.0,78.4,73.0,75.45,3802
2008-05-26 00:00:00+05:30,75.95,75.95,71.0,74.25,1372
2008-05-27 00:00:00+05:30,72.5,73.0,71.0,71.3,5432
2008-05-28 00:00:00+05:30,73.6,73.6,70.55,70.55,456
2008-05-29 00:00:00+05:30,71.5,74.5,71.5,72.5,1162
2008-05-30 00:00:00+05:30,72.5,72.5,71.5,71.5,538
2008-06-02 00:00:00+05:30,70.0,70.0,70.0,70.0,2802
2008-06-03 00:00:00+05:30,67.6,71.95,67.6,71.45,396
2008-06-04 00:00:00+05:30,69.0,70.0,69.0,70.0,1202
2008-06-05 00:00:00+05:30,69.0,71.6,69.0,71.6,432
2008-06-06 00:00:00+05:30,71.5,74.45,68.3,68.35,8642
2008-06-09 00:00:00+05:30,70.2,70.2,67.5,67.9,1606
2008-06-11 00:00:00+05:30,67.5,70.5,67.5,69.5,482
2008-06-12 00:00:00+05:30,68.0,69.6,66.5,68.3,6782
2008-06-13 00:00:00+05:30,71.5,72.5,68.2,69.95,1342
2008-06-16 00:00:00+05:30,73.5,74.25,70.0,70.5,1860
2008-06-17 00:00:00+05:30,72.85,74.9,71.95,74.8,3714
2008-06-18 00:00:00+05:30,73.0,73.5,72.0,72.2,388
2008-06-19 00:00:00+05:30,71.0,73.0,71.0,71.7,850
2008-06-20 00:00:00+05:30,69.1,71.5,69.0,69.6,2122
2008-06-23 00:00:00+05:30,66.3,68.5,66.25,68.5,574
2008-06-24 00:00:00+05:30,65.5,69.0,65.5,68.8,1260
