date,open,high,low,close,volume
2025-02-03 00:00:00+05:30,5.49,5.49,5.49,5.49,12807
2025-02-10 00:00:00+05:30,5.39,5.39,5.39,5.39,1706
2025-02-17 00:00:00+05:30,5.29,5.29,5.29,5.29,211
2025-02-24 00:00:00+05:30,5.19,5.19,5.19,5.19,4485
2025-03-03 00:00:00+05:30,5.09,5.09,5.09,5.09,3411
2025-03-10 00:00:00+05:30,4.99,4.99,4.99,4.99,2651
2025-03-24 00:00:00+05:30,4.9,4.9,4.9,4.9,5118
2025-04-01 00:00:00+05:30,4.81,4.81,4.81,4.81,358
2025-04-15 00:00:00+05:30,4.72,4.72,4.72,4.72,197
2025-04-21 00:00:00+05:30,4.63,4.63,4.63,4.63,373
2025-04-28 00:00:00+05:30,4.54,4.54,4.54,4.54,147
2025-05-05 00:00:00+05:30,4.45,4.45,4.45,4.45,7188
2025-05-06 00:00:00+05:30,4.37,4.37,4.37,4.37,8420
2025-05-07 00:00:00+05:30,4.29,4.29,4.29,4.29,8129
2025-05-08 00:00:00+05:30,4.21,4.21,4.21,4.21,11630
2025-05-09 00:00:00+05:30,4.13,4.13,4.13,4.13,4836
2025-05-12 00:00:00+05:30,4.05,4.05,4.05,4.05,47932
2025-05-13 00:00:00+05:30,3.97,3.97,3.97,3.97,23311
2025-05-14 00:00:00+05:30,3.9,3.9,3.9,3.9,30428
2025-05-15 00:00:00+05:30,3.83,3.83,3.83,3.83,43663
2025-05-16 00:00:00+05:30,3.76,3.76,3.76,3.76,36247
2025-05-19 00:00:00+05:30,3.69,3.69,3.69,3.69,23311
2025-05-20 00:00:00+05:30,3.62,3.62,3.62,3.62,36900
2025-05-21 00:00:00+05:30,3.55,3.55,3.55,3.55,19425
2025-05-22 00:00:00+05:30,3.48,3.48,3.48,3.48,33503
2025-05-23 00:00:00+05:30,3.42,3.42,3.42,3.42,33754
2025-05-26 00:00:00+05:30,3.36,3.36,3.36,3.36,39985
2025-05-27 00:00:00+05:30,3.3,3.3,3.3,3.3,22087
2025-05-28 00:00:00+05:30,3.24,3.24,3.24,3.24,38875
2025-05-29 00:00:00+05:30,3.18,3.18,3.18,3.18,73677
2025-05-30 00:00:00+05:30,3.12,3.12,3.12,3.12,60817
2025-06-02 00:00:00+05:30,3.06,3.06,3.06,3.06,137906
2025-06-03 00:00:00+05:30,3.0,3.0,3.0,3.0,54686
2025-06-04 00:00:00+05:30,2.94,2.94,2.94,2.94,31843
2025-06-05 00:00:00+05:30,2.89,2.89,2.89,2.89,68305
2025-06-06 00:00:00+05:30,2.84,2.84,2.84,2.84,40092
2025-06-09 00:00:00+05:30,2.79,2.89,2.79,2.88,2551635
2025-06-10 00:00:00+05:30,2.89,2.93,2.85,2.92,907045
2025-06-11 00:00:00+05:30,2.97,2.97,2.93,2.97,1020830
2025-06-12 00:00:00+05:30,2.97,3.02,2.92,2.92,311652
2025-06-13 00:00:00+05:30,2.87,2.87,2.87,2.87,37108
2025-06-16 00:00:00+05:30,2.82,2.82,2.82,2.82,129567
2025-06-17 00:00:00+05:30,2.77,2.78,2.77,2.77,94679
2025-06-18 00:00:00+05:30,2.72,2.72,2.72,2.72,29695
2025-06-19 00:00:00+05:30,2.67,2.67,2.67,2.67,39942
2025-06-20 00:00:00+05:30,2.62,2.62,2.62,2.62,93602
2025-06-23 00:00:00+05:30,2.57,2.67,2.57,2.66,803832
2025-06-24 00:00:00+05:30,2.68,2.71,2.66,2.71,583652
2025-06-25 00:00:00+05:30,2.76,2.76,2.75,2.76,556440
2025-06-26 00:00:00+05:30,2.71,2.71,2.71,2.71,204980
2025-06-27 00:00:00+05:30,2.66,2.66,2.66,2.66,69196
2025-06-30 00:00:00+05:30,2.61,2.61,2.61,2.61,53439
2025-07-01 00:00:00+05:30,2.56,2.56,2.56,2.56,46072
2025-07-02 00:00:00+05:30,2.51,2.51,2.51,2.51,84051
2025-07-03 00:00:00+05:30,2.46,2.46,2.46,2.46,64268
2025-07-04 00:00:00+05:30,2.42,2.42,2.42,2.42,139559
2025-07-07 00:00:00+05:30,2.38,2.46,2.38,2.42,508305
2025-07-08 00:00:00+05:30,2.39,2.46,2.38,2.43,259810
2025-07-09 00:00:00+05:30,2.44,2.44,2.39,2.39,292807
2025-07-10 00:00:00+05:30,2.35,2.43,2.35,2.41,226121
2025-07-11 00:00:00+05:30,2.41,2.45,2.37,2.37,162892
2025-07-14 00:00:00+05:30,2.37,2.41,2.33,2.41,247026
2025-07-15 00:00:00+05:30,2.39,2.45,2.39,2.45,128998
2025-07-16 00:00:00+05:30,2.49,2.49,2.41,2.49,328739
2025-07-17 00:00:00+05:30,2.53,2.53,2.45,2.53,83162
2025-07-18 00:00:00+05:30,2.5,2.58,2.5,2.58,133123
2025-07-21 00:00:00+05:30,2.63,2.63,2.63,2.63,50529
2025-07-22 00:00:00+05:30,2.68,2.68,2.68,2.68,109490
2025-07-23 00:00:00+05:30,2.73,2.73,2.73,2.73,23255
2025-07-24 00:00:00+05:30,2.76,2.78,2.76,2.78,42812
2025-07-25 00:00:00+05:30,2.83,2.83,2.83,2.83,72832
2025-07-28 00:00:00+05:30,2.88,2.88,2.78,2.8,524412
2025-07-29 00:00:00+05:30,2.75,2.75,2.75,2.75,35363
2025-07-30 00:00:00+05:30,2.7,2.8,2.7,2.8,132094
2025-07-31 00:00:00+05:30,2.8,2.85,2.76,2.8,59341
2025-08-01 00:00:00+05:30,2.75,2.85,2.75,2.75,123962
2025-08-04 00:00:00+05:30,2.7,2.7,2.7,2.7,47035
2025-08-05 00:00:00+05:30,2.65,2.65,2.65,2.65,120914
2025-08-06 00:00:00+05:30,2.65,2.65,2.6,2.6,47614
2025-08-07 00:00:00+05:30,2.6,2.65,2.55,2.56,67373
2025-08-08 00:00:00+05:30,2.61,2.61,2.51,2.52,125655
