date,open,high,low,close,volume
2010-08-05 00:00:00+05:30,81.0,85.0,78.0,78.14,5030
2010-08-06 00:00:00+05:30,79.0,79.0,77.95,78.03,2487
2010-08-09 00:00:00+05:30,78.95,78.95,77.9,78.42,5275
2010-08-10 00:00:00+05:30,78.73,78.73,77.81,77.95,3519
2010-08-11 00:00:00+05:30,78.44,78.45,77.55,77.68,5053
2010-08-12 00:00:00+05:30,78.4,78.4,77.55,77.84,2671
2010-08-13 00:00:00+05:30,77.9,78.79,77.65,77.97,8140
2010-08-16 00:00:00+05:30,78.48,78.5,77.81,77.83,4149
2010-08-17 00:00:00+05:30,78.38,78.38,77.8,78.02,3380
2010-08-18 00:00:00+05:30,77.75,79.9,77.75,79.09,7749
2010-08-19 00:00:00+05:30,87.0,87.0,78.81,79.92,18443
2010-08-20 00:00:00+05:30,79.05,79.95,79.01,79.67,8289
2010-08-23 00:00:00+05:30,80.0,80.68,79.56,80.39,10525
2010-08-24 00:00:00+05:30,80.0,80.5,79.62,79.7,19741
2010-08-25 00:00:00+05:30,81.0,81.0,78.5,78.88,5741
2010-08-26 00:00:00+05:30,78.95,79.7,78.67,78.88,4936
2010-08-27 00:00:00+05:30,79.0,79.69,78.15,78.7,5043
2010-08-30 00:00:00+05:30,79.0,81.0,78.88,80.28,59056
2010-08-31 00:00:00+05:30,78.59,79.59,78.2,78.95,69137
2010-09-01 00:00:00+05:30,80.0,80.0,79.09,79.7,7665
2010-09-02 00:00:00+05:30,80.0,80.55,79.4,80.2,6377
2010-09-03 00:00:00+05:30,80.59,80.59,79.3,79.84,2988
2010-09-06 00:00:00+05:30,80.0,80.8,79.7,80.34,12114
2010-09-07 00:00:00+05:30,80.0,81.7,80.0,80.45,10506
2010-09-08 00:00:00+05:30,80.5,81.0,80.15,80.4,4445
2010-09-09 00:00:00+05:30,80.4,81.7,80.4,80.9,18515
2010-09-13 00:00:00+05:30,81.0,82.6,80.7,82.0,24948
2010-09-14 00:00:00+05:30,82.05,83.05,81.7,82.95,31266
2010-09-15 00:00:00+05:30,83.0,84.05,82.6,83.65,49399
2010-09-16 00:00:00+05:30,83.55,85.4,83.1,84.2,74939
2010-09-17 00:00:00+05:30,84.45,84.45,83.8,83.9,8582
2010-09-20 00:00:00+05:30,84.05,85.7,83.6,84.65,54056
2010-09-21 00:00:00+05:30,86.45,86.45,84.3,85.4,179417
2010-09-22 00:00:00+05:30,85.1,86.9,85.1,85.85,126763
2010-09-23 00:00:00+05:30,85.05,85.8,85.0,85.0,17085
2010-09-24 00:00:00+05:30,85.0,86.7,84.7,85.85,21577
2010-09-27 00:00:00+05:30,86.05,87.2,86.0,87.05,37839
2010-09-28 00:00:00+05:30,87.0,87.75,86.1,86.15,57183
2010-09-29 00:00:00+05:30,87.0,87.8,86.15,86.4,76453
2010-09-30 00:00:00+05:30,86.5,86.9,85.8,86.0,10636
2010-10-01 00:00:00+05:30,86.6,89.3,86.6,88.75,71569
2010-10-04 00:00:00+05:30,88.05,91.3,88.05,90.4,132472
2010-10-05 00:00:00+05:30,89.1,91.0,88.9,90.6,96336
2010-10-06 00:00:00+05:30,91.15,91.75,89.45,91.35,285307
2010-10-07 00:00:00+05:30,90.1,91.0,89.65,90.2,19413
