date,open,high,low,close,volume
2021-12-29 00:00:00+05:30,65.1,73.84,65.1,67.1,2329
2021-12-30 00:00:00+05:30,67.5,69.5,65.41,67.37,2034
2021-12-31 00:00:00+05:30,67.5,67.5,65.6,66.63,6467
2022-01-03 00:00:00+05:30,66.0,68.59,66.0,67.44,3642
2022-01-04 00:00:00+05:30,68.0,78.03,66.6,71.59,19085
2022-01-05 00:00:00+05:30,67.0,67.83,65.0,66.1,10917
2022-01-06 00:00:00+05:30,66.12,66.43,62.32,63.51,4310
2022-01-07 00:00:00+05:30,63.98,63.98,62.56,63.24,4553
2022-01-10 00:00:00+05:30,63.1,63.1,60.61,62.36,10055
2022-01-11 00:00:00+05:30,63.0,63.18,61.5,62.16,3721
2022-01-12 00:00:00+05:30,62.5,63.28,62.1,63.28,6377
2022-01-13 00:00:00+05:30,63.28,63.89,62.15,62.49,1331
2022-01-14 00:00:00+05:30,62.49,63.0,60.6,61.3,5520
2022-01-17 00:00:00+05:30,61.29,62.5,60.94,61.26,1019
2022-01-18 00:00:00+05:30,61.5,62.5,60.09,60.49,2458
2022-01-19 00:00:00+05:30,60.95,61.16,59.76,60.89,2845
2022-01-20 00:00:00+05:30,60.95,60.95,59.1,59.9,4038
2022-01-21 00:00:00+05:30,59.9,60.55,58.5,59.0,1128
2022-01-24 00:00:00+05:30,58.82,59.0,55.0,56.53,16070
2022-01-25 00:00:00+05:30,57.0,59.85,55.6,56.14,7861
2022-01-27 00:00:00+05:30,57.9,58.7,56.6,57.58,1334
2022-01-28 00:00:00+05:30,58.0,58.83,55.0,55.81,4941
2022-01-31 00:00:00+05:30,56.5,59.0,56.5,57.87,4017
2022-02-01 00:00:00+05:30,58.0,59.65,57.65,58.03,8581
2022-02-02 00:00:00+05:30,59.22,59.22,58.0,59.02,114
2022-02-03 00:00:00+05:30,59.0,59.0,57.1,58.09,5051
2022-02-04 00:00:00+05:30,57.5,59.0,56.0,58.6,4795
2022-02-07 00:00:00+05:30,58.0,59.32,57.1,58.95,474
2022-02-08 00:00:00+05:30,59.0,59.23,57.12,59.12,2040
2022-02-09 00:00:00+05:30,59.5,60.43,58.6,59.26,890
2022-02-10 00:00:00+05:30,59.5,60.5,59.25,60.17,1862
2022-02-11 00:00:00+05:30,60.0,60.0,58.57,58.58,558
2022-02-14 00:00:00+05:30,58.5,58.5,57.05,57.05,964
2022-02-15 00:00:00+05:30,57.5,59.5,57.5,59.26,141
2022-02-16 00:00:00+05:30,58.5,59.43,58.23,59.22,901
2022-02-17 00:00:00+05:30,59.4,59.7,58.32,58.98,431
2022-02-18 00:00:00+05:30,58.5,59.43,57.1,58.76,2814
