date,open,high,low,close,volume
2019-03-29 00:00:00+05:30,111.0,116.55,110.05,114.2,74590
2019-04-01 00:00:00+05:30,112.7,115.95,111.0,111.5,22431
2019-04-02 00:00:00+05:30,110.1,111.0,107.3,110.2,9698
2019-04-03 00:00:00+05:30,110.0,110.0,106.0,107.2,11497
2019-04-04 00:00:00+05:30,107.0,109.5,103.1,103.85,7937
2019-04-05 00:00:00+05:30,105.8,106.0,102.1,105.35,10231
2019-04-08 00:00:00+05:30,106.0,108.0,103.0,106.65,4482
2019-04-09 00:00:00+05:30,107.0,108.5,104.3,108.1,3623
2019-04-10 00:00:00+05:30,108.0,113.5,107.5,113.25,21754
2019-04-11 00:00:00+05:30,114.9,114.9,110.35,111.65,4427
2019-04-12 00:00:00+05:30,115.0,120.0,112.0,112.85,70744
2019-04-15 00:00:00+05:30,112.4,113.7,109.2,110.35,12902
2019-04-16 00:00:00+05:30,110.95,111.75,108.0,108.5,18462
2019-04-18 00:00:00+05:30,110.5,110.5,104.85,105.3,8441
2019-04-22 00:00:00+05:30,103.95,106.0,103.25,103.65,5648
2019-04-23 00:00:00+05:30,103.95,103.95,102.15,102.55,5820
2019-04-24 00:00:00+05:30,105.0,105.0,102.0,102.25,5010
2019-04-25 00:00:00+05:30,102.05,103.5,100.0,100.95,4220
2019-04-26 00:00:00+05:30,102.7,113.35,102.7,105.85,15829
2019-04-30 00:00:00+05:30,103.5,106.25,99.0,105.85,12449
2019-05-02 00:00:00+05:30,103.15,105.95,103.1,104.75,2126
2019-05-03 00:00:00+05:30,106.15,106.15,103.05,103.55,776
2019-05-06 00:00:00+05:30,103.0,104.55,102.1,103.25,3007
2019-05-07 00:00:00+05:30,103.25,105.9,102.0,102.6,5289
2019-05-08 00:00:00+05:30,101.0,103.5,99.05,100.65,3496
2019-05-09 00:00:00+05:30,99.3,102.0,99.0,99.95,3483
2019-05-10 00:00:00+05:30,101.0,101.85,99.5,100.6,3346
2019-05-13 00:00:00+05:30,100.15,101.8,99.35,100.1,991
2019-05-14 00:00:00+05:30,99.05,101.3,99.05,99.45,1239
2019-05-15 00:00:00+05:30,100.0,103.7,99.0,99.5,3446
2019-05-16 00:00:00+05:30,99.6,101.5,98.25,99.7,7047
2019-05-17 00:00:00+05:30,99.1,100.15,98.25,98.55,3205
2019-05-20 00:00:00+05:30,99.25,104.0,99.2,100.55,2874
2019-05-21 00:00:00+05:30,100.0,100.05,98.25,98.65,3038
2019-05-22 00:00:00+05:30,99.6,99.6,97.4,97.65,2414
2019-05-23 00:00:00+05:30,99.0,99.35,97.0,97.05,8305
2019-05-24 00:00:00+05:30,98.85,99.0,95.55,98.2,8202
2019-05-27 00:00:00+05:30,99.05,104.05,99.05,101.6,5268
2019-05-28 00:00:00+05:30,103.7,104.1,102.4,103.5,1974
2019-05-29 00:00:00+05:30,102.55,103.65,100.9,101.4,2414
2019-05-30 00:00:00+05:30,101.0,105.85,98.8,99.35,11501
2019-05-31 00:00:00+05:30,98.4,100.85,98.0,98.7,2089
2019-06-03 00:00:00+05:30,98.15,98.2,97.3,97.5,3662
2019-06-04 00:00:00+05:30,97.5,97.9,97.0,97.2,1043
2019-06-06 00:00:00+05:30,97.0,97.0,95.55,95.95,3278
2019-06-07 00:00:00+05:30,95.55,98.85,95.55,96.8,3339
2019-06-10 00:00:00+05:30,96.8,97.3,95.0,95.7,489
2019-06-11 00:00:00+05:30,95.2,96.7,95.0,95.05,1000
2019-06-12 00:00:00+05:30,95.0,96.0,94.0,94.05,1220
2019-06-13 00:00:00+05:30,93.6,94.0,92.25,93.1,1230
2019-06-14 00:00:00+05:30,93.3,94.0,92.0,92.15,1689
2019-06-17 00:00:00+05:30,93.0,93.0,90.7,91.35,2917
2019-06-18 00:00:00+05:30,91.25,92.0,90.25,91.1,1249
2019-06-19 00:00:00+05:30,90.25,90.95,88.4,88.75,2056
2019-06-20 00:00:00+05:30,90.0,90.0,85.2,86.45,2540
2019-06-21 00:00:00+05:30,90.0,90.0,86.0,86.65,1382
2019-06-24 00:00:00+05:30,90.0,90.0,86.05,86.2,2180
2019-06-25 00:00:00+05:30,86.0,86.0,84.0,84.3,2406
2019-06-26 00:00:00+05:30,84.5,85.3,84.0,85.0,1097
2019-06-27 00:00:00+05:30,86.9,87.9,85.05,86.5,4323
2019-06-28 00:00:00+05:30,85.0,87.2,85.0,86.3,1859
2019-07-01 00:00:00+05:30,84.85,87.4,84.2,87.2,1217
2019-07-02 00:00:00+05:30,86.0,92.95,86.0,90.7,2026
2019-07-03 00:00:00+05:30,91.65,93.85,91.5,92.4,2721
2019-07-04 00:00:00+05:30,91.55,102.15,91.55,99.75,12001
2019-07-05 00:00:00+05:30,99.7,103.7,99.7,100.05,4736
2019-07-08 00:00:00+05:30,100.0,100.0,95.35,98.3,5179
2019-07-09 00:00:00+05:30,95.8,99.5,95.65,99.45,1387
2019-07-10 00:00:00+05:30,98.7,100.1,97.85,98.7,1398
2019-07-11 00:00:00+05:30,98.95,100.0,98.15,98.2,1558
2019-07-12 00:00:00+05:30,96.8,99.3,95.0,96.85,4626
2019-07-15 00:00:00+05:30,98.9,100.9,98.0,99.8,3634
2019-07-16 00:00:00+05:30,100.4,101.0,97.0,98.35,6889
2019-07-17 00:00:00+05:30,97.05,97.05,94.55,96.4,1737
2019-07-18 00:00:00+05:30,95.1,95.1,92.0,93.1,2227
2019-07-19 00:00:00+05:30,93.1,94.1,90.1,91.5,1582
2019-07-22 00:00:00+05:30,90.0,90.95,90.0,90.05,432
2019-07-23 00:00:00+05:30,90.0,93.0,90.0,90.85,636
2019-07-24 00:00:00+05:30,90.55,90.6,89.8,89.85,750
2019-07-25 00:00:00+05:30,89.7,90.4,89.7,90.15,100
2019-07-26 00:00:00+05:30,88.8,89.6,88.0,88.05,736
2019-07-29 00:00:00+05:30,88.5,89.0,86.0,86.2,414
2019-07-30 00:00:00+05:30,86.6,89.05,85.05,85.05,869
2019-07-31 00:00:00+05:30,85.0,85.4,83.55,83.6,918
2019-08-01 00:00:00+05:30,82.0,83.95,78.25,80.05,10417
2019-08-02 00:00:00+05:30,79.0,81.05,78.5,80.4,686
2019-08-05 00:00:00+05:30,79.45,80.95,79.45,80.0,389
2019-08-06 00:00:00+05:30,77.5,91.4,77.5,84.45,3698
2019-08-07 00:00:00+05:30,83.0,86.4,82.95,84.75,539
2019-08-08 00:00:00+05:30,84.9,87.25,83.95,84.25,986
2019-08-09 00:00:00+05:30,87.1,89.0,86.5,88.0,2550
2019-08-13 00:00:00+05:30,88.0,88.0,84.0,85.0,166
2019-08-14 00:00:00+05:30,83.5,85.45,70.4,80.15,1897
2019-08-16 00:00:00+05:30,79.15,79.5,77.3,77.65,887
