date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,25.63,25.66,24.62,25.14,147361
2008-01-02 00:00:00+05:30,26.09,27.05,24.1,26.48,210195
2008-01-03 00:00:00+05:30,27.24,29.27,26.26,27.54,252876
2008-01-04 00:00:00+05:30,28.56,28.72,26.59,26.81,213884
2008-01-07 00:00:00+05:30,26.53,26.75,25.3,25.79,86769
2008-01-08 00:00:00+05:30,26.5,26.53,23.66,23.91,77626
2008-01-09 00:00:00+05:30,23.66,24.56,22.43,22.92,61679
2008-01-10 00:00:00+05:30,25.52,25.52,21.47,21.72,69086
2008-01-11 00:00:00+05:30,21.34,22.31,20.24,20.9,37751
2008-01-14 00:00:00+05:30,21.85,22.35,21.06,21.99,22826
2008-01-15 00:00:00+05:30,22.7,23.17,22.21,22.78,26335
2008-01-16 00:00:00+05:30,22.65,22.98,21.01,21.88,19570
2008-01-17 00:00:00+05:30,21.17,23.25,21.14,22.48,19850
2008-01-18 00:00:00+05:30,21.14,22.16,20.79,20.98,24005
2008-01-21 00:00:00+05:30,20.76,20.76,16.85,17.12,33040
2008-01-22 00:00:00+05:30,16.85,16.85,13.7,14.11,21659
2008-01-23 00:00:00+05:30,15.86,16.93,15.02,16.93,12107
2008-01-24 00:00:00+05:30,19.72,19.72,16.41,17.01,31280
2008-01-25 00:00:00+05:30,16.69,19.15,16.14,17.92,38413
2008-01-28 00:00:00+05:30,17.53,17.78,16.55,17.59,12141
2008-01-29 00:00:00+05:30,17.92,18.05,17.1,17.56,21252
2008-01-30 00:00:00+05:30,16.44,18.33,16.44,17.07,13969
2008-01-31 00:00:00+05:30,16.96,17.66,16.41,17.34,17011
2008-02-01 00:00:00+05:30,17.92,17.92,16.69,17.07,8431
2008-02-04 00:00:00+05:30,17.23,17.97,17.23,17.59,9105
2008-02-05 00:00:00+05:30,17.78,18.07,17.26,17.59,12776
2008-02-06 00:00:00+05:30,17.12,17.89,17.1,17.83,6433
2008-02-07 00:00:00+05:30,18.05,19.15,17.51,17.97,21656
2008-02-08 00:00:00+05:30,17.53,17.72,17.01,17.15,12066
2008-02-11 00:00:00+05:30,16.49,16.66,15.92,16.0,9215
2008-02-12 00:00:00+05:30,14.55,17.18,14.55,16.03,4702
2008-02-13 00:00:00+05:30,15.86,16.6,14.99,15.26,15589
2008-02-14 00:00:00+05:30,16.14,16.14,15.45,15.97,8919
2008-02-15 00:00:00+05:30,16.3,16.96,15.54,16.33,18461
2008-02-18 00:00:00+05:30,15.73,16.96,15.73,16.08,9290
2008-02-19 00:00:00+05:30,16.69,17.34,16.44,16.9,12690
2008-02-20 00:00:00+05:30,16.58,16.74,15.86,16.25,7975
2008-02-21 00:00:00+05:30,16.47,16.47,15.97,16.08,7476
2008-02-22 00:00:00+05:30,16.41,16.47,15.81,15.95,11421
2008-02-25 00:00:00+05:30,15.92,16.36,15.59,16.0,6553
2008-02-26 00:00:00+05:30,15.59,16.27,15.59,15.92,6144
2008-02-27 00:00:00+05:30,16.41,16.41,15.59,15.84,16190
2008-02-28 00:00:00+05:30,12.69,16.33,12.69,15.86,2274
2008-02-29 00:00:00+05:30,16.41,16.82,15.97,16.33,8065
2008-03-03 00:00:00+05:30,16.66,16.66,15.32,15.32,8915
2008-03-04 00:00:00+05:30,15.37,15.4,14.77,15.18,10509
2008-03-05 00:00:00+05:30,14.77,15.56,14.61,14.77,5758
2008-03-07 00:00:00+05:30,13.73,14.25,13.21,14.0,33823
2008-03-10 00:00:00+05:30,12.83,13.16,12.23,12.88,11717
2008-03-11 00:00:00+05:30,13.57,14.17,13.13,13.54,8798
2008-03-12 00:00:00+05:30,14.0,15.45,13.68,14.06,13637
2008-03-13 00:00:00+05:30,13.76,14.25,13.21,13.57,9831
2008-03-14 00:00:00+05:30,13.07,13.68,13.02,13.48,8427
2008-03-17 00:00:00+05:30,13.13,13.13,12.09,12.23,14011
2008-03-18 00:00:00+05:30,13.35,13.35,11.82,12.12,11562
2008-03-19 00:00:00+05:30,12.34,14.52,11.21,11.46,16552
2008-03-24 00:00:00+05:30,11.49,11.49,10.67,10.91,19431
2008-03-25 00:00:00+05:30,9.3,11.62,9.3,11.3,36647
2008-03-26 00:00:00+05:30,11.76,11.76,11.02,11.62,13889
2008-03-27 00:00:00+05:30,11.6,11.76,11.38,11.54,12262
2008-03-28 00:00:00+05:30,11.76,12.77,11.49,12.45,10098
2008-03-31 00:00:00+05:30,13.9,13.95,12.64,13.07,13644
2008-04-01 00:00:00+05:30,13.54,13.54,12.86,13.13,4296
2008-04-02 00:00:00+05:30,13.95,13.95,13.4,13.57,2667
2008-04-03 00:00:00+05:30,13.68,13.68,12.94,13.13,2194
2008-04-04 00:00:00+05:30,12.75,13.1,12.64,12.64,552
2008-04-07 00:00:00+05:30,12.2,13.13,12.14,12.53,4109
2008-04-08 00:00:00+05:30,12.36,12.58,12.36,12.5,1473
2008-04-09 00:00:00+05:30,12.86,13.29,12.58,12.86,6328
2008-04-10 00:00:00+05:30,12.75,13.51,12.75,13.35,3649
2008-04-11 00:00:00+05:30,13.51,13.76,12.86,13.27,3594
2008-04-15 00:00:00+05:30,12.75,13.95,12.75,13.92,5281
2008-04-16 00:00:00+05:30,14.41,16.41,14.03,15.95,43626
2008-04-17 00:00:00+05:30,16.96,16.96,12.8,15.59,12556
2008-04-21 00:00:00+05:30,15.89,16.17,15.43,15.48,9778
2008-04-22 00:00:00+05:30,15.34,15.62,15.15,15.32,5233
2008-04-23 00:00:00+05:30,15.32,17.78,15.32,16.19,20925
2008-04-24 00:00:00+05:30,15.86,16.9,15.73,15.89,8222
2008-04-25 00:00:00+05:30,15.45,16.41,15.13,15.34,6985
2008-04-28 00:00:00+05:30,15.86,16.38,15.21,15.21,4981
2008-04-29 00:00:00+05:30,15.86,16.03,14.96,15.04,1535
2008-04-30 00:00:00+05:30,14.69,15.29,14.69,14.83,3254
2008-05-02 00:00:00+05:30,15.86,15.86,14.63,14.63,11231
2008-05-05 00:00:00+05:30,14.28,15.18,14.28,14.83,2643
2008-05-06 00:00:00+05:30,14.74,14.91,14.5,14.72,2460
2008-05-07 00:00:00+05:30,15.13,15.29,14.77,14.91,10083
2008-05-08 00:00:00+05:30,14.5,16.41,14.06,15.43,8666
2008-05-09 00:00:00+05:30,14.8,16.14,14.77,14.91,6776
2008-05-12 00:00:00+05:30,13.84,14.69,13.84,14.36,6398
2008-05-13 00:00:00+05:30,14.77,14.77,14.28,14.58,2417
2008-05-14 00:00:00+05:30,14.31,14.96,14.25,14.55,3458
2008-05-15 00:00:00+05:30,14.72,14.72,14.22,14.44,3820
2008-05-16 00:00:00+05:30,14.72,15.26,14.66,14.69,2736
2008-05-20 00:00:00+05:30,15.7,15.7,14.41,15.04,5345
2008-05-21 00:00:00+05:30,15.26,15.54,14.77,15.21,3989
2008-05-22 00:00:00+05:30,15.04,15.86,15.04,15.59,8231
2008-05-23 00:00:00+05:30,15.81,16.08,15.04,15.15,5129
2008-05-26 00:00:00+05:30,14.77,14.77,13.81,14.11,6670
2008-05-27 00:00:00+05:30,14.33,14.72,13.98,14.5,2457
2008-05-28 00:00:00+05:30,14.22,14.96,14.03,14.47,1535
2008-05-29 00:00:00+05:30,13.92,14.77,13.92,14.61,2331
2008-05-30 00:00:00+05:30,14.22,14.96,13.7,13.81,3177
2008-06-02 00:00:00+05:30,13.81,13.81,13.59,13.62,1821
2008-06-03 00:00:00+05:30,11.87,13.62,11.87,13.46,3811
2008-06-04 00:00:00+05:30,13.13,13.68,12.64,12.77,2800
2008-06-05 00:00:00+05:30,12.31,14.22,12.31,12.58,2278
2008-06-06 00:00:00+05:30,12.58,13.62,12.58,12.91,2009
2008-06-09 00:00:00+05:30,10.53,13.13,10.45,12.06,5210
2008-06-10 00:00:00+05:30,12.06,13.38,12.04,13.02,8403
2008-06-11 00:00:00+05:30,12.88,13.68,12.72,13.32,10882
2008-06-12 00:00:00+05:30,12.88,13.79,12.88,13.46,2058
2008-06-13 00:00:00+05:30,13.68,13.73,13.68,13.73,1280
2008-06-16 00:00:00+05:30,13.7,14.5,13.68,13.9,4577
2008-06-17 00:00:00+05:30,13.13,14.66,13.13,13.9,11430
2008-06-18 00:00:00+05:30,14.0,14.0,13.51,13.81,6169
2008-06-19 00:00:00+05:30,13.68,14.36,12.94,13.32,7517
2008-06-20 00:00:00+05:30,13.13,13.35,12.42,12.88,3190
2008-06-23 00:00:00+05:30,13.13,13.13,11.65,12.53,7184
2008-06-24 00:00:00+05:30,11.52,12.53,11.52,11.87,2365
2008-06-26 00:00:00+05:30,11.38,12.99,11.38,12.25,3890
2008-06-27 00:00:00+05:30,11.49,12.47,11.49,12.12,8041
2008-06-30 00:00:00+05:30,12.45,12.58,11.3,11.71,6083
2008-07-01 00:00:00+05:30,10.64,11.87,10.64,10.86,3457
2008-07-02 00:00:00+05:30,11.49,12.5,10.39,11.73,6221
2008-07-03 00:00:00+05:30,10.94,11.43,10.78,11.0,5568
2008-07-04 00:00:00+05:30,10.72,12.42,10.72,12.06,3161
2008-07-07 00:00:00+05:30,12.58,12.77,12.31,12.55,2194
2008-07-08 00:00:00+05:30,12.04,12.86,11.93,12.17,1179
2008-07-09 00:00:00+05:30,12.09,12.8,11.84,12.5,2278
2008-07-10 00:00:00+05:30,12.42,13.13,12.42,12.99,5213
2008-07-11 00:00:00+05:30,12.58,12.58,12.04,12.31,1875
2008-07-14 00:00:00+05:30,12.23,12.8,12.23,12.58,3177
2008-07-15 00:00:00+05:30,12.72,12.99,12.2,12.31,4062
2008-07-16 00:00:00+05:30,13.07,13.07,11.84,11.84,2654
2008-07-17 00:00:00+05:30,11.87,12.58,11.62,11.84,2528
2008-07-18 00:00:00+05:30,12.42,12.58,11.54,12.55,8760
2008-07-21 00:00:00+05:30,12.42,12.42,11.87,12.01,1462
2008-07-22 00:00:00+05:30,12.45,12.97,12.04,12.23,5345
2008-07-23 00:00:00+05:30,12.2,13.13,12.14,12.75,6285
2008-07-24 00:00:00+05:30,12.64,12.83,12.04,12.34,5500
2008-07-25 00:00:00+05:30,12.58,12.58,11.57,11.93,9997
2008-07-28 00:00:00+05:30,11.49,12.42,11.49,12.12,5720
2008-07-29 00:00:00+05:30,12.39,13.13,11.95,12.23,7226
2008-07-30 00:00:00+05:30,12.2,12.31,11.82,11.9,3777
2008-07-31 00:00:00+05:30,11.76,12.31,11.76,12.28,845
2008-08-01 00:00:00+05:30,11.57,12.47,11.54,12.09,2230
2008-08-04 00:00:00+05:30,12.53,13.02,12.53,12.55,6400
2008-08-05 00:00:00+05:30,12.39,12.86,12.25,12.58,8988
2008-08-06 00:00:00+05:30,12.31,12.58,12.31,12.34,7398
2008-08-07 00:00:00+05:30,12.17,12.53,12.17,12.34,6513
2008-08-08 00:00:00+05:30,12.25,12.86,12.25,12.72,3820
2008-08-11 00:00:00+05:30,12.34,13.4,12.34,13.05,18952
2008-08-12 00:00:00+05:30,12.64,12.99,12.45,12.5,3639
