date,open,high,low,close,volume
2020-07-21 00:00:00+05:30,3.05,3.05,3.05,3.05,500
2020-10-26 00:00:00+05:30,2.9,2.9,2.9,2.9,4000
2020-10-27 00:00:00+05:30,2.76,2.76,2.76,2.76,4000
2020-10-28 00:00:00+05:30,2.89,2.89,2.89,2.89,4000
2020-10-29 00:00:00+05:30,3.03,3.03,3.0,3.0,4000
2020-11-02 00:00:00+05:30,3.15,3.15,3.15,3.15,6000
2020-11-12 00:00:00+05:30,3.15,3.15,3.0,3.0,6000
2020-11-13 00:00:00+05:30,3.09,3.09,3.05,3.05,6000
2020-11-14 00:00:00+05:30,3.0,3.0,3.0,3.0,500
2020-11-19 00:00:00+05:30,3.15,3.15,3.15,3.15,6000
2020-11-20 00:00:00+05:30,3.18,3.18,3.18,3.18,6000
2020-11-23 00:00:00+05:30,3.03,3.03,3.03,3.03,6000
2020-11-24 00:00:00+05:30,2.88,2.88,2.88,2.88,6000
2020-12-02 00:00:00+05:30,3.02,3.02,3.02,3.02,6000
2020-12-03 00:00:00+05:30,3.17,3.17,3.17,3.17,6000
2020-12-04 00:00:00+05:30,3.32,3.32,3.32,3.32,6000
2020-12-08 00:00:00+05:30,3.48,3.48,3.48,3.48,6000
2020-12-10 00:00:00+05:30,3.65,3.65,3.65,3.65,6000
2020-12-11 00:00:00+05:30,3.83,3.83,3.83,3.83,2900
2020-12-16 00:00:00+05:30,4.02,4.02,4.02,4.02,10
2020-12-17 00:00:00+05:30,4.22,4.22,4.22,4.22,10
2020-12-18 00:00:00+05:30,4.43,4.43,4.2,4.2,110
2020-12-21 00:00:00+05:30,4.41,4.41,4.41,4.41,2000
2020-12-22 00:00:00+05:30,4.63,4.63,4.63,4.63,10
2020-12-23 00:00:00+05:30,4.86,4.86,4.86,4.86,10
2020-12-28 00:00:00+05:30,5.1,5.1,5.0,5.0,600
2020-12-29 00:00:00+05:30,4.8,4.8,4.8,4.8,300
2021-01-04 00:00:00+05:30,5.0,5.0,5.0,5.0,200
2021-01-05 00:00:00+05:30,5.0,5.0,5.0,5.0,470
2021-01-06 00:00:00+05:30,5.2,5.2,5.2,5.2,300
2021-01-11 00:00:00+05:30,5.4,5.4,5.4,5.4,100
2021-01-13 00:00:00+05:30,5.2,5.2,5.2,5.2,500
2021-01-15 00:00:00+05:30,5.45,5.45,5.45,5.45,100
2021-04-19 00:00:00+05:30,5.45,5.45,5.45,5.45,100
2021-05-03 00:00:00+05:30,5.45,5.45,5.45,5.45,300
2021-05-10 00:00:00+05:30,5.45,5.45,5.45,5.45,101
2021-05-21 00:00:00+05:30,5.7,5.7,5.7,5.7,89
2021-05-24 00:00:00+05:30,5.98,5.98,5.98,5.98,500
