date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,92.67,92.67,87.8,87.99,21706
2008-01-02 00:00:00+05:30,86.82,89.7,83.6,85.8,14767
2008-01-03 00:00:00+05:30,85.85,88.72,82.92,86.63,10241
2008-01-04 00:00:00+05:30,88.33,88.33,83.9,86.29,11243
2008-01-07 00:00:00+05:30,83.02,85.75,82.29,82.92,7054
2008-01-08 00:00:00+05:30,78.82,81.31,78.82,78.82,9463
2008-01-09 00:00:00+05:30,79.02,80.77,74.92,76.91,13220
2008-01-10 00:00:00+05:30,73.16,78.37,73.12,73.12,7442
2008-01-11 00:00:00+05:30,69.51,73.07,69.51,69.51,6011
2008-01-14 00:00:00+05:30,69.31,71.95,67.8,69.84,4228
2008-01-15 00:00:00+05:30,71.7,73.31,67.56,69.21,5608
2008-01-16 00:00:00+05:30,72.19,72.19,65.85,66.82,3745
2008-01-17 00:00:00+05:30,65.36,70.14,65.36,70.14,2996
2008-01-18 00:00:00+05:30,72.68,73.6,66.67,66.67,4952
2008-01-21 00:00:00+05:30,63.5,64.82,63.36,63.36,2450
2008-01-22 00:00:00+05:30,60.24,60.24,60.24,60.24,440
2008-01-23 00:00:00+05:30,57.26,61.46,57.26,58.34,3261
2008-01-24 00:00:00+05:30,55.51,60.43,55.46,55.46,3587
2008-01-25 00:00:00+05:30,54.19,55.85,52.73,55.56,2845
2008-01-28 00:00:00+05:30,55.17,55.17,52.82,53.51,3005
2008-01-29 00:00:00+05:30,51.07,53.65,51.07,52.53,2680
2008-01-30 00:00:00+05:30,51.7,53.65,50.73,51.51,3269
2008-01-31 00:00:00+05:30,49.17,53.46,48.97,51.7,2831
2008-02-01 00:00:00+05:30,49.17,50.92,49.17,50.53,931
2008-02-04 00:00:00+05:30,50.0,53.02,49.12,52.78,2956
2008-02-05 00:00:00+05:30,55.02,55.02,51.8,52.92,1807
2008-02-06 00:00:00+05:30,53.65,53.65,50.29,51.51,2951
2008-02-07 00:00:00+05:30,52.19,54.04,50.87,51.41,1636
2008-02-08 00:00:00+05:30,51.41,53.51,49.46,49.95,2106
2008-02-11 00:00:00+05:30,47.8,49.75,47.46,47.46,1048
2008-02-12 00:00:00+05:30,45.85,45.85,45.12,45.12,1025
