date,open,high,low,close,volume
2021-09-15 00:00:00+05:30,25.65,25.9,24.65,24.65,163200
2021-09-16 00:00:00+05:30,25.9,25.9,23.45,24.65,24000
2021-09-17 00:00:00+05:30,24.65,24.65,23.45,24.6,144000
2021-09-20 00:00:00+05:30,23.45,24.5,23.4,24.5,148800
2021-09-21 00:00:00+05:30,23.35,23.35,23.25,23.25,81600
2021-09-22 00:00:00+05:30,23.15,23.65,23.15,23.65,38400
2021-09-23 00:00:00+05:30,23.6,23.65,23.1,23.1,19200
2021-09-24 00:00:00+05:30,23.0,23.0,23.0,23.0,4800
2021-09-27 00:00:00+05:30,23.15,23.15,23.15,23.15,4800
2021-09-28 00:00:00+05:30,23.0,23.0,23.0,23.0,4800
2021-09-29 00:00:00+05:30,22.65,22.65,21.65,21.8,43200
2021-09-30 00:00:00+05:30,21.45,21.45,20.35,20.35,43200
2021-10-01 00:00:00+05:30,20.2,22.0,20.2,22.0,28800
2021-10-04 00:00:00+05:30,22.0,22.35,20.5,20.5,24000
2021-10-05 00:00:00+05:30,20.5,21.95,19.55,20.35,52800
2021-10-06 00:00:00+05:30,20.85,20.85,20.85,20.85,4800
2021-10-07 00:00:00+05:30,20.0,20.0,20.0,20.0,4800
2021-10-08 00:00:00+05:30,22.0,22.0,20.85,20.85,9600
2021-10-11 00:00:00+05:30,20.0,21.5,20.0,21.5,43200
2021-10-12 00:00:00+05:30,20.7,20.7,20.7,20.7,9600
2021-10-13 00:00:00+05:30,20.95,20.95,20.95,20.95,4800
2021-10-14 00:00:00+05:30,20.65,20.65,20.65,20.65,14400
2021-10-18 00:00:00+05:30,20.0,20.0,20.0,20.0,14400
2021-10-19 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2021-10-21 00:00:00+05:30,20.1,20.1,20.1,20.1,4800
2021-10-22 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2021-10-25 00:00:00+05:30,18.65,18.65,18.65,18.65,4800
2021-10-27 00:00:00+05:30,18.0,22.4,18.0,20.15,24000
2021-11-01 00:00:00+05:30,20.85,20.85,20.85,20.85,4800
2021-11-02 00:00:00+05:30,20.0,20.0,20.0,20.0,4800
2021-11-04 00:00:00+05:30,19.45,19.45,19.45,19.45,4800
2021-11-08 00:00:00+05:30,20.0,20.65,20.0,20.65,19200
2021-11-09 00:00:00+05:30,20.0,20.0,20.0,20.0,9600
2021-11-12 00:00:00+05:30,20.85,20.85,20.35,20.35,9600
2021-11-15 00:00:00+05:30,20.0,20.0,19.35,19.35,19200
2021-11-16 00:00:00+05:30,18.0,18.1,17.65,17.65,14400
2021-11-17 00:00:00+05:30,17.65,17.65,17.65,17.65,9600
2021-11-26 00:00:00+05:30,17.35,18.0,17.35,18.0,9600
2021-11-29 00:00:00+05:30,18.65,18.65,18.0,18.0,9600
2021-12-01 00:00:00+05:30,18.0,18.0,17.35,17.35,14400
2021-12-02 00:00:00+05:30,17.35,17.95,17.35,17.85,14400
2021-12-14 00:00:00+05:30,17.35,17.35,17.35,17.35,4800
2021-12-16 00:00:00+05:30,17.35,17.35,17.35,17.35,4800
2021-12-17 00:00:00+05:30,16.8,16.8,16.8,16.8,4800
2021-12-20 00:00:00+05:30,17.95,17.95,17.35,17.95,14400
2021-12-21 00:00:00+05:30,18.65,18.65,18.65,18.65,4800
2021-12-23 00:00:00+05:30,19.4,19.4,19.4,19.4,4800
2021-12-27 00:00:00+05:30,20.05,20.05,20.05,20.05,4800
2021-12-29 00:00:00+05:30,20.85,20.85,20.85,20.85,4800
2022-01-05 00:00:00+05:30,20.15,20.15,20.0,20.0,9600
2022-01-10 00:00:00+05:30,19.85,20.0,19.85,20.0,9600
2022-01-12 00:00:00+05:30,20.7,20.7,20.7,20.7,4800
2022-01-13 00:00:00+05:30,20.85,21.5,20.0,21.35,24000
2022-01-14 00:00:00+05:30,21.5,22.2,21.35,21.35,14400
2022-01-18 00:00:00+05:30,20.65,20.65,20.65,20.65,4800
2022-01-19 00:00:00+05:30,21.35,21.5,21.35,21.4,9600
2022-01-24 00:00:00+05:30,20.0,20.85,20.0,20.85,9600
2022-01-25 00:00:00+05:30,20.0,20.05,19.35,19.85,24000
2022-01-27 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2022-02-14 00:00:00+05:30,18.35,18.35,18.35,18.35,9600
2022-02-17 00:00:00+05:30,18.65,18.85,18.65,18.85,14400
2022-02-24 00:00:00+05:30,18.0,18.85,18.0,18.85,9600
2022-03-04 00:00:00+05:30,17.35,17.95,17.35,17.95,9600
2022-03-11 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2022-03-14 00:00:00+05:30,20.05,20.05,20.05,20.05,4800
2022-03-15 00:00:00+05:30,19.35,20.05,19.35,20.05,9600
2022-03-16 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2022-03-17 00:00:00+05:30,19.65,19.65,19.65,19.65,4800
2022-03-21 00:00:00+05:30,19.65,20.0,18.65,20.0,14400
2022-03-22 00:00:00+05:30,20.0,20.0,19.35,19.35,9600
2022-03-23 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2022-03-25 00:00:00+05:30,20.0,20.0,20.0,20.0,4800
2022-03-29 00:00:00+05:30,19.35,19.35,19.35,19.35,9600
2022-04-04 00:00:00+05:30,18.65,18.65,18.65,18.65,9600
2022-04-11 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2022-04-12 00:00:00+05:30,20.1,20.1,19.35,19.35,9600
2022-04-27 00:00:00+05:30,19.35,20.1,19.35,20.1,57600
2022-04-28 00:00:00+05:30,19.95,19.95,19.95,19.95,4800
2022-05-02 00:00:00+05:30,20.8,20.8,19.3,19.3,28800
2022-05-06 00:00:00+05:30,20.1,20.1,20.1,20.1,4800
2022-05-09 00:00:00+05:30,20.1,20.1,19.35,19.35,9600
2022-05-11 00:00:00+05:30,18.65,18.65,18.65,18.65,4800
2022-05-13 00:00:00+05:30,18.65,18.65,18.65,18.65,4800
2022-05-16 00:00:00+05:30,19.35,20.0,19.35,20.0,9600
2022-05-23 00:00:00+05:30,18.65,19.95,16.05,19.65,19200
2022-05-26 00:00:00+05:30,19.0,19.0,18.35,18.35,9600
2022-05-27 00:00:00+05:30,18.35,18.35,18.35,18.35,4800
2022-06-01 00:00:00+05:30,20.0,20.0,20.0,20.0,4800
2022-06-02 00:00:00+05:30,19.0,19.0,19.0,19.0,4800
2022-06-16 00:00:00+05:30,18.35,18.35,18.35,18.35,4800
2022-06-29 00:00:00+05:30,18.35,18.35,18.0,18.0,9600
2022-07-25 00:00:00+05:30,18.5,18.6,18.5,18.6,110400
2022-08-01 00:00:00+05:30,18.65,18.65,18.65,18.65,4800
2022-08-04 00:00:00+05:30,18.0,18.0,18.0,18.0,4800
2022-08-08 00:00:00+05:30,17.35,17.35,17.35,17.35,4800
2022-08-10 00:00:00+05:30,18.0,18.65,18.0,18.65,9600
2022-08-11 00:00:00+05:30,19.35,19.35,19.35,19.35,4800
2022-08-12 00:00:00+05:30,19.65,19.65,19.65,19.65,4800
2022-08-17 00:00:00+05:30,20.0,20.65,20.0,20.65,9600
2022-08-22 00:00:00+05:30,21.35,21.35,21.35,21.35,4800
2022-08-23 00:00:00+05:30,22.0,22.65,22.0,22.65,28800
2022-08-24 00:00:00+05:30,23.35,25.0,23.35,23.85,28800
2022-08-25 00:00:00+05:30,25.0,25.65,24.15,24.15,33600
2022-08-26 00:00:00+05:30,24.65,25.65,24.65,25.5,24000
2022-08-29 00:00:00+05:30,24.65,24.65,24.0,24.0,19200
2022-08-30 00:00:00+05:30,24.35,24.35,24.35,24.35,4800
2022-09-01 00:00:00+05:30,25.0,25.65,24.0,25.0,33600
2022-09-02 00:00:00+05:30,26.0,26.0,26.0,26.0,14400
2022-09-05 00:00:00+05:30,26.35,28.0,26.35,27.85,19200
2022-09-06 00:00:00+05:30,27.65,30.0,27.65,29.65,19200
2022-09-07 00:00:00+05:30,28.0,28.0,27.0,27.0,9600
2022-09-09 00:00:00+05:30,26.0,26.0,26.0,26.0,4800
2022-09-15 00:00:00+05:30,25.65,25.65,25.0,25.0,9600
