date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,219.0,223.9,212.6,214.6,31800
2008-01-02 00:00:00+05:30,219.0,219.0,205.0,209.05,48150
2008-01-03 00:00:00+05:30,201.0,213.0,201.0,203.3,44460
2008-01-04 00:00:00+05:30,207.0,213.4,201.1,212.2,110800
2008-01-07 00:00:00+05:30,214.5,233.4,214.5,222.4,172670
2008-01-08 00:00:00+05:30,224.6,238.5,200.5,203.95,127580
2008-01-09 00:00:00+05:30,200.0,220.5,199.0,206.9,90490
2008-01-10 00:00:00+05:30,206.8,211.9,191.0,194.2,50720
2008-01-11 00:00:00+05:30,198.8,200.0,184.0,189.25,53120
2008-01-14 00:00:00+05:30,188.0,196.8,188.0,195.1,17270
2008-01-15 00:00:00+05:30,205.0,209.0,187.5,188.95,63870
2008-01-16 00:00:00+05:30,185.0,189.0,180.0,185.45,48020
2008-01-17 00:00:00+05:30,189.9,195.1,184.5,189.6,29990
2008-01-18 00:00:00+05:30,185.3,188.0,176.5,178.6,45060
2008-01-21 00:00:00+05:30,176.0,176.0,160.8,160.8,37570
2008-01-22 00:00:00+05:30,144.7,144.7,144.7,144.7,3810
2008-01-23 00:00:00+05:30,131.1,144.8,130.2,130.4,199690
2008-01-24 00:00:00+05:30,125.5,136.95,123.9,125.1,93420
2008-01-25 00:00:00+05:30,126.0,131.3,122.5,131.3,54880
2008-01-28 00:00:00+05:30,125.3,137.45,125.3,131.6,29220
2008-01-29 00:00:00+05:30,137.5,138.15,131.5,138.15,43200
2008-01-30 00:00:00+05:30,140.0,143.3,133.3,141.35,54980
2008-01-31 00:00:00+05:30,141.8,148.4,135.5,146.5,49400
2008-02-01 00:00:00+05:30,148.0,152.0,142.55,145.0,49540
2008-02-04 00:00:00+05:30,150.5,151.8,146.0,150.4,43470
2008-02-05 00:00:00+05:30,147.2,157.9,147.0,157.9,39300
2008-02-06 00:00:00+05:30,150.0,160.95,150.0,152.1,68250
2008-02-07 00:00:00+05:30,153.9,159.7,144.5,146.75,81310
2008-02-08 00:00:00+05:30,142.1,145.0,139.4,139.55,34090
2008-02-11 00:00:00+05:30,135.1,136.0,132.6,132.6,36830
2008-02-12 00:00:00+05:30,130.0,132.5,125.95,125.95,32530
2008-02-13 00:00:00+05:30,120.2,130.0,120.2,124.0,30460
2008-02-14 00:00:00+05:30,130.2,130.2,127.2,130.2,20000
2008-02-15 00:00:00+05:30,135.7,136.7,131.0,136.7,17910
2008-02-18 00:00:00+05:30,143.5,143.5,143.5,143.5,21580
2008-02-19 00:00:00+05:30,150.7,150.7,145.6,149.3,47880
2008-02-20 00:00:00+05:30,146.0,147.35,141.8,143.8,54590
2008-02-21 00:00:00+05:30,147.5,150.0,140.0,142.6,19570
2008-02-22 00:00:00+05:30,140.5,142.0,138.3,139.8,32660
2008-02-25 00:00:00+05:30,144.0,144.0,133.0,136.8,19540
2008-02-26 00:00:00+05:30,136.5,139.1,135.5,137.1,8880
2008-02-27 00:00:00+05:30,138.5,144.0,138.0,140.4,47530
2008-02-28 00:00:00+05:30,140.0,140.6,136.5,138.05,11470
2008-02-29 00:00:00+05:30,141.3,141.3,133.0,134.3,16400
2008-03-03 00:00:00+05:30,132.5,137.4,127.6,127.6,20900
2008-03-04 00:00:00+05:30,125.1,128.9,121.2,121.2,53300
2008-03-05 00:00:00+05:30,122.5,122.5,116.1,119.15,23860
2008-03-07 00:00:00+05:30,113.2,115.5,113.2,113.2,36360
2008-03-10 00:00:00+05:30,115.0,115.0,95.5,111.95,96390
2008-03-11 00:00:00+05:30,114.6,123.3,111.5,121.3,75550
2008-03-12 00:00:00+05:30,128.9,130.0,113.1,116.0,69770
2008-03-13 00:00:00+05:30,110.5,112.0,97.5,100.2,100520
2008-03-14 00:00:00+05:30,103.5,105.5,97.6,102.9,43610
2008-03-17 00:00:00+05:30,100.5,101.0,95.0,98.1,36640
2008-03-18 00:00:00+05:30,98.1,100.0,96.5,97.8,51780
2008-03-19 00:00:00+05:30,103.0,106.1,97.0,97.55,53220
2008-03-24 00:00:00+05:30,88.1,98.9,88.1,90.25,66110
2008-03-25 00:00:00+05:30,93.0,98.8,90.0,95.25,105600
2008-03-26 00:00:00+05:30,94.2,101.0,94.2,98.2,151460
2008-03-27 00:00:00+05:30,95.6,99.5,90.5,94.95,64140
2008-03-28 00:00:00+05:30,97.5,113.95,95.7,113.05,56840
2008-03-31 00:00:00+05:30,114.9,126.5,110.5,113.3,56600
2008-04-01 00:00:00+05:30,113.0,118.7,106.45,111.8,24830
2008-04-02 00:00:00+05:30,115.55,122.5,114.0,115.25,55900
2008-04-03 00:00:00+05:30,117.6,117.6,107.2,108.75,21610
2008-04-04 00:00:00+05:30,111.0,111.0,107.0,107.6,11260
2008-04-07 00:00:00+05:30,105.0,107.3,100.5,102.3,31510
2008-04-08 00:00:00+05:30,103.0,107.5,102.1,105.5,46950
2008-04-09 00:00:00+05:30,104.0,117.4,102.7,113.6,40890
2008-04-10 00:00:00+05:30,113.3,121.5,112.6,115.9,46250
2008-04-11 00:00:00+05:30,117.8,120.2,115.0,117.15,28710
2008-04-15 00:00:00+05:30,120.0,120.0,110.1,116.55,17530
2008-04-16 00:00:00+05:30,117.7,139.85,117.5,139.85,208840
2008-04-17 00:00:00+05:30,145.0,157.5,145.0,148.75,203650
2008-04-21 00:00:00+05:30,154.0,154.5,145.5,147.8,42870
2008-04-22 00:00:00+05:30,144.0,152.5,144.0,147.6,66800
2008-04-23 00:00:00+05:30,149.8,149.9,141.5,142.8,41640
2008-04-24 00:00:00+05:30,144.3,144.3,137.5,138.9,27020
2008-04-25 00:00:00+05:30,143.0,143.0,132.5,133.0,31250
2008-04-28 00:00:00+05:30,136.35,136.35,129.9,131.8,18990
2008-04-29 00:00:00+05:30,133.0,158.15,133.0,157.9,168290
2008-04-30 00:00:00+05:30,164.45,164.45,145.0,146.7,103890
2008-05-02 00:00:00+05:30,149.5,153.9,146.0,146.75,32290
2008-05-05 00:00:00+05:30,147.5,162.95,145.5,151.8,113040
2008-05-06 00:00:00+05:30,152.5,153.4,143.2,145.7,38920
2008-05-07 00:00:00+05:30,142.8,151.5,142.8,145.6,35120
2008-05-08 00:00:00+05:30,142.5,147.0,141.0,143.0,28080
2008-05-09 00:00:00+05:30,142.0,148.7,135.1,138.7,25720
2008-05-12 00:00:00+05:30,137.0,137.45,130.15,133.3,31440
2008-05-13 00:00:00+05:30,139.3,140.0,133.3,134.45,35030
2008-05-14 00:00:00+05:30,134.0,136.0,131.7,132.6,14230
2008-05-15 00:00:00+05:30,136.3,136.3,131.6,133.0,31760
2008-05-16 00:00:00+05:30,136.9,136.9,128.7,131.9,52730
2008-05-20 00:00:00+05:30,132.0,143.0,132.0,136.0,62580
2008-05-21 00:00:00+05:30,135.0,137.0,133.0,134.2,25200
2008-05-22 00:00:00+05:30,134.0,135.0,132.1,132.9,19420
2008-05-23 00:00:00+05:30,137.3,137.3,128.5,129.8,17710
2008-05-26 00:00:00+05:30,125.5,129.8,123.3,124.4,20080
2008-05-27 00:00:00+05:30,128.0,129.0,118.0,120.25,23210
2008-05-28 00:00:00+05:30,124.0,124.1,118.0,120.8,22790
2008-05-29 00:00:00+05:30,119.0,125.0,115.1,116.8,21640
2008-05-30 00:00:00+05:30,118.5,119.0,114.15,114.85,16530
2008-06-02 00:00:00+05:30,116.0,118.0,110.0,111.2,23120
