date,open,high,low,close,volume
2008-01-02 00:00:00+05:30,22.9,22.9,22.9,22.9,100
2008-01-03 00:00:00+05:30,24.05,24.05,24.05,24.05,100
2008-01-04 00:00:00+05:30,25.25,25.25,22.85,22.85,2400
2008-01-08 00:00:00+05:30,21.7,21.7,21.7,21.7,7000
2008-01-09 00:00:00+05:30,20.65,20.65,20.65,20.65,9000
2008-01-10 00:00:00+05:30,19.6,19.6,19.6,19.6,4000
2008-01-11 00:00:00+05:30,18.65,18.65,18.65,18.65,100
2008-02-11 00:00:00+05:30,17.7,19.6,17.7,18.7,6000
2008-02-12 00:00:00+05:30,17.8,17.8,17.8,17.8,5700
2008-03-26 00:00:00+05:30,16.9,16.9,16.9,16.9,200
2008-05-12 00:00:00+05:30,16.1,16.1,16.1,16.1,700
2008-05-13 00:00:00+05:30,15.3,15.3,15.3,15.3,1300
2008-05-14 00:00:00+05:30,14.55,14.55,14.55,14.55,1000
2008-05-22 00:00:00+05:30,13.8,13.8,13.8,13.8,200
2008-05-23 00:00:00+05:30,13.15,13.15,13.15,13.15,200
2008-05-26 00:00:00+05:30,12.5,12.5,12.5,12.5,400
2008-05-27 00:00:00+05:30,11.9,11.9,11.9,11.9,900
2008-05-28 00:00:00+05:30,11.3,11.3,11.3,11.3,200
2008-05-29 00:00:00+05:30,10.8,10.8,10.8,10.8,400
2008-05-30 00:00:00+05:30,10.25,10.25,10.25,10.25,400
2008-06-02 00:00:00+05:30,9.75,9.75,9.75,9.75,200
2008-06-03 00:00:00+05:30,9.3,9.3,9.3,9.3,400
2008-06-04 00:00:00+05:30,8.8,8.8,8.8,8.8,600
2008-06-05 00:00:00+05:30,8.4,8.4,8.4,8.4,200
2008-06-06 00:00:00+05:30,8.0,8.0,8.0,8.0,400
2008-07-24 00:00:00+05:30,7.6,7.6,7.6,7.6,600
2008-11-10 00:00:00+05:30,7.25,7.25,7.25,7.25,100
2008-11-11 00:00:00+05:30,6.9,6.9,6.9,6.9,100
2009-04-22 00:00:00+05:30,6.55,6.55,6.55,6.55,200
2009-05-20 00:00:00+05:30,6.25,6.25,6.25,6.25,1000
2009-05-22 00:00:00+05:30,6.45,6.45,6.45,6.45,1000
2009-05-25 00:00:00+05:30,6.75,6.75,6.6,6.6,1600
2009-05-26 00:00:00+05:30,6.95,6.95,6.95,6.95,2200
2009-05-27 00:00:00+05:30,7.3,7.3,7.3,7.3,2600
2009-05-28 00:00:00+05:30,7.65,7.65,7.65,7.65,200
2009-05-29 00:00:00+05:30,8.05,8.05,7.5,7.5,3000
2009-06-16 00:00:00+05:30,7.9,7.9,7.9,7.9,400
2009-06-18 00:00:00+05:30,8.25,8.25,8.25,8.25,600
2009-06-19 00:00:00+05:30,8.7,8.7,8.7,8.7,800
2009-06-22 00:00:00+05:30,8.25,8.25,8.25,8.25,100
2009-06-24 00:00:00+05:30,7.85,7.85,7.85,7.85,900
2009-06-26 00:00:00+05:30,8.2,8.2,8.2,8.2,800
2009-06-29 00:00:00+05:30,8.65,8.65,8.6,8.6,300
2009-09-14 00:00:00+05:30,8.2,8.2,8.2,8.2,200
2009-10-07 00:00:00+05:30,8.2,8.2,8.2,8.2,200
