date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,28.9,28.9,25.75,26.8,3679625
2008-01-02 00:00:00+05:30,27.1,27.65,24.15,26.45,1430026
2008-01-03 00:00:00+05:30,26.4,26.4,24.2,24.95,654568
2008-01-04 00:00:00+05:30,25.5,26.0,22.7,23.15,725469
2008-01-07 00:00:00+05:30,21.1,25.45,21.1,25.45,1186677
2008-01-08 00:00:00+05:30,27.0,27.0,22.95,23.0,845487
2008-01-09 00:00:00+05:30,22.1,22.5,21.1,21.8,411390
2008-01-10 00:00:00+05:30,21.3,23.0,19.64,19.7,322631
2008-01-11 00:00:00+05:30,18.55,21.25,18.1,20.45,448266
2008-01-14 00:00:00+05:30,20.0,21.6,19.0,20.95,224063
2008-01-15 00:00:00+05:30,22.0,22.0,20.5,20.8,214935
2008-01-16 00:00:00+05:30,20.1,20.8,18.75,19.55,199649
2008-01-17 00:00:00+05:30,19.95,21.5,19.35,20.8,387751
2008-01-18 00:00:00+05:30,21.0,21.0,18.8,19.1,335004
2008-01-21 00:00:00+05:30,18.6,18.6,17.2,17.2,157835
2008-01-22 00:00:00+05:30,15.5,15.5,15.5,15.5,10592
2008-01-23 00:00:00+05:30,14.75,15.95,14.75,15.0,196076
2008-01-24 00:00:00+05:30,15.0,15.7,14.3,14.3,115210
2008-01-25 00:00:00+05:30,14.05,15.0,13.6,14.85,149658
2008-01-28 00:00:00+05:30,14.8,15.2,14.25,14.9,79010
2008-01-29 00:00:00+05:30,15.45,15.6,14.75,15.1,85492
2008-01-30 00:00:00+05:30,14.85,14.95,14.35,14.4,50761
2008-01-31 00:00:00+05:30,14.9,14.95,13.8,14.45,46067
2008-02-01 00:00:00+05:30,14.0,14.7,14.0,14.5,62378
2008-02-04 00:00:00+05:30,14.9,15.1,14.6,14.94,79846
2008-02-05 00:00:00+05:30,14.6,15.5,14.6,15.21,54196
2008-02-06 00:00:00+05:30,14.45,15.4,14.45,15.21,51827
2008-02-07 00:00:00+05:30,14.7,15.9,14.55,14.91,75917
2008-02-08 00:00:00+05:30,14.72,14.72,14.17,14.24,74517
2008-02-11 00:00:00+05:30,14.05,14.25,13.53,13.58,76740
2008-02-12 00:00:00+05:30,13.2,13.6,12.91,12.91,46649
2008-02-13 00:00:00+05:30,12.3,13.45,12.3,12.76,65662
2008-02-14 00:00:00+05:30,12.86,13.3,12.55,13.0,53379
2008-02-15 00:00:00+05:30,12.45,13.5,12.45,13.12,53362
2008-02-18 00:00:00+05:30,13.1,13.77,12.5,13.4,86998
2008-02-19 00:00:00+05:30,13.8,13.89,13.1,13.29,49517
2008-02-20 00:00:00+05:30,13.05,13.47,13.0,13.21,28368
2008-02-21 00:00:00+05:30,13.5,13.87,12.81,13.82,73146
2008-02-22 00:00:00+05:30,13.5,14.49,13.35,14.3,92255
2008-02-25 00:00:00+05:30,14.01,14.9,14.01,14.16,33582
2008-02-26 00:00:00+05:30,14.12,14.5,14.02,14.06,36103
2008-02-27 00:00:00+05:30,14.49,14.5,14.06,14.06,36078
2008-02-28 00:00:00+05:30,14.01,14.5,14.0,14.04,53432
2008-02-29 00:00:00+05:30,14.47,14.48,14.0,14.1,44795
2008-03-03 00:00:00+05:30,13.8,14.15,13.5,13.7,38194
2008-03-04 00:00:00+05:30,13.18,13.68,13.02,13.02,27107
2008-03-05 00:00:00+05:30,12.6,13.18,12.37,12.38,50826
2008-03-07 00:00:00+05:30,12.35,12.35,11.77,11.81,44563
2008-03-10 00:00:00+05:30,11.1,11.7,10.99,11.41,71059
2008-03-11 00:00:00+05:30,11.35,12.4,11.35,12.11,45750
2008-03-12 00:00:00+05:30,12.7,12.89,11.81,12.0,26692
2008-03-13 00:00:00+05:30,11.0,11.82,11.0,11.22,47817
2008-03-14 00:00:00+05:30,10.68,11.61,10.68,11.12,43019
2008-03-17 00:00:00+05:30,10.5,11.87,10.19,10.64,35569
2008-03-18 00:00:00+05:30,10.1,10.65,10.02,10.15,55348
2008-03-19 00:00:00+05:30,10.02,10.9,9.85,10.08,100534
2008-03-24 00:00:00+05:30,10.3,10.35,9.08,9.35,79720
2008-03-25 00:00:00+05:30,9.5,9.94,9.13,9.77,56392
2008-03-26 00:00:00+05:30,10.39,10.6,9.1,9.61,53916
2008-03-27 00:00:00+05:30,9.25,9.8,9.25,9.41,98039
2008-03-28 00:00:00+05:30,9.98,10.34,9.55,10.19,76685
2008-03-31 00:00:00+05:30,10.31,10.96,10.05,10.39,86641
2008-04-01 00:00:00+05:30,10.9,10.9,10.3,10.86,36267
2008-04-02 00:00:00+05:30,11.15,11.28,10.7,10.75,35922
2008-04-03 00:00:00+05:30,10.75,10.85,10.33,10.54,16742
2008-04-04 00:00:00+05:30,10.6,10.84,10.11,10.23,14871
2008-04-07 00:00:00+05:30,10.25,10.25,10.11,10.19,9170
2008-04-08 00:00:00+05:30,10.0,10.38,9.9,10.23,26651
2008-04-09 00:00:00+05:30,10.19,10.6,10.1,10.46,19768
2008-04-10 00:00:00+05:30,10.5,10.86,10.4,10.67,28526
2008-04-11 00:00:00+05:30,10.8,11.33,10.52,11.01,38538
2008-04-15 00:00:00+05:30,11.25,11.48,10.9,11.17,46654
2008-04-16 00:00:00+05:30,11.25,11.64,11.12,11.41,31414
2008-04-17 00:00:00+05:30,11.6,12.1,11.51,11.93,51263
2008-04-21 00:00:00+05:30,12.05,12.6,12.05,12.29,43166
2008-04-22 00:00:00+05:30,11.9,12.9,11.9,12.82,49195
2008-04-23 00:00:00+05:30,13.15,13.9,12.7,13.6,93670
2008-04-24 00:00:00+05:30,13.8,14.24,13.7,13.88,72122
2008-04-25 00:00:00+05:30,14.4,14.4,13.21,13.33,45358
2008-04-28 00:00:00+05:30,13.79,13.79,13.11,13.34,26587
2008-04-29 00:00:00+05:30,13.34,13.5,12.81,13.05,23916
2008-04-30 00:00:00+05:30,13.45,13.45,12.91,13.07,24601
2008-05-02 00:00:00+05:30,13.0,13.2,12.7,13.0,53917
2008-05-05 00:00:00+05:30,12.85,13.24,12.3,12.7,30345
2008-05-06 00:00:00+05:30,12.51,12.88,12.5,12.5,17716
2008-05-07 00:00:00+05:30,12.88,12.88,12.16,12.35,17744
2008-05-08 00:00:00+05:30,12.12,12.83,12.12,12.59,34475
2008-05-09 00:00:00+05:30,12.2,12.83,12.0,12.14,31335
2008-05-12 00:00:00+05:30,12.5,12.5,11.51,12.09,38381
2008-05-13 00:00:00+05:30,12.49,12.5,12.1,12.27,14643
2008-05-14 00:00:00+05:30,12.1,12.4,12.0,12.09,20730
2008-05-15 00:00:00+05:30,12.45,12.5,12.03,12.16,12616
2008-05-16 00:00:00+05:30,11.75,12.49,11.75,12.0,33206
2008-05-20 00:00:00+05:30,12.0,12.74,12.0,12.44,44491
2008-05-21 00:00:00+05:30,12.05,12.79,12.05,12.69,51641
2008-05-22 00:00:00+05:30,12.61,13.24,12.55,12.94,59401
2008-05-23 00:00:00+05:30,12.89,12.94,12.26,12.37,46257
2008-05-26 00:00:00+05:30,12.2,12.5,12.16,12.23,27216
2008-05-27 00:00:00+05:30,12.47,14.29,12.4,12.86,232418
2008-05-28 00:00:00+05:30,13.33,13.39,12.51,13.02,62924
2008-05-29 00:00:00+05:30,12.7,12.9,12.35,12.58,55913
2008-05-30 00:00:00+05:30,12.94,12.94,12.25,12.28,32765
2008-06-02 00:00:00+05:30,11.99,12.3,11.51,11.59,33176
2008-06-03 00:00:00+05:30,11.6,11.6,11.1,11.23,27430
2008-06-04 00:00:00+05:30,11.95,11.95,10.8,10.97,41379
2008-06-05 00:00:00+05:30,10.9,11.1,10.45,10.79,29702
2008-06-06 00:00:00+05:30,11.02,11.15,10.6,10.77,21122
2008-06-09 00:00:00+05:30,10.3,10.74,10.0,10.1,38085
2008-06-10 00:00:00+05:30,10.0,10.32,10.0,10.17,15638
2008-06-11 00:00:00+05:30,10.39,10.7,10.21,10.29,25609
2008-06-12 00:00:00+05:30,10.05,10.43,10.01,10.35,10614
2008-06-13 00:00:00+05:30,10.79,10.79,10.16,10.22,21351
2008-06-16 00:00:00+05:30,10.66,11.9,10.5,11.68,107615
2008-06-17 00:00:00+05:30,11.89,11.94,11.2,11.31,37146
2008-06-18 00:00:00+05:30,11.5,11.5,11.06,11.22,19291
2008-06-19 00:00:00+05:30,11.35,11.35,10.55,10.87,20756
2008-06-20 00:00:00+05:30,10.4,11.49,10.21,10.33,31009
2008-06-23 00:00:00+05:30,10.11,10.68,10.0,10.03,33634
2008-06-24 00:00:00+05:30,10.0,10.19,9.77,9.94,17590
2008-06-26 00:00:00+05:30,9.81,10.0,9.73,9.77,24027
2008-06-27 00:00:00+05:30,9.6,9.94,9.4,9.47,29688
2008-06-30 00:00:00+05:30,9.26,9.6,9.0,9.09,25272
2008-07-01 00:00:00+05:30,9.0,9.19,9.0,9.03,25565
2008-07-02 00:00:00+05:30,8.75,9.18,8.4,9.14,29832
2008-07-03 00:00:00+05:30,9.0,9.09,8.21,8.48,29299
2008-07-04 00:00:00+05:30,8.9,8.9,8.16,8.66,27285
2008-07-07 00:00:00+05:30,8.99,9.25,8.8,8.99,32716
2008-07-08 00:00:00+05:30,8.42,8.99,8.42,8.94,9376
2008-07-09 00:00:00+05:30,9.4,9.44,9.0,9.11,6112
2008-07-10 00:00:00+05:30,9.0,9.24,8.81,9.1,7114
2008-07-11 00:00:00+05:30,9.44,9.44,8.99,9.01,27234
2008-07-14 00:00:00+05:30,9.0,9.3,8.66,8.92,11847
2008-07-15 00:00:00+05:30,8.3,9.0,8.3,8.55,10229
2008-07-16 00:00:00+05:30,9.05,9.05,8.5,8.68,11387
2008-07-17 00:00:00+05:30,8.33,8.74,8.31,8.36,16333
2008-07-18 00:00:00+05:30,8.5,8.65,8.26,8.58,15842
2008-07-21 00:00:00+05:30,8.44,8.76,8.41,8.52,5912
2008-07-22 00:00:00+05:30,8.25,8.69,8.25,8.52,26745
2008-07-23 00:00:00+05:30,8.77,10.22,8.76,9.94,68347
2008-07-24 00:00:00+05:30,10.19,10.45,9.38,9.61,40099
2008-07-25 00:00:00+05:30,9.25,9.65,9.25,9.31,23990
2008-07-28 00:00:00+05:30,9.19,9.88,9.19,9.55,45509
2008-07-29 00:00:00+05:30,7.9,9.69,7.9,9.42,27783
2008-07-30 00:00:00+05:30,9.5,9.6,9.38,9.43,11041
2008-07-31 00:00:00+05:30,9.4,9.49,9.06,9.18,22482
2008-08-01 00:00:00+05:30,9.0,9.84,8.75,9.59,36570
2008-08-04 00:00:00+05:30,9.78,9.8,9.35,9.55,32672
2008-08-05 00:00:00+05:30,9.84,10.89,9.4,10.19,74957
2008-08-06 00:00:00+05:30,10.11,10.59,9.8,9.99,29979
2008-08-07 00:00:00+05:30,10.0,10.26,9.85,10.02,9994
2008-08-08 00:00:00+05:30,9.46,10.0,9.44,9.81,29085
2008-08-11 00:00:00+05:30,10.0,10.14,9.81,9.94,8582
2008-08-12 00:00:00+05:30,9.99,10.15,9.6,9.86,17817
2008-08-13 00:00:00+05:30,9.75,10.09,9.0,10.0,40445
2008-08-14 00:00:00+05:30,9.8,10.01,9.52,9.6,39587
2008-08-18 00:00:00+05:30,9.69,9.98,9.57,9.61,5200
2008-08-19 00:00:00+05:30,9.5,9.5,9.21,9.34,18572
2008-08-20 00:00:00+05:30,9.25,9.5,9.25,9.31,15593
2008-08-21 00:00:00+05:30,9.1,9.46,9.0,9.07,28102
2008-08-22 00:00:00+05:30,8.77,9.18,8.77,8.94,11198
2008-08-25 00:00:00+05:30,9.21,9.25,8.9,8.96,14330
2008-08-26 00:00:00+05:30,8.85,9.17,8.75,9.0,25945
2008-08-27 00:00:00+05:30,9.1,9.14,8.8,8.88,15126
2008-08-28 00:00:00+05:30,8.77,8.94,8.69,8.75,5506
2008-08-29 00:00:00+05:30,8.99,9.44,8.77,9.32,49240
2008-09-01 00:00:00+05:30,9.1,9.89,9.1,9.5,23729
2008-09-02 00:00:00+05:30,9.01,9.85,9.01,9.59,12986
2008-09-04 00:00:00+05:30,9.4,9.55,9.25,9.28,9257
2008-09-05 00:00:00+05:30,9.15,10.0,9.15,9.34,13246
2008-09-08 00:00:00+05:30,9.4,9.69,9.35,9.47,5570
2008-09-09 00:00:00+05:30,9.23,9.5,9.23,9.38,8355
2008-09-10 00:00:00+05:30,9.28,9.36,9.05,9.25,16647
2008-09-11 00:00:00+05:30,9.07,9.4,9.02,9.02,16251
2008-09-12 00:00:00+05:30,9.0,9.15,8.8,8.86,16460
2008-09-15 00:00:00+05:30,8.75,8.97,8.0,8.38,47716
2008-09-16 00:00:00+05:30,7.96,8.36,7.96,8.27,22285
2008-09-17 00:00:00+05:30,8.44,8.44,8.08,8.3,11571
2008-09-18 00:00:00+05:30,8.1,8.1,7.76,7.98,40749
2008-09-19 00:00:00+05:30,8.23,8.39,8.05,8.1,13049
2008-09-22 00:00:00+05:30,8.02,8.5,7.96,8.02,29894
2008-09-23 00:00:00+05:30,8.0,8.1,7.9,7.92,6342
2008-09-24 00:00:00+05:30,7.9,7.99,7.77,7.79,13216
2008-09-25 00:00:00+05:30,7.94,7.94,7.62,7.7,18246
2008-09-26 00:00:00+05:30,7.71,7.8,7.52,7.53,25611
2008-09-29 00:00:00+05:30,7.65,7.66,7.2,7.29,11903
2008-09-30 00:00:00+05:30,7.01,7.59,7.0,7.58,18272
2008-10-01 00:00:00+05:30,7.69,7.8,7.26,7.58,13206
2008-10-03 00:00:00+05:30,7.31,7.73,7.11,7.44,16908
2008-10-06 00:00:00+05:30,7.45,7.45,6.63,6.72,18396
2008-10-07 00:00:00+05:30,6.99,7.0,6.52,6.71,17118
2008-10-08 00:00:00+05:30,6.3,6.65,6.0,6.45,21370
2008-10-10 00:00:00+05:30,5.76,6.19,5.76,5.95,5254
2008-10-13 00:00:00+05:30,5.9,6.28,5.9,6.15,10320
2008-10-14 00:00:00+05:30,6.1,6.74,6.1,6.46,14156
2008-10-15 00:00:00+05:30,6.12,6.34,6.1,6.2,6939
2008-10-16 00:00:00+05:30,5.7,6.2,5.7,5.96,11820
2008-10-17 00:00:00+05:30,6.24,6.3,5.99,6.11,7746
2008-10-20 00:00:00+05:30,5.8,6.6,5.56,5.86,11758
2008-10-21 00:00:00+05:30,5.68,5.97,5.68,5.84,5685
2008-10-22 00:00:00+05:30,5.7,5.91,5.7,5.75,8019
2008-10-23 00:00:00+05:30,5.26,5.83,5.21,5.21,19883
2008-10-24 00:00:00+05:30,5.5,5.5,4.3,4.48,32198
2008-10-27 00:00:00+05:30,4.34,4.75,4.0,4.21,21423
2008-10-28 00:00:00+05:30,4.09,4.88,4.09,4.54,1669
2008-10-29 00:00:00+05:30,4.99,4.99,4.21,4.76,5701
2008-10-31 00:00:00+05:30,5.01,5.01,4.53,4.66,16436
2008-11-03 00:00:00+05:30,4.8,5.13,4.8,4.95,16905
2008-11-04 00:00:00+05:30,5.0,5.01,4.8,4.94,19710
2008-11-05 00:00:00+05:30,5.09,5.45,4.61,4.86,23996
2008-11-06 00:00:00+05:30,4.61,5.09,4.59,4.93,7627
2008-11-07 00:00:00+05:30,4.82,5.0,4.63,4.92,6198
2008-11-10 00:00:00+05:30,4.9,5.05,4.84,5.0,6892
2008-11-11 00:00:00+05:30,4.71,4.99,4.71,4.86,1100
2008-11-12 00:00:00+05:30,4.99,4.99,4.63,4.65,73855
2008-11-17 00:00:00+05:30,4.05,4.88,4.0,4.49,13936
2008-11-18 00:00:00+05:30,4.46,4.75,4.46,4.69,900
2008-11-19 00:00:00+05:30,4.69,4.7,4.32,4.42,19880
2008-11-20 00:00:00+05:30,4.4,4.4,4.11,4.11,1200
2008-11-21 00:00:00+05:30,3.95,4.17,3.95,4.09,3742
2008-11-24 00:00:00+05:30,4.11,4.63,4.11,4.16,6208
2008-11-25 00:00:00+05:30,3.95,4.4,3.95,4.01,9427
2008-11-26 00:00:00+05:30,4.0,4.05,3.92,4.01,5842
2008-11-28 00:00:00+05:30,4.0,4.09,3.9,4.09,2033
2008-12-01 00:00:00+05:30,4.79,4.79,4.05,4.05,2629
2008-12-02 00:00:00+05:30,3.9,4.07,3.9,4.05,3268
2008-12-03 00:00:00+05:30,3.8,4.25,3.8,4.03,2360
2008-12-04 00:00:00+05:30,4.15,4.2,3.95,4.13,7100
2008-12-05 00:00:00+05:30,3.9,4.3,3.9,4.19,2255
2008-12-08 00:00:00+05:30,4.3,4.5,4.05,4.09,9225
2008-12-10 00:00:00+05:30,4.01,4.29,4.01,4.23,4868
2008-12-11 00:00:00+05:30,4.01,4.2,3.99,4.0,2893
2008-12-12 00:00:00+05:30,4.17,4.5,4.07,4.3,11101
2008-12-15 00:00:00+05:30,4.74,4.8,4.25,4.53,22692
2008-12-16 00:00:00+05:30,4.07,5.2,4.05,5.12,19999
2008-12-17 00:00:00+05:30,4.71,5.25,4.7,4.92,15055
2008-12-18 00:00:00+05:30,4.65,5.01,4.65,4.71,10695
2008-12-19 00:00:00+05:30,4.59,4.97,4.55,4.84,6900
2008-12-22 00:00:00+05:30,4.42,5.23,4.41,4.99,11606
2008-12-23 00:00:00+05:30,4.9,5.0,4.51,4.59,19018
2008-12-24 00:00:00+05:30,4.37,4.79,4.34,4.4,4980
2008-12-26 00:00:00+05:30,4.51,4.55,4.21,4.22,15039
2008-12-29 00:00:00+05:30,4.2,4.45,4.2,4.2,1310
2008-12-30 00:00:00+05:30,4.17,4.4,4.12,4.22,9620
2008-12-31 00:00:00+05:30,4.2,4.5,4.16,4.49,2023
2009-01-01 00:00:00+05:30,4.61,5.13,4.57,5.05,22661
2009-01-02 00:00:00+05:30,5.01,5.25,4.91,5.01,20360
2009-01-05 00:00:00+05:30,5.15,5.2,4.9,4.93,25133
2009-01-06 00:00:00+05:30,5.2,5.2,4.63,4.8,8659
2009-01-07 00:00:00+05:30,5.09,5.09,4.2,4.59,10156
2009-01-09 00:00:00+05:30,4.01,4.5,4.0,4.32,13629
2009-01-12 00:00:00+05:30,4.5,4.78,4.21,4.34,3501
2009-01-13 00:00:00+05:30,4.21,4.63,4.21,4.3,5172
2009-01-14 00:00:00+05:30,4.25,4.26,4.25,4.26,1126
2009-01-15 00:00:00+05:30,4.25,4.5,4.01,4.36,5123
2009-01-16 00:00:00+05:30,4.25,4.5,4.22,4.22,3773
2009-01-19 00:00:00+05:30,4.12,4.38,4.11,4.19,8799
2009-01-20 00:00:00+05:30,4.3,4.59,4.12,4.18,14476
2009-01-21 00:00:00+05:30,4.12,4.17,4.12,4.17,883
2009-01-22 00:00:00+05:30,4.2,4.38,4.11,4.12,10882
2009-01-23 00:00:00+05:30,4.0,4.25,4.0,4.09,4501
2009-01-27 00:00:00+05:30,4.0,4.12,3.95,4.01,6459
2009-01-28 00:00:00+05:30,3.97,4.01,3.78,3.79,15487
2009-01-29 00:00:00+05:30,4.17,4.17,3.82,3.96,5364
2009-01-30 00:00:00+05:30,3.56,4.01,3.56,4.01,6401
2009-02-02 00:00:00+05:30,4.0,4.09,3.85,3.9,3193
2009-02-03 00:00:00+05:30,3.86,4.0,3.85,4.0,2772
2009-02-04 00:00:00+05:30,3.84,4.15,3.84,3.96,4767
2009-02-05 00:00:00+05:30,4.0,4.15,3.86,3.87,16295
2009-02-06 00:00:00+05:30,4.0,4.13,3.9,4.12,6439
2009-02-09 00:00:00+05:30,4.46,4.46,4.01,4.05,3963
2009-02-10 00:00:00+05:30,4.01,4.2,3.95,4.01,3806
2009-02-11 00:00:00+05:30,4.03,4.09,4.01,4.09,14538
2009-02-12 00:00:00+05:30,4.15,4.25,4.15,4.24,5959
2009-02-13 00:00:00+05:30,4.07,4.25,4.05,4.17,11094
2009-02-17 00:00:00+05:30,3.97,4.09,3.97,4.05,5973
2009-02-18 00:00:00+05:30,3.9,4.09,3.9,4.09,1050
2009-02-19 00:00:00+05:30,4.3,4.3,3.95,4.0,441
2009-02-20 00:00:00+05:30,3.58,4.2,3.58,3.86,6045
2009-02-24 00:00:00+05:30,4.08,4.08,4.08,4.08,1000
2009-02-25 00:00:00+05:30,3.9,4.09,3.77,3.8,3290
2009-02-26 00:00:00+05:30,3.68,3.96,3.58,3.81,8342
2009-02-27 00:00:00+05:30,4.5,4.5,3.6,3.82,17712
2009-03-02 00:00:00+05:30,3.74,3.89,3.7,3.82,2975
2009-03-03 00:00:00+05:30,3.55,3.85,3.53,3.6,11200
