date,open,high,low,close,volume
2015-04-22 00:00:00+05:30,12.5,12.5,12.5,12.5,1500
2015-04-23 00:00:00+05:30,13.12,13.12,13.12,13.12,400
2015-04-24 00:00:00+05:30,13.77,13.77,13.77,13.77,1000
2015-04-27 00:00:00+05:30,14.45,14.45,14.45,14.45,1000
2015-04-28 00:00:00+05:30,15.17,15.17,15.17,15.17,500
2015-04-29 00:00:00+05:30,15.92,15.92,15.92,15.92,500
2015-04-30 00:00:00+05:30,16.71,16.71,16.71,16.71,9500
2015-05-04 00:00:00+05:30,17.5,17.5,17.5,17.5,900
2015-05-05 00:00:00+05:30,18.35,18.35,18.35,18.35,2200
2015-05-06 00:00:00+05:30,19.25,19.25,19.25,19.25,1750
2015-05-07 00:00:00+05:30,21.15,21.15,21.15,21.15,4152
2015-05-08 00:00:00+05:30,23.25,23.25,21.35,23.25,2003
2015-05-11 00:00:00+05:30,21.3,25.35,21.25,25.2,5507
2015-05-12 00:00:00+05:30,26.45,26.45,23.95,23.95,2204
2015-05-13 00:00:00+05:30,25.0,25.0,23.1,23.1,2129
2015-05-14 00:00:00+05:30,24.2,24.2,21.95,21.95,50
2015-05-15 00:00:00+05:30,20.95,20.95,20.9,20.9,130
2015-05-18 00:00:00+05:30,19.89,19.89,19.89,19.89,200
2015-05-19 00:00:00+05:30,19.89,19.89,19.89,19.89,202
2015-05-20 00:00:00+05:30,18.95,18.95,18.95,18.95,10
2015-05-21 00:00:00+05:30,18.05,18.05,18.05,18.05,10
2015-05-22 00:00:00+05:30,17.14,18.05,17.14,17.2,1497
2015-05-25 00:00:00+05:30,17.75,18.05,16.35,17.75,8203
2015-05-26 00:00:00+05:30,18.6,18.6,16.89,18.35,5175
2015-05-27 00:00:00+05:30,18.89,19.25,17.55,17.95,14363
2015-05-28 00:00:00+05:30,18.75,18.8,17.1,18.64,18112
2015-05-29 00:00:00+05:30,19.45,19.55,18.0,18.14,28368
2015-06-01 00:00:00+05:30,18.95,18.95,17.6,18.2,4210
2015-06-02 00:00:00+05:30,18.5,19.0,17.5,18.14,219
2015-06-03 00:00:00+05:30,18.85,18.85,18.85,18.85,25
2015-06-04 00:00:00+05:30,18.85,18.85,18.1,18.85,533
2015-06-05 00:00:00+05:30,18.8,18.8,17.95,18.45,253
2015-06-08 00:00:00+05:30,17.75,18.85,17.75,18.85,8
2015-06-09 00:00:00+05:30,19.7,19.7,19.5,19.5,104
2015-06-10 00:00:00+05:30,20.39,20.45,18.55,20.25,227
2015-06-11 00:00:00+05:30,21.25,21.25,19.25,20.75,1189
2015-06-12 00:00:00+05:30,20.95,20.95,19.75,20.95,362
2015-06-15 00:00:00+05:30,21.95,21.95,19.95,19.95,110
2015-06-16 00:00:00+05:30,19.05,19.1,19.0,19.0,711
2015-06-17 00:00:00+05:30,19.0,19.89,18.05,19.89,200
2015-06-18 00:00:00+05:30,19.0,19.95,18.95,19.95,3
2015-06-19 00:00:00+05:30,19.95,19.95,19.75,19.75,101
2015-06-23 00:00:00+05:30,19.95,19.95,18.8,18.8,53
2015-06-24 00:00:00+05:30,19.7,19.7,19.7,19.7,5
2015-06-25 00:00:00+05:30,19.7,19.7,19.7,19.7,21
2015-06-26 00:00:00+05:30,19.7,19.7,19.7,19.7,10
2015-06-29 00:00:00+05:30,20.5,20.5,20.2,20.2,100
2015-06-30 00:00:00+05:30,21.15,21.2,19.2,19.2,3595
2015-07-01 00:00:00+05:30,19.1,19.1,18.3,18.3,810
2015-07-02 00:00:00+05:30,19.0,19.2,19.0,19.2,550
2015-07-03 00:00:00+05:30,20.9,20.9,20.75,20.75,11
2015-07-06 00:00:00+05:30,22.5,22.5,22.5,22.5,2
2015-07-08 00:00:00+05:30,20.25,22.9,20.25,22.9,1290
2015-07-09 00:00:00+05:30,24.0,24.0,23.35,23.35,5
2015-07-10 00:00:00+05:30,21.5,21.5,21.05,21.05,503
