date,open,high,low,close,volume
2014-04-16 00:00:00+05:30,18.8,18.8,18.8,18.8,500
2015-05-18 00:00:00+05:30,17.89,17.89,17.89,17.89,500
2015-08-05 00:00:00+05:30,17.1,17.1,17.1,17.1,100
2015-10-12 00:00:00+05:30,16.5,16.5,16.5,16.5,5000
2015-10-13 00:00:00+05:30,16.8,16.8,15.8,15.8,5000
2015-10-14 00:00:00+05:30,15.15,15.15,15.15,15.15,5000
2015-10-15 00:00:00+05:30,14.5,14.5,14.5,14.5,5000
2015-10-16 00:00:00+05:30,13.9,13.9,13.9,13.9,10000
2015-10-19 00:00:00+05:30,13.35,13.35,13.35,13.35,10000
2015-10-20 00:00:00+05:30,12.8,12.8,12.8,12.8,12500
2015-10-21 00:00:00+05:30,12.25,12.25,12.25,12.25,10000
2015-10-26 00:00:00+05:30,12.1,12.1,12.1,12.1,7500
2015-10-29 00:00:00+05:30,12.0,12.0,12.0,12.0,5000
2015-10-30 00:00:00+05:30,12.0,12.0,12.0,12.0,5000
2015-11-02 00:00:00+05:30,11.4,11.4,11.4,11.4,7000
2015-11-03 00:00:00+05:30,10.83,10.83,10.83,10.83,10000
2015-11-06 00:00:00+05:30,10.3,10.3,10.3,10.3,10000
2015-11-09 00:00:00+05:30,9.8,9.8,9.8,9.8,5000
2015-11-18 00:00:00+05:30,9.31,9.5,9.31,9.44,10000
2015-11-19 00:00:00+05:30,9.05,9.05,9.05,9.05,10000
2015-11-23 00:00:00+05:30,8.65,8.65,8.65,8.65,12500
2015-11-24 00:00:00+05:30,8.44,8.44,8.44,8.44,11000
2015-11-27 00:00:00+05:30,8.4,8.4,8.4,8.4,12000
2015-11-30 00:00:00+05:30,8.4,8.4,8.4,8.4,10000
2015-12-02 00:00:00+05:30,8.0,8.0,8.0,8.0,10000
2015-12-03 00:00:00+05:30,8.35,8.35,7.6,7.6,15000
2015-12-04 00:00:00+05:30,7.3,7.45,7.3,7.35,20800
2015-12-07 00:00:00+05:30,7.4,7.4,7.25,7.25,10000
2015-12-08 00:00:00+05:30,7.0,7.0,6.89,6.89,4600
2015-12-09 00:00:00+05:30,7.0,7.0,6.85,7.0,23000
2015-12-10 00:00:00+05:30,7.0,7.0,6.9,6.95,7000
2015-12-11 00:00:00+05:30,6.95,6.95,6.84,6.84,19500
2015-12-14 00:00:00+05:30,6.95,6.95,6.85,6.85,13500
2015-12-15 00:00:00+05:30,7.0,7.05,6.85,6.85,16000
2015-12-16 00:00:00+05:30,6.85,6.85,6.84,6.84,14000
2015-12-17 00:00:00+05:30,6.95,6.95,6.84,6.9,36600
2015-12-18 00:00:00+05:30,6.9,6.95,6.84,6.84,25000
2015-12-21 00:00:00+05:30,6.95,6.95,6.84,6.84,30000
2015-12-22 00:00:00+05:30,6.95,7.0,6.85,6.85,24500
2015-12-23 00:00:00+05:30,6.84,6.95,6.84,6.85,40600
2015-12-24 00:00:00+05:30,6.9,6.9,6.84,6.84,20000
2015-12-28 00:00:00+05:30,6.9,6.9,6.85,6.85,15800
2015-12-29 00:00:00+05:30,6.85,6.85,6.84,6.84,43900
2015-12-30 00:00:00+05:30,6.95,6.95,6.84,6.95,26100
2015-12-31 00:00:00+05:30,6.9,6.95,6.85,6.86,31900
2016-01-01 00:00:00+05:30,6.55,6.55,6.52,6.52,20100
2016-01-04 00:00:00+05:30,6.52,6.52,6.2,6.52,27000
2016-01-05 00:00:00+05:30,6.6,6.6,6.2,6.2,33000
2016-01-06 00:00:00+05:30,6.2,6.2,5.9,6.2,32500
2016-01-08 00:00:00+05:30,6.25,6.25,6.2,6.2,5000
2016-01-11 00:00:00+05:30,5.95,5.95,5.89,5.89,15000
2016-01-12 00:00:00+05:30,5.89,5.89,5.75,5.75,21100
2016-01-13 00:00:00+05:30,5.6,5.6,5.5,5.5,12000
2016-01-14 00:00:00+05:30,5.5,5.5,5.5,5.5,4000
2016-01-15 00:00:00+05:30,5.3,5.3,5.25,5.25,30000
2016-01-19 00:00:00+05:30,5.25,5.25,5.25,5.25,8200
2016-01-20 00:00:00+05:30,5.25,5.25,5.2,5.2,30800
2016-01-22 00:00:00+05:30,5.2,5.2,5.15,5.15,8000
2016-01-28 00:00:00+05:30,5.2,5.2,5.2,5.2,10000
2016-01-29 00:00:00+05:30,5.2,5.25,5.2,5.25,36000
2016-02-01 00:00:00+05:30,5.0,5.2,5.0,5.2,40100
2016-02-02 00:00:00+05:30,5.0,5.0,5.0,5.0,6500
2016-02-03 00:00:00+05:30,4.95,5.0,4.95,5.0,20000
2016-02-04 00:00:00+05:30,4.75,4.75,4.75,4.75,5000
2016-02-05 00:00:00+05:30,4.98,4.98,4.97,4.97,10000
2016-02-08 00:00:00+05:30,5.09,5.09,5.0,5.0,20000
2016-02-09 00:00:00+05:30,5.09,5.09,5.0,5.0,21000
2016-02-10 00:00:00+05:30,5.0,5.0,5.0,5.0,100
2016-02-11 00:00:00+05:30,5.05,5.05,5.05,5.05,4000
2016-02-17 00:00:00+05:30,5.05,5.05,4.8,4.8,36000
2016-02-18 00:00:00+05:30,5.04,5.04,4.75,5.0,63200
2016-02-19 00:00:00+05:30,5.0,5.0,4.75,4.88,85200
2016-02-22 00:00:00+05:30,4.8,4.8,4.75,4.75,34000
2016-02-23 00:00:00+05:30,4.9,4.9,4.75,4.75,20000
2016-02-24 00:00:00+05:30,4.8,4.95,4.8,4.95,60000
2016-02-25 00:00:00+05:30,4.8,5.0,4.8,4.8,49500
2016-02-26 00:00:00+05:30,4.8,4.8,4.7,4.7,14500
2016-02-29 00:00:00+05:30,4.8,4.8,4.75,4.75,25000
2016-03-01 00:00:00+05:30,4.75,4.75,4.75,4.75,15000
2016-03-02 00:00:00+05:30,4.51,4.8,4.51,4.8,47000
2016-03-03 00:00:00+05:30,5.0,5.0,5.0,5.0,15000
2016-03-04 00:00:00+05:30,4.95,5.0,4.95,5.0,26000
2016-03-08 00:00:00+05:30,4.75,5.0,4.75,4.75,128000
2016-03-09 00:00:00+05:30,4.95,4.95,4.75,4.75,122600
2016-03-10 00:00:00+05:30,4.75,4.75,4.75,4.75,10000
2016-03-14 00:00:00+05:30,4.8,4.8,4.75,4.75,10000
2016-03-18 00:00:00+05:30,4.7,4.7,4.6,4.6,20000
2016-03-21 00:00:00+05:30,4.68,4.68,4.68,4.68,400
2016-03-23 00:00:00+05:30,4.7,4.8,4.7,4.72,32600
2016-03-28 00:00:00+05:30,4.5,4.5,4.5,4.5,15000
2016-03-29 00:00:00+05:30,4.3,4.6,4.3,4.5,43100
2016-03-31 00:00:00+05:30,4.6,4.75,4.55,4.75,51600
2016-04-01 00:00:00+05:30,4.85,4.85,4.75,4.75,8000
2016-04-05 00:00:00+05:30,4.9,4.9,4.6,4.6,9000
2016-04-07 00:00:00+05:30,4.8,4.8,4.7,4.7,4500
2016-04-12 00:00:00+05:30,4.7,4.7,4.6,4.6,13500
2016-04-20 00:00:00+05:30,4.7,4.7,4.7,4.7,10000
2016-04-22 00:00:00+05:30,4.5,4.62,4.5,4.55,30000
2016-04-26 00:00:00+05:30,4.6,4.6,4.6,4.6,10000
2016-04-27 00:00:00+05:30,4.68,4.68,4.65,4.65,10000
2016-04-29 00:00:00+05:30,4.65,4.65,4.6,4.6,22500
2016-05-02 00:00:00+05:30,4.65,4.7,4.6,4.65,28000
2016-05-03 00:00:00+05:30,4.7,4.7,4.6,4.6,12500
2016-05-04 00:00:00+05:30,4.65,4.7,4.6,4.6,21500
2016-05-05 00:00:00+05:30,4.65,4.7,4.6,4.6,20000
2016-05-06 00:00:00+05:30,4.65,4.65,4.6,4.6,13000
2016-05-09 00:00:00+05:30,4.5,4.5,4.5,4.5,5300
2016-05-10 00:00:00+05:30,4.65,4.65,4.55,4.55,6000
