date,open,high,low,close,volume
2008-08-05 00:00:00+05:30,7.0,7.0,7.0,7.0,100
2009-04-23 00:00:00+05:30,7.0,7.0,7.0,7.0,100
2009-06-15 00:00:00+05:30,7.35,7.35,7.35,7.35,100
2010-06-04 00:00:00+05:30,7.0,7.0,7.0,7.0,200
2010-07-01 00:00:00+05:30,7.35,7.35,7.35,7.35,300
2010-07-09 00:00:00+05:30,7.71,7.71,7.71,7.71,300
2010-08-10 00:00:00+05:30,8.09,8.09,8.09,8.09,1000
2010-08-12 00:00:00+05:30,8.49,8.49,8.49,8.49,100
2010-08-16 00:00:00+05:30,8.91,8.91,8.91,8.91,300
2010-08-18 00:00:00+05:30,9.35,9.35,9.35,9.35,700
2010-08-23 00:00:00+05:30,9.81,9.81,9.81,9.81,300
2010-08-26 00:00:00+05:30,10.3,10.3,10.3,10.3,100
2010-08-30 00:00:00+05:30,10.81,10.81,10.81,10.81,300
2010-08-31 00:00:00+05:30,11.35,11.35,11.35,11.35,300
2010-09-02 00:00:00+05:30,11.91,11.91,11.91,11.91,300
2010-09-06 00:00:00+05:30,12.5,12.5,12.5,12.5,1600
2010-09-13 00:00:00+05:30,13.12,13.12,13.12,13.12,100
2010-09-16 00:00:00+05:30,13.77,13.77,13.77,13.77,700
2010-09-20 00:00:00+05:30,14.45,14.45,14.45,14.45,100
2010-09-21 00:00:00+05:30,15.17,15.17,15.17,15.17,1200
2010-09-22 00:00:00+05:30,15.92,15.92,15.92,15.92,500
2010-09-23 00:00:00+05:30,16.71,16.71,16.71,16.71,100
2010-09-28 00:00:00+05:30,17.54,17.54,17.54,17.54,100
2010-10-01 00:00:00+05:30,18.39,18.39,18.39,18.39,1700
2010-10-04 00:00:00+05:30,19.3,19.3,19.3,19.3,300
2010-10-05 00:00:00+05:30,20.25,20.25,20.25,20.25,200
2010-10-06 00:00:00+05:30,21.25,21.25,21.25,21.25,200
2010-10-08 00:00:00+05:30,22.3,22.3,22.3,22.3,100
2010-10-12 00:00:00+05:30,23.4,23.4,23.4,23.4,500
