date,open,high,low,close,volume
2009-09-15 00:00:00+05:30,8.4,8.4,8.4,8.4,100
2009-10-06 00:00:00+05:30,8.82,8.82,8.82,8.82,50
2009-10-22 00:00:00+05:30,9.72,9.72,9.72,9.72,50
2009-11-05 00:00:00+05:30,10.19,10.19,10.19,10.19,350
2009-11-12 00:00:00+05:30,10.71,10.71,10.71,10.71,50
2009-11-20 00:00:00+05:30,11.24,11.24,11.24,11.24,100
2010-08-30 00:00:00+05:30,11.8,11.8,11.8,11.8,50
2010-08-31 00:00:00+05:30,12.39,12.39,12.39,12.39,50
2010-09-01 00:00:00+05:30,13.0,13.0,13.0,13.0,50
2010-09-02 00:00:00+05:30,13.65,13.65,13.65,13.65,50
2010-09-03 00:00:00+05:30,14.33,14.33,14.33,14.33,350
2010-09-07 00:00:00+05:30,15.04,15.04,15.04,15.04,50
2010-09-08 00:00:00+05:30,15.79,15.79,15.79,15.79,50
2010-09-09 00:00:00+05:30,16.57,16.57,16.57,16.57,50
2010-09-13 00:00:00+05:30,17.39,17.39,17.39,17.39,50
2010-09-14 00:00:00+05:30,18.25,18.25,18.25,18.25,50
2010-09-16 00:00:00+05:30,19.16,19.16,19.16,19.16,50
2010-09-17 00:00:00+05:30,20.11,20.11,20.11,20.11,50
2010-09-20 00:00:00+05:30,21.11,21.11,21.11,21.11,50
2010-09-21 00:00:00+05:30,22.16,22.16,22.16,22.16,50
2010-09-22 00:00:00+05:30,23.26,23.26,21.06,23.26,250
2010-09-23 00:00:00+05:30,24.42,24.42,24.42,24.42,50
2010-09-30 00:00:00+05:30,25.64,25.64,25.64,25.64,50
2010-10-01 00:00:00+05:30,26.9,26.9,26.9,26.9,50
2010-10-04 00:00:00+05:30,28.2,28.2,28.2,28.2,50
2010-10-06 00:00:00+05:30,29.6,29.6,29.6,29.6,50
2010-10-07 00:00:00+05:30,31.05,31.05,31.05,31.05,50
2010-10-08 00:00:00+05:30,32.6,32.6,32.6,32.6,50
2010-10-11 00:00:00+05:30,34.2,34.2,34.2,34.2,50
2010-10-14 00:00:00+05:30,35.9,35.9,35.9,35.9,50
2010-10-15 00:00:00+05:30,37.65,37.65,37.65,37.65,50
2010-10-18 00:00:00+05:30,39.5,39.5,39.5,39.5,50
2010-10-19 00:00:00+05:30,41.45,41.45,41.45,41.45,50
2010-10-20 00:00:00+05:30,43.5,43.5,43.5,43.5,50
2010-10-21 00:00:00+05:30,45.65,45.65,45.65,45.65,50
2010-10-22 00:00:00+05:30,47.9,47.9,47.9,47.9,50
2010-10-25 00:00:00+05:30,50.25,50.25,50.25,50.25,50
2010-10-26 00:00:00+05:30,52.75,52.75,52.75,52.75,50
2010-10-28 00:00:00+05:30,55.35,55.35,55.35,55.35,50
2010-10-29 00:00:00+05:30,58.1,58.1,58.1,58.1,50
2010-11-01 00:00:00+05:30,61.0,61.0,61.0,61.0,50
2010-11-02 00:00:00+05:30,64.05,64.05,64.05,64.05,50
2010-11-03 00:00:00+05:30,67.25,67.25,67.25,67.25,50
2010-11-04 00:00:00+05:30,70.59,70.59,70.59,70.59,50
2010-11-05 00:00:00+05:30,74.09,74.09,74.09,74.09,50
2010-11-08 00:00:00+05:30,77.8,77.8,77.8,77.8,50
2010-11-09 00:00:00+05:30,81.65,81.65,81.65,81.65,50
2010-11-10 00:00:00+05:30,85.7,85.7,85.7,85.7,50
2010-11-12 00:00:00+05:30,89.95,89.95,89.95,89.95,50
2010-11-16 00:00:00+05:30,94.4,94.4,94.4,94.4,50
2010-11-19 00:00:00+05:30,89.7,99.1,89.7,99.1,1150
