date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,7.66,7.66,7.5,7.66,141992
2008-01-02 00:00:00+05:30,8.03,8.03,7.28,8.02,259229
2008-01-03 00:00:00+05:30,8.43,8.43,7.65,8.02,239037
2008-01-04 00:00:00+05:30,8.3,8.43,7.98,8.03,241909
2008-01-07 00:00:00+05:30,8.15,8.44,8.0,8.41,254807
2008-01-08 00:00:00+05:30,8.78,8.8,7.99,7.99,133966
2008-01-09 00:00:00+05:30,7.6,7.6,7.6,7.6,29381
2008-01-10 00:00:00+05:30,7.23,7.23,7.23,7.23,10115
2008-01-11 00:00:00+05:30,6.87,6.87,6.87,6.87,4299
2008-01-14 00:00:00+05:30,6.53,6.53,6.53,6.53,11951
2008-01-15 00:00:00+05:30,6.21,6.85,6.21,6.23,78357
2008-01-16 00:00:00+05:30,6.25,6.25,5.92,6.12,35688
2008-01-17 00:00:00+05:30,5.9,6.42,5.82,6.42,30305
2008-01-18 00:00:00+05:30,6.55,6.55,6.1,6.1,15766
2008-01-21 00:00:00+05:30,5.8,5.95,5.8,5.8,19055
2008-01-22 00:00:00+05:30,5.52,5.52,5.52,5.52,1100
2008-01-23 00:00:00+05:30,5.5,5.5,5.25,5.4,19283
2008-01-24 00:00:00+05:30,5.14,5.4,5.14,5.14,14525
2008-01-25 00:00:00+05:30,4.88,4.9,4.88,4.88,11120
2008-01-28 00:00:00+05:30,4.65,4.65,4.65,4.65,3350
2008-01-29 00:00:00+05:30,4.65,4.88,4.42,4.65,20173
2008-01-30 00:00:00+05:30,4.8,4.88,4.8,4.88,11731
2008-01-31 00:00:00+05:30,4.8,5.12,4.76,5.12,61927
2008-02-01 00:00:00+05:30,5.0,5.37,5.0,5.37,14712
2008-02-04 00:00:00+05:30,5.37,5.63,5.37,5.63,7507
2008-02-05 00:00:00+05:30,5.91,5.91,5.91,5.91,30449
2008-02-06 00:00:00+05:30,5.95,6.19,5.62,6.13,84570
2008-02-07 00:00:00+05:30,6.2,6.43,5.83,5.85,53933
2008-02-08 00:00:00+05:30,6.01,6.01,5.56,5.89,1308
2008-02-11 00:00:00+05:30,5.6,5.6,5.6,5.6,6000
2008-02-12 00:00:00+05:30,5.33,5.69,5.33,5.33,18415
2008-02-13 00:00:00+05:30,5.2,5.5,5.07,5.09,10405
2008-02-14 00:00:00+05:30,5.0,5.21,4.84,5.21,23247
2008-02-15 00:00:00+05:30,5.22,5.47,5.22,5.32,9824
2008-02-18 00:00:00+05:30,5.3,5.57,5.3,5.36,10510
2008-02-19 00:00:00+05:30,5.35,5.62,5.09,5.32,14169
2008-02-20 00:00:00+05:30,5.07,5.5,5.07,5.49,10779
2008-02-21 00:00:00+05:30,5.22,5.24,5.22,5.22,7877
2008-02-22 00:00:00+05:30,5.05,5.33,5.0,5.2,3412
2008-02-25 00:00:00+05:30,5.0,5.46,4.95,5.43,6196
2008-02-26 00:00:00+05:30,5.16,5.18,5.16,5.17,7686
2008-02-27 00:00:00+05:30,5.4,5.42,5.2,5.38,12104
2008-02-28 00:00:00+05:30,5.62,5.62,5.13,5.32,14186
2008-02-29 00:00:00+05:30,5.17,5.57,5.05,5.3,12321
2008-03-03 00:00:00+05:30,5.05,5.35,5.04,5.14,11459
2008-03-04 00:00:00+05:30,4.9,4.9,4.88,4.88,4276
2008-03-05 00:00:00+05:30,4.68,4.8,4.65,4.66,9453
2008-03-07 00:00:00+05:30,4.43,4.59,4.43,4.45,8754
2008-03-10 00:00:00+05:30,4.23,4.23,4.01,4.05,16556
2008-03-11 00:00:00+05:30,4.18,4.42,3.87,4.38,6684
2008-03-12 00:00:00+05:30,4.4,4.59,4.07,4.15,14649
2008-03-13 00:00:00+05:30,3.8,4.01,3.8,3.91,4538
2008-03-14 00:00:00+05:30,3.61,4.0,3.61,3.99,20600
2008-03-17 00:00:00+05:30,3.75,3.9,3.75,3.8,5930
2008-03-18 00:00:00+05:30,3.75,3.95,3.5,3.61,19185
2008-03-19 00:00:00+05:30,3.51,3.82,3.27,3.52,15537
2008-03-24 00:00:00+05:30,3.41,3.86,3.26,3.3,18931
2008-03-25 00:00:00+05:30,3.36,3.63,3.22,3.59,16521
2008-03-26 00:00:00+05:30,3.9,3.94,3.41,3.78,17536
2008-03-27 00:00:00+05:30,3.75,3.98,3.55,3.62,13080
2008-03-28 00:00:00+05:30,3.97,3.98,3.87,3.97,7110
