date,open,high,low,close,volume
2023-03-20 00:00:00+05:30,61.0,64.05,61.0,61.45,178000
2023-03-21 00:00:00+05:30,61.0,63.95,61.0,61.08,164000
2023-03-22 00:00:00+05:30,61.05,61.05,60.0,60.83,230000
2023-03-23 00:00:00+05:30,59.0,61.0,59.0,60.5,46000
2023-03-24 00:00:00+05:30,60.5,61.0,60.0,61.0,106000
2023-03-27 00:00:00+05:30,59.0,61.0,59.0,61.0,72000
2023-03-28 00:00:00+05:30,61.0,61.0,61.0,61.0,104000
2023-03-29 00:00:00+05:30,61.0,61.0,60.0,60.95,32000
2023-03-31 00:00:00+05:30,60.5,60.5,57.99,57.99,36000
2023-04-03 00:00:00+05:30,60.0,60.0,60.0,60.0,48000
2023-04-05 00:00:00+05:30,60.01,61.0,59.8,60.0,70000
2023-04-06 00:00:00+05:30,66.3,66.3,61.0,61.0,32000
2023-04-10 00:00:00+05:30,61.7,62.5,61.7,62.07,16000
2023-04-11 00:00:00+05:30,65.0,65.0,64.0,64.0,4000
2023-04-12 00:00:00+05:30,64.5,70.2,64.5,66.44,8000
2023-04-13 00:00:00+05:30,70.2,72.0,66.1,72.0,18000
2023-04-17 00:00:00+05:30,66.05,71.0,66.05,66.06,12000
2023-04-18 00:00:00+05:30,70.9,70.9,68.25,68.25,10000
2023-04-19 00:00:00+05:30,68.0,68.0,68.0,68.0,4000
2023-04-20 00:00:00+05:30,68.05,68.05,68.0,68.0,4000
2023-04-21 00:00:00+05:30,68.05,68.05,68.05,68.05,2000
2023-04-24 00:00:00+05:30,75.0,75.11,71.0,71.05,8000
2023-04-25 00:00:00+05:30,71.0,73.0,71.0,73.0,6000
2023-05-04 00:00:00+05:30,71.0,71.0,71.0,71.0,2000
2023-05-05 00:00:00+05:30,71.0,71.0,71.0,71.0,2000
2023-05-10 00:00:00+05:30,71.0,71.0,71.0,71.0,8000
2023-05-11 00:00:00+05:30,71.0,71.0,71.0,71.0,4000
2023-05-12 00:00:00+05:30,72.0,72.0,72.0,72.0,2000
2023-05-15 00:00:00+05:30,72.0,72.0,72.0,72.0,2000
2023-05-16 00:00:00+05:30,72.0,72.0,72.0,72.0,4000
2023-05-17 00:00:00+05:30,71.5,71.5,71.5,71.5,2000
2023-05-18 00:00:00+05:30,76.7,76.7,71.5,71.75,6000
2023-05-19 00:00:00+05:30,71.6,71.6,71.5,71.5,6000
2023-05-22 00:00:00+05:30,71.25,71.25,71.25,71.25,2000
2023-05-23 00:00:00+05:30,71.0,71.3,71.0,71.3,6000
2023-05-25 00:00:00+05:30,71.3,71.3,71.3,71.3,2000
2023-05-26 00:00:00+05:30,76.7,76.7,71.0,71.0,8000
2023-05-31 00:00:00+05:30,71.0,71.0,71.0,71.0,2000
2023-06-01 00:00:00+05:30,71.0,71.0,71.0,71.0,2000
2023-06-02 00:00:00+05:30,71.0,71.0,71.0,71.0,6000
2023-06-05 00:00:00+05:30,72.0,72.5,71.05,71.78,8000
2023-06-06 00:00:00+05:30,71.0,71.0,71.0,71.0,4000
2023-06-07 00:00:00+05:30,71.0,71.0,71.0,71.0,2000
2023-06-08 00:00:00+05:30,71.5,71.5,71.0,71.0,6000
