date,open,high,low,close,volume
2015-08-11 00:00:00+05:30,56.0,56.0,53.25,53.25,15000
2015-08-12 00:00:00+05:30,51.0,51.0,51.0,51.0,6000
2015-08-14 00:00:00+05:30,50.05,50.05,50.0,50.0,9000
2015-08-17 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2015-08-19 00:00:00+05:30,52.0,52.5,52.0,52.5,9000
2015-08-25 00:00:00+05:30,50.6,50.6,50.6,50.6,3000
2015-08-31 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2015-09-14 00:00:00+05:30,50.75,50.75,50.75,50.75,51000
2015-10-07 00:00:00+05:30,50.8,50.8,50.8,50.8,3000
2015-10-15 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2015-10-16 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2015-10-26 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2015-11-13 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2015-12-03 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2015-12-24 00:00:00+05:30,54.9,55.9,54.9,55.9,6000
2015-12-28 00:00:00+05:30,56.0,67.05,56.0,67.05,21000
2016-01-18 00:00:00+05:30,61.7,61.7,61.7,61.7,3000
2016-01-20 00:00:00+05:30,60.0,60.0,60.0,60.0,3000
2016-02-12 00:00:00+05:30,57.05,57.05,57.05,57.05,3000
2016-03-02 00:00:00+05:30,55.7,55.7,55.7,55.7,3000
2016-03-11 00:00:00+05:30,53.4,53.4,53.4,53.4,3000
2016-03-14 00:00:00+05:30,50.0,50.0,50.0,50.0,3000
2016-03-15 00:00:00+05:30,50.2,50.2,50.15,50.2,30000
2016-03-22 00:00:00+05:30,50.2,50.2,50.2,50.2,15000
2016-03-28 00:00:00+05:30,50.2,50.2,50.2,50.2,15000
2016-03-31 00:00:00+05:30,54.0,54.0,54.0,54.0,3000
2016-04-18 11:00:00+05:30,59.0,63.8,59.0,63.8,12000
2016-04-22 00:00:00+05:30,70.05,72.0,70.0,72.0,12000
2016-04-26 00:00:00+05:30,71.5,71.5,71.5,71.5,9000
2016-05-20 00:00:00+05:30,67.1,67.1,67.1,67.1,3000
2016-05-27 00:00:00+05:30,65.1,65.1,65.1,65.1,3000
2016-06-10 00:00:00+05:30,69.9,71.0,69.9,71.0,6000
2016-08-23 00:00:00+05:30,69.9,70.0,69.9,70.0,6000
2016-10-18 00:00:00+05:30,69.9,69.9,69.9,69.9,3000
2016-12-30 00:00:00+05:30,67.0,67.0,67.0,67.0,3000
2017-01-03 00:00:00+05:30,64.0,64.0,64.0,64.0,3000
2017-01-05 00:00:00+05:30,64.5,64.5,64.5,64.5,3000
2017-02-02 00:00:00+05:30,68.05,75.0,68.05,75.0,9000
2017-02-03 00:00:00+05:30,77.9,90.0,77.9,90.0,18000
2017-02-06 00:00:00+05:30,108.0,108.0,108.0,108.0,39000
2017-02-22 00:00:00+05:30,112.2,112.2,112.2,112.2,3000
2017-03-01 00:00:00+05:30,123.4,123.4,123.4,123.4,9000
2017-03-02 00:00:00+05:30,129.0,129.0,126.0,126.0,6000
2017-03-03 00:00:00+05:30,128.9,128.9,128.9,128.9,3000
2017-03-06 00:00:00+05:30,128.0,128.0,128.0,128.0,3000
2017-03-07 15:00:00+05:30,126.05,126.05,126.05,126.05,3000
2017-03-15 00:00:00+05:30,127.0,127.0,127.0,127.0,3000
2017-03-23 00:00:00+05:30,126.0,126.0,126.0,126.0,3000
2017-03-24 00:00:00+05:30,122.0,122.0,122.0,122.0,3000
2017-04-11 00:00:00+05:30,122.9,122.9,122.9,122.9,3000
2017-05-04 00:00:00+05:30,117.0,117.0,117.0,117.0,2000
2017-05-05 00:00:00+05:30,113.0,113.0,93.6,93.6,9000
2017-05-08 00:00:00+05:30,105.9,106.0,105.9,106.0,2000
2017-05-12 00:00:00+05:30,106.0,106.0,106.0,106.0,1000
2017-05-15 00:00:00+05:30,106.0,106.0,105.0,105.0,3000
2017-06-28 00:00:00+05:30,101.0,101.0,101.0,101.0,1000
2017-07-05 10:00:00+05:30,101.0,102.0,93.0,98.0,12000
2017-07-06 00:00:00+05:30,93.0,97.9,88.0,88.0,9000
2017-07-07 00:00:00+05:30,88.0,88.0,84.0,84.0,4000
2017-07-13 00:00:00+05:30,82.5,82.5,82.5,82.5,1000
2017-07-17 00:00:00+05:30,80.0,80.0,80.0,80.0,1000
2017-07-28 00:00:00+05:30,76.5,76.5,76.5,76.5,1000
2017-07-31 00:00:00+05:30,77.0,77.0,77.0,77.0,1000
2017-08-22 00:00:00+05:30,73.5,73.5,73.5,73.5,1000
2017-08-28 00:00:00+05:30,77.25,77.25,77.25,77.25,1000
2017-08-29 00:00:00+05:30,80.5,83.75,80.5,83.75,2000
2017-09-07 00:00:00+05:30,82.0,82.0,82.0,82.0,1000
2017-09-11 00:00:00+05:30,83.0,86.5,83.0,86.5,2000
2017-09-14 00:00:00+05:30,86.0,86.0,82.5,83.5,3000
2017-09-19 00:00:00+05:30,82.6,82.6,82.6,82.6,1000
2017-09-27 00:00:00+05:30,78.5,78.5,78.5,78.5,1000
2017-09-29 00:00:00+05:30,75.0,75.0,75.0,75.0,1000
2017-10-03 00:00:00+05:30,74.5,75.0,74.5,75.0,2000
2017-10-04 00:00:00+05:30,75.0,75.0,74.75,75.0,58000
2017-10-05 00:00:00+05:30,74.5,74.5,74.4,74.5,3000
2017-10-09 00:00:00+05:30,74.0,74.0,74.0,74.0,1000
2017-10-18 00:00:00+05:30,70.5,70.5,70.5,70.5,1000
2017-10-24 00:00:00+05:30,67.0,67.0,67.0,67.0,1000
2017-10-27 00:00:00+05:30,68.0,68.0,68.0,68.0,1000
2017-11-09 00:00:00+05:30,67.0,67.0,67.0,67.0,1000
2017-11-10 00:00:00+05:30,68.0,68.0,68.0,68.0,1000
2017-11-13 00:00:00+05:30,70.0,76.95,70.0,76.95,7000
2017-11-14 00:00:00+05:30,73.0,73.0,70.05,70.05,6000
2017-11-15 00:00:00+05:30,69.0,69.0,69.0,69.0,1000
2017-11-16 00:00:00+05:30,70.0,70.0,70.0,70.0,1000
2017-11-20 00:00:00+05:30,69.0,69.0,69.0,69.0,1000
2017-11-21 00:00:00+05:30,64.55,65.0,64.55,65.0,2000
2017-11-22 00:00:00+05:30,70.0,70.0,70.0,70.0,1000
2017-11-24 00:00:00+05:30,69.5,69.5,69.5,69.5,1000
2017-11-30 00:00:00+05:30,66.0,67.5,66.0,67.5,2000
2017-12-15 00:00:00+05:30,67.5,67.5,67.5,67.5,8000
2017-12-18 00:00:00+05:30,72.0,72.0,71.0,71.0,2000
2017-12-19 00:00:00+05:30,67.05,67.05,67.05,67.05,1000
2017-12-20 00:00:00+05:30,67.0,67.0,67.0,67.0,1000
2017-12-28 00:00:00+05:30,68.0,68.0,68.0,68.0,3000
2018-01-19 00:00:00+05:30,72.0,72.0,71.0,71.0,2000
2018-03-08 00:00:00+05:30,67.5,67.5,67.5,67.5,6000
2018-03-12 00:00:00+05:30,70.0,70.0,70.0,70.0,15000
2018-03-13 00:00:00+05:30,69.0,70.5,69.0,70.5,15000
2018-03-19 00:00:00+05:30,70.0,71.0,70.0,71.0,5000
2018-03-26 00:00:00+05:30,71.0,71.0,71.0,71.0,6000
2018-03-27 00:00:00+05:30,69.5,70.0,69.5,70.0,12000
2018-03-28 00:00:00+05:30,67.0,67.0,67.0,67.0,1000
2018-04-09 00:00:00+05:30,67.5,68.0,67.5,68.0,5000
2018-04-10 00:00:00+05:30,70.15,70.15,70.15,70.15,3000
2018-05-07 00:00:00+05:30,69.95,69.95,69.95,69.95,1000
2018-05-11 00:00:00+05:30,67.1,67.1,67.1,67.1,1000
2018-05-15 00:00:00+05:30,67.0,67.0,67.0,67.0,1000
2018-05-17 14:00:00+05:30,63.5,64.0,63.5,64.0,2000
2018-06-01 00:00:00+05:30,63.45,63.45,63.45,63.45,1000
2018-06-05 00:00:00+05:30,63.0,63.0,63.0,63.0,1000
2018-07-16 00:00:00+05:30,59.0,59.0,59.0,59.0,1000
2018-07-18 00:00:00+05:30,60.0,63.5,60.0,63.5,2000
2018-07-19 00:00:00+05:30,62.0,62.0,62.0,62.0,1000
2018-12-10 00:00:00+05:30,50.0,74.0,50.0,74.0,2000
2019-03-19 00:00:00+05:30,74.0,74.4,66.0,66.0,60000
2019-03-20 00:00:00+05:30,73.9,73.9,73.9,73.9,1000
2019-03-22 00:00:00+05:30,88.0,88.0,87.3,87.3,29000
2019-03-25 00:00:00+05:30,95.0,95.0,69.85,70.0,43000
2019-03-26 00:00:00+05:30,70.0,78.0,56.35,60.95,62000
2019-03-27 00:00:00+05:30,64.95,64.95,64.95,64.95,6000
2019-03-28 00:00:00+05:30,65.0,72.9,65.0,71.5,8000
2019-04-04 00:00:00+05:30,69.95,69.95,69.95,69.95,20000
2019-04-05 00:00:00+05:30,71.0,71.0,65.0,65.0,26000
2019-05-08 00:00:00+05:30,52.0,52.0,52.0,52.0,3000
2019-05-23 00:00:00+05:30,41.6,54.75,41.6,54.75,2000
2019-05-24 00:00:00+05:30,44.0,44.0,44.0,44.0,1000
2019-05-27 00:00:00+05:30,35.2,36.0,35.2,36.0,3000
2019-05-30 00:00:00+05:30,39.6,39.6,39.6,39.6,1000
2019-05-31 00:00:00+05:30,43.55,43.55,43.55,43.55,1000
2019-06-03 00:00:00+05:30,43.55,43.55,43.55,43.55,1000
2019-06-06 00:00:00+05:30,47.9,47.9,47.9,47.9,1000
2019-06-20 00:00:00+05:30,50.25,50.25,50.25,50.25,1000
2019-09-25 00:00:00+05:30,55.25,55.25,55.25,55.25,1000
2019-09-26 00:00:00+05:30,60.75,60.75,60.75,60.75,1000
2020-02-01 00:00:00+05:30,60.1,60.1,60.1,60.1,1000
2020-03-23 00:00:00+05:30,60.0,60.0,60.0,60.0,6000
2020-03-24 00:00:00+05:30,59.9,59.9,59.9,59.9,5000
2020-04-29 00:00:00+05:30,59.9,59.9,59.9,59.9,2000
2020-04-30 00:00:00+05:30,58.0,58.0,58.0,58.0,2000
2020-06-02 00:00:00+05:30,58.0,58.0,58.0,58.0,2000
2020-06-03 00:00:00+05:30,56.0,56.0,56.0,56.0,1000
2020-06-10 00:00:00+05:30,58.0,58.0,58.0,58.0,1000
2020-06-16 00:00:00+05:30,56.0,56.0,55.5,55.5,2000
2020-06-25 00:00:00+05:30,58.0,58.0,58.0,58.0,1000
2020-06-26 00:00:00+05:30,59.75,59.75,55.0,55.0,3000
2020-07-06 00:00:00+05:30,50.05,50.05,50.05,50.05,1000
2020-07-07 00:00:00+05:30,44.15,44.15,40.05,40.05,2000
2020-07-17 00:00:00+05:30,32.05,32.1,32.05,32.1,3000
2020-07-20 00:00:00+05:30,35.3,35.3,35.3,35.3,1000
2020-07-21 00:00:00+05:30,31.8,34.45,31.8,31.8,5000
2020-07-22 00:00:00+05:30,31.8,31.8,31.8,31.8,1000
2020-07-23 00:00:00+05:30,28.65,28.65,28.65,28.65,1000
2020-07-27 00:00:00+05:30,28.65,28.65,28.65,28.65,1000
2020-08-18 00:00:00+05:30,28.0,28.0,28.0,28.0,1000
2020-08-21 00:00:00+05:30,22.4,22.4,22.4,22.4,1000
2020-08-24 00:00:00+05:30,26.85,26.85,22.4,26.85,5000
2020-08-25 00:00:00+05:30,29.95,32.2,29.95,32.2,5000
2020-08-26 00:00:00+05:30,30.0,34.45,30.0,34.45,6000
2020-08-31 00:00:00+05:30,27.6,27.6,27.6,27.6,1000
2020-09-08 00:00:00+05:30,25.0,27.45,25.0,27.45,3000
2020-09-10 00:00:00+05:30,24.0,25.5,24.0,25.5,2000
2020-09-11 00:00:00+05:30,27.5,27.5,27.5,27.5,1000
2020-09-16 00:00:00+05:30,29.95,29.95,29.85,29.85,2000
2020-09-18 00:00:00+05:30,27.45,27.5,27.45,27.5,2000
2020-09-28 00:00:00+05:30,28.0,28.0,28.0,28.0,40000
2020-10-05 00:00:00+05:30,25.05,25.05,25.05,25.05,1000
2020-10-19 00:00:00+05:30,27.5,28.95,27.5,28.95,3000
2020-10-23 00:00:00+05:30,34.7,34.7,27.5,27.5,3000
2020-10-29 00:00:00+05:30,25.0,25.0,25.0,25.0,1000
2020-11-03 00:00:00+05:30,25.0,25.0,25.0,25.0,1000
2020-11-04 00:00:00+05:30,25.0,25.0,25.0,25.0,1000
2020-11-13 00:00:00+05:30,22.5,22.5,22.5,22.5,2000
2020-11-20 00:00:00+05:30,20.05,20.05,20.0,20.0,2000
2020-11-25 00:00:00+05:30,22.95,23.0,22.95,23.0,2000
2020-12-01 00:00:00+05:30,23.05,23.05,23.0,23.0,2000
2020-12-03 00:00:00+05:30,23.0,23.0,23.0,23.0,1000
2020-12-08 00:00:00+05:30,21.0,21.0,21.0,21.0,1000
2020-12-09 00:00:00+05:30,25.0,25.0,25.0,25.0,1000
2020-12-10 00:00:00+05:30,25.0,25.0,25.0,25.0,1000
2020-12-15 00:00:00+05:30,22.5,25.0,22.5,25.0,3000
2020-12-16 00:00:00+05:30,27.5,27.5,27.5,27.5,1000
2021-01-08 00:00:00+05:30,25.0,29.95,25.0,29.95,2000
2021-01-21 00:00:00+05:30,25.5,25.5,25.5,25.5,1000
2021-01-27 00:00:00+05:30,25.0,25.0,25.0,25.0,3000
2021-01-29 00:00:00+05:30,26.45,26.45,26.45,26.45,1000
2021-02-01 00:00:00+05:30,27.45,27.45,27.45,27.45,2000
2021-02-04 00:00:00+05:30,22.25,24.0,22.25,24.0,2000
2021-02-09 00:00:00+05:30,23.25,23.25,23.25,23.25,1000
2021-02-11 00:00:00+05:30,22.05,22.05,22.05,22.05,1000
2021-02-22 00:00:00+05:30,18.5,21.9,17.65,18.85,13000
2021-02-24 00:00:00+05:30,21.0,22.0,21.0,22.0,2000
2021-02-26 00:00:00+05:30,20.0,26.4,20.0,24.75,7000
2021-03-02 00:00:00+05:30,24.95,24.95,21.15,21.6,3000
2021-03-04 00:00:00+05:30,21.0,24.5,21.0,24.5,10000
2021-03-05 00:00:00+05:30,21.6,21.6,21.6,21.6,1000
2021-03-08 00:00:00+05:30,24.0,24.0,24.0,24.0,1000
2021-03-12 00:00:00+05:30,24.0,24.0,21.05,21.05,2000
2021-03-16 00:00:00+05:30,23.85,23.85,23.85,23.85,1000
2021-03-25 00:00:00+05:30,20.0,20.0,20.0,20.0,2000
2021-03-30 00:00:00+05:30,20.0,20.0,20.0,20.0,3000
2021-03-31 00:00:00+05:30,24.0,24.0,20.15,20.15,15000
2021-04-05 00:00:00+05:30,19.15,19.15,19.15,19.15,1000
2021-04-06 00:00:00+05:30,18.05,20.95,18.05,20.95,2000
2021-04-07 00:00:00+05:30,20.95,20.95,20.95,20.95,1000
2021-04-08 00:00:00+05:30,19.15,19.6,17.0,17.75,27000
2021-04-09 00:00:00+05:30,18.95,18.95,18.95,18.95,1000
2021-04-13 00:00:00+05:30,18.45,18.45,18.45,18.45,1000
2021-04-20 00:00:00+05:30,17.5,17.5,17.5,17.5,1000
2021-04-22 00:00:00+05:30,17.15,17.15,17.15,17.15,1000
2021-04-23 00:00:00+05:30,17.15,17.15,17.15,17.15,1000
2021-04-26 00:00:00+05:30,16.55,16.55,16.0,16.25,7000
2021-04-27 00:00:00+05:30,17.95,17.95,16.5,16.8,9000
2021-04-28 00:00:00+05:30,19.95,20.0,17.15,19.8,11000
