date,open,high,low,close,volume
2008-01-09 00:00:00+05:30,8.2,8.2,8.2,8.2,2500
2008-01-10 00:00:00+05:30,8.6,8.6,8.6,8.6,250
2008-01-11 00:00:00+05:30,9.0,9.0,9.0,9.0,250
2008-02-08 00:00:00+05:30,9.45,9.45,9.45,9.45,250
2008-02-14 00:00:00+05:30,9.95,9.95,9.95,9.95,750
2008-02-15 00:00:00+05:30,10.4,10.4,10.4,10.4,250
2008-02-19 00:00:00+05:30,10.95,10.95,10.95,10.95,750
2008-02-21 00:00:00+05:30,11.5,11.5,11.5,11.5,250
2008-02-22 00:00:00+05:30,12.05,12.05,12.05,12.05,250
2008-02-25 00:00:00+05:30,12.65,12.65,12.65,12.65,250
2008-02-26 00:00:00+05:30,13.3,13.3,12.1,12.1,1000
2008-02-27 00:00:00+05:30,12.7,12.7,12.05,12.05,9500
2008-02-28 00:00:00+05:30,12.55,12.6,12.55,12.6,1000
2008-02-29 00:00:00+05:30,13.25,13.25,13.25,13.25,250
2008-03-12 00:00:00+05:30,12.55,12.55,12.55,12.55,250
2008-03-24 00:00:00+05:30,11.95,13.2,11.95,13.2,3750
2008-06-27 00:00:00+05:30,12.55,12.55,12.55,12.55,250
2008-07-24 00:00:00+05:30,11.9,11.9,11.9,11.9,500
2008-09-08 00:00:00+05:30,11.35,11.35,11.35,11.35,500
2009-02-26 00:00:00+05:30,10.75,10.75,10.75,10.75,250
2009-02-27 00:00:00+05:30,10.25,10.25,10.25,10.25,250
2009-03-02 00:00:00+05:30,9.75,9.75,9.75,9.75,250
2009-03-03 00:00:00+05:30,9.25,9.25,9.25,9.25,250
2009-03-04 00:00:00+05:30,8.8,8.8,8.8,8.8,250
2009-03-05 00:00:00+05:30,8.35,8.35,8.35,8.35,250
2009-03-06 00:00:00+05:30,7.95,7.95,7.95,7.95,250
2009-03-09 00:00:00+05:30,7.55,7.55,7.55,7.55,250
2009-03-12 00:00:00+05:30,7.2,7.2,7.2,7.2,250
2009-03-13 00:00:00+05:30,6.85,6.85,6.85,6.85,250
2009-05-29 00:00:00+05:30,7.2,7.2,7.2,7.2,500
2009-06-01 00:00:00+05:30,7.2,7.2,7.2,7.2,500
2009-09-14 00:00:00+05:30,6.7,6.7,6.7,6.7,4000
2009-09-23 00:00:00+05:30,7.05,7.05,6.35,6.35,1000
2009-09-29 00:00:00+05:30,6.7,6.7,6.7,6.7,750
2009-09-30 00:00:00+05:30,7.0,7.0,7.0,7.0,1500
2009-10-07 00:00:00+05:30,6.65,6.65,6.65,6.65,250
2009-10-08 00:00:00+05:30,6.95,7.0,6.95,7.0,1250
2009-10-12 00:00:00+05:30,6.65,6.65,6.65,6.65,250
2009-10-15 00:00:00+05:30,6.0,6.0,6.0,6.0,250
2009-10-16 00:00:00+05:30,5.8,5.8,5.8,5.8,750
2009-10-20 00:00:00+05:30,5.5,5.95,5.5,5.55,3250
2009-10-22 00:00:00+05:30,5.3,5.3,5.3,5.3,250
2009-10-23 00:00:00+05:30,5.6,5.6,5.6,5.6,1000
2009-11-03 00:00:00+05:30,5.85,5.85,5.85,5.85,500
2009-11-04 00:00:00+05:30,6.15,6.15,6.15,6.15,500
2009-11-05 00:00:00+05:30,6.45,6.45,6.45,6.45,3500
2009-11-06 00:00:00+05:30,6.75,6.75,6.75,6.75,750
2009-11-09 00:00:00+05:30,7.1,7.1,7.1,7.1,500
2009-11-10 00:00:00+05:30,7.2,7.2,7.2,7.2,250
2009-11-11 00:00:00+05:30,6.85,6.85,6.85,6.85,6750
2009-11-12 00:00:00+05:30,6.5,6.5,6.5,6.5,750
2009-11-13 00:00:00+05:30,6.2,6.8,6.2,6.6,1250
2009-11-17 00:00:00+05:30,6.3,6.3,6.3,6.3,750
2009-11-18 00:00:00+05:30,6.0,6.0,6.0,6.0,2500
2009-11-20 00:00:00+05:30,6.2,6.2,6.2,6.2,250
2009-11-23 00:00:00+05:30,5.9,5.9,5.9,5.9,1000
2009-11-24 00:00:00+05:30,5.65,6.1,5.6,6.1,3750
2009-11-26 00:00:00+05:30,5.8,5.8,5.8,5.8,1750
2009-11-27 00:00:00+05:30,5.8,6.1,5.8,6.1,750
2009-12-01 00:00:00+05:30,5.8,5.8,5.8,5.8,1000
2009-12-02 00:00:00+05:30,6.0,6.0,6.0,6.0,500
2009-12-03 00:00:00+05:30,6.3,6.3,6.3,6.3,500
2009-12-04 00:00:00+05:30,6.6,6.6,6.6,6.6,500
2009-12-07 00:00:00+05:30,6.3,6.3,6.3,6.3,500
2009-12-09 00:00:00+05:30,6.0,6.0,6.0,6.0,250
2009-12-11 00:00:00+05:30,6.1,6.25,6.1,6.25,1000
2009-12-14 00:00:00+05:30,5.95,5.95,5.95,5.95,500
2009-12-16 00:00:00+05:30,6.2,6.25,6.0,6.0,1000
2009-12-21 00:00:00+05:30,5.75,5.75,5.75,5.75,250
2009-12-22 00:00:00+05:30,5.8,5.8,5.8,5.8,250
2009-12-23 00:00:00+05:30,5.6,5.8,5.55,5.8,1250
2009-12-29 00:00:00+05:30,6.0,6.0,6.0,6.0,250
2009-12-30 00:00:00+05:30,5.7,5.7,5.7,5.7,1000
2009-12-31 00:00:00+05:30,6.0,6.0,6.0,6.0,1500
2010-01-04 00:00:00+05:30,6.3,6.3,6.3,6.3,4250
2010-01-05 00:00:00+05:30,6.6,6.6,6.6,6.6,1250
2010-01-06 00:00:00+05:30,6.95,6.95,6.95,6.95,2000
2010-01-07 00:00:00+05:30,7.3,7.3,7.3,7.3,3250
2010-01-08 00:00:00+05:30,7.65,7.65,7.65,7.65,750
2010-01-11 00:00:00+05:30,8.0,8.0,8.0,8.0,1750
2010-01-12 00:00:00+05:30,8.4,8.4,8.4,8.4,5500
2010-01-13 00:00:00+05:30,8.85,8.85,8.0,8.4,13500
2010-01-14 00:00:00+05:30,8.0,8.0,7.95,7.95,500
2010-01-18 00:00:00+05:30,7.6,7.6,7.6,7.6,1750
2010-01-19 00:00:00+05:30,7.6,7.6,7.3,7.3,2750
2010-01-22 00:00:00+05:30,7.65,7.65,7.65,7.65,1500
2010-01-25 00:00:00+05:30,8.05,8.05,8.05,8.05,500
2010-01-27 00:00:00+05:30,8.0,8.0,8.0,8.0,1000
2010-01-29 00:00:00+05:30,7.25,7.25,7.25,7.25,500
2010-02-01 00:00:00+05:30,6.85,6.85,6.85,6.85,500
2010-02-02 00:00:00+05:30,6.55,7.2,6.55,7.2,2250
2010-02-03 00:00:00+05:30,7.2,7.5,6.9,7.5,6500
2010-02-05 00:00:00+05:30,7.2,7.2,7.2,7.2,250
