date,open,high,low,close,volume
2024-09-24 00:00:00+05:30,37.0,37.5,35.15,37.07,1770000
2024-09-25 00:00:00+05:30,37.49,38.0,35.52,36.74,429000
2024-09-26 00:00:00+05:30,37.0,37.1,35.25,36.54,183000
2024-09-27 00:00:00+05:30,36.0,36.3,35.1,35.23,156000
2024-09-30 00:00:00+05:30,36.0,36.99,35.25,36.08,261000
2024-10-01 00:00:00+05:30,36.98,36.98,36.0,36.53,150000
2024-10-03 00:00:00+05:30,35.59,36.48,35.03,35.38,78000
2024-10-04 00:00:00+05:30,35.0,35.0,33.62,33.9,120000
2024-10-07 00:00:00+05:30,34.45,34.45,32.21,32.4,90000
2024-10-08 00:00:00+05:30,32.5,33.4,32.25,33.35,36000
2024-10-09 00:00:00+05:30,36.0,36.0,34.1,35.14,42000
2024-10-10 00:00:00+05:30,35.9,35.9,35.0,35.0,21000
2024-10-11 00:00:00+05:30,35.9,36.8,35.55,35.88,69000
2024-10-14 00:00:00+05:30,36.0,36.4,35.5,36.05,33000
2024-10-15 00:00:00+05:30,36.0,36.45,35.61,36.03,51000
2024-10-16 00:00:00+05:30,36.65,37.0,35.7,35.84,66000
2024-10-17 00:00:00+05:30,35.5,36.7,34.9,35.2,102000
2024-10-18 00:00:00+05:30,35.0,36.3,35.0,35.5,123000
2024-10-21 00:00:00+05:30,35.8,36.39,35.12,35.3,129000
2024-10-22 00:00:00+05:30,35.5,35.5,33.0,34.8,63000
2024-10-23 00:00:00+05:30,33.01,33.75,33.01,33.75,9000
2024-10-24 00:00:00+05:30,34.0,34.5,34.0,34.0,9000
2024-10-25 00:00:00+05:30,34.0,34.0,32.55,32.56,135000
2024-10-28 00:00:00+05:30,33.0,34.7,33.0,34.5,162000
2024-10-29 00:00:00+05:30,34.45,34.7,34.0,34.7,33000
2024-10-30 00:00:00+05:30,34.7,35.45,34.2,34.93,75000
2024-10-31 00:00:00+05:30,35.45,36.25,35.0,36.13,69000
2024-11-01 00:00:00+05:30,35.62,36.93,35.62,36.14,27000
2024-11-04 00:00:00+05:30,35.47,37.7,35.11,35.11,24000
2024-11-05 00:00:00+05:30,34.8,35.9,34.8,35.76,33000
2024-11-06 00:00:00+05:30,36.25,36.5,35.5,35.86,45000
2024-11-07 00:00:00+05:30,36.5,36.5,35.0,35.1,57000
2024-11-08 00:00:00+05:30,35.03,35.5,35.0,35.46,24000
2024-11-11 00:00:00+05:30,36.25,36.25,35.01,35.23,57000
2024-11-12 00:00:00+05:30,35.98,35.98,35.03,35.19,18000
2024-11-13 00:00:00+05:30,35.99,36.35,34.91,35.36,51000
2024-11-14 00:00:00+05:30,35.99,36.0,35.36,35.87,30000
2024-11-18 00:00:00+05:30,35.16,35.55,33.0,34.08,96000
2024-11-19 00:00:00+05:30,34.7,34.89,34.7,34.88,9000
2024-11-21 00:00:00+05:30,34.7,34.8,34.01,34.69,24000
2024-11-22 00:00:00+05:30,34.05,34.65,33.55,33.58,30000
2024-11-25 00:00:00+05:30,34.0,34.5,32.95,33.0,69000
2024-11-26 00:00:00+05:30,34.0,34.9,34.0,34.9,12000
2024-11-27 00:00:00+05:30,33.75,34.83,33.65,34.83,21000
2024-11-28 00:00:00+05:30,34.9,34.9,33.72,34.67,24000
2024-11-29 00:00:00+05:30,35.4,35.43,34.01,34.7,48000
2024-12-02 00:00:00+05:30,34.98,35.3,34.12,34.9,39000
2024-12-03 00:00:00+05:30,34.25,34.94,34.25,34.25,9000
2024-12-04 00:00:00+05:30,35.83,35.83,34.71,35.05,102000
2024-12-05 00:00:00+05:30,35.0,35.1,34.7,35.1,48000
2024-12-06 00:00:00+05:30,35.59,35.9,34.93,35.28,21000
2024-12-09 00:00:00+05:30,35.9,36.0,35.35,35.73,63000
2024-12-10 00:00:00+05:30,36.0,37.0,35.81,36.13,72000
2024-12-11 00:00:00+05:30,36.25,36.84,36.15,36.21,39000
2024-12-12 00:00:00+05:30,35.76,36.4,35.75,36.4,18000
2024-12-13 00:00:00+05:30,35.79,36.3,35.01,35.06,39000
2024-12-16 00:00:00+05:30,35.06,35.36,34.0,35.3,30000
2024-12-17 00:00:00+05:30,34.2,35.0,33.5,33.98,48000
2024-12-18 00:00:00+05:30,34.05,34.49,33.7,34.49,24000
2024-12-19 00:00:00+05:30,34.0,35.9,34.0,35.79,60000
2024-12-20 00:00:00+05:30,35.1,35.5,34.26,34.75,21000
2024-12-23 00:00:00+05:30,34.75,35.5,34.16,35.45,15000
2024-12-24 00:00:00+05:30,35.85,35.85,34.4,34.75,15000
2024-12-26 00:00:00+05:30,35.75,36.6,35.0,35.16,72000
2024-12-27 00:00:00+05:30,34.76,35.0,34.11,34.35,12000
2024-12-30 00:00:00+05:30,34.02,34.5,34.0,34.22,45000
2024-12-31 00:00:00+05:30,34.75,35.25,34.44,34.45,21000
2025-01-01 00:00:00+05:30,35.15,35.29,34.51,35.19,24000
2025-01-02 00:00:00+05:30,35.17,35.66,34.72,35.59,24000
2025-01-03 00:00:00+05:30,35.58,35.58,35.0,35.58,12000
2025-01-06 00:00:00+05:30,35.58,35.98,35.07,35.07,15000
2025-01-07 00:00:00+05:30,35.07,35.07,34.25,34.25,12000
2025-01-08 00:00:00+05:30,34.05,34.49,33.51,34.49,18000
2025-01-09 00:00:00+05:30,35.0,35.0,33.7,34.15,21000
2025-01-10 00:00:00+05:30,34.3,34.3,33.0,34.1,18000
2025-01-13 00:00:00+05:30,33.15,34.0,32.3,33.0,21000
2025-01-14 00:00:00+05:30,33.99,33.99,33.99,33.99,3000
2025-01-15 00:00:00+05:30,33.85,33.85,30.0,31.9,93000
2025-01-16 00:00:00+05:30,32.9,32.9,31.0,31.25,15000
2025-01-17 00:00:00+05:30,32.0,32.4,31.0,31.4,30000
2025-01-20 00:00:00+05:30,32.48,32.87,32.48,32.8,9000
2025-01-21 00:00:00+05:30,31.5,31.5,31.37,31.37,9000
2025-01-22 00:00:00+05:30,31.45,31.45,31.45,31.45,3000
2025-01-23 00:00:00+05:30,32.99,33.0,32.99,33.0,6000
2025-01-24 00:00:00+05:30,33.8,33.8,33.8,33.8,3000
2025-01-27 00:00:00+05:30,31.4,31.4,30.03,30.03,6000
2025-01-28 00:00:00+05:30,31.5,31.5,31.5,31.5,3000
2025-01-29 00:00:00+05:30,31.5,32.45,31.5,32.41,27000
2025-01-30 00:00:00+05:30,32.35,32.35,32.0,32.0,9000
2025-01-31 00:00:00+05:30,32.64,32.64,32.55,32.55,6000
2025-02-01 00:00:00+05:30,31.9,31.9,31.9,31.9,3000
2025-02-03 00:00:00+05:30,30.13,31.0,30.13,31.0,6000
2025-02-04 00:00:00+05:30,30.5,30.5,30.5,30.5,3000
2025-02-05 00:00:00+05:30,30.8,30.8,30.8,30.8,3000
2025-02-06 00:00:00+05:30,30.85,32.4,30.85,32.4,18000
2025-02-07 00:00:00+05:30,34.9,34.9,31.8,32.8,12000
2025-02-10 00:00:00+05:30,32.75,32.75,30.51,30.51,18000
2025-02-11 00:00:00+05:30,30.06,31.7,30.06,31.65,12000
2025-02-12 00:00:00+05:30,30.1,32.2,30.1,32.2,9000
2025-02-13 00:00:00+05:30,30.05,30.05,30.05,30.05,3000
2025-02-14 00:00:00+05:30,29.6,30.4,29.0,29.41,33000
2025-02-17 00:00:00+05:30,30.0,31.4,30.0,30.9,24000
2025-02-18 00:00:00+05:30,28.55,29.0,26.1,28.4,30000
2025-02-19 00:00:00+05:30,29.89,29.9,29.89,29.9,6000
2025-02-20 00:00:00+05:30,30.1,31.0,29.4,30.2,9000
2025-02-21 00:00:00+05:30,29.55,31.4,29.55,31.2,21000
2025-02-24 00:00:00+05:30,30.4,30.4,30.4,30.4,3000
2025-02-25 00:00:00+05:30,29.5,32.0,29.5,30.28,15000
2025-02-27 00:00:00+05:30,30.0,30.05,29.0,29.0,21000
2025-02-28 00:00:00+05:30,28.1,32.0,26.1,26.86,63000
2025-03-03 00:00:00+05:30,27.99,27.99,25.95,27.0,24000
2025-03-04 00:00:00+05:30,27.4,27.4,26.9,26.9,9000
2025-03-05 00:00:00+05:30,26.84,27.5,26.84,27.04,12000
2025-03-06 00:00:00+05:30,27.5,27.5,27.5,27.5,15000
2025-03-07 00:00:00+05:30,27.0,28.48,26.31,27.8,21000
2025-03-10 00:00:00+05:30,28.0,28.3,26.4,28.3,18000
2025-03-11 00:00:00+05:30,28.3,28.3,28.3,28.3,3000
2025-03-12 00:00:00+05:30,28.4,28.4,28.33,28.33,6000
2025-03-13 00:00:00+05:30,26.25,28.3,26.25,27.5,18000
2025-03-17 00:00:00+05:30,27.49,27.49,27.49,27.49,3000
2025-03-18 00:00:00+05:30,27.4,27.4,27.4,27.4,3000
2025-03-19 00:00:00+05:30,27.55,30.4,26.41,26.41,126000
2025-03-20 00:00:00+05:30,27.4,27.4,26.41,26.41,9000
2025-03-21 00:00:00+05:30,26.35,27.6,25.65,26.28,27000
2025-03-24 00:00:00+05:30,26.0,27.53,25.85,26.7,24000
2025-03-25 00:00:00+05:30,28.45,28.45,26.0,26.9,54000
2025-03-26 00:00:00+05:30,28.0,28.0,25.99,26.0,30000
2025-03-27 00:00:00+05:30,24.52,26.1,23.2,23.83,45000
2025-03-28 00:00:00+05:30,25.5,25.5,21.95,23.99,102000
2025-04-01 00:00:00+05:30,25.3,26.5,24.49,26.21,45000
2025-04-02 00:00:00+05:30,27.68,27.68,25.95,27.29,144000
2025-04-03 00:00:00+05:30,27.99,29.9,25.7,29.25,213000
2025-04-04 00:00:00+05:30,31.9,32.9,30.25,31.65,57000
2025-04-07 00:00:00+05:30,34.0,34.35,29.5,29.71,48000
2025-04-08 00:00:00+05:30,32.75,32.75,32.75,32.75,3000
2025-04-09 00:00:00+05:30,30.08,30.08,29.65,29.65,9000
2025-04-11 00:00:00+05:30,30.0,32.0,30.0,32.0,6000
2025-04-15 00:00:00+05:30,35.1,35.1,32.4,32.4,15000
2025-04-16 00:00:00+05:30,31.0,32.75,31.0,32.17,9000
2025-04-17 00:00:00+05:30,32.4,32.5,31.0,32.4,12000
2025-04-21 00:00:00+05:30,32.5,34.5,32.5,33.74,36000
2025-04-22 00:00:00+05:30,33.5,34.6,32.35,34.25,96000
2025-04-23 00:00:00+05:30,35.7,35.7,33.0,33.89,18000
2025-04-24 00:00:00+05:30,33.9,33.9,32.2,33.3,33000
2025-04-25 00:00:00+05:30,31.15,32.7,31.15,32.35,9000
2025-04-28 00:00:00+05:30,32.25,33.0,32.25,33.0,9000
2025-04-29 00:00:00+05:30,32.75,32.75,32.75,32.75,3000
2025-04-30 00:00:00+05:30,32.0,32.7,31.6,32.7,9000
2025-05-02 00:00:00+05:30,32.75,32.75,32.75,32.75,3000
2025-05-05 00:00:00+05:30,32.8,32.8,32.8,32.8,3000
2025-05-06 00:00:00+05:30,30.2,30.2,30.05,30.05,9000
2025-05-07 00:00:00+05:30,29.0,30.9,29.0,29.63,9000
2025-05-08 00:00:00+05:30,28.1,31.9,28.1,29.76,27000
2025-05-12 00:00:00+05:30,30.05,30.05,30.05,30.05,6000
2025-05-13 00:00:00+05:30,31.4,31.4,31.4,31.4,3000
2025-05-14 00:00:00+05:30,31.3,31.3,31.3,31.3,3000
2025-05-15 00:00:00+05:30,30.3,30.3,30.3,30.3,3000
2025-05-16 00:00:00+05:30,29.15,30.9,29.15,30.2,9000
2025-05-19 00:00:00+05:30,30.7,30.7,29.13,29.66,9000
2025-05-20 00:00:00+05:30,30.0,33.25,30.0,33.1,63000
2025-05-21 00:00:00+05:30,34.5,34.5,33.0,34.2,45000
2025-05-22 00:00:00+05:30,32.0,35.5,32.0,34.85,36000
2025-05-23 00:00:00+05:30,34.15,35.5,34.15,35.37,60000
2025-05-26 00:00:00+05:30,35.3,36.9,34.11,36.06,42000
2025-05-27 00:00:00+05:30,31.2,36.5,31.2,33.21,87000
2025-05-28 00:00:00+05:30,33.5,34.77,33.41,34.67,15000
2025-05-29 00:00:00+05:30,34.6,34.6,34.6,34.6,3000
2025-05-30 00:00:00+05:30,33.0,34.7,33.0,34.7,6000
2025-06-02 00:00:00+05:30,33.0,35.0,33.0,34.44,21000
2025-06-03 00:00:00+05:30,34.4,34.4,33.0,33.0,18000
2025-06-04 00:00:00+05:30,36.5,36.5,32.85,34.5,15000
2025-06-05 00:00:00+05:30,35.0,35.49,34.0,34.78,24000
2025-06-06 00:00:00+05:30,35.9,35.9,34.51,35.46,24000
2025-06-09 00:00:00+05:30,35.46,35.46,35.46,35.46,3000
2025-06-10 00:00:00+05:30,35.0,35.95,34.0,34.5,24000
2025-06-11 00:00:00+05:30,33.1,34.9,32.0,34.7,51000
2025-06-12 00:00:00+05:30,34.0,34.0,34.0,34.0,3000
2025-06-13 00:00:00+05:30,34.8,34.8,34.8,34.8,3000
2025-06-16 00:00:00+05:30,33.0,33.0,33.0,33.0,6000
2025-06-17 00:00:00+05:30,31.9,34.4,31.9,33.0,15000
2025-06-18 00:00:00+05:30,32.9,32.9,32.9,32.9,3000
2025-06-19 00:00:00+05:30,32.0,32.1,32.0,32.1,9000
2025-06-20 00:00:00+05:30,32.1,32.1,32.1,32.1,6000
2025-06-23 00:00:00+05:30,32.1,33.67,32.1,33.67,9000
2025-06-24 00:00:00+05:30,33.0,34.3,33.0,34.3,12000
2025-06-25 00:00:00+05:30,33.1,33.9,32.9,33.9,12000
2025-06-26 00:00:00+05:30,33.9,34.67,31.01,32.7,36000
2025-06-27 00:00:00+05:30,31.26,32.49,31.26,32.49,6000
2025-06-30 00:00:00+05:30,32.99,32.99,32.99,32.99,3000
2025-07-01 00:00:00+05:30,32.0,32.0,32.0,32.0,3000
2025-07-02 00:00:00+05:30,31.0,31.2,30.41,31.2,9000
2025-07-03 00:00:00+05:30,32.0,35.95,32.0,32.5,33000
2025-07-04 00:00:00+05:30,33.05,33.1,33.05,33.1,24000
2025-07-07 00:00:00+05:30,32.6,33.2,32.5,33.2,15000
2025-07-08 00:00:00+05:30,33.29,33.29,33.29,33.29,3000
2025-07-09 00:00:00+05:30,33.19,33.19,32.25,32.81,9000
2025-07-10 00:00:00+05:30,32.01,32.01,32.0,32.0,6000
2025-07-11 00:00:00+05:30,31.22,31.22,31.22,31.22,3000
2025-07-14 00:00:00+05:30,31.9,31.9,31.06,31.06,9000
2025-07-15 00:00:00+05:30,31.0,31.0,31.0,31.0,6000
2025-07-16 00:00:00+05:30,31.0,31.0,29.85,30.05,21000
2025-07-17 00:00:00+05:30,30.05,30.05,30.0,30.05,9000
2025-07-18 00:00:00+05:30,30.05,30.05,30.05,30.05,3000
2025-07-21 00:00:00+05:30,30.9,30.9,30.0,30.45,6000
2025-07-22 00:00:00+05:30,30.3,30.3,30.3,30.3,3000
2025-07-23 00:00:00+05:30,30.01,31.0,29.8,30.45,15000
2025-07-24 00:00:00+05:30,32.0,33.2,31.9,31.9,15000
2025-07-25 00:00:00+05:30,30.44,32.4,30.0,30.71,12000
2025-07-28 00:00:00+05:30,30.71,30.71,30.26,30.26,9000
2025-07-29 00:00:00+05:30,30.2,30.25,30.0,30.25,18000
2025-07-30 00:00:00+05:30,30.0,32.39,29.5,31.85,21000
2025-07-31 00:00:00+05:30,31.85,32.5,31.85,32.5,15000
2025-08-01 00:00:00+05:30,32.65,35.42,32.65,35.04,126000
2025-08-04 00:00:00+05:30,36.29,36.29,34.1,34.86,156000
2025-08-05 00:00:00+05:30,35.0,35.5,35.0,35.49,12000
2025-08-06 00:00:00+05:30,34.78,35.5,34.78,35.5,36000
2025-08-07 00:00:00+05:30,35.9,35.9,34.5,34.5,33000
2025-08-08 00:00:00+05:30,35.0,36.28,35.0,35.81,72000
2025-08-11 00:00:00+05:30,35.0,36.27,34.06,35.75,78000
2025-08-12 00:00:00+05:30,36.7,36.7,36.25,36.25,6000
2025-08-13 00:00:00+05:30,37.4,37.4,35.45,36.0,15000
2025-08-14 00:00:00+05:30,36.5,36.95,35.0,35.01,30000
2025-08-18 00:00:00+05:30,35.87,35.87,34.95,34.95,12000
2025-08-19 00:00:00+05:30,34.9,35.0,34.9,34.94,18000
2025-08-20 00:00:00+05:30,37.2,37.2,34.7,34.7,27000
