date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,7.32,7.68,7.32,7.68,2496
2008-01-02 00:00:00+05:30,8.06,8.06,8.06,8.06,601
2008-01-03 00:00:00+05:30,8.46,8.46,8.46,8.46,795
2008-01-04 00:00:00+05:30,8.88,8.88,8.88,8.88,601
2008-01-07 00:00:00+05:30,9.32,9.32,9.32,9.32,1477
2008-01-08 00:00:00+05:30,9.77,9.77,8.9,9.11,16920
2008-01-09 00:00:00+05:30,9.49,9.57,9.25,9.57,3963
2008-01-10 00:00:00+05:30,10.03,10.03,10.03,10.03,650
2008-01-11 00:00:00+05:30,10.54,10.54,9.53,10.54,5210
2008-01-14 00:00:00+05:30,11.06,11.06,11.06,11.06,8850
2008-01-15 00:00:00+05:30,11.61,11.61,11.61,11.61,2000
2008-01-16 00:00:00+05:30,12.19,12.19,12.19,12.19,2550
2008-01-17 00:00:00+05:30,12.79,12.79,12.79,12.79,1675
2008-01-18 00:00:00+05:30,13.42,13.42,12.16,12.16,9015
2008-01-21 00:00:00+05:30,12.74,12.76,12.74,12.74,2300
2008-01-22 00:00:00+05:30,12.74,12.74,12.74,12.74,1
2008-01-24 00:00:00+05:30,12.5,12.5,12.5,12.5,288
2008-01-25 00:00:00+05:30,11.88,11.88,11.88,11.88,200
2008-01-29 00:00:00+05:30,11.29,11.29,11.29,11.29,745
2008-02-07 00:00:00+05:30,11.0,11.73,10.73,10.73,600
2008-02-14 00:00:00+05:30,10.19,10.19,10.19,10.19,151
2008-02-15 00:00:00+05:30,9.69,9.69,9.69,9.69,100
2008-02-18 00:00:00+05:30,9.22,9.22,9.22,9.22,100
2008-02-19 00:00:00+05:30,8.76,8.76,8.76,8.76,100
2008-02-20 00:00:00+05:30,8.33,8.33,8.33,8.33,601
2008-02-22 00:00:00+05:30,8.0,8.0,8.0,8.0,500
2008-02-25 00:00:00+05:30,7.61,7.61,7.61,7.61,100
2008-02-26 00:00:00+05:30,7.23,7.23,7.23,7.23,275
2008-02-27 00:00:00+05:30,6.87,6.87,6.87,6.87,660
2008-02-28 00:00:00+05:30,6.53,6.53,6.53,6.53,800
2008-02-29 00:00:00+05:30,6.21,6.21,6.21,6.21,150
2008-03-04 00:00:00+05:30,5.9,5.9,5.9,5.9,100
2008-03-05 00:00:00+05:30,5.61,6.19,5.61,6.19,1002
2008-03-11 00:00:00+05:30,5.89,5.89,5.89,5.89,1
2008-03-12 00:00:00+05:30,5.61,5.61,5.61,5.61,1
2008-03-13 00:00:00+05:30,5.35,5.35,5.33,5.33,1500
2008-03-14 00:00:00+05:30,5.07,5.07,5.07,5.07,5
2008-03-26 00:00:00+05:30,4.84,4.84,4.82,4.84,15
2008-03-27 00:00:00+05:30,4.75,4.75,4.75,4.75,450
2008-04-10 00:00:00+05:30,4.98,4.98,4.98,4.98,191
2008-04-11 00:00:00+05:30,5.22,5.22,5.22,5.22,300
2008-04-15 00:00:00+05:30,5.0,5.0,5.0,5.0,26
2008-04-16 00:00:00+05:30,5.25,5.25,5.25,5.25,25
2008-04-22 00:00:00+05:30,4.99,5.51,4.99,5.51,35
2008-04-23 00:00:00+05:30,5.24,5.24,5.24,5.24,15
2008-04-30 00:00:00+05:30,5.5,5.5,5.5,5.5,25
2008-05-13 00:00:00+05:30,5.77,5.77,5.77,5.77,100
2008-05-26 00:00:00+05:30,5.49,5.49,5.49,5.49,25
2008-06-03 00:00:00+05:30,5.76,5.76,5.76,5.76,10
2008-06-05 00:00:00+05:30,5.55,5.55,5.55,5.55,4917
2008-06-06 00:00:00+05:30,5.8,5.8,5.8,5.8,100
2008-06-10 00:00:00+05:30,5.8,5.8,5.8,5.8,500
2008-06-20 00:00:00+05:30,5.52,5.52,5.52,5.52,4576
2008-06-27 00:00:00+05:30,5.52,5.79,5.52,5.79,2
2008-07-01 00:00:00+05:30,6.0,6.0,6.0,6.0,1
2008-07-02 00:00:00+05:30,6.0,6.0,5.71,6.0,644
2008-07-08 00:00:00+05:30,5.71,6.3,5.71,6.3,449
2008-07-09 00:00:00+05:30,6.0,6.61,6.0,6.61,400
2008-07-10 00:00:00+05:30,6.94,6.94,6.94,6.94,3500
2008-07-21 00:00:00+05:30,7.28,7.28,7.28,7.28,1
2008-07-22 00:00:00+05:30,7.28,7.64,7.28,7.64,11
2008-07-23 00:00:00+05:30,8.02,8.02,8.0,8.0,2
2008-07-25 00:00:00+05:30,8.4,8.4,8.39,8.39,2
2008-07-28 00:00:00+05:30,8.8,8.8,8.8,8.8,511
2008-07-29 00:00:00+05:30,8.4,9.24,8.4,9.23,207
2008-08-01 00:00:00+05:30,8.77,8.77,8.77,8.77,100
2008-08-04 00:00:00+05:30,8.34,8.34,8.34,8.34,6
2008-08-08 00:00:00+05:30,8.75,8.75,7.93,7.93,526
2008-08-11 00:00:00+05:30,7.54,7.54,7.54,7.54,128
2008-08-12 00:00:00+05:30,7.17,7.17,7.17,7.17,1000
2008-08-13 00:00:00+05:30,6.82,6.82,6.82,6.82,525
2008-08-21 00:00:00+05:30,6.48,6.48,6.48,6.48,100
2008-08-28 00:00:00+05:30,6.16,6.16,6.16,6.16,50
2008-09-01 00:00:00+05:30,5.86,5.86,5.86,5.86,100
2008-09-02 00:00:00+05:30,5.57,5.57,5.57,5.57,500
2008-09-09 00:00:00+05:30,5.3,5.3,5.3,5.3,10
2008-09-10 00:00:00+05:30,5.56,5.56,5.56,5.56,200
2008-09-11 00:00:00+05:30,5.83,5.83,5.83,5.83,100
2008-09-12 00:00:00+05:30,5.54,5.54,5.54,5.54,925
2008-09-23 00:00:00+05:30,5.27,5.27,5.27,5.27,1325
2008-09-24 00:00:00+05:30,5.01,5.01,5.01,5.01,675
2008-09-29 00:00:00+05:30,4.76,4.76,4.76,4.76,14500
2008-09-30 00:00:00+05:30,4.53,4.54,4.53,4.53,14625
2008-10-06 00:00:00+05:30,4.3,4.3,4.3,4.3,50
2008-10-08 00:00:00+05:30,4.09,4.09,4.09,4.09,50
2008-10-10 00:00:00+05:30,3.9,3.9,3.9,3.9,10
2008-11-06 00:00:00+05:30,4.0,4.0,4.0,4.0,94
2009-01-07 00:00:00+05:30,3.81,3.81,3.81,3.81,100
2009-01-29 00:00:00+05:30,4.0,4.0,4.0,4.0,703
2009-01-30 00:00:00+05:30,3.81,3.81,3.81,3.81,50
2009-02-04 00:00:00+05:30,3.62,3.62,3.62,3.62,100
2009-04-17 00:00:00+05:30,3.44,3.44,3.44,3.44,25
2009-04-22 00:00:00+05:30,3.61,3.61,3.61,3.61,2200
2009-04-23 00:00:00+05:30,3.49,3.49,3.49,3.49,400
2009-04-27 00:00:00+05:30,3.66,3.66,3.66,3.66,1200
2009-05-22 00:00:00+05:30,3.84,3.84,3.84,3.84,200
2009-05-25 00:00:00+05:30,4.0,4.0,4.0,4.0,100
2009-05-27 00:00:00+05:30,4.2,4.2,4.2,4.2,200
2009-05-28 00:00:00+05:30,4.4,4.4,4.4,4.4,400
2009-05-29 00:00:00+05:30,4.59,4.59,4.59,4.59,400
2009-06-01 00:00:00+05:30,4.83,4.83,4.83,4.83,100
2009-06-02 00:00:00+05:30,5.05,5.05,5.05,5.05,400
2009-06-03 00:00:00+05:30,5.3,5.3,5.3,5.3,9
2009-06-05 00:00:00+05:30,5.55,5.55,5.55,5.55,200
2009-06-08 00:00:00+05:30,5.8,5.8,5.8,5.8,300
2009-06-09 00:00:00+05:30,6.09,6.09,6.09,6.09,100
2009-07-02 00:00:00+05:30,4.88,4.88,4.88,4.88,200
2009-07-03 00:00:00+05:30,5.12,5.12,4.63,4.63,1300
2009-07-09 00:00:00+05:30,4.59,4.59,4.41,4.42,100
2009-07-15 00:00:00+05:30,4.2,4.2,4.2,4.2,125
2009-07-16 00:00:00+05:30,4.0,4.0,4.0,4.0,19
2009-07-17 00:00:00+05:30,3.81,3.81,3.81,3.81,150
2009-07-21 00:00:00+05:30,4.0,4.0,4.0,4.0,75
2009-07-22 00:00:00+05:30,4.0,4.0,4.0,4.0,72
2009-07-28 00:00:00+05:30,3.82,3.82,3.82,3.82,406
2009-08-03 00:00:00+05:30,3.63,3.64,3.63,3.64,500
2009-08-04 00:00:00+05:30,3.6,3.6,3.6,3.6,100
2009-08-18 00:00:00+05:30,3.43,3.43,3.43,3.43,210
2009-08-27 00:00:00+05:30,3.78,3.78,3.78,3.78,150
