date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,10.34,10.85,9.9,10.7,81340
2008-01-02 00:00:00+05:30,11.2,11.23,10.25,11.23,84708
2008-01-03 00:00:00+05:30,11.0,11.79,10.85,11.79,61945
2008-01-04 00:00:00+05:30,11.9,12.37,11.45,12.32,90194
2008-01-07 00:00:00+05:30,12.93,12.93,12.5,12.93,38691
2008-01-08 00:00:00+05:30,13.57,13.57,12.29,12.29,84275
2008-01-09 00:00:00+05:30,11.68,12.9,11.68,11.81,67226
2008-01-10 00:00:00+05:30,11.81,11.81,11.22,11.22,21892
2008-01-11 00:00:00+05:30,10.66,11.0,10.66,10.66,3575
2008-01-14 00:00:00+05:30,10.13,10.19,10.13,10.13,18475
2008-01-15 00:00:00+05:30,10.19,10.63,9.63,9.99,13035
2008-01-16 00:00:00+05:30,10.3,10.4,9.5,9.5,3700
2008-01-17 00:00:00+05:30,9.02,9.97,9.02,9.48,14736
2008-01-18 00:00:00+05:30,9.01,9.88,9.01,9.01,7126
2008-01-21 00:00:00+05:30,9.0,9.0,8.56,8.56,550
2008-01-22 00:00:00+05:30,8.97,8.97,8.14,8.14,1101
2008-01-23 00:00:00+05:30,8.14,8.14,7.74,7.74,10555
2008-01-24 00:00:00+05:30,7.45,7.5,7.36,7.45,4587
2008-01-25 00:00:00+05:30,7.08,7.08,7.08,7.08,8270
2008-01-28 00:00:00+05:30,6.73,6.73,6.73,6.73,3450
2008-01-29 00:00:00+05:30,6.5,7.06,6.4,6.46,17730
2008-01-30 00:00:00+05:30,6.7,6.7,6.14,6.14,8675
2008-01-31 00:00:00+05:30,5.84,6.3,5.84,5.86,3178
2008-02-01 00:00:00+05:30,5.86,6.0,5.57,5.75,5555
2008-02-04 00:00:00+05:30,5.47,6.03,5.47,6.03,4930
2008-02-05 00:00:00+05:30,6.05,6.33,5.78,6.33,2000
2008-02-06 00:00:00+05:30,6.25,6.64,6.25,6.64,6552
2008-02-07 00:00:00+05:30,6.97,6.97,6.97,6.97,3151
2008-02-08 00:00:00+05:30,7.31,7.31,6.63,6.63,1134
2008-02-11 00:00:00+05:30,6.36,6.89,6.3,6.3,4525
2008-02-12 00:00:00+05:30,6.0,6.61,6.0,6.61,4192
2008-02-13 00:00:00+05:30,6.92,6.94,6.36,6.88,8543
2008-02-14 00:00:00+05:30,6.55,7.04,6.54,6.73,18259
2008-02-15 00:00:00+05:30,6.4,7.04,6.4,7.03,9413
2008-02-18 00:00:00+05:30,6.7,7.38,6.7,7.38,6305
2008-02-19 00:00:00+05:30,7.45,7.73,7.02,7.02,9501
2008-02-20 00:00:00+05:30,7.37,7.37,6.8,6.8,2781
2008-02-21 00:00:00+05:30,6.55,7.14,6.55,7.06,1575
2008-02-22 00:00:00+05:30,6.9,6.91,6.9,6.91,955
2008-02-25 00:00:00+05:30,7.25,7.25,6.66,6.66,14162
2008-02-26 00:00:00+05:30,6.66,6.99,6.66,6.82,3428
2008-02-27 00:00:00+05:30,6.9,7.16,6.81,6.82,8539
2008-02-28 00:00:00+05:30,6.54,6.98,6.51,6.98,3600
2008-02-29 00:00:00+05:30,6.69,7.0,6.69,7.0,2584
2008-03-03 00:00:00+05:30,6.7,7.0,6.7,6.72,5400
2008-03-04 00:00:00+05:30,6.61,7.0,6.46,7.0,3507
2008-03-05 00:00:00+05:30,6.78,7.15,6.78,6.8,4270
2008-03-07 00:00:00+05:30,6.49,7.08,6.49,6.69,8124
2008-03-10 00:00:00+05:30,6.36,7.0,6.36,6.47,15298
2008-03-11 00:00:00+05:30,6.52,6.79,6.52,6.78,5525
2008-03-12 00:00:00+05:30,6.9,7.08,6.9,6.92,6771
2008-03-13 00:00:00+05:30,6.7,7.16,6.6,6.72,24045
2008-03-14 00:00:00+05:30,6.44,7.05,6.44,7.0,10375
2008-03-17 00:00:00+05:30,6.71,7.01,6.71,7.01,13275
2008-03-18 00:00:00+05:30,6.69,7.36,6.69,7.27,19505
2008-03-19 00:00:00+05:30,7.0,7.53,7.0,7.2,10031
2008-03-24 00:00:00+05:30,7.0,7.56,6.86,7.36,15380
2008-03-25 00:00:00+05:30,7.71,7.71,7.22,7.35,5128
2008-03-26 00:00:00+05:30,7.15,7.58,7.15,7.55,1035
2008-03-27 00:00:00+05:30,7.32,7.32,7.32,7.32,17630
2008-03-28 00:00:00+05:30,7.05,7.4,7.04,7.4,2375
2008-03-31 00:00:00+05:30,7.15,7.7,7.15,7.35,458
2008-04-01 00:00:00+05:30,7.35,7.71,7.05,7.68,7230
2008-04-02 00:00:00+05:30,7.36,8.06,7.35,8.06,1960
2008-04-03 00:00:00+05:30,7.7,7.75,7.7,7.75,1500
2008-04-04 00:00:00+05:30,7.46,7.62,7.46,7.62,400
2008-04-07 00:00:00+05:30,7.45,8.0,7.45,8.0,2350
2008-04-08 00:00:00+05:30,8.0,8.4,7.76,7.84,900
2008-04-09 00:00:00+05:30,7.45,8.0,7.45,7.85,4696
2008-04-10 00:00:00+05:30,7.5,8.0,7.46,7.92,12275
2008-04-11 00:00:00+05:30,7.62,8.03,7.61,8.02,2407
2008-04-15 00:00:00+05:30,8.43,8.43,7.71,7.76,4551
2008-04-16 00:00:00+05:30,7.99,8.14,7.55,7.91,5353
2008-04-17 00:00:00+05:30,8.05,8.3,8.0,8.3,3184
2008-04-21 00:00:00+05:30,7.91,8.15,7.89,7.89,2126
2008-04-22 00:00:00+05:30,7.55,7.99,7.5,7.5,6504
2008-04-23 00:00:00+05:30,7.3,7.85,7.13,7.29,5950
2008-04-24 00:00:00+05:30,7.03,7.65,7.02,7.65,3025
2008-04-25 00:00:00+05:30,8.02,8.02,7.38,7.88,601
2008-04-28 00:00:00+05:30,7.55,8.07,7.5,8.0,4482
2008-04-29 00:00:00+05:30,8.39,8.39,7.7,8.05,1929
2008-04-30 00:00:00+05:30,8.34,8.34,7.8,8.0,1676
2008-05-02 00:00:00+05:30,7.7,7.99,7.61,7.8,1852
2008-05-05 00:00:00+05:30,7.52,8.19,7.51,8.14,3822
2008-05-06 00:00:00+05:30,8.02,8.02,7.75,7.75,28616
2008-05-07 00:00:00+05:30,7.5,7.93,7.37,7.7,4416
2008-05-08 00:00:00+05:30,8.03,8.03,7.32,7.53,735
2008-05-09 00:00:00+05:30,7.21,7.26,7.16,7.16,2005
2008-05-12 00:00:00+05:30,6.82,6.82,6.81,6.81,6915
2008-05-13 00:00:00+05:30,6.51,6.99,6.51,6.99,1226
2008-05-14 00:00:00+05:30,6.65,7.25,6.65,6.96,1687
2008-05-15 00:00:00+05:30,6.7,7.3,6.62,6.76,4302
2008-05-16 00:00:00+05:30,6.6,7.0,6.5,6.65,2775
2008-05-20 00:00:00+05:30,6.36,6.8,6.36,6.61,3850
2008-05-21 00:00:00+05:30,6.82,6.85,6.5,6.82,2165
2008-05-22 00:00:00+05:30,6.5,7.08,6.5,6.99,1101
2008-05-23 00:00:00+05:30,6.75,7.33,6.75,7.14,3403
2008-05-26 00:00:00+05:30,7.0,7.1,6.9,6.9,1615
2008-05-27 00:00:00+05:30,6.62,6.63,6.62,6.62,294
2008-05-28 00:00:00+05:30,6.3,6.69,6.3,6.34,2501
2008-05-29 00:00:00+05:30,6.1,6.65,6.1,6.2,1205
2008-05-30 00:00:00+05:30,6.0,6.5,5.95,6.0,1910
2008-06-02 00:00:00+05:30,5.96,5.96,5.75,5.81,14720
2008-06-03 00:00:00+05:30,5.53,5.8,5.52,5.6,1980
2008-06-04 00:00:00+05:30,5.51,5.76,5.33,5.33,4326
2008-06-05 00:00:00+05:30,5.07,5.47,5.07,5.25,2756
2008-06-06 00:00:00+05:30,5.03,5.44,5.03,5.38,796
2008-06-09 00:00:00+05:30,5.3,5.3,5.12,5.15,690
2008-06-10 00:00:00+05:30,5.0,5.36,5.0,5.36,360
2008-06-11 00:00:00+05:30,5.4,5.4,5.15,5.15,400
2008-06-12 00:00:00+05:30,5.15,5.4,4.9,5.36,2673
2008-06-13 00:00:00+05:30,5.11,5.53,5.09,5.5,1200
2008-06-16 00:00:00+05:30,5.3,5.3,5.3,5.3,500
2008-06-17 00:00:00+05:30,5.5,5.5,5.3,5.39,1800
2008-06-18 00:00:00+05:30,5.64,5.65,5.17,5.17,1362
2008-06-19 00:00:00+05:30,4.97,5.28,4.96,5.19,5725
2008-06-20 00:00:00+05:30,5.15,5.43,5.09,5.11,5996
2008-06-23 00:00:00+05:30,4.92,5.24,4.91,4.91,1451
2008-06-24 00:00:00+05:30,4.71,4.97,4.71,4.75,1900
2008-06-26 00:00:00+05:30,4.7,4.84,4.65,4.82,3049
2008-06-27 00:00:00+05:30,4.9,5.05,4.7,5.05,1501
2008-06-30 00:00:00+05:30,4.9,5.13,4.8,4.8,1351
2008-07-01 00:00:00+05:30,4.96,4.96,4.75,4.75,26
2008-07-02 00:00:00+05:30,4.55,4.9,4.55,4.55,5565
2008-07-03 00:00:00+05:30,4.51,4.51,4.33,4.34,1660
2008-07-04 00:00:00+05:30,4.3,4.5,4.3,4.3,3322
2008-07-07 00:00:00+05:30,4.3,4.74,4.3,4.5,3919
2008-07-08 00:00:00+05:30,4.2,4.5,4.12,4.21,785
2008-07-09 00:00:00+05:30,4.24,4.4,4.23,4.25,800
2008-07-10 00:00:00+05:30,4.0,4.67,4.0,4.4,663
2008-07-11 00:00:00+05:30,4.51,4.7,4.4,4.4,3851
2008-07-14 00:00:00+05:30,4.15,4.44,4.01,4.19,4064
2008-07-15 00:00:00+05:30,4.16,4.16,4.01,4.05,1200
2008-07-16 00:00:00+05:30,4.42,4.42,3.9,3.94,6450
2008-07-17 00:00:00+05:30,4.0,4.09,3.78,3.83,3874
2008-07-18 00:00:00+05:30,3.83,3.83,3.83,3.83,200
2008-07-21 00:00:00+05:30,3.95,4.21,3.95,4.21,2164
2008-07-22 00:00:00+05:30,3.97,4.44,3.97,4.17,1300
2008-07-23 00:00:00+05:30,4.55,4.58,4.38,4.57,4190
2008-07-24 00:00:00+05:30,4.34,4.79,4.34,4.5,2300
2008-07-25 00:00:00+05:30,4.55,4.69,4.55,4.55,1940
2008-07-28 00:00:00+05:30,4.4,4.84,4.4,4.65,2220
2008-07-29 00:00:00+05:30,4.7,5.0,4.55,4.65,5072
2008-07-30 00:00:00+05:30,4.99,5.11,4.8,5.11,3903
2008-07-31 00:00:00+05:30,4.65,5.15,4.61,5.01,3010
2008-08-01 00:00:00+05:30,4.95,5.51,4.78,5.41,5370
2008-08-04 00:00:00+05:30,5.95,5.95,5.95,5.95,2056
2008-08-05 00:00:00+05:30,6.24,6.24,6.24,6.24,4324
2008-08-06 00:00:00+05:30,5.95,6.55,5.95,6.55,16123
2008-08-07 00:00:00+05:30,6.23,6.85,6.23,6.62,12460
2008-08-08 00:00:00+05:30,6.3,6.31,6.29,6.29,4994
2008-08-11 00:00:00+05:30,6.1,6.49,5.98,6.41,4075
2008-08-12 00:00:00+05:30,6.09,6.4,6.09,6.38,1700
2008-08-13 00:00:00+05:30,6.14,6.69,6.11,6.44,2416
2008-08-14 00:00:00+05:30,6.12,6.43,6.12,6.12,302
2008-08-18 00:00:00+05:30,6.11,6.11,5.86,5.87,1000
2008-08-19 00:00:00+05:30,5.95,5.95,5.61,5.8,2775
2008-08-20 00:00:00+05:30,5.8,5.8,5.65,5.74,2751
2008-08-21 00:00:00+05:30,5.51,6.0,5.46,5.5,1774
2008-08-22 00:00:00+05:30,5.23,5.28,5.23,5.28,1262
2008-08-25 00:00:00+05:30,5.54,5.54,5.09,5.25,3083
2008-08-26 00:00:00+05:30,5.09,5.5,5.05,5.13,1576
2008-08-27 00:00:00+05:30,5.0,5.33,4.96,5.09,789
2008-08-28 00:00:00+05:30,5.31,5.34,4.84,4.84,2250
2008-08-29 00:00:00+05:30,4.8,5.09,4.8,4.9,900
2008-09-01 00:00:00+05:30,4.7,5.14,4.7,5.13,1251
2008-09-02 00:00:00+05:30,5.38,5.38,5.05,5.35,1764
2008-09-04 00:00:00+05:30,5.15,5.61,5.15,5.57,881
2008-09-05 00:00:00+05:30,5.3,5.5,5.3,5.3,302
2008-09-08 00:00:00+05:30,5.4,5.4,5.12,5.39,1650
2008-09-09 00:00:00+05:30,5.61,5.61,5.13,5.15,650
2008-09-10 00:00:00+05:30,4.92,5.4,4.92,4.97,834
2008-09-11 00:00:00+05:30,4.88,5.0,4.82,4.84,3450
2008-09-12 00:00:00+05:30,5.09,5.09,4.7,4.76,2565
2008-09-15 00:00:00+05:30,4.95,4.95,4.54,4.54,2999
2008-09-16 00:00:00+05:30,4.32,4.75,4.32,4.75,4105
2008-09-17 00:00:00+05:30,4.55,4.9,4.51,4.51,1846
2008-09-18 00:00:00+05:30,4.3,4.3,4.3,4.3,2934
2008-09-19 00:00:00+05:30,4.09,4.51,4.09,4.51,1862
2008-09-22 00:00:00+05:30,4.72,4.72,4.29,4.63,2940
2008-09-23 00:00:00+05:30,4.4,4.82,4.4,4.82,1598
2008-09-24 00:00:00+05:30,4.58,4.58,4.58,4.58,3025
2008-09-25 00:00:00+05:30,4.78,4.78,4.37,4.37,1725
2008-09-26 00:00:00+05:30,4.16,4.5,4.16,4.17,4248
2008-09-29 00:00:00+05:30,4.0,4.09,3.97,4.0,2455
2008-09-30 00:00:00+05:30,4.0,4.2,3.81,3.91,3500
2008-10-01 00:00:00+05:30,3.72,4.01,3.72,4.01,3815
2008-10-03 00:00:00+05:30,4.0,4.0,3.81,3.82,2601
2008-10-06 00:00:00+05:30,3.8,4.0,3.65,3.67,2490
2008-10-07 00:00:00+05:30,3.52,3.83,3.52,3.83,201
2008-10-08 00:00:00+05:30,3.65,3.65,3.65,3.65,20
2008-10-10 00:00:00+05:30,3.5,3.5,3.5,3.5,875
2008-10-13 00:00:00+05:30,3.46,3.67,3.46,3.55,1699
2008-10-14 00:00:00+05:30,3.7,3.7,3.55,3.68,2525
2008-10-15 00:00:00+05:30,3.5,3.5,3.5,3.5,60
2008-10-16 00:00:00+05:30,3.33,3.33,3.33,3.33,4202
2008-10-17 00:00:00+05:30,3.17,3.17,3.17,3.17,100
2008-10-20 00:00:00+05:30,3.05,3.05,3.02,3.02,420
2008-10-21 00:00:00+05:30,3.1,3.1,2.87,2.9,11975
2008-10-22 00:00:00+05:30,3.04,3.04,2.76,2.76,4429
2008-10-23 00:00:00+05:30,2.76,2.76,2.65,2.67,3715
2008-10-24 00:00:00+05:30,2.65,2.79,2.6,2.76,5000
2008-10-27 00:00:00+05:30,2.75,2.75,2.63,2.63,325
2008-10-28 00:00:00+05:30,2.5,2.5,2.5,2.5,100
2008-10-29 00:00:00+05:30,2.41,2.62,2.41,2.41,3025
2008-10-31 00:00:00+05:30,2.5,2.52,2.29,2.52,10226
2008-11-03 00:00:00+05:30,2.46,2.65,2.46,2.65,6116
2008-11-04 00:00:00+05:30,2.75,2.78,2.52,2.78,6060
2008-11-05 00:00:00+05:30,2.85,2.91,2.7,2.87,14050
2008-11-06 00:00:00+05:30,3.0,3.0,3.0,3.0,4423
2008-11-07 00:00:00+05:30,3.0,3.15,2.87,2.96,1424
2008-11-10 00:00:00+05:30,2.87,3.0,2.87,3.0,975
2008-11-11 00:00:00+05:30,3.0,3.15,3.0,3.15,4163
2008-11-12 00:00:00+05:30,3.2,3.29,3.1,3.12,3470
2008-11-17 00:00:00+05:30,3.0,3.0,3.0,3.0,37
2008-11-18 00:00:00+05:30,3.0,3.0,2.9,2.9,507
2008-11-19 00:00:00+05:30,3.0,3.0,2.81,2.91,1856
2008-11-20 00:00:00+05:30,2.78,3.05,2.78,3.04,150
2008-11-21 00:00:00+05:30,3.0,3.18,2.91,2.91,157
2008-11-24 00:00:00+05:30,3.0,3.05,2.81,2.84,949
2008-11-25 00:00:00+05:30,2.74,2.98,2.73,2.78,5001
2008-11-26 00:00:00+05:30,2.91,2.91,2.84,2.84,3002
2008-12-01 00:00:00+05:30,2.98,2.98,2.9,2.9,1200
2008-12-02 00:00:00+05:30,3.0,3.0,2.88,2.91,3816
2008-12-03 00:00:00+05:30,3.0,3.05,3.0,3.05,7716
2008-12-04 00:00:00+05:30,3.2,3.2,3.2,3.2,5202
2008-12-05 00:00:00+05:30,3.36,3.36,3.36,3.36,4142
2008-12-08 00:00:00+05:30,3.52,3.52,3.52,3.52,1873
2008-12-10 00:00:00+05:30,3.69,3.69,3.69,3.69,1315
2008-12-11 00:00:00+05:30,3.87,3.87,3.87,3.87,4530
2008-12-12 00:00:00+05:30,4.05,4.05,4.04,4.05,1535
2008-12-15 00:00:00+05:30,4.25,4.25,4.25,4.25,900
2008-12-16 00:00:00+05:30,4.46,4.46,4.46,4.46,311
2008-12-17 00:00:00+05:30,4.5,4.68,4.26,4.36,95353
2008-12-18 00:00:00+05:30,4.57,4.57,4.4,4.57,3200
2008-12-19 00:00:00+05:30,4.75,4.79,4.41,4.41,5000
2008-12-22 00:00:00+05:30,4.22,4.63,4.22,4.38,2286
2008-12-23 00:00:00+05:30,4.58,4.59,4.26,4.32,2039
2008-12-24 00:00:00+05:30,4.21,4.5,4.21,4.25,701
2008-12-26 00:00:00+05:30,4.45,4.46,4.34,4.38,3751
2008-12-29 00:00:00+05:30,4.59,4.59,4.2,4.59,7135
2008-12-30 00:00:00+05:30,4.75,4.8,4.55,4.55,1230
2008-12-31 00:00:00+05:30,4.78,4.78,4.51,4.78,2700
2009-01-01 00:00:00+05:30,5.0,5.01,4.7,5.01,1716
2009-01-02 00:00:00+05:30,5.0,5.26,4.9,5.11,2629
2009-01-05 00:00:00+05:30,5.0,5.36,5.0,5.36,5066
2009-01-06 00:00:00+05:30,5.6,5.62,5.6,5.62,5300
2009-01-07 00:00:00+05:30,5.7,5.9,5.35,5.9,11200
2009-01-09 00:00:00+05:30,5.65,6.19,5.61,5.92,22263
2009-01-12 00:00:00+05:30,6.0,6.21,5.82,6.17,16119
2009-01-13 00:00:00+05:30,5.87,6.47,5.87,6.47,14967
2009-01-14 00:00:00+05:30,6.79,6.79,6.56,6.79,4625
2009-01-15 00:00:00+05:30,7.0,7.12,6.5,6.98,12562
2009-01-16 00:00:00+05:30,7.0,7.32,7.0,7.17,12969
2009-01-19 00:00:00+05:30,7.0,7.52,7.0,7.39,14041
2009-01-20 00:00:00+05:30,7.72,7.75,7.25,7.75,19023
2009-01-21 00:00:00+05:30,7.5,8.13,7.45,8.05,20343
2009-01-22 00:00:00+05:30,8.19,8.44,7.76,8.36,16171
2009-01-23 00:00:00+05:30,8.77,8.77,7.96,8.77,25280
2009-01-27 00:00:00+05:30,9.21,9.21,9.21,9.21,11098
2009-01-28 00:00:00+05:30,9.67,9.67,9.4,9.51,14081
2009-01-29 00:00:00+05:30,9.9,9.98,9.21,9.89,31032
2009-01-30 00:00:00+05:30,9.9,10.38,9.6,10.38,20831
2009-02-02 00:00:00+05:30,10.79,10.85,9.86,10.49,17338
2009-02-03 00:00:00+05:30,10.65,10.65,10.0,10.0,25805
2009-02-04 00:00:00+05:30,9.52,10.0,9.51,9.51,32608
2009-02-05 00:00:00+05:30,9.5,9.98,9.05,9.05,14450
2009-02-06 00:00:00+05:30,9.0,9.0,8.6,8.6,8126
2009-02-09 00:00:00+05:30,8.26,8.83,8.21,8.31,2103
2009-02-10 00:00:00+05:30,8.0,8.69,7.98,8.5,5557
2009-02-11 00:00:00+05:30,8.3,8.49,8.25,8.35,15275
2009-02-12 00:00:00+05:30,8.05,8.05,8.0,8.03,2300
2009-02-13 00:00:00+05:30,8.0,8.0,7.64,7.64,5310
2009-02-17 00:00:00+05:30,7.36,7.7,7.35,7.5,7495
2009-02-18 00:00:00+05:30,7.8,7.8,7.32,7.33,2753
2009-02-19 00:00:00+05:30,7.5,7.69,7.05,7.35,2326
2009-02-20 00:00:00+05:30,7.65,7.71,7.5,7.71,3989
2009-02-24 00:00:00+05:30,7.36,8.09,7.36,8.0,4475
2009-02-25 00:00:00+05:30,8.4,8.4,8.4,8.4,2500
2009-02-26 00:00:00+05:30,8.5,8.82,8.5,8.82,2200
2009-02-27 00:00:00+05:30,9.26,9.26,9.26,9.26,4625
2009-03-02 00:00:00+05:30,9.69,9.72,9.69,9.72,28733
2009-03-03 00:00:00+05:30,10.0,10.19,9.26,10.19,34993
2009-03-04 00:00:00+05:30,10.7,10.71,10.7,10.71,19092
2009-03-05 00:00:00+05:30,10.25,11.24,10.18,11.2,64097
2009-03-06 00:00:00+05:30,11.7,11.76,11.0,11.76,67842
2009-03-09 00:00:00+05:30,12.0,12.34,11.88,12.34,45550
2009-03-12 00:00:00+05:30,12.8,12.95,11.73,11.73,9294
2009-03-13 00:00:00+05:30,11.2,11.2,11.15,11.15,1850
2009-03-16 00:00:00+05:30,10.6,10.6,10.6,10.6,1550
2009-03-18 00:00:00+05:30,9.58,9.58,9.58,9.58,2645
2009-03-19 00:00:00+05:30,9.11,9.39,9.11,9.11,9637
2009-03-20 00:00:00+05:30,8.66,9.55,8.66,8.69,6354
2009-03-23 00:00:00+05:30,8.33,9.05,8.33,8.68,6950
2009-03-24 00:00:00+05:30,8.75,8.94,8.25,8.6,3475
