date,open,high,low,close,volume
2003-01-01 00:00:00+05:30,11.45,11.6,11.45,11.53,21239
2003-01-02 00:00:00+05:30,11.4,11.5,11.38,11.48,2299
2003-01-03 00:00:00+05:30,11.5,12.38,11.5,12.06,498599
2003-01-06 00:00:00+05:30,12.15,12.75,12.12,12.59,342159
2003-01-07 00:00:00+05:30,12.85,12.9,12.5,12.6,338019
2003-01-08 00:00:00+05:30,12.58,12.74,12.52,12.64,111139
2003-01-09 00:00:00+05:30,12.68,12.68,12.56,12.58,50659
2003-01-10 00:00:00+05:30,12.6,12.64,12.56,12.56,62079
2003-01-13 00:00:00+05:30,12.9,12.9,12.45,12.51,29999
2003-01-14 00:00:00+05:30,12.53,12.65,12.53,12.61,17799
2003-01-15 00:00:00+05:30,12.74,12.74,12.4,12.47,23019
2003-01-16 00:00:00+05:30,12.55,12.64,12.41,12.44,42019
2003-01-17 00:00:00+05:30,12.55,12.65,12.45,12.59,30859
2003-01-20 00:00:00+05:30,12.5,12.7,12.5,12.68,42539
2003-01-21 00:00:00+05:30,12.6,13.24,12.6,13.06,229639
2003-01-22 00:00:00+05:30,13.1,13.1,12.45,12.49,214019
2003-01-23 00:00:00+05:30,12.28,12.5,12.11,12.39,94559
2003-01-24 00:00:00+05:30,12.55,12.55,12.3,12.32,49639
2003-01-27 00:00:00+05:30,12.29,12.29,12.15,12.19,64779
2003-01-28 00:00:00+05:30,12.24,12.24,12.06,12.11,32439
2003-01-29 00:00:00+05:30,12.1,12.18,12.0,12.05,40639
2003-01-30 00:00:00+05:30,12.27,12.27,12.0,12.0,14359
2003-01-31 00:00:00+05:30,12.0,12.19,12.0,12.12,27059
2003-02-03 00:00:00+05:30,12.0,12.09,12.0,12.06,32499
2003-02-04 00:00:00+05:30,12.05,12.35,12.0,12.23,238779
2003-02-05 00:00:00+05:30,12.09,12.22,12.09,12.1,188739
2003-02-06 00:00:00+05:30,12.22,12.22,12.0,12.15,235999
2003-02-07 00:00:00+05:30,12.07,12.2,12.06,12.06,232519
2003-02-10 00:00:00+05:30,12.05,12.06,12.0,12.02,273439
2003-02-11 00:00:00+05:30,12.19,12.19,11.96,11.98,152659
2003-02-12 00:00:00+05:30,11.97,12.12,11.95,12.0,150899
2003-02-14 00:00:00+05:30,11.95,11.95,11.75,11.79,38139
2003-02-17 00:00:00+05:30,11.57,11.75,11.57,11.6,18199
2003-02-18 00:00:00+05:30,11.75,11.75,11.4,11.4,30699
2003-02-19 00:00:00+05:30,11.6,11.6,11.26,11.37,233259
2003-02-20 00:00:00+05:30,11.33,11.45,11.3,11.39,9319
2003-02-21 00:00:00+05:30,11.35,11.43,11.3,11.38,10119
2003-02-24 00:00:00+05:30,11.6,12.05,11.3,11.43,37039
2003-02-25 00:00:00+05:30,11.32,11.55,11.25,11.51,50419
2003-02-26 00:00:00+05:30,11.31,11.51,11.31,11.36,18679
2003-02-27 00:00:00+05:30,11.41,11.49,11.1,11.21,45319
2003-02-28 00:00:00+05:30,11.3,11.37,11.11,11.26,27799
2003-03-03 00:00:00+05:30,11.44,11.44,10.77,10.81,98319
2003-03-04 00:00:00+05:30,10.95,10.97,10.79,10.8,31359
2003-03-05 00:00:00+05:30,10.95,10.95,10.65,10.68,25579
2003-03-06 00:00:00+05:30,10.62,10.88,10.6,10.76,30559
2003-03-07 00:00:00+05:30,10.9,11.0,10.7,10.91,37299
2003-03-10 00:00:00+05:30,10.75,10.92,10.75,10.86,4039
2003-03-11 00:00:00+05:30,10.75,11.18,10.72,11.03,22999
2003-03-12 00:00:00+05:30,11.03,11.03,11.0,11.0,10939
2003-03-13 00:00:00+05:30,11.05,11.27,11.0,11.21,44199
2003-03-17 00:00:00+05:30,11.2,11.2,10.78,10.78,35579
2003-03-19 00:00:00+05:30,10.8,10.9,10.75,10.76,10379
2003-03-20 00:00:00+05:30,10.75,10.94,10.53,10.72,31479
2003-03-21 00:00:00+05:30,10.8,11.09,10.8,10.99,33599
2003-03-24 00:00:00+05:30,10.85,10.9,10.8,10.83,15699
2003-03-25 00:00:00+05:30,10.6,10.8,10.6,10.73,83519
2003-03-26 00:00:00+05:30,10.74,10.75,10.43,10.48,26699
2003-03-27 00:00:00+05:30,10.52,10.75,10.51,10.69,13759
2003-03-28 00:00:00+05:30,11.0,11.04,10.8,10.84,54939
2003-03-31 00:00:00+05:30,10.89,11.04,10.61,10.97,30539
2003-04-01 00:00:00+05:30,10.85,11.04,10.85,10.99,13159
2003-04-02 00:00:00+05:30,11.32,11.32,10.96,10.96,2099
2003-04-03 00:00:00+05:30,11.0,11.14,10.97,11.14,5559
2003-04-04 00:00:00+05:30,11.11,11.11,10.9,10.93,3159
2003-04-07 00:00:00+05:30,10.95,11.38,10.93,11.14,26579
2003-04-08 00:00:00+05:30,11.05,11.3,11.0,11.14,9639
2003-04-09 00:00:00+05:30,11.05,11.69,11.05,11.46,45599
2003-04-10 00:00:00+05:30,11.27,11.5,11.25,11.42,46099
2003-04-11 00:00:00+05:30,11.3,11.5,11.25,11.46,23499
2003-04-15 00:00:00+05:30,11.25,12.25,11.25,11.35,47719
2003-04-16 00:00:00+05:30,11.3,11.6,11.3,11.59,10839
2003-04-17 00:00:00+05:30,11.3,11.6,11.3,11.59,44579
2003-04-21 00:00:00+05:30,11.5,11.55,11.41,11.41,6799
2003-04-22 00:00:00+05:30,11.45,11.57,11.3,11.3,7899
2003-04-23 00:00:00+05:30,11.33,11.34,11.25,11.25,19699
2003-04-24 00:00:00+05:30,10.75,11.35,10.75,11.3,10799
2003-04-25 00:00:00+05:30,11.25,11.3,11.13,11.18,18639
2003-04-28 00:00:00+05:30,11.01,11.35,11.01,11.17,7539
2003-04-29 00:00:00+05:30,11.15,11.29,11.15,11.15,599
2003-04-30 00:00:00+05:30,11.18,11.2,11.03,11.07,9399
2003-05-02 00:00:00+05:30,11.05,11.25,10.97,11.15,27019
2003-05-05 00:00:00+05:30,11.25,11.41,11.25,11.36,23139
2003-05-06 00:00:00+05:30,11.5,11.69,11.38,11.38,24639
2003-05-07 00:00:00+05:30,11.4,11.49,11.39,11.39,8019
2003-05-08 00:00:00+05:30,11.48,11.49,11.3,11.31,11159
2003-05-09 00:00:00+05:30,11.2,11.3,11.18,11.23,24399
2003-05-12 00:00:00+05:30,11.3,11.42,11.25,11.4,120759
2003-05-13 00:00:00+05:30,11.47,11.85,11.45,11.67,27759
2003-05-14 00:00:00+05:30,11.65,11.93,11.65,11.8,20419
2003-05-15 00:00:00+05:30,11.91,12.0,11.89,11.96,31339
2003-05-16 00:00:00+05:30,12.05,12.08,11.97,12.06,64299
2003-05-19 00:00:00+05:30,12.22,13.0,12.15,12.59,134219
2003-05-20 00:00:00+05:30,12.57,12.95,12.44,12.62,77059
2003-05-21 00:00:00+05:30,12.62,12.9,12.4,12.42,59319
2003-05-22 00:00:00+05:30,12.45,12.7,12.45,12.61,30139
2003-05-23 00:00:00+05:30,12.46,12.75,12.46,12.72,38019
2003-05-26 00:00:00+05:30,12.51,12.88,12.51,12.79,34559
2003-05-27 00:00:00+05:30,12.85,12.97,12.75,12.77,116239
2003-05-28 00:00:00+05:30,12.55,12.69,12.0,12.11,68459
2003-05-29 00:00:00+05:30,12.15,12.5,11.9,12.4,192679
2003-05-30 00:00:00+05:30,12.13,12.6,12.13,12.51,87039
2003-06-02 00:00:00+05:30,12.38,12.6,12.35,12.54,63299
2003-06-03 00:00:00+05:30,12.74,12.75,12.5,12.52,79559
2003-06-04 00:00:00+05:30,12.55,12.72,12.55,12.59,29019
2003-06-05 00:00:00+05:30,12.53,12.69,12.5,12.51,569159
2003-06-06 00:00:00+05:30,12.6,13.15,12.55,12.99,227459
2003-06-09 00:00:00+05:30,13.0,13.24,12.8,13.0,223379
2003-06-10 00:00:00+05:30,12.95,12.95,12.6,12.65,144099
2003-06-11 00:00:00+05:30,12.89,12.89,12.52,12.54,16399
2003-06-12 00:00:00+05:30,12.59,12.65,12.55,12.63,13299
2003-06-13 00:00:00+05:30,12.72,12.9,12.55,12.64,65779
2003-06-16 00:00:00+05:30,12.75,12.89,12.7,12.82,83059
2003-06-17 00:00:00+05:30,12.8,13.06,12.8,13.01,50179
2003-06-18 00:00:00+05:30,13.1,13.2,13.0,13.07,161899
2003-06-19 00:00:00+05:30,12.65,13.2,12.65,12.99,202919
2003-06-20 00:00:00+05:30,12.99,13.25,12.99,13.21,34139
2003-06-23 00:00:00+05:30,13.24,13.39,12.96,13.14,74999
2003-06-24 00:00:00+05:30,12.88,13.25,12.88,12.99,18979
2003-06-25 00:00:00+05:30,13.07,13.14,13.01,13.03,22579
2003-06-26 00:00:00+05:30,13.1,13.2,12.94,13.18,40559
2003-06-27 00:00:00+05:30,13.04,13.09,13.01,13.05,2799
