date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,9.0,9.1,8.45,8.7,752440
2008-01-02 00:00:00+05:30,8.9,8.9,8.0,8.5,590872
2008-01-03 00:00:00+05:30,8.75,8.9,8.25,8.4,651584
2008-01-04 00:00:00+05:30,8.5,9.2,8.25,8.4,593212
2008-01-07 00:00:00+05:30,8.25,8.5,8.1,8.2,421324
2008-01-08 00:00:00+05:30,8.5,8.5,7.4,7.6,308716
2008-01-09 00:00:00+05:30,7.4,7.4,6.9,7.2,505972
2008-01-10 00:00:00+05:30,7.0,7.4,6.8,6.9,225552
2008-01-11 00:00:00+05:30,6.9,7.25,6.75,7.15,223364
2008-01-14 00:00:00+05:30,7.25,7.3,7.0,7.2,174864
2008-01-15 00:00:00+05:30,7.45,7.9,7.3,7.4,227628
2008-01-16 00:00:00+05:30,7.3,7.35,7.0,7.05,134464
2008-01-17 00:00:00+05:30,7.2,7.5,7.05,7.4,159196
2008-01-18 00:00:00+05:30,7.4,7.4,6.65,6.75,357060
2008-01-21 00:00:00+05:30,7.1,7.1,6.1,6.1,332360
2008-01-22 00:00:00+05:30,5.5,5.75,5.5,5.65,60116
2008-01-23 00:00:00+05:30,5.5,6.2,5.1,5.5,166940
2008-01-24 00:00:00+05:30,6.0,6.0,5.05,5.2,116836
2008-01-25 00:00:00+05:30,5.05,5.4,5.0,5.4,91764
2008-01-28 00:00:00+05:30,5.4,5.7,5.4,5.7,88472
2008-01-29 00:00:00+05:30,6.0,6.0,5.75,5.85,115408
2008-01-30 00:00:00+05:30,6.15,6.15,5.6,5.65,109048
2008-01-31 00:00:00+05:30,5.9,5.9,5.4,5.65,78504
2008-02-01 00:00:00+05:30,5.85,5.9,5.6,5.85,85460
2008-02-04 00:00:00+05:30,6.05,6.1,5.9,6.1,124732
2008-02-05 00:00:00+05:30,6.25,6.4,6.0,6.4,343964
2008-02-06 00:00:00+05:30,6.3,6.7,6.1,6.7,577748
2008-02-07 00:00:00+05:30,6.9,7.05,6.75,7.05,633156
2008-02-08 00:00:00+05:30,6.75,7.3,6.7,6.7,74728
2008-02-11 00:00:00+05:30,7.0,7.0,6.4,6.4,51340
2008-02-12 00:00:00+05:30,6.65,6.65,6.05,6.05,72052
2008-02-13 00:00:00+05:30,5.75,6.25,5.75,5.75,127388
2008-02-14 00:00:00+05:30,6.05,6.05,5.6,5.9,185036
2008-02-15 00:00:00+05:30,5.75,6.0,5.7,5.9,76540
2008-02-18 00:00:00+05:30,6.1,6.1,5.9,6.1,131692
2008-02-19 00:00:00+05:30,6.35,6.35,6.0,6.0,53832
2008-02-20 00:00:00+05:30,6.2,6.2,5.7,5.7,137124
2008-02-21 00:00:00+05:30,6.0,6.0,5.75,5.8,56952
2008-02-22 00:00:00+05:30,5.7,5.8,5.6,5.7,48732
2008-02-25 00:00:00+05:30,5.8,5.9,5.7,5.8,49980
2008-02-26 00:00:00+05:30,6.1,6.1,5.75,5.8,20448
2008-02-27 00:00:00+05:30,6.0,6.05,5.8,5.95,97524
2008-02-28 00:00:00+05:30,6.05,6.05,5.75,5.8,61860
2008-02-29 00:00:00+05:30,6.0,6.0,5.6,5.75,40148
2008-03-03 00:00:00+05:30,5.95,5.95,5.5,5.6,34244
2008-03-04 00:00:00+05:30,5.85,5.85,5.3,5.5,63252
2008-03-05 00:00:00+05:30,5.65,5.65,5.3,5.5,94204
2008-03-07 00:00:00+05:30,5.25,5.8,5.25,5.25,193580
2008-03-10 00:00:00+05:30,5.0,5.0,4.7,5.0,205192
2008-03-11 00:00:00+05:30,5.0,5.45,4.9,5.3,64668
2008-03-12 00:00:00+05:30,5.8,5.8,5.15,5.3,62592
2008-03-13 00:00:00+05:30,5.1,5.25,5.0,5.0,42480
2008-03-14 00:00:00+05:30,5.5,5.5,4.6,4.9,74580
2008-03-17 00:00:00+05:30,4.55,4.9,4.5,4.6,164500
2008-03-18 00:00:00+05:30,4.85,4.85,4.55,4.6,78572
2008-03-19 00:00:00+05:30,4.75,4.75,4.3,4.55,287508
2008-03-24 00:00:00+05:30,5.0,5.0,4.25,4.4,76040
2008-03-25 00:00:00+05:30,4.3,4.8,4.25,4.5,29728
2008-03-26 00:00:00+05:30,4.9,4.9,4.5,4.55,128092
2008-03-27 00:00:00+05:30,4.5,4.8,4.5,4.7,290072
2008-03-28 00:00:00+05:30,4.7,5.15,4.6,5.1,276488
2008-03-31 00:00:00+05:30,5.25,5.4,5.0,5.15,242008
2008-04-01 00:00:00+05:30,5.65,5.65,5.05,5.15,21260
2008-04-02 00:00:00+05:30,5.4,5.4,4.8,4.95,46052
2008-04-03 00:00:00+05:30,5.2,5.2,4.8,4.9,18420
2008-04-04 00:00:00+05:30,5.4,5.4,4.9,4.9,194268
2008-04-07 00:00:00+05:30,5.4,5.4,4.7,4.95,9500
2008-04-08 00:00:00+05:30,5.4,5.4,4.9,5.0,17724
2008-04-09 00:00:00+05:30,5.35,5.35,5.0,5.0,8284
2008-04-10 00:00:00+05:30,5.3,5.3,5.0,5.15,48504
2008-04-11 00:00:00+05:30,5.3,5.3,5.0,5.1,53316
2008-04-15 00:00:00+05:30,5.6,5.6,5.1,5.2,48196
2008-04-16 00:00:00+05:30,5.7,5.7,5.3,5.4,91552
2008-04-17 00:00:00+05:30,5.9,5.9,5.4,5.5,41748
2008-04-21 00:00:00+05:30,5.8,5.8,5.25,5.7,57308
2008-04-22 00:00:00+05:30,6.2,6.2,5.25,5.7,121928
2008-04-23 00:00:00+05:30,6.2,6.2,5.6,5.7,59892
2008-04-24 00:00:00+05:30,6.2,6.2,5.7,5.75,49848
2008-04-25 00:00:00+05:30,6.3,6.3,5.9,6.05,168708
